Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.03,24.09,23.45,23.49,178689700,0.0,0.0
2009-12-08,23.54,23.91,23.46,23.6,172599700,0.0,0.0
2009-12-09,23.78,24.63,23.66,24.59,171195500,0.0,0.0
2009-12-10,24.8,24.82,24.38,24.42,122417400,0.0,0.0
2009-12-11,24.58,24.61,24.04,24.2,107443700,0.0,0.0
2009-12-14,24.28,24.54,23.94,24.48,123947600,0.0,0.0
2009-12-15,24.34,24.55,24.02,24.14,104864900,0.0,0.0
2009-12-16,24.25,24.42,24.18,24.24,88246200,0.0,0.0
2009-12-17,24.15,24.24,23.74,23.85,97209700,0.0,0.0
2009-12-18,24.01,24.3,23.94,24.29,152192600,0.0,0.0
2009-12-21,24.37,24.83,24.32,24.64,152976600,0.0,0.0
2009-12-22,24.79,24.97,24.69,24.9,87378900,0.0,0.0
2009-12-23,25.01,25.16,24.96,25.12,86381400,0.0,0.0
2009-12-24,25.3,26.02,25.28,25.98,125222300,0.0,0.0
2009-12-28,26.32,26.59,26.05,26.3,161141400,0.0,0.0
2009-12-29,26.43,26.44,25.95,25.99,111301400,0.0,0.0
2009-12-30,25.96,26.35,25.89,26.31,103021100,0.0,0.0
2009-12-31,26.49,26.52,26.17,26.19,88102700,0.0,0.0
2010-01-04,26.53,26.66,26.4,26.6,123432400,0.0,0.0
2010-01-05,26.67,26.8,26.51,26.65,150476200,0.0,0.0
2010-01-06,26.65,26.75,26.2,26.22,138040000,0.0,0.0
2010-01-07,26.32,26.35,25.98,26.18,119282800,0.0,0.0
2010-01-08,26.14,26.35,25.99,26.35,111902700,0.0,0.0
2010-01-11,26.45,26.48,25.91,26.12,115557400,0.0,0.0
2010-01-12,26.0,26.07,25.66,25.82,148614900,0.0,0.0
2010-01-13,25.84,26.22,25.37,26.18,151473000,0.0,0.0
2010-01-14,26.12,26.16,25.98,26.03,108223500,0.0,0.0
2010-01-15,26.22,26.3,25.59,25.6,148516900,0.0,0.0
2010-01-19,25.9,26.75,25.76,26.73,182501900,0.0,0.0
2010-01-20,26.71,26.79,26.04,26.32,153038200,0.0,0.0
2010-01-21,26.36,26.51,25.76,25.86,152038600,0.0,0.0
2010-01-22,25.7,25.79,24.51,24.58,220441900,0.0,0.0
2010-01-25,25.17,25.44,24.88,25.24,266424900,0.0,0.0
2010-01-26,25.6,26.56,25.18,25.6,466777500,0.0,0.0
2010-01-27,25.71,26.18,24.8,25.84,430642100,0.0,0.0
2010-01-28,25.47,25.54,24.7,24.77,293375600,0.0,0.0
2010-01-29,24.99,25.13,23.65,23.87,311488100,0.0,0.0
2010-02-01,23.91,24.36,23.78,24.2,187469100,0.0,0.0
2010-02-02,24.35,24.4,24.04,24.35,174585600,0.0,0.0
