Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.18,21.41,21.12,21.2,2934100,0.0,0
2009-12-08,21.19,21.24,20.82,20.85,3618500,0.0,0
2009-12-09,20.8,21.08,20.77,21.08,3550700,0.0,0
2009-12-10,21.1,21.62,21.08,21.55,6702700,0.0,0
2009-12-11,21.57,21.66,21.3,21.33,2518400,0.0,0
2009-12-14,21.4,21.67,21.4,21.51,2738300,0.0,0
2009-12-15,21.68,22.31,21.51,22.18,5832300,0.0,0
2009-12-16,22.51,22.87,22.44,22.48,6415300,0.0,0
2009-12-17,22.47,22.59,22.25,22.25,4208300,0.0,0
2009-12-18,22.37,22.5,22.18,22.4,4990400,0.0,0
2009-12-21,22.53,22.85,22.37,22.47,2645200,0.0,0
2009-12-22,22.59,22.73,22.49,22.64,2021800,0.0,0
2009-12-23,22.62,22.76,22.54,22.65,2609700,0.0,0
2009-12-24,22.71,22.77,22.65,22.66,482000,0.0,0
2009-12-28,22.71,22.83,22.6,22.72,1122900,0.0,0
2009-12-29,22.72,22.85,22.68,22.69,1447400,0.0,0
2009-12-30,22.63,22.7,22.48,22.64,1618300,0.0,0
2009-12-31,22.71,22.73,22.41,22.43,1466400,0.0,0
2010-01-04,22.62,22.97,22.49,22.91,2455900,0.0,0
2010-01-05,22.93,22.93,22.7,22.75,2476800,0.0,0
2010-01-06,22.71,22.74,22.44,22.54,4039300,0.0,0
2010-01-07,22.17,22.51,22.08,22.17,5244600,0.0,0
2010-01-08,22.25,22.46,22.1,22.41,4277500,0.0,0
2010-01-11,22.58,22.78,22.47,22.66,1914400,0.0,0
2010-01-12,22.65,22.85,22.54,22.82,3142600,0.0,0
2010-01-13,22.88,23.34,22.88,23.27,3150100,0.0,0
2010-01-14,23.21,23.45,23.1,23.41,2054300,0.0,0
2010-01-15,23.46,23.46,23.07,23.16,2076400,0.0,0
2010-01-19,23.2,23.76,23.16,23.55,2826200,0.0,0
2010-01-20,23.53,23.53,23.03,23.35,2683700,0.0,0
2010-01-21,23.33,23.39,22.59,22.87,3961000,0.0,0
2010-01-22,22.78,23.06,22.39,22.94,4321500,0.0,0
2010-01-25,23.05,23.52,22.96,23.33,5285000,0.0,0
2010-01-26,23.97,24.09,23.52,23.61,5530700,0.0,0
2010-01-27,23.55,23.78,23.27,23.46,4885100,0.0,0
2010-01-28,23.44,23.89,23.44,23.47,3374300,0.0,0
2010-01-29,23.59,23.76,23.43,23.46,4136700,0.0,0
2010-02-01,23.63,23.9,23.3,23.88,3682900,0.0,0
2010-02-02,23.92,24.62,23.8,24.57,6012600,0.0,0
2010-02-03,24.53,24.6,24.12,24.37,3801100,0.0,0
2010-02-04,24.32,24.32,23.59,23.59,4607500,0.0,0
2010-02-05,23.55,23.58,22.93,23.24,5637600,0.0,0
2010-02-08,23.26,23.4,23.08,23.19,2811300,0.0,0
2010-02-09,23.39,23.58,23.23,23.37,2167600,0.0,0
2010-02-10,23.57,23.58,23.02,23.47,5655300,0.08,0
2010-02-11,23.46,23.79,23.26,23.75,4093800,0.0,0
2010-02-12,23.64,23.64,23.32,23.6,2583700,0.0,0
2010-02-16,23.87,23.87,23.57,23.79,3328800,0.0,0
2010-02-17,23.93,23.97,23.35,23.81,5869000,0.0,0
2010-02-18,23.8,24.08,23.73,24.04,2931200,0.0,0
2010-02-19,24.05,24.33,23.82,24.28,3862400,0.0,0
2010-02-22,24.37,24.37,23.96,24.07,3256200,0.0,0
2010-02-23,24.01,24.14,23.79,23.95,5407100,0.0,0
2010-02-24,23.97,24.2,23.96,24.07,2652500,0.0,0
2010-02-25,23.91,24.23,23.8,24.23,3168400,0.0,0
2010-02-26,24.23,24.33,24.07,24.2,4036700,0.0,0
2010-03-01,24.14,24.38,23.95,24.22,3116800,0.0,0
2010-03-02,24.34,24.6,24.23,24.56,2366300,0.0,0
2010-03-03,24.6,24.6,24.14,24.16,3090300,0.0,0
2010-03-04,24.3,24.3,24.09,24.16,2659400,0.0,0
2010-03-05,24.18,24.52,24.15,24.52,2715900,0.0,0
2010-03-08,24.52,24.55,24.21,24.22,2470000,0.0,0
2010-03-09,24.18,24.3,24.08,24.16,2907900,0.0,0
2010-03-10,24.12,24.33,24.06,24.21,2364600,0.0,0
2010-03-11,24.12,24.27,23.99,24.23,1678400,0.0,0
2010-03-12,24.31,24.38,23.99,24.1,2337200,0.0,0
2010-03-15,24.08,24.08,23.83,23.95,2755000,0.0,0
2010-03-16,24.53,24.55,24.1,24.47,4210300,0.0,0
2010-03-17,24.66,24.66,24.32,24.34,3088500,0.0,0
2010-03-18,24.48,24.7,24.33,24.66,2756600,0.0,0
2010-03-19,24.75,25.12,24.4,24.75,5468600,0.0,0
2010-03-22,24.7,25.29,24.6,25.28,4848800,0.0,0
2010-03-23,25.4,25.4,24.94,25.21,2345700,0.0,0
2010-03-24,25.26,25.29,24.73,24.79,2158600,0.0,0
2010-03-25,24.93,24.94,24.64,24.68,2623700,0.0,0
2010-03-26,24.71,24.79,24.42,24.67,2554700,0.0,0
2010-03-29,24.82,24.97,24.7,24.89,2064800,0.0,0
2010-03-30,24.97,25.31,24.91,25.27,2740800,0.0,0
2010-03-31,25.26,25.26,24.81,24.96,2407300,0.0,0
2010-04-01,25.02,25.14,24.53,24.67,3680900,0.0,0
2010-04-05,24.71,25.04,24.62,24.96,2339700,0.0,0
2010-04-06,24.96,25.15,24.85,25.05,1739100,0.0,0
2010-04-07,24.97,25.09,24.83,25.06,3151200,0.0,0
2010-04-08,25.53,25.53,25.11,25.18,3767300,0.0,0
2010-04-09,25.25,25.44,25.18,25.43,2018500,0.0,0
2010-04-12,25.45,25.47,25.26,25.32,1839500,0.0,0
2010-04-13,25.23,25.46,24.98,25.42,2778000,0.0,0
2010-04-14,25.45,25.46,25.04,25.2,2764000,0.0,0
2010-04-15,25.19,25.46,25.1,25.45,2217200,0.0,0
2010-04-16,25.46,25.82,25.34,25.79,5991800,0.0,0
2010-04-19,25.8,25.88,25.53,25.73,4306600,0.0,0
2010-04-20,25.86,26.31,25.79,26.22,4190100,0.0,0
2010-04-21,26.26,26.4,25.87,26.2,5969000,0.0,0
2010-04-22,27.0,27.43,26.55,27.11,8444500,0.0,0
2010-04-23,27.18,27.24,26.57,26.87,4950700,0.0,0
2010-04-26,26.84,27.13,26.61,26.95,4282000,0.0,0
2010-04-27,26.75,27.09,26.55,26.63,3571100,0.0,0
2010-04-28,26.68,26.88,26.48,26.57,3087400,0.0,0
2010-04-29,26.73,27.31,26.69,27.06,3960900,0.0,0
2010-04-30,27.12,27.27,26.62,26.62,3380600,0.0,0
2010-05-03,26.78,27.06,26.68,26.99,2472400,0.0,0
2010-05-04,26.8,26.91,26.51,26.73,2849000,0.0,0
2010-05-05,26.35,26.93,26.35,26.78,3670000,0.0,0
2010-05-06,26.64,27.12,24.98,26.54,6056700,0.0,0
2010-05-07,26.37,26.42,25.36,25.81,6272400,0.0,0
2010-05-10,26.68,27.03,26.38,26.8,3938600,0.0,0
2010-05-11,26.43,27.18,26.42,26.94,4061600,0.0,0
2010-05-12,26.99,27.48,26.76,27.43,3151800,0.0,0
2010-05-13,27.55,27.58,27.25,27.27,3951400,0.0,0
2010-05-14,27.18,27.24,26.8,27.02,3599400,0.0,0
2010-05-17,27.05,27.37,26.7,27.1,3794200,0.0,0
2010-05-18,27.37,27.58,26.82,27.0,4524100,0.0,0
2010-05-19,26.87,27.25,26.75,27.12,4002900,0.0,0
2010-05-20,26.85,27.05,26.47,26.54,6419500,0.08,0
2010-05-21,26.02,26.8,26.0,26.67,6502200,0.0,0
2010-05-24,26.65,26.88,26.32,26.56,5126100,0.0,0
2010-05-25,26.04,26.22,25.52,26.19,6030800,0.0,0
2010-05-26,26.37,26.8,26.23,26.34,4960700,0.0,0
2010-05-27,26.72,27.33,26.69,27.31,4144900,0.0,0
2010-05-28,27.29,27.43,26.75,27.06,4896100,0.0,0
2010-06-01,26.85,27.2,26.59,26.66,4095800,0.0,0
2010-06-02,26.71,27.48,26.59,27.45,3892500,0.0,0
2010-06-03,27.5,28.11,27.48,27.76,5639400,0.0,0
2010-06-04,27.28,27.44,26.53,26.62,5450900,0.0,0
2010-06-07,26.67,27.05,26.39,26.62,5558500,0.0,0
2010-06-08,26.75,26.77,26.22,26.49,5167200,0.0,0
2010-06-09,26.63,27.31,26.61,26.77,3999500,0.0,0
2010-06-10,27.21,27.5,27.07,27.42,2948900,0.0,0
2010-06-11,27.21,27.67,27.13,27.62,2844300,0.0,0
2010-06-14,27.66,28.08,27.66,27.87,3515200,0.0,0
2010-06-15,28.11,28.12,27.87,28.08,3005800,0.0,0
2010-06-16,28.06,28.53,27.97,28.34,4602300,0.0,0
2010-06-17,28.72,28.79,28.22,28.45,4944100,0.0,0
