Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.9,11.02,10.75,10.84,2723000,0.0,0.0
2009-12-08,10.68,11.01,10.66,10.88,2396700,0.0,0.0
2009-12-09,10.94,11.02,10.79,10.92,1809100,0.0,0.0
2009-12-10,10.98,10.99,10.76,10.85,2411000,0.0,0.0
2009-12-11,10.87,11.05,10.84,11.02,1274200,0.0,0.0
2009-12-14,11.07,11.42,10.9,11.39,2062200,0.0,0.0
2009-12-15,11.23,11.42,11.16,11.27,2734700,0.0,0.0
2009-12-16,11.31,11.49,11.27,11.33,2047300,0.0,0.0
2009-12-17,11.25,11.35,11.19,11.24,1823300,0.0,0.0
2009-12-18,11.28,11.49,11.14,11.45,2802700,0.0,0.0
2009-12-21,11.45,11.82,11.42,11.59,2101200,0.0,0.0
2009-12-22,11.56,11.82,11.56,11.78,2280500,0.0,0.0
2009-12-23,11.75,12.15,11.75,12.07,1610200,0.0,0.0
2009-12-24,12.15,12.38,12.14,12.37,526500,0.0,0.0
2009-12-28,12.37,12.69,12.37,12.42,1468800,0.0,0.0
2009-12-29,12.52,12.57,11.94,11.97,2085400,0.1,0.0
2009-12-30,11.94,11.97,11.69,11.9,2001800,0.0,0.0
2009-12-31,11.97,12.19,11.87,11.89,1705200,0.0,0.0
2010-01-04,12.06,12.21,11.81,11.92,1938700,0.0,0.0
2010-01-05,12.0,12.22,11.87,12.22,2070700,0.0,0.0
2010-01-06,12.22,12.61,12.22,12.43,3797300,0.0,0.0
2010-01-07,12.39,12.96,12.27,12.89,3902600,0.0,0.0
2010-01-08,12.77,12.85,12.4,12.59,3825200,0.0,0.0
2010-01-11,12.74,12.78,12.59,12.69,1314000,0.0,0.0
2010-01-12,12.58,12.85,12.31,12.36,2220200,0.0,0.0
2010-01-13,12.39,12.72,12.39,12.7,1609900,0.0,0.0
2010-01-14,12.63,12.78,12.51,12.56,2133000,0.0,0.0
2010-01-15,12.42,12.55,12.12,12.27,2280800,0.0,0.0
2010-01-19,12.37,12.67,12.34,12.65,2030400,0.0,0.0
2010-01-20,12.54,12.6,12.3,12.43,1804200,0.0,0.0
2010-01-21,12.34,12.42,11.78,11.8,4178000,0.0,0.0
