Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.79,16.99,16.75,16.8,1745200,0.0,0
2009-12-08,16.82,16.82,16.48,16.68,1446800,0.0,0
2009-12-09,16.78,16.85,16.68,16.78,1742700,0.0,0
2009-12-10,16.79,17.14,16.72,16.8,1551200,0.0,0
2009-12-11,16.92,17.04,16.8,17.04,1223200,0.0,0
2009-12-14,17.1,17.14,16.85,17.05,1163700,0.0,0
2009-12-15,16.94,17.13,16.9,17.03,1605200,0.0,0
2009-12-16,17.03,17.37,17.02,17.23,2004500,0.0,0
2009-12-17,17.25,17.53,17.15,17.4,2270200,0.0,0
2009-12-18,17.45,17.58,17.25,17.3,2319700,0.0,0
2009-12-21,17.49,17.78,17.31,17.51,1847200,0.0,0
2009-12-22,17.57,17.61,17.09,17.15,1718900,0.0,0
2009-12-23,17.13,17.26,16.99,17.18,770400,0.0,0
2009-12-24,17.28,17.37,17.18,17.29,202200,0.0,0
2009-12-28,17.35,17.35,17.16,17.25,450000,0.0,0
2009-12-29,17.36,17.44,17.32,17.35,649600,0.0,0
2009-12-30,17.4,17.51,17.33,17.41,716700,0.0,0
2009-12-31,17.53,17.58,17.27,17.3,787700,0.0,0
2010-01-04,17.3,17.65,17.3,17.49,2176100,0.0,0
2010-01-05,17.5,17.69,17.44,17.66,1843600,0.0,0
2010-01-06,17.67,17.87,17.63,17.76,2089400,0.0,0
2010-01-07,17.85,17.87,17.68,17.8,1353200,0.0,0
2010-01-08,17.83,17.9,17.62,17.76,1359100,0.0,0
2010-01-11,17.76,18.35,17.71,17.93,2313500,0.0,0
2010-01-12,17.95,17.95,17.76,17.85,1117500,0.0,0
2010-01-13,17.82,18.0,17.76,17.93,703600,0.0,0
2010-01-14,17.85,17.87,17.66,17.74,1173700,0.0,0
2010-01-15,17.8,17.8,17.32,17.45,996700,0.0,0
2010-01-19,17.52,17.61,17.37,17.37,779500,0.0,0
2010-01-20,17.44,17.45,17.15,17.33,1438800,0.0,0
2010-01-21,17.35,17.46,17.05,17.07,1280400,0.0,0
