Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,33.93,34.08,33.73,34.02,3395700,0.0,0
2009-12-08,33.78,34.11,33.5,33.63,4514100,0.0,0
2009-12-09,33.66,33.73,32.93,33.29,4921400,0.0,0
2009-12-10,33.46,33.76,33.22,33.43,4281700,0.0,0
2009-12-11,33.85,34.38,33.56,34.31,5926300,0.0,0
2009-12-14,34.7,35.24,34.48,35.1,8943400,0.0,0
2009-12-15,33.27,33.38,31.69,32.13,43755100,0.0,0
2009-12-16,32.42,32.63,31.76,31.95,11861500,0.0,0
2009-12-17,31.9,32.12,31.68,31.68,9550500,0.0,0
2009-12-18,31.85,31.9,30.38,30.56,15372100,0.0,0
2009-12-21,30.58,31.3,30.52,31.0,7938500,0.0,0
2009-12-22,31.17,31.44,30.96,31.3,4667900,0.0,0
2009-12-23,31.33,31.61,31.07,31.54,5703300,0.0,0
2009-12-24,31.64,31.81,31.44,31.49,2079100,0.0,0
2009-12-28,31.57,31.88,31.49,31.64,4465100,0.0,0
2009-12-29,31.72,31.81,31.24,31.27,4110600,0.0,0
2009-12-30,31.24,31.39,31.15,31.21,2566800,0.0,0
2009-12-31,31.21,31.33,30.64,30.64,3762600,0.14,0
2010-01-04,30.93,31.51,30.77,31.2,6433800,0.0,0
2010-01-05,31.48,32.22,31.44,32.0,6979200,0.0,0
2010-01-06,32.0,32.1,31.57,31.75,4192500,0.0,0
2010-01-07,31.68,32.29,31.6,32.25,8762000,0.0,0
2010-01-08,31.55,31.72,30.86,30.99,14177900,0.0,0
2010-01-11,31.09,31.09,30.28,30.46,9568900,0.0,0
2010-01-12,30.36,30.54,30.05,30.48,6770900,0.0,0
2010-01-13,30.57,30.94,30.52,30.85,4400000,0.0,0
2010-01-14,30.52,30.85,30.47,30.55,4046500,0.0,0
2010-01-15,30.54,30.64,30.09,30.23,5803500,0.0,0
2010-01-19,30.18,30.59,30.01,30.36,4974900,0.0,0
2010-01-20,30.1,30.33,29.89,30.1,5295200,0.0,0
2010-01-21,30.06,30.3,29.5,29.64,6824400,0.0,0
2010-01-22,29.57,29.67,28.77,28.84,9595500,0.0,0
2010-01-25,28.98,29.38,28.98,29.14,5594400,0.0,0
2010-01-26,28.83,29.18,28.73,28.77,6950900,0.0,0
2010-01-27,28.92,29.07,28.59,28.66,8380500,0.0,0
2010-01-28,28.69,28.8,27.99,28.22,8299800,0.0,0
2010-01-29,28.45,28.83,28.35,28.46,9076900,0.0,0
2010-02-01,28.59,28.67,28.42,28.54,5629600,0.0,0
2010-02-02,28.57,29.08,28.53,28.94,5378300,0.0,0
2010-02-03,28.83,29.09,28.66,28.75,4442600,0.0,0
2010-02-04,28.56,28.57,27.6,27.63,6386800,0.0,0
2010-02-05,27.68,27.83,27.3,27.81,7297100,0.0,0
2010-02-08,27.81,28.14,27.54,27.54,4602200,0.0,0
2010-02-09,27.73,28.21,27.72,27.93,5554200,0.0,0
2010-02-10,27.87,27.97,27.45,27.48,6440700,0.0,0
2010-02-11,27.59,27.76,27.3,27.68,5386900,0.0,0
2010-02-12,27.52,27.92,27.18,27.76,5195800,0.0,0
2010-02-16,27.87,28.3,27.79,28.28,4622600,0.0,0
2010-02-17,28.31,28.6,27.97,28.17,5794400,0.0,0
2010-02-18,27.97,28.14,27.9,28.07,4706000,0.0,0
2010-02-19,27.95,28.33,27.95,28.21,4468300,0.0,0
2010-02-22,28.32,28.54,28.17,28.39,5584700,0.0,0
2010-02-23,28.34,28.52,27.97,28.26,6150400,0.0,0
2010-02-24,28.35,28.7,28.25,28.68,5881500,0.0,0
2010-02-25,28.35,28.73,28.09,28.63,6126400,0.0,0
2010-02-26,28.7,28.8,28.28,28.34,5113000,0.0,0
2010-03-01,28.4,28.71,28.28,28.57,5262000,0.0,0
2010-03-02,28.63,28.7,28.25,28.3,6336000,0.0,0
2010-03-03,28.28,28.7,28.17,28.38,5128700,0.0,0
