Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.26,9.35,9.15,9.25,2902000.0,0.0,0.0
2009-12-08,9.51,9.82,9.18,9.23,3510200.0,0.0,0.0
2009-12-09,9.27,9.34,9.03,9.18,1588700.0,0.0,0.0
2009-12-10,9.21,9.32,9.18,9.27,1072000.0,0.0,0.0
2009-12-11,9.29,9.45,9.27,9.39,1435700.0,0.0,0.0
2009-12-14,9.46,9.57,9.43,9.44,1898200.0,0.0,0.0
2009-12-15,9.46,9.55,9.45,9.48,1303000.0,0.0,0.0
2009-12-16,9.54,9.57,9.39,9.4,1135000.0,0.0,0.0
2009-12-17,9.4,9.43,9.3,9.3,1269200.0,0.0,0.0
2009-12-18,9.38,9.38,9.23,9.29,1846500.0,0.0,0.0
2009-12-21,9.28,9.35,9.24,9.27,894700.0,0.0,0.0
2009-12-22,9.26,9.31,9.21,9.29,985000.0,0.0,0.0
2009-12-23,9.34,9.4,9.28,9.38,1423700.0,0.0,0.0
2009-12-24,9.41,9.47,9.39,9.46,292700.0,0.0,0.0
2009-12-28,9.46,9.53,9.42,9.52,800500.0,0.0,0.0
2009-12-29,9.52,9.65,9.5,9.6,1064500.0,0.0,0.0
2009-12-30,9.57,9.65,9.55,9.57,1044200.0,0.0,0.0
2009-12-31,9.62,9.65,9.48,9.49,857200.0,0.0,0.0
2010-01-04,9.49,9.6,9.48,9.53,1169200.0,0.0,0.0
2010-01-05,9.5,9.54,9.32,9.43,1507700.0,0.0,0.0
2010-01-06,9.45,9.58,9.43,9.56,1498000.0,0.0,0.0
2010-01-07,9.58,9.58,9.42,9.47,802700.0,0.0,0.0
2010-01-08,9.47,9.47,9.36,9.46,811500.0,0.0,0.0
2010-01-11,9.51,9.54,9.42,9.5,838700.0,0.0,0.0
2010-01-12,9.48,9.57,9.45,9.57,971500.0,0.0,0.0
2010-01-13,9.56,9.84,9.54,9.77,1054000.0,0.0,0.0
2010-01-14,9.74,9.77,9.65,9.69,655000.0,0.0,0.0
2010-01-15,9.7,9.74,9.5,9.54,1192700.0,0.0,0.0
2010-01-19,9.53,9.55,9.43,9.54,913700.0,0.0,0.0
2010-01-20,9.47,9.47,9.31,9.46,831000.0,0.0,0.0
2010-01-21,9.53,9.54,9.27,9.33,965500.0,0.0,0.0
2010-01-22,9.28,9.32,9.14,9.16,878200.0,0.0,0.0
2010-01-25,9.24,9.24,9.09,9.17,682500.0,0.0,0.0
2010-01-26,9.15,9.17,9.02,9.14,614500.0,0.0,0.0
2010-01-27,9.14,9.14,9.01,9.11,867200.0,0.0,0.0
2010-01-28,9.14,9.21,9.05,9.07,711000.0,0.0,0.0
2010-01-29,9.15,9.15,9.0,9.09,1156500.0,0.0,0.0
2010-02-01,9.15,9.17,9.09,9.15,655000.0,0.0,0.0
2010-02-02,9.18,9.22,9.03,9.22,791500.0,0.0,0.0
2010-02-03,9.17,9.24,9.08,9.1,636200.0,0.0,0.0
2010-02-04,9.07,9.12,8.76,8.77,858200.0,0.0,0.0
2010-02-05,8.75,8.81,8.67,8.77,924200.0,0.0,0.0
2010-02-08,8.83,8.9,8.77,8.78,1293200.0,0.0,0.0
2010-02-09,8.89,9.11,8.87,9.0,1102000.0,0.0,0.0
2010-02-10,8.98,9.08,8.92,8.99,629500.0,0.0,0.0
2010-02-11,8.99,9.01,8.83,8.99,1110200.0,0.0,0.0
2010-02-12,8.95,9.02,8.87,8.97,1297700.0,0.0,0.0
2010-02-16,8.97,9.06,8.95,9.06,1045700.0,0.0,0.0
2010-02-17,9.07,9.23,9.03,9.21,743200.0,0.0,0.0
2010-02-18,9.22,9.36,9.22,9.35,565000.0,0.0,0.0
2010-02-19,9.34,9.43,9.26,9.38,740500.0,0.0,0.0
2010-02-22,9.41,9.43,9.33,9.36,462000.0,0.0,0.0
2010-02-23,9.36,9.36,9.2,9.28,631000.0,0.0,0.0
2010-02-24,9.34,9.47,9.28,9.43,1014000.0,0.0,0.0
2010-02-25,9.33,9.42,9.2,9.4,1205200.0,0.0,0.0
2010-02-26,9.43,9.43,9.25,9.27,1582500.0,0.0,0.0
2010-03-01,9.32,9.67,9.32,9.46,1292500.0,0.0,0.0
2010-03-02,9.48,9.57,9.45,9.55,1330700.0,0.0,0.0
2010-03-03,9.55,9.64,9.53,9.57,1148500.0,0.0,0.0
2010-03-04,9.75,9.92,9.73,9.88,1019500.0,0.3,0.0
2010-03-05,9.95,10.05,9.95,10.04,1051000.0,0.0,0.0
2010-03-08,10.0,10.08,9.97,10.03,820000.0,0.0,0.0
2010-03-09,10.01,10.14,9.96,10.11,1677700.0,0.0,0.0
2010-03-10,10.06,10.1,9.78,9.91,1311000.0,0.0,0.0
2010-03-11,9.91,10.02,9.81,10.01,1032000.0,0.0,0.0
2010-03-12,9.99,10.08,9.96,10.02,1803200.0,0.0,0.0
2010-03-15,10.03,10.07,9.92,9.96,847700.0,0.0,0.0
2010-03-16,9.97,10.08,9.94,10.05,829500.0,0.0,0.0
2010-03-17,10.06,10.23,10.04,10.21,1112200.0,0.0,0.0
2010-03-18,10.26,10.49,10.21,10.38,1203200.0,0.0,0.0
2010-03-19,10.41,10.49,10.33,10.41,2130700.0,0.0,0.0
2010-03-22,10.39,10.49,10.29,10.43,807200.0,0.0,0.0
2010-03-23,10.45,10.51,10.36,10.49,622700.0,0.0,0.0
2010-03-24,10.46,10.49,10.38,10.41,700000.0,0.0,0.0
2010-03-25,10.47,10.47,10.39,10.39,720700.0,0.0,0.0
2010-03-26,10.39,10.47,10.34,10.36,880000.0,0.0,0.0
2010-03-29,10.41,10.63,10.38,10.63,1142200.0,0.0,0.0
2010-03-30,10.7,10.78,10.69,10.74,1242000.0,0.0,0.0
2010-03-31,10.72,10.78,10.66,10.75,1413200.0,0.0,0.0
2010-04-01,10.79,10.85,10.79,10.85,747200.0,0.0,0.0
2010-04-05,10.87,10.93,10.85,10.88,1254700.0,0.0,0.0
2010-04-06,10.83,10.84,10.71,10.84,963000.0,0.0,0.0
2010-04-07,10.84,10.84,10.69,10.73,707200.0,0.0,0.0
2010-04-08,10.71,10.75,10.68,10.75,571500.0,0.0,0.0
