Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,169.3,171.77,167.28,168.44,548300.0,0.0,0
2009-12-08,167.28,171.55,166.9,170.22,313100.0,0.0,0
2009-12-09,170.69,172.98,168.84,172.6,229000.0,0.0,0
2009-12-10,172.32,174.88,172.32,173.01,194500.0,0.0,0
2009-12-11,173.01,173.61,171.26,171.85,189400.0,0.0,0
2009-12-14,171.92,173.51,170.5,171.97,156500.0,0.0,0
2009-12-15,172.42,172.98,170.11,172.54,375600.0,0.0,0
2009-12-16,173.74,179.13,173.74,178.34,404400.0,0.0,0
2009-12-17,176.98,180.19,176.26,178.61,355300.0,0.0,0
2009-12-18,178.92,182.24,178.28,181.58,878500.0,0.0,0
2009-12-21,182.03,183.15,180.94,183.1,259400.0,0.0,0
2009-12-22,183.0,183.57,181.26,181.99,223000.0,0.0,0
2009-12-23,181.99,182.75,180.86,181.48,191200.0,0.0,0
2009-12-24,181.07,182.81,181.07,182.22,77300.0,0.0,0
2009-12-28,182.49,182.49,180.75,182.01,214200.0,0.0,0
2009-12-29,182.26,183.75,181.51,181.65,332200.0,0.0,0
2009-12-30,182.25,182.32,180.18,180.41,166500.0,0.0,0
2009-12-31,180.96,181.0,176.56,176.56,260300.0,0.0,0
2010-01-04,179.48,182.18,177.56,181.41,238700.0,0.0,0
2010-01-05,181.77,182.24,180.02,182.19,198800.0,0.0,0
2010-01-06,181.35,181.46,177.97,178.44,278500.0,0.0,0
2010-01-07,178.43,180.74,177.93,180.4,218300.0,0.0,0
2010-01-08,180.56,182.04,180.02,181.67,224400.0,0.0,0
2010-01-11,182.45,185.38,182.45,184.62,207900.0,0.0,0
2010-01-12,183.43,184.91,181.32,181.32,208100.0,0.0,0
2010-01-13,178.09,182.45,178.09,182.05,203400.0,0.0,0
2010-01-14,181.86,182.71,180.21,180.89,163900.0,0.0,0
2010-01-15,180.85,181.5,179.57,181.04,197000.0,0.0,0
2010-01-19,180.73,183.14,178.1,182.5,187600.0,0.0,0
2010-01-20,181.73,182.02,178.94,181.16,203000.0,0.0,0
2010-01-21,182.5,182.5,174.79,175.07,354700.0,0.0,0
2010-01-22,174.5,179.2,169.27,171.08,282600.0,0.0,0
2010-01-25,171.42,173.58,170.22,172.19,195600.0,0.0,0
2010-01-26,170.74,174.04,169.94,170.86,203100.0,0.0,0
2010-01-27,173.64,175.74,166.18,172.43,560200.0,0.0,0
2010-01-28,172.6,173.71,164.04,167.01,632900.0,0.0,0
2010-01-29,170.94,170.94,161.7,162.58,483100.0,0.0,0
2010-02-01,163.67,166.69,163.49,164.67,426400.0,0.0,0
2010-02-02,161.84,164.53,159.14,164.24,716700.0,0.0,0
2010-02-03,164.09,168.72,163.52,167.77,601700.0,0.0,0
2010-02-04,164.84,165.47,160.06,160.63,540500.0,0.0,0
2010-02-05,160.01,161.58,152.5,158.76,884900.0,0.0,0
2010-02-08,159.22,159.65,155.58,155.62,356400.0,0.0,0
2010-02-09,157.3,159.2,155.99,158.83,564800.0,0.0,0
2010-02-10,158.25,161.89,158.25,160.54,619400.0,0.0,0
2010-02-11,160.26,160.63,156.72,157.62,437100.0,0.0,0
2010-02-12,156.16,157.52,154.22,157.52,396400.0,0.0,0
2010-02-16,158.38,159.99,157.4,159.99,277100.0,0.0,0
2010-02-17,159.98,162.47,159.64,162.03,372500.0,0.0,0
2010-02-18,163.02,163.66,160.63,162.51,350900.0,0.0,0
2010-02-19,162.91,164.38,162.41,163.87,294800.0,0.0,0
2010-02-22,165.39,166.75,164.27,165.17,374900.0,0.0,0
2010-02-23,165.43,166.68,163.3,163.38,276000.0,0.0,0
2010-02-24,165.19,166.5,164.62,166.03,280500.0,0.0,0
2010-02-25,164.62,166.61,163.17,165.99,359100.0,0.0,0
2010-02-26,165.38,167.17,165.38,166.37,302500.0,0.0,0
2010-03-01,165.69,167.14,164.51,165.76,389700.0,0.0,0
2010-03-02,167.2,167.52,164.55,164.55,568200.0,0.0,0
2010-03-03,165.88,166.69,163.17,164.3,500900.0,0.0,0
2010-03-04,166.46,166.46,162.16,164.88,300600.0,1.0,0
2010-03-05,165.77,167.97,164.59,167.93,557200.0,0.0,0
2010-03-08,167.93,167.93,165.34,166.62,293900.0,0.0,0
2010-03-09,165.76,167.2,164.9,165.74,323100.0,0.0,0
2010-03-10,166.38,167.2,164.54,164.77,502000.0,0.0,0
2010-03-11,163.7,164.59,160.15,160.73,730900.0,0.0,0
2010-03-12,161.93,163.28,159.16,160.42,601600.0,0.0,0
2010-03-15,159.67,162.87,159.39,162.08,384800.0,0.0,0
2010-03-16,163.1,163.1,160.87,162.21,290400.0,0.0,0
2010-03-17,168.06,173.14,167.67,170.2,895300.0,0.0,0
2010-03-18,170.36,173.41,169.79,172.38,406000.0,0.0,0
2010-03-19,171.38,172.63,168.94,171.38,514700.0,0.0,0
2010-03-22,170.35,172.49,169.59,172.41,296900.0,0.0,0
2010-03-23,172.4,173.99,171.72,173.41,301200.0,0.0,0
2010-03-24,172.65,173.34,170.92,171.88,327500.0,0.0,0
2010-03-25,171.89,173.94,171.38,172.19,486500.0,0.0,0
2010-03-26,172.59,172.6,166.59,167.5,538100.0,0.0,0
2010-03-29,167.29,168.39,164.57,168.1,314600.0,0.0,0
2010-03-30,168.07,168.15,166.32,167.39,222800.0,0.0,0
2010-03-31,167.12,169.42,165.54,166.35,324800.0,0.0,0
2010-04-01,161.52,161.93,158.09,161.22,1632300.0,0.0,0
2010-04-05,160.95,160.95,157.04,157.36,645300.0,0.0,0
2010-04-06,155.55,156.67,151.3,151.67,1399900.0,0.0,0
2010-04-07,151.83,153.86,151.15,152.03,1117600.0,0.0,0
2010-04-08,150.92,156.29,150.79,156.26,1329100.0,0.0,0
2010-04-09,155.82,159.58,155.82,157.45,774700.0,0.0,0
2010-04-12,156.88,158.13,156.33,157.21,561300.0,0.0,0
2010-04-13,157.13,158.68,156.25,158.05,335900.0,0.0,0
2010-04-14,159.04,161.51,158.52,161.47,586400.0,0.0,0
2010-04-15,161.95,162.15,157.84,157.9,579800.0,0.0,0
2010-04-16,157.44,157.88,152.19,153.35,821200.0,0.0,0
2010-04-19,152.41,155.55,152.34,154.77,454800.0,0.0,0
2010-04-20,156.49,156.49,154.13,155.21,319500.0,0.0,0
2010-04-21,154.61,156.87,152.23,153.7,386700.0,0.0,0
2010-04-22,154.31,159.14,153.28,158.73,698700.0,0.0,0
2010-04-23,158.06,161.86,158.06,161.2,591600.0,0.0,0
2010-04-26,156.06,156.06,146.97,147.39,1816800.0,0.0,0
2010-04-27,146.67,148.03,141.33,141.7,1042000.0,0.0,0
2010-04-28,143.45,145.9,138.4,140.89,1106400.0,0.0,0
2010-04-29,142.73,146.03,141.72,145.44,699500.0,0.0,0
2010-04-30,144.71,145.08,139.4,140.56,846600.0,0.0,0
2010-05-03,141.79,143.16,140.76,141.9,421000.0,0.0,0
2010-05-04,140.59,140.94,135.18,135.73,668200.0,0.0,0
2010-05-05,133.22,136.31,132.53,133.53,766600.0,0.0,0
2010-05-06,132.77,137.06,127.75,131.1,1279100.0,0.0,0
2010-05-07,131.09,134.44,129.5,131.48,1232400.0,0.0,0
2010-05-10,134.84,138.35,133.38,134.88,597500.0,0.0,0
2010-05-11,133.39,133.39,129.68,130.62,940400.0,0.0,0
2010-05-12,131.03,133.06,130.63,132.9,463900.0,0.0,0
2010-05-13,133.1,133.88,131.43,131.67,314000.0,0.0,0
2010-05-14,131.09,131.95,128.83,129.65,517100.0,0.0,0
2010-05-17,129.51,131.93,127.68,130.63,552400.0,0.0,0
2010-05-18,131.59,134.3,127.97,128.71,582900.0,0.0,0
2010-05-19,128.27,129.6,125.28,128.3,535600.0,0.0,0
2010-05-20,126.63,126.63,122.3,122.3,657800.0,0.0,0
2010-05-21,121.6,127.61,120.7,127.17,1070800.0,0.0,0
2010-05-24,127.96,129.62,123.71,123.72,586400.0,0.0,0
2010-05-25,120.71,124.19,118.79,124.09,701800.0,0.0,0
2010-05-26,125.85,126.64,124.01,125.31,1075000.0,0.0,0
2010-05-27,128.82,131.76,127.07,131.69,725200.0,0.0,0
2010-05-28,131.77,132.98,127.37,128.24,575900.0,0.0,0
2010-06-01,126.11,128.24,124.44,124.67,338500.0,0.0,0
2010-06-02,126.35,126.58,124.18,125.87,495900.0,0.0,0
2010-06-03,129.03,129.03,124.68,125.92,353600.0,1.0,0
2010-06-04,123.73,124.8,122.25,122.58,580600.0,0.0,0
2010-06-07,123.45,124.65,120.91,121.05,546200.0,0.0,0
2010-06-08,120.6,121.73,116.68,120.27,992100.0,0.0,0
2010-06-09,122.09,122.09,118.66,119.06,507800.0,0.0,0
2010-06-10,120.03,121.83,118.33,120.65,580800.0,0.0,0
2010-06-11,118.44,122.4,118.44,122.31,328900.0,0.0,0
2010-06-14,122.17,123.89,121.39,122.03,421400.0,0.0,0
2010-06-15,122.96,125.5,122.08,125.49,342900.0,0.0,0
2010-06-16,123.98,125.6,123.21,124.14,331800.0,0.0,0
2010-06-17,124.71,124.81,121.2,122.49,341500.0,0.0,0
2010-06-18,122.09,123.32,121.74,122.03,329100.0,0.0,0
2010-06-21,123.57,124.39,120.68,121.37,406600.0,0.0,0
2010-06-22,120.59,122.06,119.77,119.77,246100.0,0.0,0
2010-06-23,119.48,120.36,118.32,119.17,296600.0,0.0,0
2010-06-24,118.8,118.97,115.71,115.85,301200.0,0.0,0
2010-06-25,115.79,119.64,115.5,117.08,676800.0,0.0,0
2010-06-28,117.44,118.24,116.46,116.93,243400.0,0.0,0
2010-06-29,114.88,115.23,111.6,111.9,470000.0,0.0,0
2010-06-30,111.33,113.02,109.91,110.21,311400.0,0.0,0
2010-07-01,111.71,111.71,106.38,107.85,639800.0,0.0,0
2010-07-02,107.94,110.69,107.05,109.74,533600.0,0.0,0
2010-07-06,110.81,113.45,110.17,111.6,473100.0,0.0,0
2010-07-07,111.6,114.22,111.15,114.12,332600.0,0.0,0
2010-07-08,115.22,117.01,114.42,117.01,462800.0,0.0,0
2010-07-09,116.78,119.33,115.71,119.1,373300.0,0.0,0
2010-07-12,118.3,119.66,117.54,118.47,194300.0,0.0,0
2010-07-13,119.31,121.78,119.2,120.59,366900.0,0.0,0
2010-07-14,120.42,120.48,117.68,119.32,267000.0,0.0,0
2010-07-15,118.95,119.42,116.07,118.35,278700.0,0.0,0
2010-07-16,117.55,117.57,114.49,114.62,360400.0,0.0,0
2010-07-19,115.28,115.45,112.86,113.85,201900.0,0.0,0
2010-07-20,112.49,114.88,111.6,114.79,443100.0,0.0,0
2010-07-21,115.48,116.05,108.38,110.16,1127600.0,0.0,0
2010-07-22,111.17,116.98,110.67,116.21,587200.0,0.0,0
2010-07-23,115.5,119.58,115.29,118.74,466000.0,0.0,0
2010-07-26,119.32,122.89,119.14,122.7,439300.0,0.0,0
2010-07-27,123.19,125.0,120.81,121.11,388500.0,0.0,0
2010-07-28,121.59,122.96,119.46,120.66,308600.0,0.0,0
2010-07-29,121.43,122.94,119.67,121.62,438100.0,0.0,0
2010-07-30,120.36,122.39,119.9,121.04,313700.0,0.0,0
2010-08-02,122.97,125.67,122.97,125.16,369200.0,0.0,0
2010-08-03,125.16,125.23,123.24,123.62,345300.0,0.0,0
2010-08-04,123.46,123.93,120.81,123.3,489400.0,0.0,0
2010-08-05,122.59,124.18,122.25,123.37,222000.0,0.0,0
2010-08-06,122.84,122.84,118.54,120.79,542700.0,0.0,0
2010-08-09,121.67,123.25,121.13,122.7,294200.0,0.0,0
2010-08-10,122.12,123.75,121.05,122.52,329600.0,0.0,0
2010-08-11,118.96,120.12,117.38,117.55,336700.0,0.0,0
2010-08-12,116.63,116.63,114.78,114.9,423300.0,0.0,0
