Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.42,10.68,10.42,10.64,4478400,0.0,0.0
2009-12-08,10.59,11.09,10.51,11.04,9897600,0.0,0.0
2009-12-09,11.06,11.06,10.81,10.92,6929200,0.0,0.0
2009-12-10,10.99,11.03,10.88,10.94,3216400,0.0,0.0
2009-12-11,10.99,11.03,10.91,10.94,2381200,0.0,0.0
2009-12-14,11.01,11.13,10.97,11.08,3265600,0.0,0.0
2009-12-15,11.07,11.07,10.95,11.04,3204800,0.0,0.0
2009-12-16,11.06,11.11,10.98,11.09,3406400,0.0,0.0
2009-12-17,11.06,11.06,10.9,10.9,2533200,0.0,0.0
2009-12-18,11.0,11.0,10.82,10.89,3071600,0.0,0.0
2009-12-21,10.92,10.98,10.88,10.96,2864000,0.0,0.0
2009-12-22,10.99,11.09,10.94,11.01,1436800,0.0,0.0
2009-12-23,11.01,11.06,11.0,11.0,1956000,0.0,0.0
2009-12-24,10.99,11.12,10.99,11.06,540800,0.0,0.0
2009-12-28,11.06,11.1,11.03,11.08,1594800,0.0,0.0
2009-12-29,11.07,11.12,11.06,11.09,2178400,0.0,0.0
2009-12-30,11.08,11.13,11.05,11.08,882800,0.0,0.0
2009-12-31,11.07,11.13,10.99,10.99,1334400,0.0,0.0
2010-01-04,11.02,11.17,11.01,11.16,2468400,0.0,0.0
2010-01-05,11.12,11.13,11.0,11.03,3053600,0.0,0.0
2010-01-06,11.04,11.08,10.98,11.05,1879200,0.0,0.0
2010-01-07,11.0,11.04,10.94,11.03,2105600,0.0,0.0
2010-01-08,10.95,11.1,10.91,11.07,1227600,0.0,0.0
2010-01-11,11.08,11.14,10.98,11.01,1986000,0.0,0.0
2010-01-12,10.92,11.04,10.9,10.99,3231200,0.0,0.0
2010-01-13,11.01,11.06,10.95,11.04,2029200,0.0,0.0
2010-01-14,10.96,11.03,10.95,10.99,1904800,0.0,0.0
2010-01-15,10.94,10.98,10.89,10.93,3349200,0.0,0.0
2010-01-19,10.9,11.07,10.86,11.04,3165600,0.0,0.0
2010-01-20,11.0,11.03,10.87,10.93,4400000,0.0,0.0
2010-01-21,10.98,10.99,10.82,10.87,5698000,0.0,0.0
2010-01-22,10.87,10.91,10.78,10.81,5969600,0.0,0.0
2010-01-25,10.85,10.88,10.79,10.81,3826400,0.0,0.0
2010-01-26,10.78,10.84,10.71,10.75,4179600,0.0,0.0
2010-01-27,10.75,10.78,10.52,10.72,6724000,0.0,0.0
2010-01-28,11.26,11.26,10.72,10.74,7194800,0.0,0.0
