Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.48,14.48,14.08,14.13,2518800,0.0,0.0
2009-12-08,13.98,14.0,13.65,13.82,1684400,0.0,0.0
2009-12-09,13.82,13.94,13.67,13.91,1448200,0.0,0.0
2009-12-10,13.98,14.12,13.85,13.91,773400,0.0,0.0
2009-12-11,14.1,14.27,13.95,14.24,1623200,0.0,0.0
2009-12-14,14.32,14.62,14.28,14.56,2132000,0.0,0.0
2009-12-15,14.45,14.74,14.45,14.66,1940400,0.0,0.0
2009-12-16,14.72,14.97,14.6,14.89,2224600,0.0,0.0
2009-12-17,14.71,15.13,14.6,15.07,2536600,0.0,0.0
2009-12-18,15.12,15.23,14.81,15.06,2807600,0.0,0.0
2009-12-21,15.16,15.24,14.93,15.13,1189600,0.0,0.0
2009-12-22,15.14,15.38,15.06,15.34,1495200,0.0,0.0
2009-12-23,15.38,15.49,15.32,15.42,721400,0.0,0.0
2009-12-24,15.43,15.62,15.37,15.54,243800,0.0,0.0
2009-12-28,15.58,15.66,15.46,15.53,676600,0.0,0.0
2009-12-29,15.54,15.63,15.42,15.44,683000,0.0,0.0
2009-12-30,15.35,15.5,15.26,15.43,855200,0.0,0.0
2009-12-31,15.48,15.48,15.07,15.14,1347200,0.0,0.0
2010-01-04,15.24,15.51,15.23,15.39,1286000,0.0,0.0
2010-01-05,15.39,16.19,15.37,16.13,2654000,0.0,0.0
2010-01-06,16.13,16.76,16.09,16.72,4171000,0.0,0.0
2010-01-07,16.63,16.98,16.43,16.95,2592200,0.0,0.0
2010-01-08,16.85,16.95,16.59,16.64,2500600,0.0,0.0
2010-01-11,16.77,16.88,16.51,16.61,2885200,0.0,0.0
2010-01-12,16.51,16.67,16.14,16.18,3873200,0.0,0.0
2010-01-13,16.23,16.4,16.13,16.3,3943800,0.0,0.0
2010-01-14,16.3,17.35,16.27,17.26,4483800,0.0,0.0
2010-01-15,17.31,17.48,16.81,17.02,3369600,0.0,0.0
2010-01-19,17.03,17.28,16.89,17.17,2778000,0.0,0.0
2010-01-20,16.92,17.0,16.77,16.94,1999400,0.0,0.0
2010-01-21,17.0,17.24,16.66,16.79,3701400,0.0,0.0
2010-01-22,16.83,17.07,16.55,16.62,2183800,0.0,0.0
2010-01-25,16.75,17.27,16.55,16.87,2195800,0.0,0.0
2010-01-26,16.83,17.02,16.49,16.51,1936200,0.0,0.0
2010-01-27,16.39,16.51,15.66,16.07,3824800,0.0,0.0
2010-01-28,16.11,16.19,15.49,15.68,3062000,0.0,0.0
2010-01-29,15.7,16.4,15.7,15.99,4052400,0.0,0.0
2010-02-01,16.08,16.39,16.03,16.36,2172200,0.0,0.0
2010-02-02,16.34,16.61,16.11,16.5,2000400,0.0,0.0
2010-02-03,16.4,17.06,16.4,16.88,2900200,0.0,0.0
2010-02-04,16.68,16.68,16.09,16.09,1750800,0.0,0.0
2010-02-05,16.05,16.09,15.43,15.82,3925800,0.0,0.0
2010-02-08,15.9,16.35,15.76,16.11,2833400,0.0,0.0
2010-02-09,16.33,16.72,16.18,16.39,5739000,0.0,0.0
2010-02-10,16.29,16.68,16.12,16.51,3087600,0.0,0.0
2010-02-11,16.79,16.85,16.15,16.25,4811400,0.0,0.0
2010-02-12,16.06,16.7,16.06,16.7,3554600,0.0,0.0
2010-02-16,16.91,16.97,16.68,16.87,2195000,0.0,0.0
2010-02-17,16.97,17.18,16.88,16.95,2330200,0.0,0.0
2010-02-18,16.89,17.03,16.81,16.9,2791400,0.0,0.0
2010-02-19,16.92,17.11,16.84,17.02,2360600,0.0,0.0
2010-02-22,17.12,17.54,17.07,17.43,2798800,0.0,0.0
2010-02-23,17.42,17.73,16.97,17.07,3614000,0.0,0.0
2010-02-24,17.07,17.54,17.07,17.38,2378800,0.0,0.0
2010-02-25,17.07,17.38,16.86,17.33,2490000,0.0,0.0
2010-02-26,17.38,17.43,17.03,17.07,2433200,0.0,0.0
2010-03-01,17.17,17.32,17.07,17.3,2416400,0.0,0.0
2010-03-02,17.47,17.87,17.42,17.62,5275800,0.0,0.0
2010-03-03,17.71,17.74,17.54,17.58,4319600,0.0,0.0
2010-03-04,17.33,17.58,17.31,17.4,2692400,0.0,0.0
2010-03-05,17.55,17.56,17.13,17.16,4825600,0.0,0.0
2010-03-08,17.09,17.24,17.09,17.2,5467800,0.0,0.0
2010-03-09,17.16,17.2,16.85,16.97,3114800,0.0,0.0
2010-03-10,16.9,17.09,16.66,16.73,2663000,0.0,0.0
2010-03-11,16.65,16.83,16.26,16.81,5567200,0.0,0.0
2010-03-12,16.92,17.11,16.84,16.9,1406800,0.0,0.0
2010-03-15,16.86,17.0,16.61,16.8,1476800,0.0,0.0
