Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.4,24.63,24.15,24.27,4454500,0.0,0
2009-12-08,24.05,24.1,23.74,23.83,4052000,0.0,0
2009-12-09,23.98,24.03,23.32,23.47,4323700,0.0,0
2009-12-10,23.69,24.28,23.6,24.1,3137200,0.0,0
2009-12-11,24.32,24.48,24.15,24.28,2398400,0.0,0
2009-12-14,24.57,25.41,24.41,25.23,4563500,0.0,0
2009-12-15,24.93,25.53,24.93,25.37,3625200,0.0,0
2009-12-16,25.8,25.94,25.17,25.32,4543800,0.0,0
2009-12-17,24.95,25.27,24.81,24.98,5417900,0.0,0
2009-12-18,24.21,24.45,23.85,24.13,10787700,0.0,0
2009-12-21,24.55,24.67,24.14,24.24,3234900,0.0,0
2009-12-22,24.31,24.78,24.15,24.51,3990600,0.0,0
2009-12-23,24.56,24.58,24.2,24.36,2376100,0.0,0
2009-12-24,24.35,24.49,24.27,24.32,672100,0.0,0
2009-12-28,24.47,24.64,24.06,24.15,1998600,0.0,0
2009-12-29,24.52,24.62,24.13,24.2,2224900,0.0,0
2009-12-30,24.17,24.22,23.94,24.04,2239300,0.0,0
2009-12-31,24.08,24.1,23.71,23.73,1987700,0.0,0
2010-01-04,24.18,24.53,23.93,24.01,5372700,0.0,0
2010-01-05,24.17,24.37,24.11,24.24,3199900,0.0,0
2010-01-06,24.18,24.39,23.77,23.8,6171400,0.0,0
2010-01-07,24.05,24.23,23.89,24.07,3469400,0.0,0
2010-01-08,24.57,24.93,24.44,24.87,4950500,0.0,0
2010-01-11,25.15,25.2,24.93,25.02,3970700,0.0,0
2010-01-12,24.69,24.79,24.34,24.62,3566300,0.0,0
2010-01-13,24.78,25.54,24.68,25.5,5123800,0.0,0
2010-01-14,25.44,26.41,25.44,26.26,5417600,0.0,0
2010-01-15,26.12,26.26,25.42,25.63,3798500,0.0,0
2010-01-19,25.93,26.37,25.77,26.21,3159600,0.0,0
