Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-27,16.54,17.58,16.3,17.23,8285800,0.0,0
2013-06-28,17.26,17.98,17.24,17.46,717400,0.0,0
2013-07-01,17.49,17.72,17.2,17.2,394200,0.0,0
2013-07-02,17.2,18.42,17.12,18.02,223800,0.0,0
2013-07-03,17.81,18.01,17.51,17.89,103700,0.0,0
2013-07-05,17.63,18.16,17.4,18.02,111800,0.0,0
2013-07-08,17.86,18.27,17.69,18.03,110500,0.0,0
2013-07-09,17.94,18.68,17.87,18.29,206400,0.0,0
2013-07-10,18.26,18.71,17.86,17.91,334900,0.0,0
2013-07-11,17.86,18.43,17.86,18.36,108800,0.0,0
2013-07-12,18.03,18.32,18.01,18.3,114600,0.0,0
2013-07-15,18.16,18.52,18.02,18.34,177300,0.0,0
2013-07-16,17.86,19.37,17.86,18.85,239300,0.0,0
2013-07-17,18.76,19.2,18.49,19.1,139200,0.0,0
2013-07-18,19.22,19.69,18.81,19.53,162000,0.0,0
2013-07-19,19.69,20.06,19.48,19.54,631400,0.0,0
2013-07-22,19.32,19.41,18.96,19.07,492900,0.0,0
2013-07-23,19.03,19.4,18.76,18.96,41500,0.0,0
2013-07-24,18.97,19.4,18.8,19.29,43600,0.0,0
2013-07-25,19.07,20.61,18.76,20.61,232400,0.0,0
2013-07-26,20.74,20.76,19.74,20.25,141300,0.0,0
2013-07-29,20.16,20.63,19.75,20.35,85200,0.0,0
2013-07-30,20.36,20.44,19.51,20.26,94600,0.0,0
2013-07-31,20.43,20.43,19.87,20.16,52500,0.0,0
2013-08-01,20.12,20.44,19.84,20.31,181600,0.0,0
2013-08-02,20.32,21.1,19.85,21.03,224500,0.0,0
2013-08-05,21.03,21.57,20.87,21.37,104800,0.0,0
2013-08-06,21.41,21.66,21.18,21.39,419400,0.0,0
2013-08-07,21.38,21.56,21.23,21.52,82800,0.0,0
2013-08-08,21.57,21.66,21.38,21.63,74100,0.0,0
2013-08-09,21.43,21.68,21.43,21.62,67400,0.0,0
2013-08-12,21.43,21.76,21.43,21.72,116200,0.0,0
2013-08-13,21.7,22.08,21.43,21.94,102400,0.0,0
2013-08-14,21.85,21.94,21.71,21.91,72100,0.0,0
2013-08-15,21.94,21.94,21.38,21.57,280100,0.0,0
2013-08-16,21.55,21.65,21.38,21.62,82200,0.0,0
2013-08-19,21.57,21.7,21.29,21.65,196100,0.0,0
2013-08-20,21.63,22.27,21.45,21.67,138000,0.0,0
2013-08-21,21.63,21.85,21.38,21.6,89000,0.0,0
2013-08-22,21.62,21.85,21.43,21.58,52600,0.0,0
2013-08-23,21.53,21.86,21.45,21.82,38900,0.0,0
2013-08-26,21.82,21.82,21.52,21.55,126500,0.0,0
2013-08-27,21.45,21.48,20.63,20.84,280700,0.0,0
2013-08-28,20.83,21.04,20.54,20.61,78300,0.0,0
2013-08-29,20.5,20.76,19.95,20.71,171500,0.0,0
2013-08-30,20.64,20.78,20.49,20.57,110900,0.0,0
2013-09-03,20.78,21.73,20.42,21.13,94000,0.0,0
2013-09-04,21.06,21.58,20.65,21.58,117900,0.0,0
2013-09-05,21.48,22.27,21.38,21.87,84400,0.0,0
2013-09-06,21.86,22.27,21.56,21.79,103000,0.0,0
2013-09-09,21.82,22.06,21.25,21.53,123700,0.0,0
2013-09-10,21.57,21.79,21.18,21.6,125600,0.0,0
2013-09-11,21.48,22.06,21.11,21.96,124700,0.0,0
2013-09-12,21.94,22.08,21.59,21.65,672200,0.0,0
2013-09-13,21.59,22.06,21.48,22.04,213800,0.0,0
2013-09-16,22.18,22.48,21.8,22.38,187000,0.0,0
2013-09-17,22.34,22.49,21.65,21.78,315500,0.0,0
2013-09-18,21.64,22.5,21.53,22.31,273600,0.0,0
2013-09-19,22.13,22.41,21.72,22.0,336900,0.0,0
2013-09-20,21.91,22.07,21.27,21.47,1170900,0.0,0
2013-09-23,21.48,22.46,21.32,22.38,442400,0.0,0
2013-09-24,22.38,22.87,22.37,22.79,393900,0.0,0
2013-09-25,22.79,22.91,22.51,22.63,263200,0.0,0
2013-09-26,22.75,22.98,22.35,22.5,473400,0.0,0
2013-09-27,22.47,22.88,22.31,22.49,156900,0.0,0
2013-09-30,22.34,22.59,21.36,21.41,1433100,0.0,0
2013-10-01,21.29,21.76,21.22,21.76,118500,0.0,0
2013-10-02,21.69,21.71,20.88,21.36,177400,0.0,0
2013-10-03,21.31,21.87,21.23,21.87,91000,0.0,0
2013-10-04,21.89,21.92,21.72,21.9,110300,0.0,0
2013-10-07,21.75,21.87,21.54,21.62,56700,0.0,0
2013-10-08,21.57,21.84,21.39,21.68,127000,0.0,0
2013-10-09,21.74,21.88,21.11,21.27,64900,0.0,0
2013-10-10,21.39,21.87,21.32,21.62,108700,0.0,0
2013-10-11,21.63,21.82,21.45,21.56,71400,0.0,0
2013-10-14,21.51,21.52,21.12,21.36,91100,0.0,0
2013-10-15,21.37,21.48,21.11,21.24,77600,0.0,0
2013-10-16,21.29,21.48,20.97,21.26,74400,0.0,0
2013-10-17,21.16,21.63,20.76,21.36,100700,0.0,0
2013-10-18,21.38,21.71,21.17,21.56,94000,0.0,0
2013-10-21,21.56,21.69,21.1,21.16,40700,0.0,0
2013-10-22,21.17,21.48,20.65,21.38,46800,0.0,0
2013-10-23,21.31,21.66,20.36,21.31,126400,0.0,0
2013-10-24,21.29,21.29,19.88,20.64,237200,0.0,0
2013-10-25,20.63,21.24,20.15,20.77,163800,0.0,0
2013-10-28,20.87,21.07,20.48,20.68,121700,0.0,0
2013-10-29,20.79,20.97,20.41,20.58,68200,0.0,0
2013-10-30,20.56,20.8,19.77,20.72,170200,0.0,0
2013-10-31,20.63,20.86,19.98,20.62,150000,0.0,0
2013-11-01,21.57,22.09,20.54,20.68,304900,0.0,0
2013-11-04,20.44,21.61,20.35,21.51,216000,0.0,0
2013-11-05,21.34,21.9,21.22,21.57,173600,0.0,0
2013-11-06,21.57,21.8,21.38,21.56,113100,0.0,0
2013-11-07,21.53,21.79,21.21,21.55,301400,0.0,0
2013-11-08,21.53,21.63,21.14,21.52,554400,0.0,0
2013-11-11,21.0,21.0,20.27,20.37,172300,0.0,0
2013-11-12,20.25,20.3,19.41,19.78,478600,0.0,0
2013-11-13,19.47,19.95,19.31,19.54,930900,0.043,0
2013-11-14,19.75,20.17,19.37,19.41,6958500,0.0,0
2013-11-15,19.4,20.39,19.26,20.28,718600,0.0,0
2013-11-18,20.22,20.58,19.73,20.03,546600,0.0,0
2013-11-19,19.96,20.19,19.83,19.98,326700,0.0,0
2013-11-20,19.94,20.63,19.84,20.42,388600,0.0,0
2013-11-21,20.37,21.02,20.12,20.66,432800,0.0,0
2013-11-22,20.68,21.08,20.53,20.83,405000,0.0,0
2013-11-25,21.18,21.59,20.92,20.96,542400,0.0,0
2013-11-26,20.97,21.12,20.71,20.87,336400,0.0,0
2013-11-27,20.85,21.11,20.47,20.86,244700,0.0,0
2013-11-29,20.91,20.99,20.68,20.96,216000,0.0,0
2013-12-02,20.88,21.23,20.73,21.11,445700,0.0,0
2013-12-03,20.96,21.2,20.89,21.11,194400,0.0,0
2013-12-04,21.0,21.61,20.81,21.52,618200,0.0,0
2013-12-05,21.41,21.54,20.87,21.15,369200,0.0,0
2013-12-06,21.27,21.38,21.01,21.23,415100,0.0,0
2013-12-09,21.2,21.28,21.11,21.26,262000,0.0,0
2013-12-10,21.12,21.22,20.91,21.13,324200,0.0,0
2013-12-11,21.16,21.19,20.72,21.0,488300,0.0,0
2013-12-12,20.91,21.39,20.87,21.19,816900,0.0,0
2013-12-13,21.12,21.45,20.69,20.91,504600,0.0,0
2013-12-16,20.92,21.24,20.6,21.1,314600,0.0,0
2013-12-17,21.0,21.09,20.71,20.81,604000,0.0,0
2013-12-18,20.8,21.1,20.64,21.04,826900,0.0,0
2013-12-19,20.98,21.08,20.71,20.73,355200,0.0,0
2013-12-20,20.68,21.09,20.66,21.02,1035000,0.0,0
2013-12-23,21.09,21.18,20.71,20.95,620700,0.0,0
2013-12-24,21.03,21.39,20.96,21.26,453100,0.0,0
2013-12-26,21.27,21.7,21.25,21.52,359500,0.0,0
2013-12-27,21.59,21.8,21.29,21.61,465800,0.0,0
2013-12-30,21.53,21.93,21.47,21.82,543800,0.0,0
2013-12-31,21.94,22.14,21.56,21.95,379100,0.0,0
2014-01-02,21.95,22.27,21.74,21.97,538900,0.0,0
2014-01-03,22.06,22.2,21.8,21.96,485000,0.0,0
2014-01-06,22.07,22.51,21.43,22.32,666600,0.0,0
2014-01-07,22.33,22.74,22.2,22.53,419000,0.0,0
2014-01-08,22.46,22.76,22.42,22.53,582500,0.0,0
2014-01-09,22.65,23.02,22.57,23.02,453400,0.0,0
2014-01-10,22.93,23.5,22.93,23.38,569400,0.0,0
2014-01-13,23.28,24.04,23.14,23.2,569600,0.0,0
2014-01-14,23.26,23.46,22.94,23.0,581000,0.0,0
2014-01-15,22.96,23.05,22.81,22.98,403100,0.0,0
2014-01-16,22.97,23.07,22.79,22.99,361000,0.0,0
2014-01-17,22.87,23.03,22.7,22.97,252600,0.0,0
2014-01-21,23.14,23.41,22.83,23.3,319700,0.0,0
2014-01-22,23.36,23.64,22.94,23.02,391400,0.0,0
2014-01-23,23.01,23.06,22.71,22.88,382500,0.0,0
2014-01-24,22.77,22.77,22.13,22.2,173200,0.0,0
2014-01-27,22.22,22.97,21.82,21.89,237700,0.0,0
2014-01-28,22.02,22.33,21.74,22.27,207200,0.0,0
2014-01-29,21.98,22.12,21.45,21.59,509500,0.0,0
2014-01-30,21.68,22.17,21.68,22.15,117300,0.0,0
2014-01-31,21.95,22.59,21.89,22.24,141300,0.0,0
2014-02-03,22.24,22.34,21.35,21.69,298900,0.0,0
2014-02-04,21.8,22.16,21.57,21.96,230800,0.0,0
2014-02-05,21.91,22.01,21.7,21.89,207000,0.0,0
2014-02-06,21.9,22.24,21.72,21.99,362700,0.0,0
2014-02-07,22.01,22.25,21.83,22.13,193400,0.0,0
2014-02-10,22.14,22.2,21.74,21.74,220400,0.0,0
2014-02-11,21.74,22.05,21.56,21.69,285900,0.0,0
2014-02-12,21.75,22.5,21.44,22.24,395700,0.0,0
2014-02-13,22.41,23.36,21.72,23.34,406200,0.0,0
2014-02-14,21.75,23.43,21.62,22.84,475400,0.0,0
2014-02-18,22.78,23.45,22.55,23.17,313700,0.0,0
2014-02-19,23.08,23.62,23.08,23.21,278700,0.0,0
2014-02-20,23.15,23.45,23.12,23.27,257700,0.0,0
2014-02-21,23.19,23.27,23.08,23.2,162500,0.043,0
2014-02-24,23.17,23.59,23.12,23.19,120600,0.0,0
2014-02-25,23.1,23.3,22.72,22.86,139100,0.0,0
2014-02-26,22.98,23.44,22.69,23.28,214000,0.0,0
2014-02-27,23.26,24.13,23.26,24.04,226800,0.0,0
2014-02-28,23.99,24.88,23.99,24.63,805300,0.0,0
2014-03-03,24.39,24.63,24.04,24.41,195300,0.0,0
2014-03-04,24.63,24.76,24.38,24.61,180300,0.0,0
2014-03-05,24.71,25.22,24.39,25.13,314300,0.0,0
2014-03-06,25.08,25.38,24.93,25.23,199000,0.0,0
2014-03-07,24.48,24.58,24.04,24.24,3791000,0.0,0
2014-03-10,24.26,24.76,24.01,24.17,497200,0.0,0
2014-03-11,24.71,24.77,23.98,24.09,624800,0.0,0
2014-03-12,24.12,24.15,23.82,23.9,608700,0.0,0
2014-03-13,23.97,24.3,23.31,23.39,424600,0.0,0
2014-03-14,23.32,23.82,22.82,23.34,660500,0.0,0
2014-03-17,23.44,24.02,23.44,23.98,496500,0.0,0
2014-03-18,23.92,24.24,23.71,23.95,354300,0.0,0
2014-03-19,23.85,24.23,23.85,24.0,490600,0.0,0
2014-03-20,23.85,24.3,23.68,23.9,441000,0.0,0
2014-03-21,23.93,24.23,23.65,23.83,1162000,0.0,0
2014-03-24,23.82,24.0,23.67,23.81,750800,0.0,0
2014-03-25,23.88,24.71,23.58,24.71,378800,0.0,0
2014-03-26,24.73,24.95,24.43,24.78,326800,0.0,0
2014-03-27,24.7,24.95,24.48,24.81,381500,0.0,0
2014-03-28,24.99,25.4,24.87,25.14,871000,0.0,0
2014-03-31,25.28,25.91,25.09,25.83,850600,0.0,0
2014-04-01,25.92,26.78,25.88,26.76,1096000,0.0,0
2014-04-02,26.71,26.95,26.44,26.92,404300,0.0,0
2014-04-03,27.01,27.1,26.26,26.41,518100,0.0,0
2014-04-04,26.73,27.21,26.21,26.33,702900,0.0,0
2014-04-07,26.1,26.31,25.74,25.94,468800,0.0,0
2014-04-08,25.89,26.17,25.65,25.76,511500,0.0,0
2014-04-09,25.86,26.7,25.75,26.6,479100,0.0,0
2014-04-10,26.6,27.64,26.19,26.29,973900,0.0,0
2014-04-11,26.1,26.27,25.52,25.78,283000,0.0,0
2014-04-14,26.05,26.21,25.62,25.93,183300,0.0,0
2014-04-15,26.22,26.29,25.81,26.19,306400,0.0,0
2014-04-16,26.35,26.79,26.33,26.69,199000,0.0,0
2014-04-17,26.65,26.83,25.7,26.77,153000,0.0,0
2014-04-21,26.85,27.1,25.13,26.74,457700,0.0,0
2014-04-22,26.79,27.16,25.98,26.98,200500,0.0,0
2014-04-23,27.03,27.03,26.61,26.88,276400,0.0,0
2014-04-24,27.05,27.26,26.61,26.73,433800,0.0,0
2014-04-25,26.67,26.98,25.89,26.21,727600,0.0,0
2014-04-28,26.26,26.46,25.69,26.32,285400,0.0,0
2014-04-29,26.45,26.71,25.92,26.25,220700,0.0,0
2014-04-30,26.3,26.55,26.11,26.54,254200,0.0,0
2014-05-01,26.3,26.89,26.3,26.55,400100,0.0,0
2014-05-02,26.54,26.82,26.28,26.68,236800,0.0,0
