Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.07,19.09,18.73,18.74,3042000,0.0,0.0
2009-12-08,18.7,18.86,18.31,18.72,2340400,0.0,0.0
2009-12-09,18.65,18.75,18.19,18.69,3371600,0.0,0.0
2009-12-10,18.72,18.97,18.7,18.93,1950400,0.0,0.0
2009-12-11,19.02,19.17,18.96,19.14,2957200,0.0,0.0
2009-12-14,19.21,19.34,19.12,19.2,2661200,0.0,0.0
2009-12-15,19.1,19.62,18.97,19.38,3368400,0.0,0.0
2009-12-16,19.39,19.84,19.33,19.83,3602800,0.0,0.0
2009-12-17,19.7,19.79,19.1,19.11,3492000,0.0,0.0
2009-12-18,19.1,19.46,18.98,19.37,5607600,0.0,0.0
2009-12-21,19.41,19.79,19.41,19.58,1802800,0.0,0.0
2009-12-22,19.65,20.41,19.65,20.32,3510400,0.0,0.0
2009-12-23,20.35,20.71,20.35,20.67,3064400,0.0,0.0
2009-12-24,20.68,20.8,20.67,20.8,770800,0.0,0.0
2009-12-28,20.89,21.11,20.86,20.95,1886400,0.0,0.0
2009-12-29,21.0,21.0,20.71,20.83,1484400,0.0,0.0
2009-12-30,20.94,20.99,20.68,20.79,980800,0.0,0.0
2009-12-31,20.89,20.93,20.49,20.5,1789200,0.0,0.0
2010-01-04,20.83,20.99,20.61,20.96,3055200,0.0,0.0
2010-01-05,21.25,22.23,21.14,22.2,7324400,0.0,0.0
2010-01-06,22.39,22.76,22.15,22.43,6844000,0.0,0.0
2010-01-07,22.31,22.63,22.12,22.56,2969200,0.0,0.0
2010-01-08,22.46,22.55,22.23,22.52,3238400,0.0,0.0
2010-01-11,22.43,22.62,21.84,22.06,5187200,0.0,0.0
2010-01-12,21.88,22.06,21.6,21.64,4124800,0.0,0.0
2010-01-13,21.7,22.12,21.39,21.97,3388000,0.0,0.0
2010-01-14,21.82,22.04,21.71,21.94,1802800,0.0,0.0
2010-01-15,21.84,22.06,21.4,21.65,2459600,0.0,0.0
2010-01-19,21.87,22.12,21.64,22.11,2353200,0.0,0.0
2010-01-20,21.88,21.93,21.09,21.59,3566800,0.0,0.0
2010-01-21,21.82,21.82,21.15,21.21,3677600,0.0,0.0
2010-01-22,21.21,21.28,20.7,20.77,3095600,0.0,0.0
2010-01-25,20.67,20.95,20.5,20.61,2485200,0.0,0.0
2010-01-26,20.48,20.79,20.27,20.53,2797200,0.0,0.0
2010-01-27,20.58,20.7,20.2,20.52,2182400,0.0,0.0
2010-01-28,20.51,20.76,19.85,19.96,2824000,0.0,0.0
2010-01-29,19.96,20.0,18.81,18.82,6840800,0.0,0.0
2010-02-01,18.92,19.68,18.5,19.32,5991200,0.0,0.0
2010-02-02,19.34,19.69,19.25,19.62,2814000,0.0,0.0
2010-02-03,19.46,19.53,19.03,19.19,3334400,0.0,0.0
2010-02-04,18.91,19.04,18.78,18.83,2942000,0.0,0.0
