Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.99,11.59,10.99,11.42,9205000,0.0,0.0
2009-12-08,11.38,11.47,10.92,10.93,10692500,0.0,0.0
2009-12-09,11.03,11.15,10.89,11.04,6227500,0.0,0.0
2009-12-10,11.12,11.3,11.02,11.26,6164000,0.0,0.0
2009-12-11,11.32,11.47,11.27,11.47,5065000,0.0,0.0
2009-12-14,11.51,11.66,11.33,11.44,5062000,0.0,0.0
2009-12-15,11.39,11.61,11.19,11.25,6813000,0.0,0.0
2009-12-16,11.39,11.85,11.37,11.8,12249000,0.0,0.0
2009-12-17,11.62,11.71,11.25,11.26,8233500,0.0,0.0
2009-12-18,11.31,11.42,10.98,11.02,7432000,0.0,0.0
2009-12-21,11.19,11.36,10.86,10.9,5708000,0.0,0.0
2009-12-22,10.87,11.06,10.76,11.02,7683000,0.0,0.0
2009-12-23,11.17,11.44,11.04,11.31,6701500,0.0,0.0
2009-12-24,11.34,11.49,11.34,11.37,1760500,0.0,0.0
2009-12-28,11.47,11.89,11.43,11.84,5439500,0.0,0.0
2009-12-29,11.83,11.92,11.77,11.89,7057000,0.0,0.0
2009-12-30,11.8,11.88,11.69,11.75,2704500,0.0,0.0
2009-12-31,11.81,11.81,11.57,11.57,5528000,0.0,0.0
2010-01-04,11.78,11.79,11.54,11.71,6172000,0.0,0.0
2010-01-05,11.75,12.03,11.75,11.9,6662500,0.0,0.0
2010-01-06,11.95,12.4,11.92,12.39,6479000,0.0,0.0
2010-01-07,12.36,12.36,12.12,12.27,7292000,0.0,0.0
2010-01-08,12.24,12.53,12.24,12.53,6128500,0.0,0.0
2010-01-11,12.73,13.12,12.45,12.52,10515500,0.0,0.0
2010-01-12,12.35,12.37,11.94,12.07,8983000,0.0,0.0
2010-01-13,12.17,12.19,11.89,12.1,5108000,0.0,0.0
2010-01-14,12.12,12.19,11.87,11.88,6146500,0.0,0.0
2010-01-15,12.65,12.67,12.13,12.16,27350500,0.0,0.0
2010-01-19,12.25,12.88,12.13,12.82,9930000,0.0,0.0
2010-01-20,12.65,12.7,12.43,12.62,6307500,0.0,0.0
2010-01-21,12.64,12.92,12.43,12.52,6387500,0.0,0.0
2010-01-22,12.45,12.59,12.24,12.25,4556000,0.0,0.0
2010-01-25,12.4,12.55,12.24,12.26,3174500,0.0,0.0
2010-01-26,12.16,12.55,12.05,12.26,3740500,0.0,0.0
2010-01-27,12.29,12.37,12.12,12.29,2439000,0.0,0.0
2010-01-28,12.19,12.26,11.97,12.15,3523500,0.0,0.0
2010-01-29,12.3,12.36,11.84,11.84,4284500,0.0,0.0
2010-02-01,11.98,12.23,11.87,12.15,4984000,0.0,0.0
2010-02-02,12.16,12.32,12.04,12.27,2795000,0.0,0.0
2010-02-03,12.48,12.52,12.33,12.38,2123500,0.0,0.0
2010-02-04,12.29,12.29,11.86,11.93,4462500,0.0,0.0
2010-02-05,11.88,12.08,11.7,12.01,4237000,0.0,0.0
2010-02-08,12.2,12.2,11.77,11.77,2869000,0.0,0.0
2010-02-09,11.93,12.29,11.92,12.21,4521500,0.0,0.0
