Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.29,11.3,11.15,11.22,2477200,0.0,0.0
2009-12-08,11.19,11.2,11.06,11.11,1425600,0.0,0.0
2009-12-09,11.18,11.32,11.12,11.25,2304800,0.0,0.0
2009-12-10,11.26,11.33,11.09,11.23,3728800,0.0,0.0
2009-12-11,11.26,11.39,11.16,11.19,2287200,0.0,0.0
2009-12-14,11.26,11.29,11.2,11.21,1346800,0.0,0.0
2009-12-15,11.23,11.25,11.04,11.12,3031600,0.0,0.0
2009-12-16,11.13,11.16,10.97,10.99,2039600,0.0,0.0
2009-12-17,10.98,10.98,10.77,10.81,2697200,0.0,0.0
2009-12-18,10.83,10.84,10.69,10.76,3323600,0.0,0.0
2009-12-21,10.86,11.3,10.84,11.28,11980400,0.0,0.0
2009-12-22,11.27,11.39,11.19,11.37,3682000,0.0,0.0
2009-12-23,11.33,11.52,11.29,11.5,3039200,0.0,0.0
2009-12-24,11.51,11.56,11.43,11.5,1036800,0.0,0.0
2009-12-28,11.49,11.55,11.47,11.51,1454800,0.0,0.0
2009-12-29,11.55,11.6,11.45,11.49,1406400,0.0,0.0
2009-12-30,11.44,11.52,11.36,11.38,836800,0.0,0.0
2009-12-31,11.38,11.41,11.24,11.24,1068000,0.0,0.0
2010-01-04,11.26,11.4,11.23,11.4,2232400,0.0,0.0
2010-01-05,11.37,11.47,11.16,11.25,1936000,0.0,0.0
2010-01-06,11.26,11.32,11.17,11.3,2628400,0.0,0.0
2010-01-07,11.24,11.3,11.13,11.17,2211200,0.0,0.0
2010-01-08,11.12,11.21,11.08,11.15,1773200,0.0,0.0
2010-01-11,11.14,11.19,10.98,11.1,1963600,0.0,0.0
2010-01-12,11.05,11.39,11.05,11.38,2563200,0.0,0.0
2010-01-13,11.37,11.54,11.36,11.53,2070000,0.0,0.0
2010-01-14,11.49,11.69,11.46,11.62,3110800,0.0,0.0
2010-01-15,11.64,11.77,11.61,11.68,2657600,0.0,0.0
2010-01-19,11.68,11.91,11.65,11.79,3658800,0.0,0.0
2010-01-20,11.77,11.8,11.65,11.78,2292400,0.0,0.0
2010-01-21,11.76,11.86,11.45,11.56,2924400,0.0,0.0
2010-01-22,11.61,11.69,11.46,11.47,2052000,0.0,0.0
2010-01-25,11.51,11.52,11.35,11.37,1582400,0.0,0.0
2010-01-26,11.38,11.42,11.27,11.33,1756000,0.0,0.0
2010-01-27,11.35,11.41,11.25,11.33,924000,0.0,0.0
2010-01-28,11.36,11.53,11.3,11.32,1207200,0.0,0.0
2010-01-29,11.4,11.43,11.18,11.21,1705600,0.0,0.0
2010-02-01,11.24,11.32,11.14,11.19,1858800,0.0,0.0
2010-02-02,11.24,11.56,11.21,11.55,1484000,0.0,0.0
2010-02-03,11.55,11.59,11.45,11.51,1186800,0.0,0.0
2010-02-04,11.47,11.51,11.31,11.32,1318800,0.0,0.0
2010-02-05,11.29,11.41,11.21,11.36,2270800,0.0,0.0
2010-02-08,11.43,11.52,11.34,11.36,2469600,0.14,0.0
2010-02-09,11.52,12.02,11.41,11.96,5662800,0.0,0.0
2010-02-10,11.97,12.07,11.77,11.84,1912000,0.0,0.0
2010-02-11,11.86,12.07,11.86,12.07,2087200,0.0,0.0
2010-02-12,12.03,12.08,11.91,12.07,1673200,0.0,0.0
2010-02-16,12.1,12.13,11.99,12.09,1446000,0.0,0.0
2010-02-17,12.13,12.18,12.03,12.17,1390400,0.0,0.0
2010-02-18,12.16,12.36,12.09,12.35,1573200,0.0,0.0
2010-02-19,12.31,12.37,12.26,12.36,1686400,0.0,0.0
2010-02-22,12.4,12.45,12.28,12.42,2188000,0.0,0.0
2010-02-23,12.39,12.46,12.27,12.37,1650000,0.0,0.0
2010-02-24,12.4,12.64,12.35,12.64,2504400,0.0,0.0
2010-02-25,12.55,12.73,12.45,12.65,3416000,0.0,0.0
2010-02-26,12.67,12.67,12.54,12.6,2052400,0.0,0.0
2010-03-01,12.62,12.65,12.56,12.61,1752000,0.0,0.0
2010-03-02,12.66,12.71,12.59,12.68,1458000,0.0,0.0
2010-03-03,12.65,12.69,12.5,12.54,1451600,0.0,0.0
2010-03-04,12.54,12.57,12.46,12.55,1391200,0.0,0.0
2010-03-05,12.6,12.67,12.51,12.61,1087200,0.0,0.0
2010-03-08,12.58,12.68,12.58,12.66,1484400,0.0,0.0
2010-03-09,12.67,12.68,12.6,12.64,1233200,0.0,0.0
