Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,46.16,46.33,45.51,45.83,1222700,0.0,0
2009-12-08,45.72,46.19,45.29,45.95,1244700,0.0,0
2009-12-09,45.76,46.07,45.37,45.99,923400,0.0,0
2009-12-10,46.02,46.37,45.92,46.17,864300,0.0,0
2009-12-11,46.42,46.71,46.14,46.5,1065300,0.0,0
2009-12-14,46.57,47.34,46.56,47.25,1240100,0.0,0
2009-12-15,47.01,48.22,46.75,47.79,1940500,0.0,0
2009-12-16,47.86,48.21,47.41,47.5,1186800,0.0,0
2009-12-17,47.1,47.24,46.14,46.25,3059400,0.0,0
2009-12-18,46.61,47.15,46.19,46.57,2016200,0.0,0
2009-12-21,46.85,47.46,46.65,46.94,824300,0.0,0
2009-12-22,46.99,47.12,46.72,46.97,732500,0.0,0
2009-12-23,47.03,47.11,46.44,46.85,644100,0.0,0
2009-12-24,47.0,47.17,46.57,47.06,241800,0.0,0
2009-12-28,47.22,47.36,46.84,47.26,556200,0.0,0
2009-12-29,47.4,47.72,47.18,47.63,857500,0.0,0
2009-12-30,48.01,48.02,47.54,47.8,656300,0.0,0
2009-12-31,47.71,47.72,47.0,47.0,811700,0.0,0
2010-01-04,47.4,47.74,47.17,47.49,822900,0.0,0
2010-01-05,47.36,47.61,45.93,46.51,2352700,0.0,0
2010-01-06,46.27,46.41,45.78,45.89,1685500,0.0,0
2010-01-07,45.68,45.73,44.96,45.45,1939600,0.0,0
2010-01-08,45.38,46.11,45.3,46.06,1332500,0.0,0
2010-01-11,46.02,46.35,45.79,46.19,1227300,0.0,0
2010-01-12,45.99,46.13,45.45,45.61,1425700,0.0,0
2010-01-13,45.62,45.99,45.09,45.87,1513300,0.0,0
2010-01-14,45.63,46.32,45.63,46.11,818100,0.0,0
2010-01-15,46.03,46.51,45.8,46.19,1592400,0.0,0
2010-01-19,46.18,46.8,46.13,46.52,1061200,0.0,0
2010-01-20,46.04,46.3,45.53,46.24,1157700,0.0,0
2010-01-21,46.17,46.72,45.6,46.12,1659200,0.0,0
2010-01-22,46.19,46.54,45.81,45.9,1558100,0.0,0
2010-01-25,46.01,46.3,45.45,45.99,1167300,0.0,0
2010-01-26,45.77,46.09,45.57,45.7,1347100,0.0,0
2010-01-27,45.48,46.1,45.31,45.99,881300,0.0,0
2010-01-28,46.13,46.13,44.98,45.25,1173200,0.0,0
2010-01-29,45.36,45.84,45.32,45.32,1527800,0.0,0
2010-02-01,45.49,46.14,45.37,45.94,981500,0.0,0
2010-02-02,45.81,46.05,45.36,45.95,1470300,0.0,0
2010-02-03,42.29,43.52,41.22,42.85,8727300,0.0,0
2010-02-04,42.67,43.18,42.15,42.62,3974300,0.0,0
2010-02-05,42.55,43.28,40.94,41.97,2833000,0.0,0
2010-02-08,42.14,42.39,41.62,41.68,2046300,0.0,0
2010-02-09,42.13,42.96,41.7,42.15,2709800,0.0,0
2010-02-10,41.62,42.03,41.06,41.49,1904200,0.0,0
2010-02-11,41.32,42.66,41.18,42.5,2533300,0.0,0
2010-02-12,41.99,42.18,41.36,41.71,2414800,0.0,0
2010-02-16,41.93,42.65,41.93,42.22,1511000,0.0,0
2010-02-17,42.46,42.76,42.07,42.42,1345300,0.0,0
2010-02-18,42.46,42.48,42.23,42.34,1032000,0.0,0
2010-02-19,42.24,43.19,42.24,42.82,1768100,0.0,0
2010-02-22,43.03,43.47,42.67,43.35,1625500,0.0,0
2010-02-23,43.41,43.62,42.53,42.87,2650100,0.0,0
2010-02-24,43.22,43.41,42.67,42.96,1822500,0.0,0
2010-02-25,42.42,42.85,42.02,42.81,1612200,0.0,0
2010-02-26,42.81,42.87,42.18,42.68,1701400,0.0,0
2010-03-01,42.65,50.94,42.43,42.87,2163600,0.0,0
2010-03-02,42.82,43.01,42.55,42.59,1597700,0.0,0
2010-03-03,42.47,42.68,42.12,42.19,2205500,0.25,0
2010-03-04,42.38,42.55,42.01,42.35,1610000,0.0,0
2010-03-05,42.36,42.92,42.35,42.82,1621000,0.0,0
2010-03-08,43.46,43.5,42.86,42.87,1488500,0.0,0
2010-03-09,42.82,43.07,42.63,42.93,1060200,0.0,0
2010-03-10,43.04,43.48,42.69,43.16,1695600,0.0,0
2010-03-11,42.91,43.14,42.65,42.99,1975500,0.0,0
2010-03-12,43.08,43.48,42.71,43.32,1710800,0.0,0
2010-03-15,43.4,43.61,42.98,43.33,1651000,0.0,0
