Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,44.75,45.04,43.34,43.53,2754000,0.0,0.0
2009-12-08,43.2,43.51,42.98,43.11,3657000,0.23,0.0
2009-12-09,43.08,44.28,42.68,43.96,2789500,0.0,0.0
2009-12-10,43.99,44.58,43.74,44.25,3810000,0.0,0.0
2009-12-11,44.77,45.16,44.29,45.09,3481500,0.0,0.0
2009-12-14,44.96,45.4,44.76,44.94,1537000,0.0,0.0
2009-12-15,44.74,44.89,44.46,44.7,1653500,0.0,0.0
2009-12-16,44.44,44.93,44.11,44.61,3459500,0.0,0.0
2009-12-17,44.26,44.93,43.8,43.8,2219000,0.0,0.0
2009-12-18,44.09,44.2,43.22,43.79,3283500,0.0,0.0
2009-12-21,43.67,44.04,43.5,43.77,1508500,0.0,0.0
2009-12-22,43.86,44.26,43.73,44.18,2291000,0.0,0.0
2009-12-23,44.19,44.33,43.86,44.26,1634000,0.0,0.0
2009-12-24,44.27,44.69,44.23,44.69,633000,0.0,0.0
2009-12-28,44.74,45.87,44.74,45.83,2446000,0.0,0.0
2009-12-29,45.82,46.38,45.32,45.67,1936000,0.0,0.0
2009-12-30,45.38,45.85,45.12,45.66,1450500,0.0,0.0
2009-12-31,45.87,45.93,45.34,45.34,1434000,0.0,0.0
2010-01-04,45.68,46.35,45.55,46.21,2660500,0.0,0.0
2010-01-05,45.94,46.46,45.61,46.17,2835000,0.0,0.0
2010-01-06,45.95,46.15,45.62,45.86,2522500,0.0,0.0
2010-01-07,45.81,46.17,45.63,45.91,2940500,0.0,0.0
2010-01-08,45.8,47.24,45.57,47.14,4470500,0.0,0.0
2010-01-11,47.25,47.64,46.72,47.13,2242500,0.0,0.0
2010-01-12,47.07,47.41,46.06,46.18,2433000,0.0,0.0
2010-01-13,46.35,46.49,45.14,46.32,3101000,0.0,0.0
2010-01-14,46.15,46.45,45.88,46.12,1585500,0.0,0.0
2010-01-15,46.12,46.29,45.48,45.51,2306500,0.0,0.0
2010-01-19,45.49,46.03,45.16,45.64,2519000,0.0,0.0
2010-01-20,45.03,45.34,44.29,44.53,3049500,0.0,0.0
2010-01-21,44.62,44.62,41.28,41.97,9080000,0.0,0.0
2010-01-22,41.59,42.91,41.59,42.12,5768500,0.0,0.0
2010-01-25,42.7,42.92,41.37,41.43,3680000,0.0,0.0
2010-01-26,40.66,40.7,38.6,38.62,6832500,0.0,0.0
2010-01-27,38.81,39.88,38.27,39.72,6649000,0.0,0.0
2010-01-28,40.28,40.49,39.04,39.21,5256500,0.0,0.0
