Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.93,9.09,8.93,9.02,2820500,0.0,0
2009-12-08,9.0,9.07,8.9,9.02,2615300,0.0,0
2009-12-09,9.03,9.06,8.96,9.03,2577600,0.0,0
2009-12-10,9.09,9.19,9.06,9.1,4618400,0.0,0
2009-12-11,9.14,9.42,9.09,9.39,5022400,0.0,0
2009-12-14,9.49,9.51,9.44,9.47,3078600,0.0,0
2009-12-15,9.48,9.49,9.39,9.44,3247400,0.0,0
2009-12-16,9.45,9.51,9.41,9.48,4610500,0.0,0
2009-12-17,9.44,9.51,9.37,9.4,3115100,0.0,0
2009-12-18,9.45,9.53,9.37,9.46,5460000,0.0,0
2009-12-21,9.52,9.57,9.42,9.52,4445100,0.0,0
2009-12-22,9.55,9.59,9.5,9.55,2971000,0.0,0
2009-12-23,9.56,9.59,9.51,9.55,3649000,0.0,0
2009-12-24,9.57,9.61,9.55,9.6,1247500,0.0,0
2009-12-28,9.63,9.63,9.57,9.63,1865700,0.0,0
2009-12-29,9.63,9.66,9.58,9.59,1705500,0.0,0
2009-12-30,9.55,9.61,9.51,9.55,1730100,0.0,0
2009-12-31,9.51,9.57,9.42,9.43,3111300,0.0,0
2010-01-04,9.48,9.52,9.42,9.44,2239700,0.0,0
2010-01-05,9.46,9.5,9.29,9.37,4227100,0.0,0
2010-01-06,9.39,9.39,9.22,9.27,5716100,0.0,0
2010-01-07,9.29,9.37,9.16,9.37,5962900,0.0,0
2010-01-08,9.31,9.35,9.22,9.25,4050400,0.0,0
2010-01-11,9.29,9.32,9.24,9.32,2175000,0.0,0
2010-01-12,9.31,9.54,9.31,9.38,4563400,0.0,0
2010-01-13,9.37,9.46,9.34,9.46,2294300,0.0,0
2010-01-14,9.47,9.51,9.37,9.5,2262200,0.0,0
2010-01-15,9.46,9.51,9.33,9.5,3405900,0.0,0
2010-01-19,9.51,9.68,9.5,9.63,3809100,0.0,0
2010-01-20,9.59,9.68,9.5,9.66,3133200,0.0,0
2010-01-21,9.64,9.68,9.38,9.46,5705400,0.0,0
2010-01-22,9.43,9.46,9.22,9.23,3879300,0.0,0
2010-01-25,9.33,9.37,9.23,9.31,3653400,0.0,0
2010-01-26,9.29,9.31,9.22,9.23,4317600,0.0,0
2010-01-27,9.27,9.27,9.03,9.15,4590200,0.0,0
2010-01-28,9.17,9.24,8.99,9.16,5906400,0.0,0
2010-01-29,9.17,9.25,9.05,9.07,3918700,0.0,0
2010-02-01,9.11,9.29,9.03,9.27,4989400,0.0,0
2010-02-02,9.29,9.42,9.18,9.4,4657100,0.0,0
2010-02-03,9.38,9.42,9.31,9.35,3609700,0.0,0
2010-02-04,9.31,9.35,9.03,9.03,5717500,0.0,0
2010-02-05,9.02,9.09,8.92,9.05,5084400,0.0,0
2010-02-08,9.09,9.1,8.93,8.94,4410200,0.0,0
2010-02-09,9.03,9.21,8.97,9.11,5162600,0.0,0
2010-02-10,9.11,9.13,8.91,8.99,4420100,0.0,0
2010-02-11,9.01,9.08,8.89,9.06,3952900,0.195,0
2010-02-12,8.99,9.03,8.91,9.0,5529300,0.0,0
2010-02-16,9.03,9.22,9.03,9.2,2975400,0.0,0
2010-02-17,9.2,9.29,9.2,9.27,3407200,0.0,0
2010-02-18,9.26,9.49,9.23,9.49,5963400,0.0,0
2010-02-19,9.45,9.62,9.38,9.58,4373100,0.0,0
2010-02-22,9.58,9.63,9.5,9.53,2310200,0.0,0
2010-02-23,9.49,9.54,9.41,9.43,2839400,0.0,0
2010-02-24,9.44,9.47,9.22,9.37,3171800,0.0,0
2010-02-25,9.26,9.33,9.2,9.29,4075600,0.0,0
2010-02-26,9.26,9.26,8.81,8.82,12626900,0.0,0
2010-03-01,8.88,9.02,8.88,8.97,6794300,0.0,0
2010-03-02,9.0,9.17,9.0,9.12,3806900,0.0,0
2010-03-03,9.18,9.2,9.06,9.08,3725200,0.0,0
2010-03-04,9.12,9.24,9.07,9.24,3937800,0.0,0
2010-03-05,9.24,9.33,9.23,9.24,4250700,0.0,0
2010-03-08,9.24,9.35,9.24,9.33,2968600,0.0,0
2010-03-09,9.33,9.38,9.26,9.3,2637700,0.0,0
2010-03-10,9.32,9.33,9.24,9.31,2848000,0.0,0
2010-03-11,9.34,9.41,9.29,9.41,1936000,0.0,0
2010-03-12,9.45,9.49,9.33,9.39,1616900,0.0,0
2010-03-15,9.39,9.44,9.29,9.38,2251500,0.0,0
2010-03-16,9.37,9.53,9.33,9.51,2335200,0.0,0
2010-03-17,9.56,9.57,9.5,9.53,2584700,0.0,0
2010-03-18,9.57,9.57,9.45,9.5,1757500,0.0,0
2010-03-19,9.51,9.57,9.45,9.51,4085700,0.0,0
2010-03-22,9.48,9.52,9.41,9.41,3552600,0.0,0
2010-03-23,9.41,9.46,9.37,9.43,3383500,0.0,0
2010-03-24,9.39,9.46,9.34,9.35,2031800,0.0,0
2010-03-25,9.38,9.42,9.31,9.31,1783400,0.0,0
2010-03-26,9.37,9.41,9.27,9.35,3173100,0.0,0
2010-03-29,9.39,9.56,9.35,9.54,3443400,0.0,0
2010-03-30,9.51,9.56,9.44,9.52,3417800,0.0,0
2010-03-31,9.47,9.56,9.43,9.47,3647700,0.0,0
2010-04-01,9.47,9.64,9.47,9.56,4110900,0.0,0
2010-04-05,9.6,9.68,9.56,9.65,2402600,0.0,0
2010-04-06,9.62,9.74,9.6,9.72,3617400,0.0,0
2010-04-07,9.73,9.73,9.5,9.54,4859500,0.0,0
2010-04-08,9.48,9.55,9.43,9.47,2889400,0.0,0
2010-04-09,9.53,9.6,9.43,9.56,2459700,0.0,0
2010-04-12,9.61,9.64,9.56,9.58,2088700,0.0,0
2010-04-13,9.59,9.61,9.49,9.56,1615300,0.0,0
2010-04-14,9.56,9.59,9.46,9.57,1372100,0.0,0
2010-04-15,9.6,9.64,9.56,9.64,1575100,0.0,0
2010-04-16,9.62,9.65,9.41,9.44,2913700,0.0,0
