Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,32.96,33.09,31.85,32.09,6072400,0.0,0
2009-12-08,31.7,32.32,31.67,32.21,5558700,0.0,0
2009-12-09,32.21,33.22,32.11,33.07,6277800,0.0,0
2009-12-10,33.14,33.72,32.92,33.17,5014200,0.0,0
2009-12-11,33.32,34.67,33.27,34.6,6688000,0.0,0
2009-12-14,34.74,35.3,34.39,35.16,4888300,0.0,0
2009-12-15,34.67,35.12,34.12,34.34,5892600,0.0,0
2009-12-16,34.56,34.93,34.3,34.43,4677500,0.0,0
2009-12-17,34.18,34.35,32.94,33.02,6825000,0.0,0
2009-12-18,33.23,33.84,33.05,33.83,9309700,0.0,0
2009-12-21,34.09,34.23,33.53,33.54,4021600,0.0,0
2009-12-22,33.51,33.6,32.98,33.04,3350500,0.0,0
2009-12-23,33.09,33.28,32.51,32.75,3078800,0.0,0
2009-12-24,32.76,33.57,32.65,33.31,1615800,0.0,0
2009-12-28,33.51,33.6,32.87,33.01,1893500,0.0,0
2009-12-29,33.17,33.45,32.94,32.99,2160700,0.0,0
2009-12-30,32.77,32.88,32.47,32.76,1780500,0.0,0
2009-12-31,32.86,33.29,32.82,32.84,2714300,0.0,0
2010-01-04,33.11,33.53,33.02,33.45,4447400,0.0,0
2010-01-05,33.94,34.8,33.94,34.77,8029400,0.0,0
2010-01-06,34.56,35.09,34.43,34.96,5819000,0.0,0
2010-01-07,34.85,36.93,34.77,36.69,7885800,0.0,0
2010-01-08,36.34,36.99,35.98,36.37,6929600,0.0,0
2010-01-11,36.67,36.82,35.7,35.72,5299100,0.0,0
2010-01-12,35.53,36.15,35.39,35.85,6491900,0.0,0
2010-01-13,35.56,36.18,34.88,36.08,6079100,0.0,0
2010-01-14,35.81,36.06,35.37,35.69,4302700,0.0,0
2010-01-15,35.39,36.07,35.03,35.23,7222400,0.0,0
2010-01-19,35.09,36.91,34.96,36.84,7769600,0.0,0
2010-01-20,36.58,37.35,36.25,36.85,7280300,0.0,0
2010-01-21,36.71,37.29,35.5,36.57,11787800,0.0,0
2010-01-22,34.94,35.02,31.96,32.15,22018900,0.0,0
2010-01-25,32.82,32.85,30.54,30.93,17531700,0.0,0
2010-01-26,30.8,31.44,30.11,30.16,13500900,0.0,0
2010-01-27,30.24,31.57,29.68,31.31,11448100,0.0,0
2010-01-28,31.27,31.89,30.63,31.47,10454200,0.0,0
2010-01-29,32.33,32.46,31.44,31.57,8555700,0.0,0
2010-02-01,31.56,32.0,31.24,31.5,8417200,0.0,0
2010-02-02,32.09,32.93,31.62,32.06,9958800,0.0,0
2010-02-03,31.82,31.98,31.16,31.31,5430300,0.0,0
2010-02-04,30.99,31.13,29.85,29.94,9094100,0.0,0
2010-02-05,30.07,30.44,29.15,30.29,8869700,0.0,0
2010-02-08,30.33,30.63,29.64,29.66,4895000,0.0,0
2010-02-09,30.12,30.93,29.86,30.26,5409000,0.0,0
2010-02-10,30.22,30.89,30.0,30.5,4672500,0.05,0
2010-02-11,30.45,30.77,29.88,30.57,4801100,0.0,0
2010-02-12,30.11,30.35,29.75,30.14,7013900,0.0,0
2010-02-16,31.04,31.66,30.84,31.51,8239700,0.0,0
2010-02-17,31.72,31.99,31.27,31.61,6431600,0.0,0
2010-02-18,31.4,32.2,31.4,32.02,5329000,0.0,0
2010-02-19,31.97,32.47,31.62,32.41,6076100,0.0,0
2010-02-22,32.51,33.05,32.32,32.83,6873200,0.0,0
2010-02-23,32.68,32.91,31.59,31.76,7199000,0.0,0
2010-02-24,31.91,32.33,31.66,32.29,4333100,0.0,0
2010-02-25,31.76,32.11,31.22,32.05,5267200,0.0,0
2010-02-26,32.04,32.53,31.77,32.38,3824400,0.0,0
2010-03-01,32.54,32.65,31.93,32.06,4418400,0.0,0
2010-03-02,32.18,32.88,32.14,32.58,3617600,0.0,0
2010-03-03,32.63,33.25,32.13,32.39,5416800,0.0,0
2010-03-04,32.15,32.21,31.38,31.6,9498300,0.0,0
2010-03-05,31.31,32.64,31.01,32.54,10041300,0.0,0
2010-03-08,32.65,32.82,32.22,32.47,4008100,0.0,0
2010-03-09,32.32,33.56,32.17,33.16,6799200,0.0,0
2010-03-10,33.39,34.02,33.23,33.53,5789000,0.0,0
2010-03-11,33.44,34.18,33.24,34.15,4837100,0.0,0
2010-03-12,34.21,34.95,33.85,34.22,6531300,0.0,0
2010-03-15,34.22,34.68,33.41,34.29,7799500,0.0,0
2010-03-16,34.53,34.67,33.68,34.64,7872500,0.0,0
2010-03-17,34.83,35.09,34.28,34.52,5605800,0.0,0
2010-03-18,34.48,35.1,34.34,35.03,5476600,0.0,0
2010-03-19,34.11,35.37,34.1,34.11,7784600,0.0,0
2010-03-22,33.77,34.9,33.74,34.83,6350100,0.0,0
2010-03-23,34.82,35.27,34.57,35.09,4431200,0.0,0
2010-03-24,34.99,35.71,34.88,35.39,5131100,0.0,0
2010-03-25,35.65,36.7,35.65,36.07,6346700,0.0,0
2010-03-26,36.27,36.74,35.71,35.96,4469800,0.0,0
2010-03-29,36.32,36.67,35.85,36.58,4870100,0.0,0
2010-03-30,36.58,36.88,35.92,35.96,4641700,0.0,0
2010-03-31,35.63,35.88,35.29,35.52,5263600,0.0,0
2010-04-01,35.84,35.91,35.33,35.66,3969600,0.0,0
2010-04-05,35.91,37.06,35.7,37.01,5690200,0.0,0
2010-04-06,36.82,37.21,36.63,37.11,5765000,0.0,0
2010-04-07,36.9,37.47,36.66,37.01,6164700,0.0,0
2010-04-08,36.69,37.87,36.69,37.73,5279600,0.0,0
2010-04-09,37.82,38.1,37.26,37.62,3445300,0.0,0
2010-04-12,37.66,38.9,37.66,38.75,7029300,0.0,0
2010-04-13,38.72,38.77,38.18,38.56,4524600,0.0,0
2010-04-14,39.12,39.8,37.97,39.51,9193800,0.0,0
2010-04-15,39.68,39.72,38.62,38.73,8515100,0.0,0
2010-04-16,38.66,39.0,36.73,37.3,11226500,0.0,0
2010-04-19,36.97,37.59,36.63,37.58,5967800,0.0,0
2010-04-20,37.86,38.26,37.49,38.24,4244500,0.0,0
2010-04-21,38.24,38.65,37.83,38.38,5103100,0.0,0
2010-04-22,37.84,39.33,37.76,39.07,6261000,0.0,0
2010-04-23,40.94,40.94,38.77,40.08,10853300,0.0,0
2010-04-26,39.95,40.18,38.72,38.8,7297000,0.0,0
2010-04-27,38.54,39.05,36.98,37.13,9433300,0.0,0
2010-04-28,37.58,38.17,37.31,37.63,5385000,0.0,0
2010-04-29,38.06,38.87,37.9,38.49,5672400,0.0,0
2010-04-30,38.35,38.69,37.14,37.24,5548900,0.0,0
2010-05-03,37.51,39.77,37.51,39.57,7934900,0.0,0
2010-05-04,38.92,39.46,38.08,38.5,7506300,0.0,0
2010-05-05,37.86,39.11,37.46,37.95,7756600,0.0,0
2010-05-06,37.68,39.11,34.74,36.99,12246700,0.0,0
2010-05-07,36.97,37.56,35.18,36.19,11128800,0.05,0
2010-05-10,37.88,38.97,37.31,37.96,7256800,0.0,0
2010-05-11,37.28,39.31,37.17,38.45,8386400,0.0,0
2010-05-12,38.94,40.17,38.28,40.03,7920700,0.0,0
2010-05-13,39.5,39.61,38.56,38.57,6457100,0.0,0
2010-05-14,37.08,37.32,36.16,36.72,12583000,0.0,0
2010-05-17,37.19,37.6,35.09,36.59,11841200,0.0,0
2010-05-18,37.11,37.11,34.89,35.7,12251600,0.0,0
2010-05-19,35.46,37.12,35.36,36.39,12229400,0.0,0
2010-05-20,35.75,37.56,35.46,35.49,15338500,0.0,0
2010-05-21,34.73,36.1,34.57,35.9,12224200,0.0,0
2010-05-24,36.02,36.45,35.09,35.14,5806800,0.0,0
2010-05-25,34.25,35.01,33.56,34.91,8865700,0.0,0
2010-05-26,35.47,35.87,34.36,34.62,6128100,0.0,0
2010-05-27,35.46,36.31,35.27,36.25,4279700,0.0,0
2010-05-28,36.1,36.39,35.12,35.47,4296500,0.0,0
2010-06-01,34.95,35.72,34.74,34.76,4489400,0.0,0
2010-06-02,35.08,35.9,34.52,35.85,5016200,0.0,0
2010-06-03,35.84,36.01,35.01,35.37,5143500,0.0,0
2010-06-04,34.45,34.93,33.52,33.76,7139100,0.0,0
2010-06-07,34.05,34.53,32.94,33.06,5730100,0.0,0
2010-06-08,33.31,33.58,32.38,33.5,7268300,0.0,0
2010-06-09,33.77,33.96,32.49,32.65,7365000,0.0,0
2010-06-10,33.38,34.49,33.12,34.41,6751300,0.0,0
2010-06-11,33.81,34.69,33.77,34.57,6717300,0.0,0
2010-06-14,34.99,35.17,34.41,34.75,5784900,0.0,0
2010-06-15,34.96,36.6,34.93,36.52,8835500,0.0,0
2010-06-16,36.16,36.79,35.96,36.5,6302100,0.0,0
2010-06-17,36.57,36.58,35.96,36.39,5387200,0.0,0
2010-06-18,36.49,36.7,36.16,36.62,4783100,0.0,0
2010-06-21,37.11,37.95,37.04,37.21,6816800,0.0,0
2010-06-22,37.25,38.45,36.94,37.48,7245400,0.0,0
2010-06-23,37.31,37.72,36.74,37.13,5154800,0.0,0
2010-06-24,36.83,37.5,36.54,36.73,6763400,0.0,0
2010-06-25,37.01,37.43,36.21,37.3,6294300,0.0,0
2010-06-28,37.4,37.44,36.63,36.87,3794100,0.0,0
2010-06-29,36.27,36.47,34.8,35.05,7043400,0.0,0
2010-06-30,35.05,35.66,34.48,34.61,5451800,0.0,0
2010-07-01,34.56,35.02,33.2,33.99,7863600,0.0,0
2010-07-02,34.37,34.45,33.15,33.86,4247100,0.0,0
2010-07-06,34.28,35.17,33.53,33.98,4988900,0.0,0
2010-07-07,34.26,36.22,34.26,36.14,6920000,0.0,0
2010-07-08,36.63,37.1,35.97,36.74,4933200,0.0,0
2010-07-09,36.7,37.62,36.51,37.51,4075800,0.0,0
2010-07-12,37.22,37.59,36.97,37.51,2860600,0.0,0
2010-07-13,38.01,38.82,37.73,38.64,5787000,0.0,0
2010-07-14,38.31,38.32,37.65,38.24,4540300,0.0,0
2010-07-15,38.21,38.21,36.3,37.15,9129500,0.0,0
2010-07-16,36.62,36.69,35.45,35.6,7639100,0.0,0
2010-07-19,35.73,35.9,34.85,35.2,4799000,0.0,0
2010-07-20,34.51,35.64,34.37,35.6,7504100,0.0,0
2010-07-21,36.02,36.05,34.32,34.43,5058800,0.0,0
2010-07-22,35.19,36.58,35.17,36.14,6835300,0.0,0
2010-07-23,35.08,35.19,34.01,35.07,10399600,0.0,0
2010-07-26,34.97,35.81,34.86,35.6,4338900,0.0,0
2010-07-27,35.82,36.23,35.2,35.68,6534000,0.0,0
2010-07-28,35.58,36.07,35.35,35.87,4991900,0.0,0
2010-07-29,35.79,36.72,35.79,36.43,6660500,0.0,0
