Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.77,9.14,8.75,8.95,7160400,0.0,0.0
2009-12-08,8.85,8.89,8.6,8.63,4829600,0.0,0.0
2009-12-09,8.68,8.71,8.39,8.51,6214000,0.0,0.0
2009-12-10,8.57,8.77,8.52,8.68,5548400,0.0,0.0
2009-12-11,8.72,8.94,8.7,8.91,7532800,0.0,0.0
2009-12-14,9.55,9.83,9.27,9.54,15093600,0.0,0.0
2009-12-15,9.5,9.67,9.49,9.64,6735600,0.0,0.0
2009-12-16,9.69,9.83,9.6,9.79,5660000,0.0,0.0
2009-12-17,9.72,9.96,9.67,9.93,5937600,0.0,0.0
2009-12-18,10.05,10.15,10.0,10.1,8036400,0.0,0.0
2009-12-21,10.19,10.38,10.19,10.31,3968800,0.0,0.0
2009-12-22,10.39,10.46,10.3,10.45,2962400,0.0,0.0
2009-12-23,10.54,10.6,10.44,10.55,1879200,0.0,0.0
2009-12-24,10.6,10.65,10.53,10.63,972000,0.0,0.0
2009-12-28,10.71,10.75,10.54,10.6,2439200,0.0,0.0
2009-12-29,10.61,10.65,10.35,10.36,3018800,0.0,0.0
2009-12-30,10.28,10.39,10.23,10.3,2692000,0.0,0.0
2009-12-31,10.35,10.43,10.13,10.13,2168000,0.0,0.0
2010-01-04,10.38,10.77,10.38,10.75,4514800,0.0,0.0
2010-01-05,10.56,10.75,10.43,10.73,6313200,0.0,0.0
2010-01-06,10.75,10.8,10.64,10.69,4633200,0.0,0.0
2010-01-07,10.64,10.64,10.37,10.59,6752800,0.0,0.0
2010-01-08,10.51,10.57,10.35,10.57,5024800,0.0,0.0
2010-01-11,10.76,10.77,10.12,10.3,7786000,0.0,0.0
2010-01-12,10.11,10.13,9.97,10.03,4062000,0.0,0.0
2010-01-13,10.08,10.21,9.89,10.2,5404000,0.0,0.0
2010-01-14,10.23,10.33,10.08,10.18,4032800,0.0,0.0
2010-01-15,10.17,10.2,9.94,9.99,3718000,0.0,0.0
2010-01-19,9.97,10.2,9.97,10.19,3827200,0.0,0.0
2010-01-20,10.0,10.11,9.84,10.06,4386000,0.0,0.0
2010-01-21,10.1,10.28,9.94,9.99,5875600,0.0,0.0
2010-01-22,9.96,10.02,9.72,9.75,5751200,0.0,0.0
2010-01-25,9.87,10.03,9.8,9.84,2984400,0.0,0.0
2010-01-26,9.68,9.75,9.57,9.6,5162800,0.0,0.0
2010-01-27,9.48,9.57,9.09,9.24,9936400,0.0,0.0
2010-01-28,9.29,9.35,8.91,9.07,5558800,0.0,0.0
2010-01-29,9.16,9.29,8.84,8.9,6362400,0.0,0.0
2010-02-01,9.06,9.32,9.06,9.31,5766400,0.03,0.0
2010-02-02,9.35,9.6,9.16,9.56,7289200,0.0,0.0
2010-02-03,9.54,9.63,9.4,9.43,3955600,0.0,0.0
2010-02-04,9.31,9.31,8.92,8.96,3502800,0.0,0.0
2010-02-05,8.96,8.98,8.68,8.97,7260400,0.0,0.0
2010-02-08,8.97,9.04,8.77,8.78,5448400,0.0,0.0
2010-02-09,8.94,9.13,8.89,8.95,6408000,0.0,0.0
2010-02-10,8.93,8.99,8.7,8.94,4379600,0.0,0.0
2010-02-11,8.92,9.12,8.86,9.1,5689600,0.0,0.0
2010-02-12,8.94,9.23,8.89,9.21,7223200,0.0,0.0
2010-02-16,9.36,9.57,9.36,9.52,5854800,0.0,0.0
2010-02-17,9.55,9.58,9.29,9.42,5468400,0.0,0.0
2010-02-18,9.39,9.56,9.34,9.55,6501600,0.0,0.0
