Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,45.9,46.37,45.84,46.07,2422400,0.0,0
2009-12-08,45.68,45.77,45.02,45.6,3853300,0.0,0
2009-12-09,45.57,45.8,45.1,45.53,3745600,0.0,0
2009-12-10,45.91,46.08,45.2,45.61,5576500,0.0,0
2009-12-11,45.83,46.18,45.77,46.05,3197100,0.0,0
2009-12-14,46.24,46.36,45.93,46.16,2174900,0.0,0
2009-12-15,46.12,46.16,45.69,45.78,2794900,0.0,0
2009-12-16,45.91,46.19,45.58,45.62,2859300,0.0,0
2009-12-17,45.43,45.47,44.87,44.87,2876800,0.0,0
2009-12-18,45.04,45.38,44.65,45.36,4540800,0.0,0
2009-12-21,45.63,46.22,45.52,46.01,2114000,0.0,0
2009-12-22,45.82,46.42,45.82,46.24,3026200,0.0,0
2009-12-23,46.26,46.81,46.26,46.63,2945700,0.0,0
2009-12-24,46.8,47.04,46.64,46.88,1681400,0.0,0
2009-12-28,46.88,47.16,46.83,47.01,1748300,0.0,0
2009-12-29,46.95,47.11,46.73,46.78,1794500,0.0,0
2009-12-30,46.67,46.95,46.47,46.61,1678500,0.0,0
2009-12-31,46.76,46.81,45.88,45.93,1862900,0.0,0
2010-01-04,45.9,46.63,45.9,46.12,3280200,0.0,0
2010-01-05,46.0,46.12,45.67,45.98,2775800,0.0,0
2010-01-06,45.85,46.61,45.8,46.57,3722900,0.0,0
2010-01-07,46.64,46.92,46.0,46.35,4527600,0.0,0
2010-01-08,46.16,46.27,45.88,46.01,2348300,0.0,0
2010-01-11,45.96,46.12,45.8,46.07,1830400,0.0,0
2010-01-12,45.98,46.1,45.58,45.82,2113300,0.0,0
2010-01-13,45.88,46.26,45.75,46.11,2051500,0.0,0
2010-01-14,45.89,45.99,45.57,45.58,2145700,0.0,0
2010-01-15,45.79,45.79,45.36,45.63,3081700,0.0,0
2010-01-19,45.93,46.01,45.63,45.76,2558200,0.0,0
2010-01-20,45.39,45.55,44.73,45.23,4484600,0.0,0
2010-01-21,45.12,45.49,44.52,44.65,3456800,0.0,0
2010-01-22,44.56,44.99,44.28,44.3,4220600,0.0,0
2010-01-25,44.52,44.88,44.05,44.67,2690600,0.0,0
2010-01-26,44.4,45.39,44.35,44.97,3530500,0.0,0
2010-01-27,44.8,45.05,44.46,44.66,3776200,0.0,0
2010-01-28,44.7,44.88,44.29,44.52,3197000,0.0,0
2010-01-29,44.7,45.44,44.56,44.58,5413900,0.0,0
2010-02-01,44.87,44.96,44.52,44.95,4295300,0.0,0
2010-02-02,45.02,45.7,44.71,45.62,5231500,0.0,0
2010-02-03,45.48,45.76,45.32,45.35,5269100,0.0,0
2010-02-04,45.15,45.75,45.1,45.43,5962700,0.0,0
2010-02-05,45.48,45.72,45.08,45.47,4793600,0.0,0
2010-02-08,45.23,45.63,45.12,45.13,3319800,0.0,0
2010-02-09,45.64,45.8,45.18,45.61,3486900,0.0,0
2010-02-10,45.67,46.19,45.46,46.06,4520500,0.18,0
2010-02-11,45.83,46.55,45.68,46.46,4030800,0.0,0
