Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.03,26.18,25.95,26.03,1437400,0.0,0
2009-12-08,26.01,26.01,25.61,25.78,1601600,0.0,0
2009-12-09,25.74,25.88,25.65,25.76,1392400,0.0,0
2009-12-10,25.73,25.83,25.51,25.62,1892700,0.0,0
2009-12-11,25.59,25.73,25.52,25.59,2136800,0.0,0
2009-12-14,25.63,25.7,25.54,25.61,1259400,0.0,0
2009-12-15,25.55,25.64,25.34,25.39,3183200,0.0,0
2009-12-16,25.45,25.58,25.28,25.29,1286300,0.0,0
2009-12-17,25.23,25.28,24.45,24.49,4687200,0.0,0
2009-12-18,24.58,24.58,23.81,24.28,6622500,0.0,0
2009-12-21,24.35,24.62,24.28,24.61,1952800,0.0,0
2009-12-22,24.67,24.85,24.55,24.84,1715700,0.0,0
2009-12-23,24.76,25.27,24.73,25.25,2565000,0.0,0
2009-12-24,25.16,25.38,25.09,25.37,1043700,0.0,0
2009-12-28,25.5,25.5,25.26,25.4,1247800,0.275,0
2009-12-29,25.44,25.47,25.12,25.23,1316300,0.0,0
2009-12-30,25.15,25.43,25.03,25.35,1367600,0.0,0
2009-12-31,25.3,25.43,25.05,25.05,1154700,0.0,0
2010-01-04,25.13,25.18,24.98,25.1,1574200,0.0,0
2010-01-05,25.14,25.32,24.9,25.15,2497100,0.0,0
2010-01-06,25.08,25.14,24.72,24.87,2829500,0.0,0
2010-01-07,24.79,24.79,24.44,24.49,3232600,0.0,0
2010-01-08,24.49,24.55,24.22,24.33,2203200,0.0,0
2010-01-11,24.33,24.46,24.16,24.41,2827700,0.0,0
2010-01-12,24.36,24.89,24.29,24.69,2601600,0.0,0
2010-01-13,24.8,25.12,24.7,25.07,2485500,0.0,0
2010-01-14,25.04,25.04,24.64,24.94,1976300,0.0,0
2010-01-15,24.95,25.0,24.31,24.45,3794500,0.0,0
2010-01-19,24.48,24.63,24.43,24.49,1858400,0.0,0
2010-01-20,24.35,24.38,24.09,24.36,1605400,0.0,0
2010-01-21,24.33,24.48,24.01,24.18,2414600,0.0,0
2010-01-22,24.16,24.48,24.01,24.29,2738400,0.0,0
2010-01-25,24.53,24.53,24.15,24.29,1691600,0.0,0
2010-01-26,24.17,24.36,24.0,24.28,1866100,0.0,0
2010-01-27,24.36,24.58,24.17,24.49,2346000,0.0,0
2010-01-28,24.58,24.89,24.52,24.84,3139500,0.0,0
2010-01-29,24.94,24.98,24.49,24.54,2490600,0.0,0
2010-02-01,24.67,24.8,24.56,24.72,1188600,0.0,0
2010-02-02,24.78,24.95,24.64,24.95,1581200,0.0,0
2010-02-03,24.89,24.92,24.67,24.69,1809300,0.0,0
2010-02-04,24.84,24.92,24.04,24.04,3430200,0.0,0
2010-02-05,23.96,24.09,23.85,24.06,3018800,0.0,0
2010-02-08,24.13,24.52,24.08,24.23,1956800,0.0,0
2010-02-09,24.41,24.92,24.36,24.69,2823600,0.0,0
2010-02-10,24.65,24.81,24.49,24.69,1662300,0.0,0
2010-02-11,24.84,24.9,24.49,24.87,1294900,0.0,0
2010-02-12,24.69,24.75,24.34,24.49,2936000,0.0,0
2010-02-16,24.55,24.94,24.48,24.89,2329100,0.0,0
2010-02-17,24.46,25.04,24.4,24.92,2972500,0.0,0
2010-02-18,24.83,25.15,24.83,25.09,2386900,0.0,0
2010-02-19,25.09,25.27,24.9,25.15,2054000,0.0,0
2010-02-22,25.02,25.18,24.61,24.83,2936500,0.0,0
2010-02-23,24.42,24.72,24.37,24.6,4498800,0.0,0
2010-02-24,24.58,24.78,24.38,24.57,3228800,0.0,0
2010-02-25,24.33,24.67,24.26,24.66,2618700,0.0,0
2010-02-26,24.62,24.8,24.59,24.7,2509100,0.0,0
2010-03-01,24.75,24.81,24.64,24.72,2101600,0.0,0
2010-03-02,24.77,25.27,24.73,25.09,2498400,0.0,0
2010-03-03,24.97,25.37,24.79,25.23,2677800,0.0,0
2010-03-04,25.3,25.49,25.04,25.31,3201600,0.0,0
2010-03-05,25.35,25.49,25.28,25.49,1747300,0.0,0
2010-03-08,25.43,25.5,25.23,25.32,1132100,0.0,0
2010-03-09,25.21,25.35,25.17,25.24,1763600,0.0,0
2010-03-10,25.25,25.25,25.03,25.11,2072100,0.0,0
2010-03-11,25.03,25.41,25.01,25.38,2481700,0.0,0
2010-03-12,25.44,25.59,25.33,25.56,1849500,0.0,0
2010-03-15,25.5,25.73,25.5,25.72,1711700,0.0,0
2010-03-16,25.79,25.97,25.7,25.94,2042100,0.0,0
2010-03-17,25.98,26.06,25.93,26.04,1767900,0.0,0
2010-03-18,25.9,25.97,25.75,25.97,1289900,0.0,0
2010-03-19,26.17,26.17,25.95,26.17,3761400,0.0,0
