Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.96,9.02,8.92,8.98,1114400,0.0,0.0
2009-12-08,8.91,8.98,8.75,8.87,1111200,0.0,0.0
2009-12-09,8.86,8.93,8.69,8.78,1140000,0.0,0.0
2009-12-10,8.84,8.89,8.66,8.7,2496000,0.0,0.0
2009-12-11,8.76,8.92,8.68,8.91,2262800,0.0,0.0
2009-12-14,8.94,9.01,8.92,8.98,835200,0.0,0.0
2009-12-15,8.92,9.07,8.92,8.98,1083600,0.0,0.0
2009-12-16,8.98,9.1,8.94,9.03,1057200,0.0,0.0
2009-12-17,8.95,8.98,8.78,8.8,1005200,0.0,0.0
2009-12-18,8.8,8.87,8.72,8.84,1984800,0.0,0.0
2009-12-21,8.86,8.98,8.85,8.86,661600,0.0,0.0
2009-12-22,8.91,9.06,8.89,9.06,1097200,0.0,0.0
2009-12-23,9.05,9.15,9.01,9.11,734800,0.0,0.0
2009-12-24,9.14,9.17,9.05,9.15,178400,0.0,0.0
2009-12-28,9.15,9.2,9.08,9.19,870400,0.0,0.0
2009-12-29,9.18,9.23,9.13,9.2,422000,0.0,0.0
2009-12-30,9.22,9.27,9.14,9.21,557600,0.0,0.0
2009-12-31,9.23,9.27,9.14,9.15,947600,0.0,0.0
2010-01-04,9.18,9.23,9.09,9.1,1172000,0.0,0.0
2010-01-05,9.1,9.14,9.06,9.1,658000,0.0,0.0
2010-01-06,9.07,9.11,9.05,9.06,617600,0.0,0.0
2010-01-07,9.02,9.06,8.94,9.01,913600,0.0,0.0
2010-01-08,8.98,9.04,8.93,9.04,1271200,0.0,0.0
2010-01-11,9.03,9.1,8.94,9.0,607200,0.0,0.0
2010-01-12,8.94,8.96,8.9,8.94,738400,0.0,0.0
2010-01-13,8.93,8.94,8.84,8.87,1682800,0.0,0.0
2010-01-14,8.82,8.94,8.76,8.94,1241200,0.0,0.0
2010-01-15,8.95,8.95,8.74,8.79,524800,0.0,0.0
2010-01-19,8.77,8.89,8.73,8.89,772000,0.0,0.0
2010-01-20,8.81,8.85,8.69,8.82,728000,0.0,0.0
2010-01-21,8.8,8.99,8.69,8.7,902800,0.0,0.0
2010-01-22,8.72,8.74,8.56,8.57,698000,0.0,0.0
2010-01-25,8.65,8.7,8.62,8.68,906000,0.0,0.0
2010-01-26,8.65,8.69,8.6,8.66,804400,0.0,0.0
2010-01-27,8.62,8.7,8.59,8.66,817200,0.0,0.0
2010-01-28,8.65,8.65,8.5,8.54,866800,0.0,0.0
2010-01-29,8.56,8.58,8.43,8.44,1114000,0.0,0.0
2010-02-01,8.45,8.51,8.33,8.51,1674400,0.0,0.0
2010-02-02,8.49,8.63,8.46,8.6,1186800,0.0,0.0
2010-02-03,8.56,8.66,8.49,8.55,910400,0.0,0.0
2010-02-04,8.51,8.52,8.26,8.29,1630400,0.0,0.0
2010-02-05,8.26,8.31,8.19,8.3,1667200,0.0,0.0
2010-02-08,8.33,8.36,8.26,8.27,514000,0.0,0.0
2010-02-09,8.36,8.48,8.27,8.3,662800,0.0,0.0
2010-02-10,8.27,8.32,8.22,8.27,818000,0.0,0.0
2010-02-11,8.25,8.35,8.23,8.35,1136400,0.0,0.0
2010-02-12,8.31,8.46,8.27,8.43,1282800,0.0,0.0
2010-02-16,8.71,8.9,8.67,8.81,3252800,0.0,0.0
2010-02-17,8.85,9.0,8.79,8.86,1759200,0.0,0.0
2010-02-18,8.89,9.0,8.85,8.98,1108400,0.0,0.0
2010-02-19,8.95,9.06,8.95,9.02,829200,0.0,0.0
2010-02-22,9.06,9.16,9.03,9.05,608000,0.0,0.0
2010-02-23,9.01,9.08,8.86,8.88,874000,0.0,0.0
2010-02-24,8.88,8.99,8.88,8.94,483200,0.0,0.0
2010-02-25,8.85,8.96,8.83,8.95,920400,0.0,0.0
2010-02-26,8.98,8.98,8.85,8.92,1178000,0.0,0.0
2010-03-01,8.91,9.1,8.91,9.07,2194400,0.0,0.0
2010-03-02,9.06,9.25,9.01,9.25,3417600,0.0,0.0
2010-03-03,8.98,9.17,8.73,8.76,4786800,0.0,0.0
2010-03-04,8.75,8.83,8.61,8.66,1305600,0.0,0.0
2010-03-05,8.68,8.86,8.62,8.85,1316400,0.0,0.0
2010-03-08,8.81,8.93,8.81,8.88,1124400,0.0,0.0
2010-03-09,8.88,8.93,8.73,8.74,1420800,0.0,0.0
2010-03-10,8.73,8.8,8.71,8.78,1342800,0.0,0.0
2010-03-11,8.73,8.81,8.73,8.81,580000,0.0,0.0
2010-03-12,8.81,8.85,8.76,8.85,1006800,0.0,0.0
2010-03-15,8.85,8.92,8.79,8.88,769600,0.0,0.0
2010-03-16,8.88,8.91,8.83,8.87,1662000,0.0,0.0
2010-03-17,8.91,8.95,8.86,8.86,850000,0.0,0.0
2010-03-18,8.84,8.9,8.8,8.86,653200,0.0,0.0
2010-03-19,8.9,8.9,8.76,8.82,2139600,0.0,0.0
2010-03-22,8.75,9.01,8.75,9.01,1273200,0.0,0.0
2010-03-23,9.0,9.09,8.97,9.07,860400,0.0,0.0
2010-03-24,9.03,9.05,8.92,8.92,567200,0.0,0.0
2010-03-25,8.98,8.98,8.83,8.84,451600,0.0,0.0
2010-03-26,8.88,8.88,8.74,8.81,693200,0.0,0.0
2010-03-29,8.81,8.98,8.8,8.97,768400,0.0,0.0
2010-03-30,9.0,9.0,8.89,8.9,657600,0.0,0.0
2010-03-31,8.92,8.98,8.89,8.9,1312000,0.0,0.0
2010-04-01,8.93,8.93,8.81,8.9,1021600,0.0,0.0
2010-04-05,8.93,8.98,8.9,8.98,1018000,0.0,0.0
2010-04-06,8.92,9.05,8.92,9.0,662800,0.0,0.0
2010-04-07,8.97,9.02,8.92,8.98,754400,0.0,0.0
2010-04-08,8.96,8.96,8.81,8.9,798400,0.0,0.0
2010-04-09,8.88,8.88,8.73,8.79,1684800,0.0,0.0
2010-04-12,8.77,8.85,8.74,8.85,1863600,0.0,0.0
2010-04-13,8.82,8.87,8.77,8.82,1087200,0.0,0.0
2010-04-14,8.87,8.88,8.77,8.88,1103600,0.0,0.0
2010-04-15,8.84,8.9,8.84,8.89,652800,0.0,0.0
2010-04-16,8.84,8.89,8.65,8.73,2777600,0.0,0.0
2010-04-19,8.7,8.7,8.53,8.6,2254800,0.0,0.0
2010-04-20,8.65,8.76,8.6,8.75,1274000,0.0,0.0
2010-04-21,8.81,8.81,8.7,8.76,1216000,0.0,0.0
2010-04-22,8.69,8.81,8.67,8.77,2439200,0.0,0.0
2010-04-23,8.73,8.82,8.69,8.82,873200,0.0,0.0
2010-04-26,8.82,8.87,8.77,8.83,888000,0.0,0.0
2010-04-27,8.78,8.89,8.75,8.77,1015200,0.0,0.0
2010-04-28,8.82,8.82,8.73,8.78,610800,0.0,0.0
2010-04-29,8.81,8.9,8.75,8.9,1623200,0.0,0.0
2010-04-30,8.9,9.05,8.84,8.92,2068400,0.0,0.0
2010-05-03,8.97,9.06,8.91,9.02,1169600,0.0,0.0
2010-05-04,8.91,9.0,8.82,8.93,1556000,0.0,0.0
2010-05-05,8.9,8.97,8.86,8.91,1743600,0.0,0.0
2010-05-06,8.86,9.02,8.65,8.79,2182400,0.0,0.0
2010-05-07,8.79,8.8,8.57,8.68,2417200,0.0,0.0
2010-05-10,9.01,9.14,8.91,9.14,2081200,0.0,0.0
2010-05-11,9.07,9.28,9.01,9.14,3177600,0.0,0.0
2010-05-12,9.12,9.33,9.07,9.27,1421200,0.0,0.0
2010-05-13,9.25,9.46,9.25,9.34,1257200,0.0,0.0
2010-05-14,9.3,9.32,9.15,9.2,1033600,0.0,0.0
2010-05-17,9.24,9.36,9.1,9.3,1618000,0.0,0.0
2010-05-18,9.39,9.43,9.17,9.2,1002400,0.0,0.0
2010-05-19,9.18,9.25,9.0,9.05,1434800,0.0,0.0
2010-05-20,8.9,8.98,8.74,8.74,2240000,0.0,0.0
2010-05-21,8.63,8.81,8.63,8.78,2508400,0.0,0.0
2010-05-24,8.78,8.91,8.74,8.76,1543600,0.0,0.0
2010-05-25,8.63,8.67,8.49,8.63,1867600,0.0,0.0
2010-05-26,8.64,8.84,8.56,8.72,1288000,0.0,0.0
2010-05-27,8.86,8.97,8.78,8.95,1119200,0.0,0.0
2010-05-28,8.89,9.02,8.87,8.98,2027200,0.0,0.0
2010-06-01,8.91,8.95,8.77,8.85,1377200,0.0,0.0
2010-06-02,8.91,9.1,8.85,9.1,1461600,0.0,0.0
2010-06-03,9.44,9.44,9.16,9.31,5724000,0.0,0.0
2010-06-04,9.18,9.26,9.12,9.15,1636800,0.0,0.0
2010-06-07,9.19,9.23,9.04,9.06,1581600,0.0,0.0
2010-06-08,9.1,9.1,8.94,8.99,1662400,0.0,0.0
2010-06-09,9.06,9.1,8.94,8.97,1044000,0.0,0.0
2010-06-10,9.06,9.21,8.89,9.19,685200,0.0,0.0
2010-06-11,9.05,9.23,9.05,9.21,1443200,0.0,0.0
2010-06-14,9.26,9.31,9.2,9.21,1495200,0.0,0.0
2010-06-15,9.22,9.3,9.22,9.27,1228000,0.0,0.0
2010-06-16,9.21,9.38,9.21,9.31,963600,0.0,0.0
2010-06-17,9.32,9.38,9.26,9.31,673200,0.0,0.0
2010-06-18,9.31,9.37,9.31,9.32,803200,0.0,0.0
2010-06-21,9.36,9.43,9.3,9.32,674800,0.0,0.0
2010-06-22,9.34,9.38,9.06,9.07,893200,0.0,0.0
2010-06-23,9.04,9.15,8.98,9.1,790000,0.0,0.0
2010-06-24,9.08,9.16,9.01,9.04,926800,0.0,0.0
2010-06-25,9.09,9.14,8.98,9.09,1612800,0.0,0.0
2010-06-28,9.12,9.28,9.03,9.2,1067200,0.0,0.0
2010-06-29,9.12,9.18,8.95,9.06,1700800,0.0,0.0
2010-06-30,9.07,9.1,8.95,8.95,1179600,0.0,0.0
2010-07-01,8.9,8.91,8.74,8.8,1343600,0.0,0.0
2010-07-02,8.81,8.88,8.69,8.73,732400,0.0,0.0
2010-07-06,8.81,8.85,8.62,8.68,1106400,0.0,0.0
2010-07-07,8.68,8.84,8.63,8.82,1240800,0.0,0.0
2010-07-08,8.91,8.99,8.82,8.92,551600,0.0,0.0
2010-07-09,8.9,8.97,8.84,8.96,764800,0.0,0.0
2010-07-12,8.95,9.0,8.87,8.94,594400,0.0,0.0
2010-07-13,9.0,9.19,9.0,9.17,584000,0.0,0.0
2010-07-14,9.12,9.18,9.09,9.12,1125600,0.0,0.0
2010-07-15,9.14,9.14,9.02,9.11,1493600,0.0,0.0
2010-07-16,9.09,9.09,8.85,8.86,889600,0.0,0.0
2010-07-19,8.88,8.97,8.75,8.89,1363600,0.0,0.0
2010-07-20,8.81,8.96,8.77,8.94,826000,0.0,0.0
2010-07-21,8.97,8.99,8.85,8.85,1008000,0.0,0.0
2010-07-22,8.94,9.06,8.93,9.02,636000,0.0,0.0
2010-07-23,8.98,9.18,8.98,9.17,929200,0.0,0.0
2010-07-26,9.2,9.31,9.13,9.28,830400,0.0,0.0
2010-07-27,9.32,9.38,9.23,9.25,597600,0.0,0.0
2010-07-28,9.22,9.28,9.11,9.14,721600,0.0,0.0
2010-07-29,9.19,9.24,9.02,9.11,2402400,0.0,0.0
2010-07-30,9.05,9.15,8.99,9.11,773600,0.0,0.0
2010-08-02,9.16,9.16,9.0,9.1,1904400,0.0,0.0
2010-08-03,9.06,9.12,8.98,9.03,1196000,0.0,0.0
2010-08-04,9.07,9.09,9.01,9.06,764000,0.0,0.0
2010-08-05,9.02,9.08,8.96,9.01,692000,0.0,0.0
2010-08-06,8.92,8.92,8.73,8.83,1144800,0.0,0.0
2010-08-09,8.91,9.01,8.84,8.98,879600,0.0,0.0
2010-08-10,8.89,8.9,8.79,8.81,826800,0.0,0.0
2010-08-11,8.74,8.78,8.67,8.67,932800,0.0,0.0
2010-08-12,8.56,8.66,8.47,8.63,484000,0.0,0.0
2010-08-13,8.6,8.61,8.51,8.51,528400,0.0,0.0
2010-08-16,8.5,8.56,8.45,8.5,545600,0.0,0.0
2010-08-17,8.56,8.72,8.55,8.66,771600,0.0,0.0
2010-08-18,8.63,8.8,8.57,8.6,856000,0.0,0.0
2010-08-19,8.56,8.6,8.35,8.44,1052800,0.0,0.0
2010-08-20,8.4,8.52,8.38,8.5,1176400,0.0,0.0
2010-08-23,8.5,8.51,8.33,8.33,975600,0.0,0.0
2010-08-24,8.25,8.31,8.18,8.22,1462000,0.0,0.0
2010-08-25,8.15,8.29,8.11,8.26,1075600,0.0,0.0
2010-08-26,8.27,8.36,8.2,8.25,1087600,0.0,0.0
2010-08-27,8.31,8.4,8.2,8.38,1472800,0.0,0.0
2010-08-30,8.34,8.49,8.31,8.31,794000,0.0,0.0
2010-08-31,8.25,8.36,8.19,8.26,1182400,0.0,0.0
2010-09-01,8.35,8.55,8.35,8.51,1103200,0.0,0.0
2010-09-02,8.48,8.62,8.46,8.54,1132000,0.0,0.0
2010-09-03,8.61,8.63,8.56,8.6,967200,0.0,0.0
2010-09-07,8.55,8.62,8.52,8.54,975600,0.0,0.0
2010-09-08,8.54,8.66,8.5,8.59,776400,0.0,0.0
2010-09-09,8.68,8.72,8.6,8.64,616000,0.0,0.0
2010-09-10,8.62,8.66,8.57,8.59,629600,0.0,0.0
2010-09-13,8.63,8.74,8.57,8.69,1516000,0.0,0.0
