Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.86,25.07,24.8,24.95,642500,0.0,0
2009-12-08,24.76,24.76,24.39,24.59,752000,0.0,0
2009-12-09,24.49,24.5,24.18,24.37,1015200,0.0,0
2009-12-10,24.5,24.76,24.48,24.55,915500,0.0,0
2009-12-11,24.72,24.93,24.63,24.86,724800,0.0,0
2009-12-14,25.02,25.19,24.98,25.1,1352400,0.0,0
2009-12-15,25.12,25.12,24.85,24.94,892200,0.0,0
2009-12-16,24.93,25.13,24.75,24.85,768400,0.0,0
2009-12-17,24.77,24.77,24.29,24.38,1339500,0.0,0
2009-12-18,24.56,25.04,24.43,25.04,2068800,0.0,0
2009-12-21,25.01,25.43,25.01,25.1,929200,0.0,0
2009-12-22,25.23,25.32,25.02,25.15,1119800,0.0,0
2009-12-23,22.76,22.99,22.25,22.33,6912100,0.0,0
2009-12-24,22.32,22.48,22.21,22.35,1108800,0.0,0
2009-12-28,22.38,22.4,22.04,22.13,1614200,0.0,0
2009-12-29,22.2,22.37,22.07,22.26,1089900,0.0,0
2009-12-30,22.43,22.43,22.11,22.19,847900,0.0,0
2009-12-31,22.25,22.26,22.08,22.09,677700,0.0,0
2010-01-04,22.23,22.48,22.14,22.37,1051100,0.0,0
2010-01-05,22.3,22.35,22.15,22.33,1455600,0.0,0
2010-01-06,22.2,22.43,22.2,22.39,1570100,0.0,0
2010-01-07,22.04,22.59,22.04,22.59,1035100,0.0,0
2010-01-08,22.51,22.82,22.43,22.81,2510800,0.0,0
2010-01-11,22.77,22.82,22.61,22.71,709900,0.0,0
2010-01-12,22.66,22.75,22.34,22.41,1014000,0.0,0
2010-01-13,22.48,22.81,22.44,22.76,849600,0.0,0
2010-01-14,22.64,22.77,22.55,22.61,865500,0.0,0
2010-01-15,22.74,22.77,22.09,22.24,1367400,0.0,0
2010-01-19,22.13,22.59,22.13,22.59,683900,0.0,0
2010-01-20,22.43,22.43,22.04,22.25,1030800,0.0,0
2010-01-21,22.21,22.32,21.82,21.84,1878000,0.0,0
2010-01-22,21.88,22.03,21.32,21.4,2089700,0.0,0
2010-01-25,21.5,21.5,21.22,21.37,1322500,0.0,0
2010-01-26,21.28,21.38,21.15,21.2,1465300,0.0,0
2010-01-27,21.06,21.38,21.03,21.37,1735600,0.0,0
2010-01-28,21.43,21.51,21.06,21.15,1346700,0.0,0
2010-01-29,21.2,21.5,21.2,21.28,1883000,0.0,0
2010-02-01,21.36,21.47,21.25,21.37,1021800,0.0,0
2010-02-02,21.34,21.6,21.22,21.56,1047200,0.0,0
2010-02-03,21.38,21.5,21.29,21.45,631800,0.0,0
2010-02-04,21.35,21.43,21.01,21.03,939000,0.0,0
2010-02-05,21.09,21.22,20.77,21.04,1456900,0.0,0
2010-02-08,21.1,21.3,20.85,21.16,1472700,0.48,0
2010-02-09,21.43,21.55,21.1,21.33,1174000,0.0,0
2010-02-10,21.37,21.39,21.09,21.12,879700,0.0,0
2010-02-11,20.98,21.35,20.8,21.28,782100,0.0,0
2010-02-12,21.11,21.3,20.94,21.26,1056800,0.0,0
2010-02-16,20.09,20.98,19.96,20.53,2659600,0.0,0
2010-02-17,20.53,20.76,20.51,20.61,1631700,0.0,0
2010-02-18,20.71,20.88,20.59,20.85,1381600,0.0,0
2010-02-19,20.82,21.2,20.81,21.16,1605000,0.0,0
2010-02-22,21.27,21.34,21.12,21.2,865300,0.0,0
2010-02-23,21.22,21.33,20.84,20.91,1004800,0.0,0
2010-02-24,21.06,21.32,20.91,21.3,1220800,0.0,0
2010-02-25,21.06,21.54,20.97,21.46,1305700,0.0,0
2010-02-26,21.51,21.63,21.33,21.42,3196700,0.0,0
2010-03-01,21.48,21.68,21.36,21.68,1347900,0.0,0
2010-03-02,21.73,21.79,21.44,21.48,1193500,0.0,0
2010-03-03,21.49,21.76,21.48,21.67,1174600,0.0,0
2010-03-04,21.67,21.92,21.59,21.85,1184500,0.0,0
2010-03-05,21.88,22.13,21.85,22.06,1109800,0.0,0
2010-03-08,22.09,22.5,22.05,22.48,1200100,0.0,0
2010-03-09,22.38,22.65,22.25,22.6,1113300,0.0,0
2010-03-10,22.57,22.94,22.57,22.83,1338700,0.0,0
2010-03-11,22.81,23.06,22.65,23.04,897800,0.0,0
2010-03-12,23.03,23.05,22.89,23.05,586500,0.0,0
2010-03-15,23.05,23.16,22.94,23.14,535500,0.0,0
2010-03-16,23.23,23.47,23.17,23.43,720200,0.0,0
2010-03-17,23.46,23.82,23.44,23.77,1096300,0.0,0
2010-03-18,23.64,24.11,23.64,24.02,2000700,0.0,0
2010-03-19,24.14,24.4,23.5,24.31,3426400,0.0,0
2010-03-22,24.17,24.67,24.17,24.59,1488800,0.0,0
2010-03-23,24.52,24.73,24.35,24.7,1236600,0.0,0
2010-03-24,24.72,24.78,24.41,24.47,1030600,0.0,0
2010-03-25,24.67,24.7,24.35,24.39,1211600,0.0,0
2010-03-26,24.52,24.58,24.08,24.13,2033000,0.0,0
2010-03-29,24.16,24.55,24.14,24.5,1145800,0.0,0
2010-03-30,24.47,24.63,24.32,24.53,760800,0.0,0
2010-03-31,24.48,24.54,24.22,24.28,1167400,0.0,0
2010-04-01,24.41,24.54,24.09,24.22,1031600,0.0,0
2010-04-05,24.22,24.52,24.13,24.32,976200,0.0,0
2010-04-06,24.2,24.43,24.16,24.32,763200,0.0,0
2010-04-07,23.94,24.25,23.94,24.04,851100,0.0,0
2010-04-08,24.04,24.05,23.72,23.97,888000,0.0,0
2010-04-09,23.98,24.01,23.84,23.97,746000,0.0,0
2010-04-12,24.0,24.16,23.71,23.86,859600,0.0,0
2010-04-13,23.86,24.08,23.78,24.06,767200,0.0,0
2010-04-14,24.0,24.17,23.81,24.17,1248300,0.0,0
2010-04-15,24.21,24.38,24.15,24.33,1508800,0.0,0
2010-04-16,24.28,24.42,24.02,24.12,1249600,0.0,0
2010-04-19,24.05,24.22,23.92,24.19,737800,0.0,0
2010-04-20,24.39,24.46,24.22,24.4,639200,0.0,0
2010-04-21,24.35,24.5,24.28,24.48,620300,0.0,0
2010-04-22,24.35,24.8,24.16,24.79,726300,0.0,0
2010-04-23,24.83,24.88,24.52,24.83,743300,0.0,0
2010-04-26,24.85,24.85,24.52,24.54,770700,0.0,0
2010-04-27,24.54,24.59,23.73,23.76,1706000,0.0,0
2010-04-28,23.93,23.98,23.62,23.77,1262800,0.0,0
2010-04-29,23.82,24.0,23.52,23.89,1456200,0.0,0
2010-04-30,23.95,24.03,23.55,23.56,1136700,0.0,0
2010-05-03,23.61,23.79,23.47,23.75,938800,0.0,0
2010-05-04,23.47,23.47,22.93,23.2,1610100,0.0,0
2010-05-05,23.2,23.5,23.03,23.07,902600,0.0,0
2010-05-06,23.01,23.16,21.61,22.56,1908400,0.0,0
2010-05-07,22.43,22.57,21.96,22.07,1816900,0.0,0
2010-05-10,22.65,23.25,22.58,23.25,1447000,0.0,0
2010-05-11,23.03,23.31,22.48,23.04,1260400,0.0,0
2010-05-12,23.03,23.55,22.88,23.49,988400,0.0,0
2010-05-13,23.38,23.48,23.17,23.25,820500,0.0,0
2010-05-14,23.14,23.22,22.69,22.88,1166000,0.0,0
2010-05-17,22.93,23.36,22.68,23.28,1222000,0.0,0
2010-05-18,23.47,23.59,23.03,23.14,1233600,0.0,0
2010-05-19,23.21,23.36,22.91,23.04,1096200,0.0,0
2010-05-20,22.59,22.79,22.02,22.05,1637400,0.0,0
2010-05-21,21.76,22.41,21.76,22.41,1891500,0.0,0
2010-05-24,22.31,22.38,22.06,22.16,1009400,0.0,0
2010-05-25,21.75,22.12,21.51,22.1,1363700,0.0,0
2010-05-26,22.15,22.56,21.99,22.1,1514100,0.0,0
2010-05-27,22.46,22.69,22.27,22.68,1128600,0.0,0
2010-05-28,22.63,22.69,22.22,22.47,993300,0.0,0
2010-06-01,22.32,22.56,21.92,21.93,1285600,0.0,0
2010-06-02,21.98,22.35,21.79,22.35,1042200,0.0,0
2010-06-03,22.31,22.57,22.19,22.56,979000,0.0,0
2010-06-04,22.15,22.15,21.54,21.61,1241700,0.0,0
2010-06-07,21.61,21.69,21.25,21.27,1793900,0.0,0
2010-06-08,21.26,21.45,21.13,21.41,1753400,0.0,0
2010-06-09,21.49,21.61,21.22,21.28,1282400,0.0,0
2010-06-10,21.59,21.92,21.53,21.91,1362600,0.0,0
2010-06-11,21.67,21.88,21.54,21.86,1193600,0.0,0
2010-06-14,22.05,22.18,21.73,21.77,1158200,0.0,0
2010-06-15,21.92,22.46,21.78,22.45,782700,0.0,0
2010-06-16,22.36,22.5,22.25,22.39,694700,0.0,0
2010-06-17,22.42,22.49,22.18,22.46,709200,0.0,0
2010-06-18,22.5,22.73,22.4,22.56,1026400,0.0,0
2010-06-21,22.82,22.82,22.19,22.28,842700,0.0,0
2010-06-22,22.37,22.48,21.82,21.87,996800,0.0,0
2010-06-23,21.86,22.05,21.66,21.8,971400,0.0,0
2010-06-24,21.69,21.87,21.48,21.55,732900,0.0,0
2010-06-25,21.54,21.65,21.28,21.54,1397100,0.0,0
2010-06-28,21.61,21.77,21.37,21.63,825000,0.0,0
2010-06-29,21.38,21.38,20.76,20.93,1745500,0.0,0
2010-06-30,20.89,21.14,20.68,20.72,1142600,0.0,0
2010-07-01,20.72,20.77,20.4,20.72,1352600,0.0,0
2010-07-02,20.72,20.77,20.4,20.45,1023600,0.0,0
2010-07-06,20.63,20.79,20.31,20.51,1335200,0.0,0
2010-07-07,20.7,21.15,20.58,21.12,1226900,0.0,0
2010-07-08,21.22,21.41,21.09,21.36,1018900,0.0,0
2010-07-09,21.46,21.62,21.32,21.59,570800,0.0,0
2010-07-12,21.5,21.87,21.42,21.78,1276300,0.0,0
2010-07-13,22.06,22.54,21.97,22.43,1066700,0.0,0
2010-07-14,22.25,22.46,22.13,22.27,816600,0.0,0
2010-07-15,22.25,22.37,22.0,22.3,665200,0.0,0
2010-07-16,22.29,22.3,21.74,21.78,1351400,0.0,0
2010-07-19,21.88,22.21,21.8,22.19,1088000,0.0,0
2010-07-20,21.86,22.43,21.73,22.41,1305600,0.0,0
2010-07-21,22.64,23.18,21.72,21.78,1667200,0.0,0
2010-07-22,21.93,22.44,21.86,22.37,1464000,0.0,0
2010-07-23,22.37,22.56,22.18,22.48,1129400,0.0,0
2010-07-26,22.45,22.75,22.45,22.67,1030200,0.0,0
2010-07-27,22.84,22.86,22.59,22.72,747800,0.0,0
2010-07-28,22.74,22.95,22.63,22.86,1132000,0.0,0
2010-07-29,23.0,23.07,22.42,22.69,1152200,0.0,0
2010-07-30,22.44,22.93,22.31,22.87,963500,0.0,0
