Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,53.67,54.36,53.52,53.84,7518800,0.0,0
2009-12-08,53.65,53.71,52.66,52.87,9061700,0.0,0
2009-12-09,52.97,53.25,52.48,53.08,7164500,0.0,0
2009-12-10,53.49,53.96,53.24,53.33,10864100,0.0,0
2009-12-11,53.5,53.84,53.24,53.56,6707000,0.0,0
2009-12-14,54.04,54.21,53.08,53.22,8525900,0.0,0
2009-12-15,53.05,53.7,53.04,53.29,10296900,0.0,0
2009-12-16,53.66,54.2,53.42,53.65,12169800,0.0,0
2009-12-17,53.37,53.42,52.84,52.88,8997500,0.0,0
2009-12-18,53.33,53.5,52.73,52.97,16605200,0.0,0
2009-12-21,53.45,53.73,53.22,53.38,6742500,0.0,0
2009-12-22,53.61,53.75,53.24,53.37,6770300,0.0,0
2009-12-23,53.64,53.68,53.05,53.06,7342600,0.0,0
2009-12-24,53.05,53.38,53.05,53.33,2565500,0.0,0
2009-12-28,53.57,53.66,53.25,53.57,4192800,0.0,0
2009-12-29,53.59,53.68,53.17,53.18,4810600,0.0,0
2009-12-30,53.11,53.5,53.04,53.48,4300800,0.0,0
2009-12-31,53.53,53.57,52.99,53.03,4246600,0.0,0
2010-01-04,53.86,54.55,53.84,54.46,10173800,0.0,0
2010-01-05,54.57,54.84,54.22,54.84,10593700,0.0,0
2010-01-06,54.72,55.1,54.54,54.85,11014600,0.0,0
2010-01-07,54.66,54.9,54.39,54.64,9626900,0.0,0
2010-01-08,54.5,54.74,54.34,54.74,5624300,0.0,0
2010-01-11,55.22,55.85,55.14,55.71,11916800,0.0,0
2010-01-12,54.77,55.41,54.74,55.39,12175200,0.0,0
2010-01-13,55.29,55.39,54.48,54.97,10842200,0.0,0
2010-01-14,54.85,54.97,54.52,54.79,6721000,0.0,0
2010-01-15,54.79,54.89,53.92,54.57,13482300,0.0,0
2010-01-19,54.39,54.93,54.12,54.88,8722200,0.0,0
2010-01-20,54.21,54.37,53.48,53.83,8703800,0.0,0
2010-01-21,53.83,53.85,52.39,52.51,12573200,0.0,0
2010-01-22,52.33,52.75,51.27,51.38,13825000,0.0,0
2010-01-25,51.76,51.84,51.03,51.35,9129700,0.0,0
2010-01-26,51.03,51.58,50.76,51.07,10558200,0.0,0
2010-01-27,50.93,51.22,50.37,50.76,13373200,0.0,0
2010-01-28,50.95,51.09,49.81,50.45,12828800,0.0,0
2010-01-29,50.65,51.02,49.42,49.68,15265600,0.0,0
2010-02-01,50.07,50.79,49.69,50.68,11828500,0.0,0
2010-02-02,50.79,51.37,50.28,51.28,12947600,0.0,0
2010-02-03,51.09,51.22,50.32,50.43,14540300,0.0,0
2010-02-04,49.98,50.16,48.95,49.16,15248400,0.0,0
2010-02-05,48.9,49.07,47.91,49.03,17307000,0.0,0
2010-02-08,49.07,49.21,48.3,48.3,11595600,0.0,0
2010-02-09,48.83,49.61,48.78,49.12,13051900,0.0,0
2010-02-10,48.92,49.06,48.22,48.73,11618700,0.0,0
2010-02-11,48.71,49.67,48.43,49.41,11273800,0.0,0
2010-02-12,49.05,49.58,48.79,49.38,13809100,0.68,0
2010-02-16,50.06,50.99,50.02,50.76,14230800,0.0,0
2010-02-17,50.92,51.06,50.39,50.65,8728000,0.0,0
2010-02-18,50.55,51.26,50.3,51.19,9848000,0.0,0
2010-02-19,51.07,51.72,50.91,51.49,13113200,0.0,0
2010-02-22,51.58,51.61,50.62,50.73,8683400,0.0,0
2010-02-23,50.48,50.71,49.91,50.1,11907600,0.0,0
2010-02-24,50.15,50.38,49.8,50.3,8921000,0.0,0
2010-02-25,49.5,50.2,49.22,50.14,11761100,0.0,0
2010-02-26,50.2,50.55,49.94,50.28,8978800,0.0,0
2010-03-01,50.51,50.89,50.34,50.63,7428100,0.0,0
2010-03-02,50.89,51.4,50.77,50.99,9257200,0.0,0
2010-03-03,51.2,51.35,50.8,50.85,8194200,0.0,0
2010-03-04,50.81,51.11,50.56,50.82,9419900,0.0,0
2010-03-05,51.15,51.78,51.12,51.67,8750200,0.0,0
2010-03-08,51.8,52.07,51.56,51.9,6474000,0.0,0
2010-03-09,51.67,52.09,51.46,51.67,8480100,0.0,0
2010-03-10,51.56,51.69,50.94,51.43,14652900,0.0,0
2010-03-11,51.51,51.52,51.15,51.45,7024700,0.0,0
2010-03-12,51.58,51.62,51.12,51.26,7681900,0.0,0
2010-03-15,51.12,51.2,50.66,51.16,8807600,0.0,0
2010-03-16,51.39,51.54,51.05,51.44,9828300,0.0,0
2010-03-17,51.58,52.2,51.57,51.92,10292000,0.0,0
2010-03-18,52.05,52.2,51.62,51.99,9916100,0.0,0
2010-03-19,52.14,52.26,51.38,52.14,16610700,0.0,0
2010-03-22,51.58,52.07,51.46,51.78,9317900,0.0,0
2010-03-23,51.76,52.01,51.48,51.99,8006700,0.0,0
2010-03-24,51.65,51.81,51.3,51.41,8997600,0.0,0
2010-03-25,51.74,51.89,51.24,51.32,10510300,0.0,0
2010-03-26,51.46,52.07,51.33,51.76,10411500,0.0,0
2010-03-29,51.88,52.46,51.8,52.31,8818000,0.0,0
2010-03-30,52.34,52.5,52.13,52.36,6378100,0.0,0
2010-03-31,52.48,52.95,52.21,52.73,9875500,0.0,0
2010-04-01,53.13,53.63,53.09,53.33,7859300,0.0,0
2010-04-05,53.52,54.07,53.36,54.0,8108600,0.0,0
2010-04-06,53.94,54.24,53.68,54.16,6490000,0.0,0
2010-04-07,54.01,54.12,53.52,53.8,9431400,0.0,0
2010-04-08,53.5,54.24,53.29,54.0,6880500,0.0,0
2010-04-09,54.27,55.37,54.24,55.28,9804100,0.0,0
2010-04-12,55.28,56.19,55.19,55.93,10000000,0.0,0
2010-04-13,55.92,56.03,55.12,55.78,7978500,0.0,0
2010-04-14,55.95,56.05,55.65,56.03,7290400,0.0,0
2010-04-15,56.05,56.85,55.98,56.74,9702500,0.0,0
2010-04-16,56.65,56.95,55.82,56.15,12861900,0.0,0
2010-04-19,55.8,56.67,55.67,56.55,9335900,0.0,0
2010-04-20,56.9,57.27,56.78,57.06,11470000,0.0,0
2010-04-21,57.23,57.49,56.49,56.97,9416400,0.0,0
2010-04-22,56.4,56.64,56.08,56.46,9421100,0.0,0
2010-04-23,56.35,57.56,56.29,57.49,9918100,0.0,0
2010-04-26,57.38,57.81,57.26,57.43,9792600,0.0,0
2010-04-27,57.08,57.38,55.68,55.79,13042800,0.0,0
2010-04-28,56.06,56.27,55.53,56.06,12115700,0.0,0
2010-04-29,56.46,57.71,56.46,57.22,12274500,0.0,0
