Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.47,22.47,22.01,22.34,271500,0.0,0
2009-12-08,22.22,22.45,21.74,22.34,652900,0.0,0
2009-12-09,22.34,22.8,22.22,22.69,609400,0.0,0
2009-12-10,23.42,23.42,22.11,22.41,848400,0.0,0
2009-12-11,22.31,22.44,21.85,22.06,600300,0.0,0
2009-12-14,22.02,22.06,21.51,21.55,489100,0.0,0
2009-12-15,21.55,21.64,21.29,21.45,700100,0.0,0
2009-12-16,21.59,21.79,21.32,21.49,585400,0.0,0
2009-12-17,21.51,21.51,20.87,21.21,634000,0.0,0
2009-12-18,21.37,21.37,20.9,21.34,2105100,0.0,0
2009-12-21,21.27,21.37,20.96,21.37,536400,0.0,0
2009-12-22,21.35,21.37,21.08,21.18,766100,0.0,0
2009-12-23,21.95,21.98,21.18,21.19,1103000,0.0,0
2009-12-24,21.23,21.37,20.89,20.94,254300,0.0,0
2009-12-28,20.94,21.44,20.94,21.38,804300,0.0,0
2009-12-29,21.45,21.55,21.3,21.37,123500,0.0,0
2009-12-30,21.29,21.55,21.29,21.37,173300,0.0,0
2009-12-31,21.55,21.59,21.16,21.2,156700,0.0,0
2010-01-04,21.32,22.12,21.18,21.82,437200,0.0,0
2010-01-05,21.74,21.99,21.71,21.99,283600,0.0,0
2010-01-06,22.31,22.59,22.13,22.29,968100,0.0,0
2010-01-07,22.26,22.48,22.12,22.44,360700,0.0,0
2010-01-08,22.35,22.83,22.05,22.57,967300,0.0,0
2010-01-11,22.55,22.76,22.46,22.69,253500,0.0,0
2010-01-12,22.55,22.69,22.27,22.64,517700,0.0,0
2010-01-13,22.64,23.07,22.51,22.97,596300,0.0,0
2010-01-14,22.86,22.88,22.62,22.88,201500,0.0,0
2010-01-15,23.1,23.16,22.78,23.03,202100,0.0,0
2010-01-19,23.07,23.54,22.91,23.21,679300,0.0,0
2010-01-20,23.17,23.45,22.93,23.17,589800,0.0,0
2010-01-21,23.19,23.37,22.59,22.67,203300,0.0,0
2010-01-22,22.68,22.73,21.53,22.06,892700,0.0,0
2010-01-25,22.35,22.35,21.8,22.07,119500,0.0,0
2010-01-26,22.12,22.39,22.05,22.24,164800,0.0,0
2010-01-27,22.31,22.31,22.09,22.26,175300,0.0,0
2010-01-28,22.49,22.8,22.11,22.54,131400,0.0,0
2010-01-29,22.69,22.69,21.96,22.21,337800,0.0,0
2010-02-01,22.39,22.39,21.87,22.09,407500,0.0,0
2010-02-02,22.06,22.42,21.92,22.34,208300,0.0,0
2010-02-03,22.31,22.56,22.13,22.54,827700,0.0,0
2010-02-04,22.35,22.45,21.13,21.24,714000,0.0,0
2010-02-05,21.19,21.34,20.14,20.52,1137100,0.0,0
2010-02-08,20.68,21.39,20.57,21.17,208100,0.0,0
2010-02-09,21.26,21.52,21.05,21.33,220700,0.0,0
2010-02-10,21.16,21.16,20.68,20.85,403900,0.0,0
2010-02-11,20.77,20.97,20.75,20.85,107600,0.0,0
2010-02-12,20.71,21.32,20.68,21.32,125600,0.0,0
2010-02-16,21.41,21.81,21.05,21.77,248000,0.0,0
2010-02-17,21.78,22.11,21.36,21.52,189800,0.0,0
2010-02-18,21.4,22.22,21.27,22.01,121400,0.0,0
2010-02-19,22.02,22.65,22.02,22.29,187600,0.0,0
2010-02-22,22.22,22.24,21.83,21.97,155500,0.0,0
2010-02-23,21.93,22.43,21.84,22.35,134300,0.0,0
2010-02-24,22.51,23.02,22.45,22.84,208400,0.0,0
2010-02-25,22.52,22.75,22.24,22.5,258000,0.0,0
2010-02-26,22.6,22.65,22.23,22.58,265000,0.0,0
2010-03-01,22.7,23.23,22.58,22.77,271500,0.0,0
