Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,17.94,18.09,17.84,17.91,4048500,0.0,0.0
2009-12-08,17.78,17.78,17.5,17.65,5189700,0.0,0.0
2009-12-09,17.67,17.91,17.58,17.88,9498100,0.0,0.0
2009-12-10,17.73,17.94,17.64,17.84,4615700,0.0,0.0
2009-12-11,17.89,17.96,17.78,17.83,3062700,0.0,0.0
2009-12-14,17.91,18.08,17.85,18.03,3993900,0.0,0.0
2009-12-15,17.94,18.15,17.86,18.0,3954600,0.0,0.0
2009-12-16,18.03,18.21,17.92,18.02,4545800,0.0,0.0
2009-12-17,18.11,18.52,17.88,18.42,10852200,0.0,0.0
2009-12-18,18.43,18.62,18.4,18.59,8050100,0.0,0.0
2009-12-21,18.62,18.83,18.62,18.82,6565700,0.0,0.0
2009-12-22,18.86,18.94,18.68,18.71,3173200,0.0,0.0
2009-12-23,18.79,18.8,18.58,18.75,3438800,0.0,0.0
2009-12-24,18.85,18.9,18.64,18.82,923000,0.0,0.0
2009-12-28,18.84,18.85,18.66,18.75,2100100,0.0,0.0
2009-12-29,18.71,18.84,18.68,18.76,2435400,0.01516,0.0
2009-12-30,18.65,18.85,18.65,18.75,2266300,0.0,0.0
2009-12-31,18.78,18.79,18.61,18.61,1719700,0.0,0.0
2010-01-04,18.68,18.73,18.44,18.6,5202600,0.0,0.0
2010-01-05,18.56,18.59,18.39,18.58,4502200,0.0,0.0
2010-01-06,18.5,18.63,18.36,18.61,4960700,0.0,0.0
2010-01-07,18.62,18.8,18.61,18.76,4388800,0.0,0.0
2010-01-08,18.67,19.05,18.52,19.03,5938600,0.0,0.0
2010-01-11,19.2,19.31,19.06,19.24,4699300,0.0,0.0
2010-01-12,19.11,19.27,18.92,18.97,5084200,0.0,0.0
2010-01-13,18.98,19.11,18.91,19.02,3321700,0.0,0.0
2010-01-14,19.01,19.14,18.94,19.1,2509000,0.0,0.0
2010-01-15,19.12,19.22,18.82,18.86,4630400,0.0,0.0
2010-01-19,18.88,19.05,18.81,19.01,3843300,0.0,0.0
2010-01-20,18.88,18.89,18.67,18.81,2708900,0.0,0.0
2010-01-21,18.77,18.88,18.48,18.49,4338900,0.0,0.0
2010-01-22,18.43,18.47,18.17,18.18,5012700,0.0,0.0
2010-01-25,18.38,18.54,18.27,18.44,4492700,0.0,0.0
2010-01-26,18.43,18.49,18.25,18.33,3618200,0.0,0.0
2010-01-27,18.27,18.39,18.04,18.36,3888400,0.0,0.0
2010-01-28,17.88,18.31,17.76,18.03,6988300,0.0,0.0
2010-01-29,18.05,18.07,17.64,17.66,5985000,0.0,0.0
2010-02-01,17.73,17.81,17.59,17.78,6601800,0.0,0.0
2010-02-02,17.83,18.11,17.72,18.08,5573300,0.0,0.0
2010-02-03,17.94,18.1,17.82,18.04,4256600,0.0,0.0
