Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-20,50.49,51.21,47.38,47.67,2350800,0.0,0
2019-03-21,47.85,47.86,46.13,46.88,1764700,0.0,0
2019-03-22,46.71,47.81,46.1,46.52,844700,0.0,0
2019-03-25,46.52,47.28,45.94,47.04,440900,0.0,0
2019-03-26,46.9,47.62,46.12,46.76,504700,0.0,0
2019-03-27,46.9,48.6,46.9,47.95,1788600,0.0,0
2019-03-28,48.72,48.81,47.78,48.67,585400,0.0,0
2019-03-29,47.4,50.23,47.07,49.42,1769000,0.0,0
2019-04-01,50.06,52.06,49.05,51.21,19663400,0.0,0
2019-04-02,52.76,54.93,51.97,53.84,17414200,0.0,0
2019-04-03,54.63,54.75,53.13,54.44,15066200,0.0,0
2019-04-04,54.75,57.93,54.65,57.15,13309200,0.0,0
2019-04-05,55.89,56.45,53.86,54.79,17000800,0.0,0
2019-04-08,54.08,55.89,53.86,54.7,10764600,0.0,0
2019-04-09,54.37,54.75,53.68,53.86,9179900,0.0,0
2019-04-10,53.59,53.99,52.74,53.32,9080900,0.0,0
2019-04-11,53.31,53.8,52.48,52.54,7346100,0.0,0
2019-04-12,53.53,55.83,53.53,55.8,9281700,0.0,0
2019-04-15,56.06,56.33,54.83,55.3,5727300,0.0,0
2019-04-16,56.19,56.46,55.36,55.99,6681600,0.0,0
2019-04-17,56.42,56.52,55.71,55.82,6420700,0.0,0
2019-04-18,55.86,56.1,55.08,55.29,5178800,0.0,0
2019-04-22,55.02,55.91,54.81,55.41,4401700,0.0,0
2019-04-23,54.83,55.36,54.56,55.17,5687200,0.0,0
2019-04-24,55.03,55.41,53.47,53.58,5431300,0.0,0
2019-04-25,53.37,53.58,52.47,52.96,6260500,0.0,0
2019-04-26,52.93,53.22,52.6,52.88,4009800,0.0,0
2019-04-29,52.69,53.3,52.45,53.12,5935200,0.0,0
2019-04-30,53.37,54.75,53.22,54.3,6454100,0.0,0
2019-05-01,54.39,55.02,53.49,53.72,7644400,0.0,0
2019-05-02,53.16,54.07,49.8,50.44,13932700,0.0,0
2019-05-03,50.92,51.06,49.5,51.02,7401700,0.0,0
2019-05-06,49.92,51.71,49.48,51.17,6089500,0.0,0
2019-05-07,50.59,51.04,50.39,50.68,7330800,0.0,0
2019-05-08,51.04,51.11,50.07,50.23,5390700,0.0,0
2019-05-09,50.02,50.86,49.34,50.66,4579700,0.0,0
2019-05-10,50.67,51.41,50.24,50.8,4758100,0.0,0
2019-05-13,50.04,50.3,48.58,48.77,4213100,0.0,0
2019-05-14,49.13,50.73,48.66,50.23,4204500,0.0,0
2019-05-15,49.75,51.04,49.46,50.68,2928700,0.0,0
2019-05-16,51.01,51.26,50.47,50.71,3689700,0.0,0
2019-05-17,50.1,50.27,48.49,48.62,4440800,0.0,0
2019-05-20,48.24,48.37,47.78,47.93,5168400,0.0,0
2019-05-21,48.13,49.0,47.88,48.46,4968400,0.0,0
2019-05-22,48.3,48.44,47.82,48.06,3019100,0.0,0
2019-05-23,47.38,47.72,46.14,46.62,4919200,0.0,0
2019-05-24,47.27,47.45,46.36,47.09,2918900,0.0,0
2019-05-28,47.25,47.31,46.04,46.48,6613000,0.0,0
2019-05-29,46.13,47.31,45.95,46.62,3525900,0.0,0
2019-05-30,46.73,47.19,46.63,47.07,3777600,0.7,0
2019-05-31,46.57,46.61,45.4,45.41,3396900,0.0,0
2019-06-03,45.5,46.57,45.5,46.57,5905200,0.0,0
2019-06-04,47.27,48.49,47.23,48.49,7043000,0.0,0
2019-06-05,49.03,49.11,47.63,48.89,6413300,0.0,0
2019-06-06,48.83,49.83,48.7,49.58,6228100,0.0,0
2019-06-07,49.65,50.2,49.4,49.82,5391100,0.0,0
2019-06-10,50.23,50.59,50.09,50.13,5434400,0.0,0
