Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.3,35.81,35.1,35.59,2229300,0.0,0.0
2009-12-08,35.61,35.83,35.28,35.73,2707400,0.0,0.0
2009-12-09,35.65,35.83,35.55,35.73,2203600,0.0,0.0
2009-12-10,35.83,36.26,35.75,36.18,1731200,0.0,0.0
2009-12-11,36.37,36.63,36.06,36.47,2495200,0.0,0.0
2009-12-14,36.74,36.74,35.94,36.24,3537100,0.0,0.0
2009-12-15,36.04,36.35,35.98,36.14,2249200,0.0,0.0
2009-12-16,36.55,36.72,35.9,35.94,3010100,0.0,0.0
2009-12-17,35.83,35.88,35.4,35.49,3260200,0.0,0.0
2009-12-18,35.49,35.73,35.14,35.61,3115000,0.0,0.0
2009-12-21,35.61,35.96,35.57,35.57,1418700,0.0,0.0
2009-12-22,35.81,35.81,35.22,35.34,2124700,0.0,0.0
2009-12-23,35.28,35.53,35.14,35.3,1679700,0.0,0.0
2009-12-24,35.3,35.51,35.26,35.36,743000,0.0,0.0
2009-12-28,35.38,35.63,35.38,35.51,1743600,0.0,0.0
2009-12-29,35.51,35.67,35.43,35.61,1223900,0.0,0.0
2009-12-30,35.49,35.71,35.43,35.67,1030600,0.0,0.0
2009-12-31,35.69,35.83,35.24,35.24,1518900,0.0,0.0
2010-01-04,35.24,35.4,34.63,34.75,4152100,0.0,0.0
2010-01-05,34.83,34.83,34.05,34.18,3872300,0.0,0.0
2010-01-06,34.11,34.52,34.07,34.3,3486500,0.0,0.0
2010-01-07,34.34,34.52,34.2,34.46,2376000,0.0,0.0
2010-01-08,34.28,34.48,34.16,34.48,1654100,0.0,0.0
2010-01-11,34.5,34.91,34.46,34.83,2195600,0.0,0.0
2010-01-12,34.77,35.04,34.59,34.87,2650900,0.0,0.0
2010-01-13,35.0,35.2,34.63,34.95,3035200,0.0,0.0
2010-01-14,35.04,35.1,34.71,34.95,1919700,0.0,0.0
2010-01-15,34.57,34.93,34.16,34.61,4349900,0.0,0.0
2010-01-19,34.79,35.02,34.48,35.0,1858200,0.0,0.0
2010-01-20,34.83,34.83,34.28,34.67,2628600,0.0,0.0
2010-01-21,34.69,34.79,34.07,34.16,3958200,0.0,0.0
2010-01-22,34.16,34.38,33.83,33.89,3927200,0.0,0.0
2010-01-25,34.2,34.24,33.75,34.11,2257600,0.0,0.0
2010-01-26,34.14,34.52,33.91,34.42,2827100,0.0,0.0
2010-01-27,34.36,34.4,33.95,34.28,2935800,0.0,0.0
2010-01-28,34.34,34.36,33.89,34.03,2354500,0.0,0.0
2010-01-29,34.28,34.3,33.83,33.85,3044200,0.0,0.0
2010-02-01,33.91,34.09,33.6,34.09,1872000,0.0,0.0
2010-02-02,33.97,34.36,33.64,34.32,2775300,0.0,0.0
2010-02-03,34.34,34.34,33.95,34.07,1572400,0.0,0.0
2010-02-04,34.01,34.14,33.52,33.52,2519800,0.0,0.0
2010-02-05,33.58,33.68,33.03,33.42,2997700,0.0,0.0
2010-02-08,33.48,33.89,33.28,33.42,3194600,0.0,0.0
2010-02-09,33.62,34.52,33.48,33.91,5056200,0.0,0.0
2010-02-10,33.66,33.89,33.23,33.37,3547300,0.24,0.0
2010-02-11,33.25,33.52,32.96,33.35,3105300,0.0,0.0
2010-02-12,33.25,33.48,33.0,33.23,3110900,0.0,0.0
2010-02-16,33.48,33.81,33.35,33.44,3638900,0.0,0.0
2010-02-17,33.6,33.64,33.13,33.29,2367300,0.0,0.0
2010-02-18,33.23,33.6,33.17,33.6,2296700,0.0,0.0
2010-02-19,33.54,34.22,33.35,34.18,2960900,0.0,0.0
2010-02-22,34.26,34.26,33.75,33.81,2671900,0.0,0.0
2010-02-23,33.81,33.93,33.6,33.64,2054200,0.0,0.0
2010-02-24,33.64,33.93,33.42,33.85,2645800,0.0,0.0
2010-02-25,33.62,33.72,33.33,33.7,2568000,0.0,0.0
2010-02-26,33.64,33.89,33.54,33.64,2503300,0.0,0.0
2010-03-01,33.77,33.99,33.62,33.93,1792600,0.0,0.0
2010-03-02,34.18,34.18,33.75,33.83,2048300,0.0,0.0
2010-03-03,33.83,34.07,33.66,33.75,2228000,0.0,0.0
2010-03-04,33.7,33.87,33.4,33.6,2274500,0.0,0.0
2010-03-05,33.62,33.87,33.54,33.87,2139400,0.0,0.0
2010-03-08,33.93,34.03,33.79,34.01,1036500,0.0,0.0
2010-03-09,33.93,33.99,33.81,33.89,1229600,0.0,0.0
