Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.63,15.67,15.52,15.59,2385900,0.0,0.0
2009-12-08,15.49,15.51,15.35,15.43,2506600,0.0,0.0
2009-12-09,15.4,15.54,15.28,15.52,1760000,0.0,0.0
2009-12-10,15.57,15.68,15.53,15.61,1212400,0.0,0.0
2009-12-11,15.69,15.72,15.59,15.63,994800,0.0,0.0
2009-12-14,15.75,15.83,15.65,15.82,1306200,0.0,0.0
2009-12-15,15.79,15.83,15.61,15.71,1298900,0.0,0.0
2009-12-16,15.75,15.91,15.75,15.81,1310300,0.0,0.0
2009-12-17,15.65,15.78,15.6,15.66,1409500,0.0,0.0
2009-12-18,15.79,15.79,15.49,15.61,2613300,0.0,0.0
2009-12-21,15.61,15.84,15.61,15.73,1082400,0.0,0.0
2009-12-22,15.9,15.97,15.87,15.93,1198400,0.0,0.0
2009-12-23,15.97,16.15,15.95,16.15,1056900,0.0,0.0
2009-12-24,16.21,16.24,16.11,16.24,308300,0.0,0.0
2009-12-28,16.23,16.3,16.17,16.29,1027100,0.0,0.0
2009-12-29,16.35,16.35,16.23,16.24,1019800,0.0,0.0
2009-12-30,16.18,16.28,16.17,16.28,790800,0.0,0.0
2009-12-31,16.28,16.28,16.12,16.12,797000,0.0,0.0
2010-01-04,16.24,16.25,16.11,16.18,1706200,0.0,0.0
2010-01-05,16.21,16.24,16.05,16.17,1400000,0.0,0.0
2010-01-06,16.19,16.24,16.1,16.23,1748400,0.0,0.0
2010-01-07,16.14,16.22,16.01,16.07,1515900,0.0,0.0
2010-01-08,16.03,16.03,15.87,16.03,1412500,0.0,0.0
2010-01-11,16.05,16.12,15.86,15.93,1298600,0.0,0.0
2010-01-12,15.87,15.87,15.67,15.76,1804600,0.0,0.0
2010-01-13,15.77,15.97,15.75,15.92,1203900,0.0,0.0
2010-01-14,15.94,16.01,15.83,15.98,1453500,0.0,0.0
2010-01-15,15.95,15.98,15.62,15.68,1624600,0.0,0.0
2010-01-19,15.65,15.98,15.61,15.98,1848500,0.0,0.0
2010-01-20,15.85,15.85,15.68,15.83,1619400,0.0,0.0
2010-01-21,15.82,15.87,15.36,15.41,2615400,0.0,0.0
2010-01-22,15.38,15.38,14.9,14.92,2542500,0.0,0.0
2010-01-25,14.98,15.04,14.77,14.91,2322200,0.0,0.0
2010-01-26,14.89,14.89,14.77,14.78,2043900,0.0,0.0
2010-01-27,14.77,14.82,14.55,14.69,3069500,0.0,0.0
2010-01-28,14.77,14.79,14.43,14.61,2239800,0.0,0.0
2010-01-29,14.7,14.7,14.35,14.38,2218800,0.0,0.0
2010-02-01,14.46,14.74,14.29,14.71,2926900,0.0,0.0
2010-02-02,14.7,14.88,14.62,14.87,1852300,0.0,0.0
2010-02-03,14.82,14.89,14.71,14.82,1116400,0.0,0.0
2010-02-04,14.7,14.76,14.37,14.37,2053100,0.0,0.0
2010-02-05,14.38,14.43,14.16,14.39,2241500,0.0,0.0
2010-02-08,14.59,14.81,14.42,14.48,2479900,0.0,0.0
2010-02-09,14.61,14.78,14.49,14.71,2483500,0.0,0.0
2010-02-10,15.04,15.04,14.52,14.61,3337800,0.0,0.0
2010-02-11,14.57,14.7,14.4,14.64,2335500,0.0,0.0
2010-02-12,14.5,14.56,14.15,14.37,3184800,0.0,0.0
2010-02-16,14.45,14.62,14.36,14.62,1894400,0.0,0.0
2010-02-17,14.65,14.66,14.53,14.59,1712800,0.0,0.0
2010-02-18,14.59,14.68,14.54,14.66,1334800,0.0,0.0
2010-02-19,14.61,14.77,14.51,14.7,1823300,0.0,0.0
2010-02-22,14.59,14.74,14.58,14.66,1686400,0.0,0.0
2010-02-23,14.64,14.7,14.48,14.62,1910200,0.0,0.0
2010-02-24,14.64,14.66,14.5,14.54,2263200,0.0,0.0
2010-02-25,14.35,14.43,14.21,14.4,1654200,0.0,0.0
2010-02-26,14.39,14.53,14.32,14.51,1892000,0.0,0.0
2010-03-01,14.51,14.76,14.48,14.7,2141000,0.0,0.0
2010-03-02,14.74,14.85,14.69,14.73,1766900,0.0,0.0
2010-03-03,14.79,14.79,14.63,14.66,2074200,0.0,0.0
2010-03-04,14.65,14.68,14.51,14.57,2237700,0.0,0.0
2010-03-05,14.63,14.85,14.61,14.84,1305000,0.0,0.0
2010-03-08,14.82,14.94,14.82,14.89,1501000,0.0,0.0
2010-03-09,14.85,14.98,14.79,14.93,1255900,0.0,0.0
2010-03-10,14.96,15.02,14.86,15.01,1709400,0.0,0.0
2010-03-11,14.94,15.02,14.87,15.02,1566300,0.0,0.0
2010-03-12,15.02,15.03,14.89,14.98,1134600,0.0,0.0
2010-03-15,14.95,15.04,14.89,15.01,989800,0.0,0.0
2010-03-16,15.05,15.06,14.94,15.04,1229500,0.0,0.0
2010-03-17,15.04,15.26,15.02,15.24,2132500,0.0,0.0
2010-03-18,15.25,15.31,15.19,15.26,1871100,0.0,0.0
2010-03-19,15.29,15.39,15.22,15.29,3289500,0.0,0.0
2010-03-22,15.18,15.46,15.13,15.42,2498100,0.0,0.0
2010-03-23,15.47,15.55,15.38,15.53,1816300,0.0,0.0
2010-03-24,15.49,15.49,15.36,15.38,2030000,0.0,0.0
2010-03-25,15.42,15.45,15.34,15.36,2921300,0.0,0.0
2010-03-26,15.38,15.41,15.28,15.29,2112000,0.0,0.0
2010-03-29,15.34,15.43,15.31,15.4,1152500,0.0,0.0
2010-03-30,15.41,15.43,15.33,15.41,1106900,0.0,0.0
2010-03-31,15.33,15.4,15.25,15.27,2287900,0.0,0.0
2010-04-01,15.19,15.44,15.02,15.2,9261100,0.0,0.0
2010-04-05,14.93,15.33,14.82,15.14,3816800,0.0,0.0
2010-04-06,15.04,15.16,15.02,15.1,3347300,0.0,0.0
2010-04-07,15.08,15.15,15.03,15.07,2968000,0.0,0.0
2010-04-08,15.0,15.07,14.89,15.04,2442200,0.0,0.0
2010-04-09,15.08,15.28,15.02,15.28,2092100,0.0,0.0
2010-04-12,15.26,15.41,15.23,15.36,3135300,0.0,0.0
2010-04-13,15.38,15.41,15.28,15.39,2446900,0.0,0.0
2010-04-14,15.42,15.58,15.34,15.56,3039400,0.0,0.0
2010-04-15,15.54,15.61,15.44,15.61,3775100,0.0,0.0
2010-04-16,15.58,15.59,15.43,15.47,2843400,0.0,0.0
2010-04-19,15.4,15.41,15.24,15.37,2897900,0.0,0.0
2010-04-20,15.45,15.49,15.33,15.47,2325100,0.0,0.0
2010-04-21,15.52,15.52,15.36,15.49,1640200,0.0,0.0
2010-04-22,15.38,15.54,15.24,15.51,1861000,0.0,0.0
2010-04-23,15.49,15.59,15.37,15.58,1433000,0.0,0.0
2010-04-26,15.57,15.65,15.52,15.53,2046500,0.0,0.0
2010-04-27,15.44,15.49,15.14,15.17,1951500,0.0,0.0
2010-04-28,15.23,15.27,14.88,14.99,3250200,0.0,0.0
2010-04-29,15.06,15.08,14.92,15.06,2003100,0.0,0.0
2010-04-30,15.08,15.08,14.66,14.68,2166900,0.0,0.0
2010-05-03,14.8,14.8,14.52,14.55,2947100,0.0,0.0
2010-05-04,14.43,14.47,14.11,14.29,3050700,0.0,0.0
2010-05-05,14.13,14.35,14.13,14.28,2701100,0.0,0.0
2010-05-06,14.27,14.45,13.75,14.09,6192200,0.0,0.0
2010-05-07,14.11,14.16,13.74,13.89,5750600,0.0,0.0
2010-05-10,14.56,14.56,14.15,14.34,3647900,0.0,0.0
2010-05-11,14.18,14.43,14.17,14.26,2696400,0.0,0.0
2010-05-12,14.28,14.55,14.28,14.52,2365900,0.0,0.0
2010-05-13,14.52,14.58,14.36,14.37,1694900,0.0,0.0
2010-05-14,14.31,14.31,13.89,13.97,3487500,0.0,0.0
2010-05-17,13.97,14.11,13.82,13.97,3486300,0.0,0.0
2010-05-18,14.04,14.11,13.81,13.83,3421700,0.0,0.0
2010-05-19,13.82,13.92,13.68,13.76,3006200,0.0,0.0
2010-05-20,13.73,13.84,13.37,13.42,4707600,0.0,0.0
2010-05-21,13.28,14.01,13.18,13.94,6522400,0.0,0.0
2010-05-24,13.84,13.87,13.62,13.68,4496600,0.0,0.0
2010-05-25,13.37,13.52,13.2,13.51,6231400,0.0,0.0
2010-05-26,13.57,13.84,13.53,13.6,3960300,0.0,0.0
2010-05-27,13.83,13.97,13.76,13.97,2273200,0.0,0.0
2010-05-28,13.99,14.1,13.88,14.01,4057700,0.0,0.0
2010-06-01,13.86,13.93,13.41,13.43,4996800,0.0,0.0
