Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,25.21,25.65,25.21,25.38,1445700,0.0,0
2009-12-08,25.35,25.41,25.04,25.26,1919700,0.0,0
2009-12-09,25.2,25.36,25.06,25.36,1696400,0.0,0
2009-12-10,25.52,25.75,25.42,25.75,1834900,0.0,0
2009-12-11,25.74,26.32,25.65,26.29,2263000,0.0,0
2009-12-14,26.63,26.63,26.23,26.39,2005300,0.0,0
2009-12-15,26.16,26.31,26.08,26.2,1497200,0.0,0
2009-12-16,25.68,26.13,25.68,25.81,2793200,0.0,0
2009-12-17,25.71,25.79,25.51,25.7,2693400,0.0,0
2009-12-18,25.81,25.92,25.34,25.65,3618500,0.0,0
2009-12-21,25.78,25.94,25.68,25.79,1451600,0.0,0
2009-12-22,25.84,26.02,25.49,25.55,2108100,0.0,0
2009-12-23,25.65,25.71,25.46,25.6,1510100,0.0,0
2009-12-24,25.68,25.87,25.63,25.87,476500,0.0,0
2009-12-28,25.98,26.03,25.81,25.94,1361000,0.0,0
2009-12-29,26.12,26.17,25.93,25.95,1599700,0.315,0
2009-12-30,25.93,26.09,25.79,25.85,947900,0.0,0
2009-12-31,25.8,25.93,25.44,25.45,1289700,0.0,0
2010-01-04,25.66,25.71,25.39,25.44,1931500,0.0,0
2010-01-05,25.38,25.56,25.14,25.22,2485100,0.0,0
2010-01-06,25.24,25.6,25.16,25.53,2673000,0.0,0
2010-01-07,25.47,25.49,25.28,25.38,2059800,0.0,0
2010-01-08,25.31,25.4,25.08,25.25,1560100,0.0,0
2010-01-11,25.33,25.8,25.33,25.74,2939100,0.0,0
2010-01-12,25.64,25.82,25.57,25.71,2237200,0.0,0
2010-01-13,25.73,25.99,25.65,25.94,1535700,0.0,0
2010-01-14,25.87,25.96,25.73,25.93,1443700,0.0,0
2010-01-15,26.15,26.2,25.55,25.79,2461600,0.0,0
2010-01-19,25.77,26.21,25.74,26.18,1642900,0.0,0
2010-01-20,25.87,26.02,25.5,25.86,2026100,0.0,0
2010-01-21,25.96,26.1,25.34,25.53,2246300,0.0,0
2010-01-22,25.41,25.47,24.78,24.78,2568900,0.0,0
2010-01-25,25.03,25.14,24.72,24.95,1531600,0.0,0
2010-01-26,24.92,25.11,24.7,25.03,2691800,0.0,0
2010-01-27,24.94,24.99,24.56,24.92,1976900,0.0,0
2010-01-28,24.95,25.02,24.47,24.49,2243500,0.0,0
2010-01-29,24.57,24.78,24.35,24.38,2101200,0.0,0
2010-02-01,24.49,24.67,24.22,24.63,1843500,0.0,0
2010-02-02,24.68,24.88,24.41,24.88,1707600,0.0,0
2010-02-03,24.73,24.84,24.53,24.59,1710200,0.0,0
2010-02-04,24.44,24.47,23.77,23.78,2790700,0.0,0
2010-02-05,23.75,23.88,23.33,23.75,2013700,0.0,0
2010-02-08,23.84,23.86,23.48,23.51,1262300,0.0,0
2010-02-09,23.69,24.11,23.64,23.82,1441900,0.0,0
2010-02-10,23.79,23.83,23.47,23.69,1158600,0.0,0
2010-02-11,23.69,23.9,23.42,23.84,1898100,0.0,0
2010-02-12,23.8,23.86,23.56,23.85,1893500,0.0,0
2010-02-16,23.97,24.41,23.94,24.4,1511800,0.0,0
2010-02-17,24.75,24.76,24.28,24.38,1622500,0.0,0
2010-02-18,24.31,24.81,24.31,24.59,1542600,0.0,0
2010-02-19,24.48,25.17,24.43,25.06,2108100,0.0,0
2010-02-22,25.09,25.25,24.73,24.74,1766200,0.0,0
2010-02-23,24.65,24.77,24.33,24.37,1862800,0.0,0
2010-02-24,24.39,24.51,24.08,24.28,2401700,0.0,0
2010-02-25,23.93,24.02,23.67,23.96,2907500,0.0,0
2010-02-26,23.99,24.15,23.81,23.88,2342800,0.0,0
2010-03-01,24.06,24.43,24.06,24.38,2437000,0.0,0
2010-03-02,24.49,24.66,24.21,24.32,2757300,0.0,0
2010-03-03,24.4,24.68,24.28,24.37,2330000,0.0,0
2010-03-04,24.37,24.42,24.18,24.24,2395800,0.0,0
2010-03-05,24.35,24.74,24.3,24.72,2180700,0.0,0
2010-03-08,24.81,24.81,24.54,24.56,1746900,0.0,0
2010-03-09,24.55,24.64,24.46,24.56,2055700,0.0,0
2010-03-10,24.9,25.06,24.73,24.95,2877300,0.0,0
2010-03-11,25.08,25.14,24.84,25.07,2127900,0.0,0
2010-03-12,25.19,25.19,24.73,24.73,1685900,0.0,0
2010-03-15,24.68,24.94,24.62,24.94,2088200,0.0,0
2010-03-16,24.89,25.17,24.72,25.15,1581400,0.0,0
2010-03-17,25.14,25.46,25.08,25.4,1981700,0.0,0
2010-03-18,25.38,25.55,25.11,25.25,2244800,0.0,0
2010-03-19,25.18,25.38,24.96,25.18,3080500,0.0,0
2010-03-22,25.08,25.2,24.98,25.05,2256800,0.0,0
2010-03-23,25.04,25.29,24.99,25.23,2226600,0.0,0
2010-03-24,25.13,25.22,24.94,24.95,2146100,0.0,0
2010-03-25,25.05,25.16,24.74,24.76,1861300,0.0,0
2010-03-26,24.86,24.92,24.62,24.89,1881700,0.0,0
2010-03-29,24.96,25.29,24.88,25.26,1784600,0.315,0
2010-03-30,25.23,25.53,25.23,25.49,1809000,0.0,0
2010-03-31,25.4,25.46,25.16,25.24,1928500,0.0,0
2010-04-01,25.37,25.55,25.25,25.33,1398800,0.0,0
2010-04-05,25.39,25.45,25.25,25.4,1193700,0.0,0
2010-04-06,25.29,25.61,25.19,25.61,1318900,0.0,0
2010-04-07,25.53,25.59,25.29,25.39,1699900,0.0,0
2010-04-08,25.31,25.39,25.16,25.36,1152700,0.0,0
2010-04-09,25.33,25.33,25.09,25.27,1133300,0.0,0
2010-04-12,25.32,25.55,25.31,25.45,1373900,0.0,0
2010-04-13,25.39,25.45,25.11,25.38,1222000,0.0,0
2010-04-14,25.3,25.44,25.15,25.43,1670400,0.0,0
2010-04-15,25.35,25.61,25.21,25.5,2034000,0.0,0
2010-04-16,25.47,25.49,25.02,25.06,2277300,0.0,0
2010-04-19,24.98,25.12,24.87,25.0,1951500,0.0,0
2010-04-20,25.09,25.27,25.05,25.19,2124500,0.0,0
2010-04-21,25.2,25.39,25.16,25.33,2261100,0.0,0
2010-04-22,25.22,25.22,24.96,25.18,2269500,0.0,0
2010-04-23,25.11,25.4,25.0,25.39,1796400,0.0,0
2010-04-26,25.32,25.42,25.18,25.18,1701400,0.0,0
2010-04-27,25.11,25.17,24.58,24.58,2109000,0.0,0
2010-04-28,24.66,24.95,24.54,24.66,2587400,0.0,0
2010-04-29,24.78,25.05,24.77,24.91,2105300,0.0,0
2010-04-30,24.96,25.57,24.9,25.39,2848100,0.0,0
2010-05-03,25.47,25.66,25.28,25.62,2606300,0.0,0
2010-05-04,25.35,25.46,24.79,24.86,2454500,0.0,0
2010-05-05,24.78,25.02,24.67,24.87,2230900,0.0,0
2010-05-06,24.77,24.93,23.18,24.1,4770200,0.0,0
2010-05-07,24.14,24.83,23.62,24.4,4055700,0.0,0
