Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.33,21.61,21.14,21.43,4384800,0.0,0.0
2009-12-08,21.35,21.35,20.77,20.9,6750800,0.0,0.0
2009-12-09,21.03,21.09,20.57,20.76,3302000,0.0,0.0
2009-12-10,20.79,21.14,20.79,21.05,4932600,0.0,0.0
2009-12-11,21.21,21.66,21.1,21.53,3528800,0.0,0.0
2009-12-14,21.73,22.03,21.66,21.96,3947400,0.0,0.0
2009-12-15,21.9,21.93,21.73,21.8,2567200,0.0,0.0
2009-12-16,21.92,22.09,21.62,21.64,2353600,0.0,0.0
2009-12-17,21.54,21.55,21.0,21.03,3092200,0.0,0.0
2009-12-18,21.12,21.12,20.57,20.74,3995600,0.0,0.0
2009-12-21,20.77,21.17,20.77,20.95,2784800,0.0,0.0
2009-12-22,20.9,21.12,20.84,21.0,2945800,0.0,0.0
2009-12-23,21.07,21.16,20.99,21.11,1582200,0.0,0.0
2009-12-24,21.15,21.4,21.15,21.31,382600,0.0,0.0
2009-12-28,21.35,21.58,21.35,21.53,2199200,0.0,0.0
2009-12-29,21.51,21.77,21.44,21.59,1600000,0.0,0.0
2009-12-30,21.52,21.58,21.38,21.48,1166000,0.0,0.0
2009-12-31,21.51,21.6,21.12,21.12,1148000,0.0,0.0
2010-01-04,21.27,21.35,21.07,21.2,3508400,0.0,0.0
2010-01-05,21.14,21.18,20.81,21.12,3246000,0.0,0.0
2010-01-06,21.24,21.35,21.03,21.18,4447200,0.0,0.0
2010-01-07,21.15,21.49,20.91,21.45,3864800,0.0,0.0
2010-01-08,21.35,21.56,21.21,21.54,2221600,0.0,0.0
2010-01-11,21.61,21.76,21.2,21.74,3271600,0.0,0.0
2010-01-12,21.66,22.02,21.55,21.65,3761000,0.0,0.0
2010-01-13,21.7,21.88,21.56,21.83,3205800,0.0,0.0
2010-01-14,21.82,21.91,21.59,21.79,3004000,0.0,0.0
2010-01-15,21.86,22.01,21.62,21.73,4555600,0.0,0.0
2010-01-19,21.75,22.04,21.59,21.83,3195800,0.0,0.0
2010-01-20,21.63,21.73,21.31,21.42,3143400,0.0,0.0
2010-01-21,22.95,23.49,22.84,23.38,17290600,0.0,0.0
2010-01-22,23.36,23.58,23.1,23.22,5699200,0.0,0.0
2010-01-25,23.42,23.51,23.13,23.22,4302400,0.0,0.0
2010-01-26,23.21,23.57,23.08,23.39,4617800,0.0,0.0
2010-01-27,23.34,23.48,23.04,23.43,3802800,0.0,0.0
2010-01-28,23.22,23.47,23.06,23.17,5303000,0.0,0.0
2010-01-29,23.27,23.28,22.76,22.94,5374800,0.0,0.0
2010-02-01,23.08,23.56,22.91,23.5,5915800,0.0,0.0
2010-02-02,23.38,24.59,23.38,24.46,7339800,0.0,0.0
2010-02-03,24.28,24.86,24.16,24.71,5416200,0.0,0.0
2010-02-04,24.49,24.63,24.21,24.39,5238000,0.0,0.0
2010-02-05,24.3,24.33,23.68,24.2,4525400,0.0,0.0
2010-02-08,24.2,24.89,24.18,24.32,4760600,0.0,0.0
2010-02-09,24.51,24.73,24.27,24.57,5144200,0.0,0.0
2010-02-10,24.42,24.7,24.24,24.49,3846200,0.0,0.0
2010-02-11,24.49,24.87,24.3,24.84,3272600,0.0,0.0
2010-02-12,24.54,24.83,24.39,24.75,3844800,0.0,0.0
2010-02-16,24.87,25.53,24.87,25.49,3086200,0.0,0.0
2010-02-17,25.56,25.77,25.46,25.71,2646800,0.0,0.0
2010-02-18,25.66,26.05,25.61,25.99,3067600,0.0,0.0
2010-02-19,25.94,25.94,25.63,25.7,2963200,0.0,0.0
2010-02-22,25.7,25.9,25.69,25.81,2258400,0.0,0.0
2010-02-23,25.76,25.98,25.59,25.62,2486000,0.0,0.0
2010-02-24,25.73,26.24,25.73,26.21,4780200,0.0,0.0
2010-02-25,26.04,26.51,25.77,26.46,4276800,0.0,0.0
2010-02-26,26.53,26.53,26.21,26.26,2507800,0.0,0.0
2010-03-01,26.4,27.18,26.33,27.15,6075200,0.0,0.0
2010-03-02,27.13,27.17,26.84,26.95,5706000,0.0,0.0
2010-03-03,26.91,27.03,26.67,26.72,2958400,0.0,0.0
2010-03-04,26.8,26.91,26.64,26.68,3211200,0.0,0.0
2010-03-05,26.83,27.06,26.37,26.93,2567800,0.0,0.0
2010-03-08,27.08,27.23,26.77,27.23,2747200,0.0,0.0
2010-03-09,27.08,27.16,26.84,26.93,2561000,0.0,0.0
2010-03-10,26.85,27.11,26.78,27.02,2232000,0.0,0.0
2010-03-11,26.97,27.64,26.95,27.6,3195600,0.0,0.0
2010-03-12,27.67,27.77,27.49,27.74,2061000,0.0,0.0
2010-03-15,27.74,27.75,27.3,27.56,3338000,0.0,0.0
2010-03-16,27.55,27.74,27.46,27.71,2054000,0.0,0.0
2010-03-17,27.72,28.04,27.68,27.92,1851200,0.0,0.0
2010-03-18,27.95,28.08,27.69,27.87,1728800,0.0,0.0
2010-03-19,27.57,28.39,27.4,27.57,2724200,0.0,0.0
