Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.72,31.13,30.69,30.72,3755300,0.0,0
2009-12-08,30.65,30.65,29.8,29.88,5232400,0.0,0
2009-12-09,29.85,30.26,29.65,30.24,5037300,0.0,0
2009-12-10,30.49,30.71,30.37,30.52,3152200,0.0,0
2009-12-11,30.59,30.88,30.5,30.73,3817800,0.0,0
2009-12-14,30.82,31.1,30.82,31.03,2840700,0.0,0
2009-12-15,30.99,30.99,30.73,30.89,2867300,0.0,0
2009-12-16,30.92,31.02,30.33,30.51,3976800,0.0,0
2009-12-17,30.33,30.54,30.11,30.37,4151700,0.0,0
2009-12-18,30.45,30.64,30.07,30.57,6327900,0.0,0
2009-12-21,30.6,31.08,30.6,31.02,3862900,0.0,0
2009-12-22,31.05,31.54,31.05,31.19,2629200,0.0,0
2009-12-23,31.32,31.5,31.1,31.4,2066700,0.0,0
2009-12-24,31.54,31.92,31.49,31.73,1650100,0.0,0
2009-12-28,31.87,31.98,31.59,31.73,1854500,0.0,0
2009-12-29,31.77,31.98,31.62,31.73,2338800,0.0,0
2009-12-30,31.65,31.83,31.46,31.71,1992500,0.0,0
2009-12-31,31.61,31.79,31.17,31.17,1977300,0.0,0
2010-01-04,31.57,31.76,31.27,31.72,3781000,0.0,0
2010-01-05,31.74,31.78,31.51,31.77,2707500,0.0,0
2010-01-06,31.65,32.07,31.58,32.06,4314700,0.0,0
2010-01-07,31.9,32.08,31.68,32.06,3085700,0.0,0
2010-01-08,32.0,32.26,31.77,32.24,3477500,0.0,0
2010-01-11,32.36,32.85,32.2,32.73,3356800,0.0,0
2010-01-12,32.52,32.75,32.32,32.55,4337000,0.0,0
2010-01-13,32.66,32.7,32.46,32.58,3564000,0.0,0
2010-01-14,32.58,32.93,32.35,32.88,5364100,0.0,0
2010-01-15,32.78,33.33,32.3,32.43,4524600,0.0,0
2010-01-19,32.39,32.74,32.27,32.73,3531200,0.0,0
2010-01-20,32.47,32.52,31.99,32.37,3225500,0.0,0
2010-01-21,32.29,32.41,31.49,31.54,4886300,0.0,0
2010-01-22,31.5,31.77,30.78,30.79,4855300,0.0,0
2010-01-25,31.25,31.37,30.98,31.1,3132300,0.0,0
2010-01-26,30.99,31.29,30.78,30.86,3828700,0.0,0
2010-01-27,30.84,30.93,30.33,30.78,5676500,0.0,0
2010-01-28,30.89,30.95,30.16,30.49,3799700,0.0,0
2010-01-29,30.61,31.07,30.33,30.39,4657700,0.0,0
2010-02-01,30.59,31.14,30.58,31.08,4718300,0.0,0
2010-02-02,33.13,34.48,31.23,34.22,15023200,0.0,0
2010-02-03,33.84,34.4,33.78,34.07,6380900,0.0,0
2010-02-04,33.78,33.86,32.93,33.12,7859700,0.0,0
2010-02-05,33.0,33.4,32.46,33.04,7978100,0.0,0
2010-02-08,32.98,33.11,32.51,32.54,3976600,0.0,0
2010-02-09,32.85,33.69,32.65,33.52,7029900,0.0,0
2010-02-10,33.79,33.91,33.21,33.52,5371600,0.335,0
2010-02-11,33.49,34.36,33.32,34.3,5839700,0.0,0
2010-02-12,33.95,34.16,33.6,34.06,5373600,0.0,0
2010-02-16,34.34,34.63,34.19,34.61,4616500,0.0,0
2010-02-17,34.64,34.8,34.39,34.77,4443400,0.0,0
2010-02-18,34.69,35.22,34.66,35.18,4173200,0.0,0
2010-02-19,35.02,35.48,34.93,35.44,5662300,0.0,0
2010-02-22,35.52,35.67,35.17,35.54,4409600,0.0,0
2010-02-23,35.42,35.53,34.64,34.73,5196900,0.0,0
2010-02-24,34.76,35.54,34.61,35.5,5654500,0.0,0
2010-02-25,35.0,35.23,34.41,35.16,5332700,0.0,0
2010-02-26,35.21,35.4,34.68,34.89,5693700,0.0,0
2010-03-01,35.07,35.07,34.78,34.92,4928500,0.0,0
2010-03-02,35.08,35.31,34.97,35.11,3286600,0.0,0
2010-03-03,35.26,35.62,35.22,35.31,3589100,0.0,0
2010-03-04,35.35,35.59,35.14,35.34,3283800,0.0,0
2010-03-05,35.59,36.04,35.48,35.74,3748300,0.0,0
2010-03-08,35.79,35.82,35.34,35.37,4086200,0.0,0
2010-03-09,35.29,35.52,35.13,35.37,2992100,0.0,0
2010-03-10,35.47,35.59,35.12,35.37,3558800,0.0,0
2010-03-11,35.23,35.34,34.94,35.34,3500800,0.0,0
2010-03-12,35.49,35.51,35.1,35.45,2360500,0.0,0
2010-03-15,35.34,35.64,35.29,35.64,3114300,0.0,0
2010-03-16,35.7,35.95,35.51,35.89,2714200,0.0,0
2010-03-17,35.93,36.23,35.9,36.04,2631800,0.0,0
2010-03-18,36.1,36.15,35.79,36.1,2042800,0.0,0
2010-03-19,35.84,36.32,35.66,35.84,3959400,0.0,0
