Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,40.41,41.36,40.06,40.63,4416600,0.0,0.0
2009-12-08,40.43,40.47,39.55,39.69,4475000,0.0,0.0
2009-12-09,39.92,40.26,39.11,39.9,4546600,0.0,0.0
2009-12-10,39.86,40.76,39.85,40.35,4778000,0.0,0.0
2009-12-11,40.51,40.68,39.98,40.07,4262400,0.0,0.0
2009-12-14,41.98,42.79,41.86,42.09,13261600,0.0,0.0
2009-12-15,41.91,42.87,41.91,42.74,8194800,0.0,0.0
2009-12-16,42.94,43.92,42.84,43.45,5722600,0.0,0.0
2009-12-17,43.4,44.06,42.58,43.08,5029600,0.0,0.0
2009-12-18,43.54,43.81,42.95,43.28,5674800,0.0,0.0
2009-12-21,43.69,44.35,43.69,44.09,4467400,0.0,0.0
2009-12-22,44.5,45.61,44.24,45.52,4480200,0.0,0.0
2009-12-23,45.53,46.53,45.48,46.51,5675000,0.0,0.0
2009-12-24,46.55,47.24,46.34,46.83,2039200,0.0,0.0
2009-12-28,47.38,47.38,46.34,46.53,3003200,0.0,0.0
2009-12-29,46.64,46.9,45.83,46.22,3954800,0.0,0.0
2009-12-30,46.23,46.43,45.84,46.01,2169800,0.0,0.0
2009-12-31,46.01,46.45,45.3,45.3,1999400,0.0,0.0
2010-01-04,46.26,46.77,46.21,46.74,4110000,0.0,0.0
2010-01-05,46.1,46.56,45.53,46.17,4450000,0.0,0.0
2010-01-06,46.02,46.42,45.48,46.32,3650400,0.0,0.0
2010-01-07,46.04,46.12,45.37,45.89,4496800,0.0,0.0
2010-01-08,45.5,46.23,44.83,46.12,5911400,0.0,0.0
2010-01-11,46.37,46.47,45.17,45.7,3030800,0.0,0.0
2010-01-12,44.59,45.21,44.31,44.43,4477000,0.0,0.0
2010-01-13,44.38,45.77,43.86,45.59,4303600,0.0725,0.0
2010-01-14,45.55,46.03,45.44,45.7,3175800,0.0,0.0
2010-01-15,45.7,46.11,45.09,45.17,5931000,0.0,0.0
2010-01-19,44.92,45.51,44.8,45.4,4412200,0.0,0.0
2010-01-20,44.68,45.01,44.42,44.92,4049600,0.0,0.0
