Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.54,16.84,16.44,16.54,2232600,0.0,0.0
2009-12-08,16.34,16.44,16.15,16.25,2209000,0.0,0.0
2009-12-09,16.34,16.54,16.05,16.25,3136700,0.0,0.0
2009-12-10,16.25,16.44,15.85,15.85,2969300,0.0,0.0
2009-12-11,15.95,16.44,15.85,16.34,2584500,0.0,0.0
2009-12-14,16.25,16.44,16.05,16.25,2608100,0.0,0.0
2009-12-15,16.15,16.54,15.85,15.85,2915900,0.0,0.0
2009-12-16,16.05,16.74,16.05,16.64,3418000,0.0,0.0
2009-12-17,16.34,16.54,15.85,15.85,3537200,0.0,0.0
2009-12-18,16.25,17.53,16.15,17.53,9417900,0.0,0.0
2009-12-21,16.84,17.33,16.64,17.33,5663000,0.0,0.0
2009-12-22,17.23,17.72,17.23,17.43,4043000,0.0,0.0
2009-12-23,17.72,18.02,17.53,17.72,4710600,0.0,0.0
2009-12-24,17.82,18.02,17.63,17.82,1263700,0.0,0.0
2009-12-28,17.92,18.12,17.33,17.53,2814500,0.0,0.0
2009-12-29,17.53,17.72,17.23,17.43,1736100,0.0,0.0
2009-12-30,17.33,17.53,17.23,17.43,1672100,0.0,0.0
2009-12-31,17.53,17.53,17.23,17.33,1607800,0.0,0.0
2010-01-04,17.53,18.12,17.43,18.12,5231900,0.0,0.0
2010-01-05,18.12,18.22,17.33,17.72,5734800,0.0,0.0
2010-01-06,17.63,17.82,17.43,17.63,2010900,0.0,0.0
2010-01-07,17.63,17.92,17.33,17.72,2742300,0.0,0.0
2010-01-08,17.63,17.72,17.53,17.72,2108600,0.0,0.0
2010-01-11,17.72,17.82,17.53,17.53,1432200,0.0,0.0
2010-01-12,17.43,17.53,16.94,17.03,3871400,0.0,0.0
2010-01-13,17.13,17.23,16.94,17.13,1889300,0.0,0.0
2010-01-14,17.03,17.33,16.84,17.03,2750100,0.0,0.0
2010-01-15,17.03,18.12,16.74,18.12,6364500,0.0,0.0
2010-01-19,17.72,17.92,17.33,17.82,3902900,0.0,0.0
2010-01-20,17.72,17.82,17.23,17.43,3072200,0.0,0.0
2010-01-21,17.33,17.63,16.94,17.13,2405300,0.0,0.0
2010-01-22,17.03,17.13,16.15,16.15,4131100,0.0,0.0
2010-01-25,16.64,16.84,16.25,16.34,2212600,0.0,0.0
2010-01-26,16.34,16.44,15.75,15.95,4068600,0.0,0.0
2010-01-27,15.95,16.25,15.46,16.25,4937600,0.0,0.0
2010-01-28,17.03,17.13,15.66,15.75,6984400,0.0,0.0
2010-01-29,15.85,16.15,14.97,14.97,5647700,0.0,0.0
2010-02-01,15.26,16.05,15.26,15.66,3575900,0.0,0.0
2010-02-02,15.75,15.95,14.87,15.06,8191200,0.0,0.0
2010-02-03,15.06,15.36,14.97,15.16,3874700,0.0,0.0
2010-02-04,14.97,15.06,14.28,14.28,6006700,0.0,0.0
2010-02-05,14.57,14.57,13.88,14.38,4996100,0.0,0.0
2010-02-08,14.67,15.36,14.47,14.67,6059800,0.0,0.0
2010-02-09,14.87,15.06,14.57,14.77,3696700,0.0,0.0
2010-02-10,14.77,14.97,14.28,14.28,4509200,0.0,0.0
2010-02-11,14.38,14.67,14.08,14.67,3833000,0.0,0.0
2010-02-12,14.47,14.87,14.18,14.67,3244900,0.0,0.0
2010-02-16,14.97,15.06,14.77,14.97,2761100,0.0,0.0
2010-02-17,15.16,15.46,14.97,15.06,2687800,0.0,0.0
2010-02-18,14.97,15.26,14.87,15.26,2201000,0.0,0.0
2010-02-19,15.26,15.46,15.06,15.36,5078800,0.0,0.0
2010-02-22,15.46,15.56,15.16,15.46,1791700,0.0,0.0
2010-02-23,15.36,15.36,14.77,15.26,3486400,0.0,0.0
2010-02-24,15.26,15.46,15.06,15.26,2269900,0.0,0.0
2010-02-25,15.16,15.36,14.97,15.36,2013900,0.0,0.0
2010-02-26,15.36,16.25,15.26,15.85,9038700,0.0,0.0
2010-03-01,15.95,16.44,15.95,16.25,3142400,0.0,0.0
2010-03-02,16.25,16.34,15.85,15.95,2497500,0.0,0.0
2010-03-03,15.95,16.25,15.85,16.25,2955500,0.0,0.0
2010-03-04,16.15,16.44,16.15,16.34,1812000,0.0,0.0
2010-03-05,16.44,16.64,16.34,16.34,2090800,0.0,0.0
2010-03-08,16.34,16.54,16.15,16.44,1690800,0.0,0.0
2010-03-09,16.25,16.64,16.25,16.54,2369600,0.0,0.0
2010-03-10,16.64,16.74,16.25,16.44,5101200,0.0,0.0
2010-03-11,16.44,16.54,16.25,16.44,2470100,0.0,0.0
2010-03-12,16.44,16.44,16.15,16.25,2398000,0.0,0.0
2010-03-15,16.15,16.34,15.95,16.34,1535100,0.0,0.0
2010-03-16,16.34,16.64,16.25,16.64,2173500,0.0,0.0
2010-03-17,16.74,16.94,16.34,16.44,3513600,0.0,0.0
2010-03-18,16.34,16.44,16.05,16.15,3288300,0.0,0.0
2010-03-19,16.25,16.34,15.46,15.46,4460900,0.0,0.0
2010-03-22,14.77,15.75,14.28,14.87,10347200,0.0,0.0
2010-03-23,15.06,16.05,14.97,15.95,5326300,0.0,0.0
2010-03-24,15.95,15.95,15.56,15.66,2931800,0.0,0.0
2010-03-25,15.66,15.95,15.46,15.66,2969000,0.0,0.0
2010-03-26,15.66,15.75,15.26,15.26,2395500,0.0,0.0
2010-03-29,15.46,15.75,15.46,15.66,1837900,0.0,0.0
2010-03-30,15.75,16.34,15.66,16.34,3743800,0.0,0.0
2010-03-31,16.25,16.34,15.95,16.25,3014900,0.0,0.0
2010-04-01,16.34,16.44,16.05,16.34,1541000,0.0,0.0
2010-04-05,16.44,16.64,16.34,16.64,2344900,0.0,0.0
2010-04-06,16.64,17.43,16.54,16.84,4963800,0.0,0.0
2010-04-07,16.74,16.94,16.54,16.84,3186100,0.0,0.0
2010-04-08,16.64,16.84,16.25,16.74,3071100,0.0,0.0
2010-04-09,16.84,17.13,16.54,16.84,2792100,0.0,0.0
2010-04-12,16.84,16.94,16.44,16.84,3342100,0.0,0.0
2010-04-13,16.94,16.94,16.15,16.54,4897200,0.0,0.0
2010-04-14,16.64,16.94,16.54,16.74,8422000,0.0,0.0
2010-04-15,16.94,18.22,16.84,17.53,14238400,0.0,0.0
2010-04-16,17.53,17.53,16.94,17.13,3447800,0.0,0.0
2010-04-19,16.84,17.23,16.64,17.03,2599500,0.0,0.0
2010-04-20,17.03,17.53,17.03,17.43,2244000,0.0,0.0
2010-04-21,17.72,18.31,17.43,17.92,6358600,0.0,0.0
2010-04-22,17.63,18.12,16.84,18.02,6894600,0.0,0.0
2010-04-23,18.02,18.81,17.92,18.71,7250300,0.0,0.0
2010-04-26,18.91,19.59,18.31,18.41,8506100,0.0,0.0
2010-04-27,18.51,19.2,17.82,18.02,6316600,0.0,0.0
2010-04-28,18.31,18.31,17.72,18.12,4265100,0.0,0.0
2010-04-29,17.23,17.23,16.64,17.13,31092800,0.0,0.0
2010-04-30,17.03,17.03,16.54,16.64,7491700,0.0,0.0
2010-05-03,16.84,17.23,16.84,17.23,5148500,0.0,0.0
