Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.43,23.46,22.98,23.03,3197200,0.0,0.0
2009-12-08,22.81,22.86,22.47,22.6,2463200,0.0,0.0
2009-12-09,22.75,22.78,22.37,22.6,2540800,0.0,0.0
2009-12-10,22.73,22.85,22.63,22.72,2072200,0.0,0.0
2009-12-11,22.93,22.94,22.63,22.75,1934800,0.0,0.0
2009-12-14,22.84,23.19,22.8,23.19,1945600,0.0,0.0
2009-12-15,23.15,23.29,23.07,23.16,1962000,0.0,0.0
2009-12-16,23.23,23.31,23.02,23.13,2127800,0.0,0.0
2009-12-17,22.91,22.91,22.58,22.6,1644600,0.0,0.0
2009-12-18,22.85,22.85,22.25,22.32,3832400,0.0,0.0
2009-12-21,22.55,22.67,22.49,22.58,1969400,0.0,0.0
2009-12-22,22.55,22.72,22.45,22.58,1543200,0.0,0.0
2009-12-23,22.58,22.66,22.38,22.51,1458000,0.0,0.0
2009-12-24,22.65,22.78,22.52,22.75,366200,0.0,0.0
2009-12-28,22.72,22.8,22.52,22.6,981400,0.0,0.0
2009-12-29,22.61,22.67,22.52,22.59,1165400,0.0,0.0
2009-12-30,22.48,22.68,22.39,22.61,1348000,0.0,0.0
2009-12-31,22.58,22.6,22.44,22.45,1685400,0.0,0.0
2010-01-04,22.66,22.98,22.54,22.69,2347600,0.0,0.0
2010-01-05,22.74,22.74,22.31,22.56,2946600,0.0,0.0
2010-01-06,22.42,22.59,22.26,22.46,4188000,0.0,0.0
2010-01-07,22.36,22.81,22.31,22.79,2993000,0.0,0.0
2010-01-08,22.66,23.32,22.56,23.31,2767800,0.0,0.0
2010-01-11,23.33,24.45,23.33,24.37,5802400,0.0,0.0
2010-01-12,24.16,24.54,23.98,24.06,3668000,0.0,0.0
2010-01-13,24.08,24.35,23.9,24.31,3168800,0.0,0.0
2010-01-14,24.22,24.48,24.17,24.35,2061600,0.0,0.0
2010-01-15,24.36,24.39,23.88,23.9,3069600,0.0,0.0
2010-01-19,24.02,24.75,24.02,24.63,4371000,0.0,0.0
