Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,51.1,51.73,51.01,51.45,1046000,0.0,0
2009-12-08,51.25,51.5,50.78,51.3,1182500,0.0,0
2009-12-09,51.31,51.35,50.95,51.28,744400,0.0,0
2009-12-10,51.58,52.04,51.23,51.83,1349600,0.0,0
2009-12-11,51.91,52.69,51.78,52.66,1029700,0.0,0
2009-12-14,53.07,53.34,52.82,53.1,1217000,0.0,0
2009-12-15,52.86,53.05,52.28,52.62,1069500,0.0,0
2009-12-16,52.91,52.91,52.08,52.21,1007000,0.0,0
2009-12-17,52.02,52.84,51.85,52.45,1565300,0.0,0
2009-12-18,51.35,52.78,51.35,52.65,2885700,0.0,0
2009-12-21,52.91,53.41,52.68,53.26,1306300,0.0,0
2009-12-22,53.41,53.53,52.45,52.55,1070600,0.0,0
2009-12-23,52.56,52.79,52.34,52.5,808300,0.0,0
2009-12-24,52.61,52.99,52.61,52.91,259900,0.0,0
2009-12-28,52.93,53.09,52.72,52.84,672500,0.0,0
2009-12-29,53.07,53.12,52.73,52.79,515000,0.0,0
2009-12-30,52.55,52.93,52.48,52.67,544900,0.0,0
2009-12-31,52.88,52.88,51.87,51.89,659800,0.0,0
2010-01-04,52.05,52.45,51.83,52.08,1049400,0.0,0
2010-01-05,52.17,52.18,50.95,51.25,1157100,0.0,0
2010-01-06,51.22,51.57,50.99,51.51,1011900,0.0,0
2010-01-07,51.33,51.37,50.88,50.9,1243600,0.0,0
2010-01-08,50.96,51.08,50.23,50.41,1652800,0.0,0
2010-01-11,50.71,51.69,50.56,51.39,2014100,0.0,0
2010-01-12,51.84,52.06,51.48,51.81,1786400,0.0,0
2010-01-13,51.8,52.63,51.77,52.55,1104200,0.0,0
2010-01-14,52.54,52.68,52.08,52.5,966000,0.0,0
2010-01-15,52.34,52.38,51.31,51.89,1918900,0.0,0
2010-01-19,51.92,52.11,51.27,52.09,884100,0.0,0
2010-01-20,51.96,51.96,50.76,51.39,1263500,0.0,0
2010-01-21,51.72,52.45,50.28,50.56,2484000,0.0,0
2010-01-22,50.55,50.6,49.76,49.79,1455700,0.0,0
2010-01-25,50.21,50.24,49.3,49.91,1176000,0.0,0
2010-01-26,49.83,50.43,49.52,50.28,1297900,0.0,0
2010-01-27,50.28,50.28,49.27,49.91,1031900,0.0,0
2010-01-28,49.99,50.1,48.87,48.88,1630800,0.0,0
2010-01-29,49.13,49.34,48.33,48.38,2528800,0.0,0
2010-02-01,48.58,49.09,48.12,48.96,1383800,0.0,0
2010-02-02,49.0,50.55,48.57,49.95,1713300,0.0,0
