Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.25,14.36,14.14,14.27,1038600,0.3,0
2009-12-08,14.26,14.45,14.11,14.42,1028000,0.0,0
2009-12-09,14.45,14.55,14.3,14.42,796200,0.0,0
2009-12-10,14.49,14.61,14.45,14.51,709900,0.0,0
2009-12-11,14.61,14.81,14.43,14.81,606500,0.0,0
2009-12-14,14.91,14.93,14.72,14.78,544400,0.0,0
2009-12-15,14.72,14.8,14.66,14.77,780800,0.0,0
2009-12-16,14.8,14.87,14.67,14.74,631700,0.0,0
2009-12-17,14.71,14.78,14.6,14.71,559300,0.0,0
2009-12-18,14.73,14.87,14.68,14.79,1049400,0.0,0
2009-12-21,14.87,14.93,14.8,14.87,783700,0.0,0
2009-12-22,14.87,14.91,14.72,14.76,651800,0.0,0
2009-12-23,14.81,14.82,14.64,14.82,659000,0.0,0
2009-12-24,14.87,14.92,14.84,14.89,132400,0.0,0
2009-12-28,14.95,15.02,14.88,14.91,263600,0.0,0
2009-12-29,14.98,15.07,14.94,14.99,286200,0.0,0
2009-12-30,14.99,15.01,14.92,14.99,418600,0.0,0
2009-12-31,15.03,15.03,14.68,14.68,528000,0.0,0
2010-01-04,14.82,14.88,14.68,14.76,597100,0.0,0
2010-01-05,14.8,14.82,14.49,14.57,558600,0.0,0
2010-01-06,14.54,14.65,14.5,14.65,491200,0.0,0
2010-01-07,14.7,14.7,14.53,14.55,266800,0.0,0
2010-01-08,14.55,14.7,14.47,14.68,397500,0.0,0
2010-01-11,14.74,14.95,14.7,14.91,640600,0.0,0
2010-01-12,14.84,14.91,14.72,14.83,602000,0.0,0
2010-01-13,14.9,15.01,14.82,14.97,289800,0.0,0
2010-01-14,14.99,15.0,14.91,14.99,362600,0.0,0
2010-01-15,15.4,15.4,14.81,15.03,1115100,0.0,0
2010-01-19,15.08,15.23,15.03,15.23,556900,0.0,0
2010-01-20,15.16,15.23,14.98,15.16,572400,0.0,0
2010-01-21,15.18,15.24,14.83,14.91,739400,0.0,0
2010-01-22,14.91,14.92,14.56,14.57,802100,0.0,0
2010-01-25,14.71,14.76,14.53,14.6,640600,0.0,0
2010-01-26,14.59,14.64,14.47,14.59,848800,0.0,0
2010-01-27,14.56,14.62,14.35,14.47,765400,0.0,0
2010-01-28,14.47,14.48,14.24,14.39,1154400,0.0,0
