Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,8.16,8.34,8.11,8.18,19878600,0.0,0
2009-12-08,8.1,8.26,8.07,8.09,10921100,0.0,0
2009-12-09,8.11,8.3,8.1,8.17,10758100,0.0,0
2009-12-10,8.2,8.28,7.99,8.0,10551600,0.0,0
2009-12-11,8.08,8.17,7.98,8.08,11168200,0.0,0
2009-12-14,8.16,8.22,7.94,8.2,16263400,0.0,0
2009-12-15,8.05,8.13,7.68,7.78,20154900,0.0,0
2009-12-16,7.84,7.87,7.62,7.64,15758100,0.0,0
2009-12-17,7.56,7.82,7.55,7.58,10889400,0.0,0
2009-12-18,7.64,7.82,7.49,7.8,15881300,0.0,0
2009-12-21,7.94,8.08,7.8,8.08,15442600,0.0,0
2009-12-22,8.08,8.18,7.98,8.1,10341400,0.0,0
2009-12-23,8.14,8.14,7.83,7.88,8758300,0.0,0
2009-12-24,7.94,8.12,7.89,8.12,5459500,0.0,0
2009-12-28,8.1,8.1,7.84,7.91,6844300,0.0,0
2009-12-29,7.98,7.98,7.82,7.88,6947800,0.01,0
2009-12-30,7.86,7.9,7.75,7.78,5640800,0.0,0
2009-12-31,7.79,7.84,7.75,7.75,4042500,0.0,0
2010-01-04,7.85,8.12,7.8,8.04,15429100,0.0,0
2010-01-05,7.91,8.26,7.89,8.26,12700700,0.0,0
2010-01-06,8.18,8.34,8.15,8.3,13140600,0.0,0
2010-01-07,8.26,8.98,8.23,8.8,34759200,0.0,0
2010-01-08,8.74,9.03,8.71,8.81,19963300,0.0,0
2010-01-11,8.95,8.97,8.74,8.9,15251700,0.0,0
2010-01-12,8.84,8.96,8.71,8.73,11348400,0.0,0
2010-01-13,8.75,9.27,8.49,9.15,26686300,0.0,0
2010-01-14,9.08,9.5,9.07,9.35,26508800,0.0,0
2010-01-15,9.29,9.31,8.84,9.03,25443100,0.0,0
2010-01-19,8.94,9.07,8.86,9.05,17267400,0.0,0
2010-01-20,8.91,9.27,8.9,8.99,25445100,0.0,0
2010-01-21,9.69,10.0,9.5,9.55,66585800,0.0,0
2010-01-22,9.5,10.1,9.29,9.62,39367700,0.0,0
2010-01-25,9.73,10.23,9.62,9.93,32935500,0.0,0
2010-01-26,9.82,10.07,9.25,9.31,35793800,0.0,0
2010-01-27,9.38,9.82,9.28,9.68,24246600,0.0,0
2010-01-28,9.93,10.08,9.68,9.74,32530500,0.0,0
2010-01-29,10.08,10.11,9.77,9.89,30962500,0.0,0
2010-02-01,9.89,10.05,9.81,9.93,19895900,0.0,0
2010-02-02,9.92,9.97,9.6,9.92,20103900,0.0,0
2010-02-03,9.81,9.81,9.41,9.54,28331800,0.0,0
2010-02-04,9.39,9.49,8.88,8.92,32057800,0.0,0
2010-02-05,8.94,9.11,8.6,8.95,22197900,0.0,0
2010-02-08,8.95,9.22,8.75,9.05,29759000,0.0,0
2010-02-09,9.15,9.28,9.07,9.11,18606400,0.0,0
2010-02-10,9.13,9.46,8.99,9.29,17858100,0.0,0
2010-02-11,9.35,9.5,9.21,9.43,17497900,0.0,0
2010-02-12,9.38,9.39,9.05,9.23,20010100,0.0,0
2010-02-16,9.32,9.63,9.27,9.6,15697800,0.0,0
2010-02-17,9.66,9.69,9.45,9.58,14963900,0.0,0
2010-02-18,9.5,9.56,9.39,9.47,10465200,0.0,0
2010-02-19,9.45,9.74,9.43,9.72,16148400,0.0,0
2010-02-22,9.76,10.11,9.72,9.97,18310000,0.0,0
2010-02-23,9.9,9.98,9.62,9.75,20394700,0.0,0
2010-02-24,9.83,10.1,9.77,10.08,17103900,0.0,0
2010-02-25,9.78,9.8,9.5,9.69,24791200,0.0,0
2010-02-26,9.73,9.81,9.62,9.7,14335100,0.0,0
2010-03-01,9.79,9.8,9.56,9.73,12508600,0.0,0
2010-03-02,9.7,10.13,9.7,10.06,16660400,0.0,0
2010-03-03,10.07,10.12,9.89,9.96,14426700,0.0,0
2010-03-04,9.69,9.93,9.68,9.8,14801000,0.0,0
2010-03-05,9.96,10.15,9.89,10.12,13242200,0.0,0
2010-03-08,9.98,10.19,9.92,10.02,13943200,0.0,0
2010-03-09,9.94,10.15,9.82,10.03,13319300,0.0,0
2010-03-10,10.16,10.43,10.12,10.3,19743700,0.0,0
2010-03-11,10.35,10.63,10.31,10.55,20652000,0.0,0
2010-03-12,10.74,10.74,10.4,10.45,13392900,0.0,0
2010-03-15,10.44,10.66,10.35,10.63,11582800,0.0,0
2010-03-16,10.63,10.77,10.55,10.69,12491200,0.0,0
2010-03-17,10.75,10.95,10.72,10.89,13375700,0.0,0
2010-03-18,10.89,10.93,10.58,10.68,11392800,0.0,0
2010-03-19,10.74,10.81,10.43,10.57,17166900,0.0,0
2010-03-22,10.42,10.73,10.37,10.67,10445800,0.0,0
2010-03-23,10.7,10.74,10.48,10.7,9507500,0.0,0
2010-03-24,10.64,10.94,10.61,10.79,11406000,0.0,0
2010-03-25,10.92,11.16,10.62,10.66,22618200,0.0,0
2010-03-26,10.72,10.93,10.42,10.49,21076100,0.0,0
2010-03-29,10.58,10.68,10.5,10.58,7340200,0.01,0
2010-03-30,10.57,10.68,10.45,10.55,6896100,0.0,0
2010-03-31,10.46,10.91,10.46,10.78,14098100,0.0,0
2010-04-01,10.86,10.92,10.71,10.81,7316000,0.0,0
2010-04-05,10.84,11.11,10.82,11.09,7646600,0.0,0
2010-04-06,11.08,11.44,11.06,11.41,18082200,0.0,0
2010-04-07,11.52,11.62,11.21,11.37,16491200,0.0,0
2010-04-08,11.29,11.41,11.12,11.35,13172900,0.0,0
2010-04-09,11.34,11.36,11.1,11.21,13394100,0.0,0
2010-04-12,11.24,11.48,11.22,11.42,9322900,0.0,0
2010-04-13,11.36,11.46,11.23,11.4,11134000,0.0,0
2010-04-14,11.53,11.98,11.52,11.88,15020800,0.0,0
2010-04-15,11.93,11.99,11.71,11.85,10748300,0.0,0
2010-04-16,11.79,11.83,10.93,11.29,28282000,0.0,0
2010-04-19,11.13,11.45,10.96,11.32,14167400,0.0,0
2010-04-20,11.44,11.78,11.32,11.77,14988100,0.0,0
2010-04-21,11.83,12.68,11.73,12.05,38065500,0.0,0
2010-04-22,11.85,11.93,11.4,11.9,34036600,0.0,0
2010-04-23,11.89,12.02,11.65,12.02,17813500,0.0,0
2010-04-26,11.94,12.03,11.52,11.55,17738000,0.0,0
2010-04-27,11.4,11.64,11.15,11.17,15940800,0.0,0
2010-04-28,11.32,11.63,11.24,11.48,15947500,0.0,0
2010-04-29,11.71,11.91,11.62,11.83,12080100,0.0,0
2010-04-30,11.87,12.15,11.81,11.87,15694200,0.0,0
2010-05-03,11.94,12.29,11.94,12.22,12011200,0.0,0
2010-05-04,12.04,12.04,11.47,11.58,16670700,0.0,0
2010-05-05,11.21,11.87,11.13,11.6,16049800,0.0,0
2010-05-06,11.5,11.64,10.02,10.82,26952600,0.0,0
2010-05-07,10.93,11.05,10.38,10.58,26267400,0.0,0
2010-05-10,11.34,11.79,11.17,11.44,21286400,0.0,0
2010-05-11,11.22,11.85,11.22,11.62,14578500,0.0,0
2010-05-12,11.83,11.93,11.61,11.93,12873900,0.0,0
2010-05-13,11.9,11.98,11.77,11.77,12276000,0.0,0
2010-05-14,11.56,11.56,11.02,11.2,15593300,0.0,0
2010-05-17,11.26,11.41,10.84,11.12,16212700,0.0,0
2010-05-18,11.3,11.32,10.56,10.68,17857900,0.0,0
2010-05-19,10.51,10.92,10.3,10.58,15749800,0.0,0
2010-05-20,10.25,10.39,9.92,9.95,17567600,0.0,0
2010-05-21,9.67,10.5,9.62,10.49,23311300,0.0,0
2010-05-24,10.5,10.55,9.97,10.0,13232000,0.0,0
2010-05-25,9.54,10.21,9.54,10.2,17996500,0.0,0
2010-05-26,10.37,10.47,9.87,9.95,26804400,0.0,0
2010-05-27,10.24,10.56,10.15,10.55,14242500,0.0,0
2010-05-28,10.55,10.58,10.27,10.34,12122800,0.0,0
2010-06-01,10.26,10.47,9.86,9.86,14393200,0.0,0
2010-06-02,9.98,10.38,9.91,10.38,12141500,0.0,0
2010-06-03,10.37,10.47,10.22,10.44,11126900,0.0,0
2010-06-04,10.13,10.3,9.89,9.94,17638000,0.0,0
2010-06-07,10.0,10.18,9.78,9.8,11397200,0.0,0
2010-06-08,9.85,10.1,9.58,10.08,16236700,0.0,0
2010-06-09,10.22,10.43,10.04,10.08,12627800,0.0,0
2010-06-10,10.48,10.65,10.31,10.63,13937900,0.0,0
2010-06-11,10.5,10.64,10.35,10.62,9033000,0.0,0
2010-06-14,10.74,10.93,10.57,10.76,15975100,0.0,0
2010-06-15,10.84,11.17,10.8,11.13,12800700,0.0,0
2010-06-16,10.96,11.29,10.96,11.17,14288300,0.0,0
2010-06-17,11.28,11.28,10.66,10.83,11217900,0.0,0
2010-06-18,10.89,10.96,10.73,10.8,12169100,0.0,0
2010-06-21,10.97,11.05,10.7,10.76,8540700,0.0,0
2010-06-22,10.75,11.08,10.72,10.74,10189900,0.0,0
2010-06-23,10.77,10.93,10.67,10.74,11860000,0.0,0
2010-06-24,10.64,10.7,10.45,10.5,12454500,0.0,0
2010-06-25,10.75,10.8,10.45,10.63,15844700,0.0,0
2010-06-28,10.64,10.85,10.62,10.75,12327900,0.01,0
2010-06-29,10.49,10.6,10.25,10.31,24464000,0.0,0
2010-06-30,10.27,10.5,9.77,9.78,16610400,0.0,0
2010-07-01,9.73,9.97,9.35,9.68,13147400,0.0,0
2010-07-02,9.76,9.81,9.35,9.41,8391300,0.0,0
2010-07-06,9.6,9.79,9.44,9.58,10881900,0.0,0
2010-07-07,9.65,10.31,9.61,10.28,11431300,0.0,0
2010-07-08,10.43,10.54,10.19,10.42,9983500,0.0,0
2010-07-09,10.43,10.78,10.3,10.73,10263600,0.0,0
2010-07-12,10.66,10.74,10.43,10.56,7815200,0.0,0
2010-07-13,10.73,10.99,10.69,10.9,10020500,0.0,0
2010-07-14,10.82,10.83,10.51,10.62,10995300,0.0,0
2010-07-15,10.66,10.69,10.25,10.54,9401400,0.0,0
2010-07-16,10.39,10.46,9.64,9.69,27289000,0.0,0
2010-07-19,9.71,9.87,9.37,9.47,20412900,0.0,0
2010-07-20,9.21,9.39,9.05,9.38,21517900,0.0,0
2010-07-21,9.47,9.72,8.96,8.98,23945700,0.0,0
2010-07-22,9.28,10.04,9.24,9.91,27293900,0.0,0
2010-07-23,9.85,9.89,9.59,9.78,15337900,0.0,0
2010-07-26,9.79,10.23,9.66,10.2,14158300,0.0,0
2010-07-27,10.39,10.54,10.27,10.46,18044500,0.0,0
2010-07-28,10.4,10.49,10.12,10.16,9712600,0.0,0
2010-07-29,10.3,10.48,10.0,10.2,12257600,0.0,0
2010-07-30,10.02,10.25,9.96,10.12,9407100,0.0,0
2010-08-02,10.31,10.7,10.31,10.68,16172400,0.0,0
2010-08-03,10.67,10.81,10.54,10.58,13331500,0.0,0
2010-08-04,10.66,10.68,10.47,10.58,6405500,0.0,0
2010-08-05,10.51,10.52,10.29,10.39,9759000,0.0,0
2010-08-06,10.21,10.26,9.83,10.1,13922700,0.0,0
2010-08-09,10.17,10.4,9.96,10.36,12853400,0.0,0
2010-08-10,10.23,10.38,10.04,10.35,14977100,0.0,0
2010-08-11,10.13,10.16,9.84,9.85,12018100,0.0,0
2010-08-12,9.64,9.82,9.61,9.68,9228100,0.0,0
2010-08-13,9.66,9.86,9.65,9.65,7046500,0.0,0
2010-08-16,9.56,9.73,9.49,9.7,11127400,0.0,0
2010-08-17,9.8,9.8,9.58,9.61,8261100,0.0,0
2010-08-18,9.59,9.73,9.53,9.64,10701400,0.0,0
2010-08-19,9.53,9.67,9.29,9.3,12317600,0.0,0
2010-08-20,9.26,9.36,9.02,9.2,13375000,0.0,0
2010-08-23,9.31,9.49,9.2,9.23,12095600,0.0,0
2010-08-24,9.03,9.11,8.78,8.79,15253700,0.0,0
2010-08-25,8.73,8.78,8.57,8.74,15725200,0.0,0
2010-08-26,8.77,9.12,8.68,8.71,14795600,0.0,0
2010-08-27,8.79,8.91,8.62,8.9,13165300,0.0,0
2010-08-30,8.81,8.89,8.63,8.63,11423000,0.0,0
2010-08-31,8.56,8.79,8.47,8.79,13540600,0.0,0
2010-09-01,8.95,9.3,8.93,9.28,14282900,0.0,0
2010-09-02,9.31,9.38,9.2,9.33,7962300,0.0,0
2010-09-03,9.49,9.62,9.31,9.49,10213700,0.0,0
2010-09-07,9.39,9.45,9.03,9.06,12336100,0.0,0
2010-09-08,9.12,9.33,9.11,9.23,7551400,0.0,0
2010-09-09,9.45,9.64,9.38,9.52,11358900,0.0,0
2010-09-10,9.57,9.68,9.48,9.62,7600600,0.0,0
2010-09-13,9.84,10.02,9.8,9.96,11298700,0.0,0
2010-09-14,9.95,10.02,9.73,9.94,14481300,0.0,0
2010-09-15,9.84,10.04,9.69,9.92,8139200,0.0,0
2010-09-16,9.9,9.92,9.62,9.73,7649500,0.0,0
2010-09-17,9.79,9.88,9.72,9.73,9010400,0.0,0
2010-09-20,9.77,9.91,9.69,9.86,10628600,0.0,0
2010-09-21,9.87,10.01,9.75,9.77,11572700,0.0,0
2010-09-22,9.7,9.85,9.57,9.58,9880300,0.0,0
2010-09-23,9.46,9.69,9.3,9.33,10808400,0.0,0
2010-09-24,9.49,9.75,9.46,9.74,9071300,0.0,0
2010-09-27,9.77,9.79,9.46,9.48,7917300,0.0,0
2010-09-28,9.5,9.59,9.37,9.57,10416000,0.01,0
2010-09-29,9.5,9.6,9.4,9.48,9066700,0.0,0
2010-09-30,9.56,9.71,9.44,9.58,14195800,0.0,0
2010-10-01,9.68,9.76,9.44,9.48,10923200,0.0,0
2010-10-04,9.52,9.65,9.45,9.48,8592900,0.0,0
2010-10-05,9.61,10.04,9.5,9.96,19607200,0.0,0
2010-10-06,9.98,10.08,9.72,9.78,13724300,0.0,0
2010-10-07,9.92,10.03,9.81,9.97,15803700,0.0,0
2010-10-08,10.02,10.02,9.81,9.86,9497500,0.0,0
2010-10-11,9.92,9.96,9.76,9.78,6051400,0.0,0
2010-10-12,9.73,10.22,9.66,10.16,21598600,0.0,0
2010-10-13,10.31,10.33,10.06,10.12,16587100,0.0,0
2010-10-14,10.04,10.04,9.62,9.83,19982600,0.0,0
2010-10-15,9.86,9.9,9.44,9.66,14563900,0.0,0
2010-10-18,9.63,10.02,9.56,9.99,12190500,0.0,0
2010-10-19,9.89,10.15,9.77,9.86,12448200,0.0,0
2010-10-20,9.81,9.94,9.55,9.88,11597700,0.0,0
2010-10-21,9.73,10.43,9.73,10.2,20962200,0.0,0
2010-10-22,10.29,10.43,10.16,10.24,13503900,0.0,0
2010-10-25,10.38,10.39,9.96,10.05,10362200,0.0,0
2010-10-26,9.97,10.2,9.94,10.19,9885900,0.0,0
2010-10-27,10.1,10.37,10.05,10.25,11680500,0.0,0
2010-10-28,10.35,10.37,10.08,10.13,12067700,0.0,0
2010-10-29,10.1,10.27,10.0,10.0,14195500,0.0,0
2010-11-01,10.07,10.11,9.66,9.86,15147800,0.0,0
2010-11-02,10.0,10.16,9.84,9.91,10774100,0.0,0
2010-11-03,9.96,10.4,9.96,10.39,18015900,0.0,0
2010-11-04,10.51,10.79,10.4,10.67,18432900,0.0,0
2010-11-05,10.71,11.1,10.31,10.38,29405300,0.0,0
2010-11-08,10.36,10.48,10.16,10.39,15563300,0.0,0
2010-11-09,10.43,10.57,10.2,10.25,9674800,0.0,0
2010-11-10,10.3,10.55,10.16,10.55,10306700,0.0,0
2010-11-11,10.47,10.61,10.31,10.55,9748200,0.0,0
