Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.41,26.61,26.19,26.51,878800,0.0,0
2009-12-08,26.75,27.03,26.21,26.67,1654500,0.0,0
2009-12-09,27.16,27.16,26.32,26.75,1962500,0.0,0
2009-12-10,26.9,27.02,26.75,26.86,1564400,0.0,0
2009-12-11,26.85,26.95,26.53,26.62,1319500,0.0,0
2009-12-14,26.9,26.93,26.7,26.9,1018800,0.0,0
2009-12-15,26.39,26.98,26.0,26.87,1781500,0.0,0
2009-12-16,26.88,27.15,26.65,26.9,737700,0.0,0
2009-12-17,26.93,27.0,26.56,26.61,844000,0.0,0
2009-12-18,26.83,27.01,26.61,26.98,1535000,0.0,0
2009-12-21,27.0,27.57,26.94,27.31,1099400,0.0,0
2009-12-22,27.41,28.29,27.36,28.28,1447700,0.0,0
2009-12-23,28.25,28.56,28.03,28.38,935700,0.0,0
2009-12-24,28.49,28.68,28.38,28.67,263100,0.0,0
2009-12-28,28.69,29.01,28.67,28.93,740200,0.0,0
2009-12-29,29.0,29.6,28.45,29.5,1065400,0.0,0
2009-12-30,29.38,29.66,29.25,29.51,860600,0.0,0
2009-12-31,29.61,29.61,29.1,29.1,860000,0.0,0
2010-01-04,29.54,29.54,29.0,29.02,2269800,0.0,0
2010-01-05,29.07,29.18,28.79,29.1,1414100,0.0,0
2010-01-06,29.32,29.39,29.1,29.17,1497100,0.0,0
2010-01-07,29.12,29.27,28.92,29.2,962700,0.0,0
2010-01-08,29.23,29.36,29.02,29.28,1293400,0.0,0
2010-01-11,29.31,29.37,28.79,28.96,1971400,0.0,0
2010-01-12,28.82,28.93,28.24,28.38,1643500,0.0,0
2010-01-13,28.35,28.54,28.15,28.29,1927500,0.0,0
2010-01-14,28.12,28.38,28.12,28.28,1228300,0.0,0
2010-01-15,28.1,28.51,27.36,27.4,3259200,0.0,0
2010-01-19,27.65,28.06,27.43,27.82,2560200,0.0,0
2010-01-20,27.78,27.95,27.38,27.62,3338400,0.0,0
2010-01-21,27.71,28.05,27.56,27.65,2575100,0.0,0
2010-01-22,27.61,27.8,27.12,27.14,2921500,0.0,0
2010-01-25,27.28,27.49,26.77,27.29,2595600,0.0,0
2010-01-26,27.32,27.49,26.96,27.19,1548000,0.0,0
2010-01-27,27.3,27.31,26.85,27.18,1862600,0.0,0
2010-01-28,27.21,27.27,26.39,26.68,2334400,0.0,0
2010-01-29,26.84,26.97,26.28,26.3,1482500,0.0,0
2010-02-01,26.34,26.62,26.14,26.59,1154000,0.0,0
2010-02-02,26.53,26.9,26.37,26.75,929400,0.0,0
2010-02-03,26.58,26.86,26.51,26.77,937800,0.0,0
2010-02-04,26.59,26.63,26.29,26.29,1520100,0.0,0
2010-02-05,26.25,26.43,25.58,26.24,1619800,0.0,0
2010-02-08,26.23,26.41,25.64,26.16,1522800,0.0,0
2010-02-09,26.49,26.69,26.29,26.48,2072700,0.0,0
2010-02-10,26.39,26.64,26.12,26.38,1490100,0.0,0
2010-02-11,24.99,24.99,24.24,24.38,7702300,0.0,0
2010-02-12,24.09,24.18,23.56,23.67,4765400,0.0,0
2010-02-16,23.72,23.81,23.34,23.69,2907400,0.0,0
2010-02-17,23.8,24.07,23.61,23.95,3120000,0.0,0
2010-02-18,23.74,24.19,23.74,23.97,2698900,0.0,0
2010-02-19,23.86,24.32,23.79,24.14,2084900,0.0,0
2010-02-22,24.15,24.27,23.9,23.97,1239200,0.0,0
2010-02-23,24.04,24.08,23.68,23.72,2103100,0.0,0
2010-02-24,23.76,23.88,23.61,23.82,1871000,0.0,0
2010-02-25,23.57,23.57,23.02,23.56,2936300,0.0,0
2010-02-26,23.55,23.88,23.3,23.84,1872500,0.0,0
2010-03-01,23.93,24.07,23.78,23.93,1692400,0.0,0
2010-03-02,23.88,23.93,23.56,23.65,3116400,0.0,0
2010-03-03,23.74,23.77,23.53,23.61,2062100,0.0,0
2010-03-04,23.61,23.71,23.43,23.56,1768400,0.0,0
2010-03-05,23.61,23.79,23.49,23.69,2773600,0.0,0
2010-03-08,23.74,23.79,23.52,23.56,1645300,0.0,0
2010-03-09,23.63,23.72,23.52,23.61,2236200,0.0,0
2010-03-10,23.59,23.8,23.56,23.68,2430700,0.0,0
2010-03-11,23.66,23.82,23.65,23.69,2855700,0.0,0
2010-03-12,23.74,23.84,23.59,23.72,1769800,0.0,0
2010-03-15,23.59,23.78,23.58,23.71,1292400,0.0,0
2010-03-16,23.68,23.89,23.56,23.83,1973300,0.0,0
2010-03-17,23.8,24.0,23.68,23.74,1866300,0.0,0
2010-03-18,23.83,24.02,23.75,23.93,3196000,0.0,0
2010-03-19,24.06,24.29,23.83,24.29,3757400,0.0,0
2010-03-22,24.26,24.58,24.1,24.42,1674100,0.0,0
2010-03-23,24.64,24.76,24.42,24.76,1612400,0.0,0
2010-03-24,24.63,24.79,24.51,24.67,1746500,0.0,0
2010-03-25,24.83,24.96,24.66,24.81,2206400,0.0,0
2010-03-26,24.81,24.95,24.67,24.82,1591200,0.0,0
2010-03-29,24.9,25.12,24.74,24.87,1506400,0.0,0
2010-03-30,24.83,25.0,24.66,24.92,880000,0.0,0
2010-03-31,25.04,25.23,24.9,25.06,1462400,0.0,0
2010-04-01,25.2,25.35,24.79,24.98,1271700,0.0,0
2010-04-05,24.98,25.32,24.92,25.14,2083600,0.0,0
2010-04-06,25.0,25.49,24.83,25.48,1659500,0.0,0
2010-04-07,25.36,25.78,25.36,25.73,2307200,0.0,0
