Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-12,37.5,37.5,37.5,37.5,10000,0.0,0
2019-03-13,38.49,39.38,38.19,39.23,20477400,0.0,0
2019-03-14,39.23,40.86,39.23,40.12,6248600,0.0,0
2019-03-15,40.84,41.32,40.7,41.15,7107300,0.0,0
2019-03-18,41.4,41.4,40.51,41.15,4020900,0.0,0
2019-03-19,41.0,41.15,39.32,39.81,10118500,0.0,0
2019-03-20,39.96,40.27,37.74,38.11,15683200,0.0,0
2019-03-21,38.49,39.54,38.24,39.49,12751700,0.0,0
2019-03-22,39.4,39.46,37.19,38.21,10898000,0.0,0
2019-03-25,38.38,38.45,36.9,36.95,9338900,0.0,0
2019-03-26,37.15,37.78,37.02,37.05,6287100,0.0,0
2019-03-27,37.03,37.41,36.28,36.43,5578100,0.0,0
2019-03-28,36.37,36.66,35.86,35.92,5326200,0.0,0
2019-03-29,36.07,36.42,35.67,36.23,5895300,0.0,0
2019-04-01,36.42,36.66,36.23,36.37,5311200,0.0,0
2019-04-02,36.47,36.69,35.43,35.8,6704600,0.0,0
2019-04-03,35.89,36.08,35.43,35.61,8393500,0.0,0
2019-04-04,35.72,36.32,35.54,36.28,4908400,0.0,0
2019-04-05,36.31,37.35,36.21,37.18,7344900,0.0,0
2019-04-08,37.11,37.18,36.77,36.98,3393300,0.0,0
2019-04-09,36.93,37.15,36.68,36.82,5725900,0.0,0
2019-04-10,36.84,37.04,35.88,36.0,4828400,0.0,0
2019-04-11,36.09,36.67,35.52,36.6,4791400,0.0,0
2019-04-12,36.66,37.13,35.99,37.04,6368500,0.0,0
2019-04-15,36.97,37.08,36.5,37.04,3927100,0.0,0
2019-04-16,37.17,37.35,36.98,37.25,5722000,0.0,0
2019-04-17,37.37,38.34,37.26,38.33,7603800,0.0,0
2019-04-18,38.4,38.49,37.92,37.93,4737400,0.0,0
2019-04-22,37.86,37.93,37.13,37.2,7675300,0.0,0
2019-04-23,37.29,37.89,37.14,37.58,6328800,0.0,0
2019-04-24,37.45,37.81,37.31,37.46,5323500,0.0,0
2019-04-25,37.48,37.7,37.05,37.65,5309700,0.0,0
2019-04-26,37.58,38.02,37.4,37.97,5297400,0.0,0
2019-04-29,38.03,39.01,37.81,38.68,6885200,0.0,0
2019-04-30,38.67,38.81,37.96,38.48,5044400,0.0,0
2019-05-01,38.61,38.97,38.15,38.88,5149800,0.0,0
2019-05-02,38.71,38.95,36.59,36.79,11495900,0.0,0
2019-05-03,36.92,37.25,36.63,36.98,4809800,0.0,0
2019-05-06,36.68,37.49,36.47,37.42,4801300,0.0,0
2019-05-07,37.09,37.31,36.63,36.77,6053300,0.0,0
2019-05-08,36.85,37.2,36.37,36.93,8635300,0.0,0
2019-05-09,37.99,38.73,37.02,37.99,15210200,0.0,0
2019-05-10,38.13,38.24,36.95,38.02,6742500,0.0,0
2019-05-13,37.27,38.17,37.23,37.47,5604000,0.0,0
2019-05-14,37.55,38.01,37.37,37.39,6198600,0.0,0
2019-05-15,37.2,37.47,37.08,37.21,2975400,0.0,0
2019-05-16,37.41,37.58,36.22,36.26,8704900,0.0,0
2019-05-17,36.31,37.33,36.3,37.06,5508000,0.23,0
2019-05-20,36.92,37.38,36.74,36.88,3670000,0.0,0
2019-05-21,37.0,37.74,36.84,37.43,4668600,0.0,0
2019-05-22,37.4,37.5,36.8,36.86,3431200,0.0,0
2019-05-23,36.56,36.82,36.38,36.65,4431900,0.0,0
2019-05-24,36.79,36.95,36.59,36.66,2879000,0.0,0
2019-05-28,36.71,37.08,36.25,36.39,4380400,0.0,0
2019-05-29,36.25,36.4,35.54,35.54,3691300,0.0,0
2019-05-30,35.63,35.9,34.91,34.98,4730400,0.0,0
2019-05-31,34.73,35.03,34.46,34.99,6706100,0.0,0
2019-06-03,34.81,35.06,33.55,34.0,7665000,0.0,0
2019-06-04,34.28,35.01,33.91,34.24,8058900,0.0,0
2019-06-05,34.38,34.74,34.04,34.12,6240600,0.0,0
2019-06-06,34.42,34.42,33.74,33.88,5288300,0.0,0
2019-06-07,33.94,34.2,33.76,33.77,4226800,0.0,0
2019-06-10,33.81,34.16,33.66,33.79,5620500,0.0,0
2019-06-11,33.99,34.17,33.77,33.94,3166900,0.0,0
2019-06-12,33.96,34.86,33.92,34.81,4426800,0.0,0
2019-06-13,34.93,35.25,34.72,35.05,4384800,0.0,0
2019-06-14,35.0,35.25,34.69,35.0,4362200,0.0,0
2019-06-17,35.17,36.07,35.09,35.88,7195400,0.0,0
2019-06-18,36.2,36.79,35.83,35.94,4938900,0.0,0
2019-06-19,36.01,36.17,35.43,35.74,4790000,0.0,0
2019-06-20,36.13,36.22,35.31,35.33,5916500,0.0,0
2019-06-21,35.36,37.04,35.07,35.93,11402200,0.0,0
2019-06-24,35.76,35.82,35.36,35.55,5280100,0.0,0
2019-06-25,35.53,35.61,34.9,35.09,7204300,0.0,0
2019-06-26,35.54,35.85,35.09,35.22,4297300,0.0,0
2019-06-27,35.28,36.08,34.96,35.74,5083900,0.0,0
2019-06-28,35.73,36.51,35.56,36.39,10930000,0.0,0
2019-07-01,36.21,36.73,35.49,35.67,6396600,0.0,0
2019-07-02,35.76,36.37,35.67,36.34,3599500,0.0,0
2019-07-03,36.35,36.56,36.02,36.1,3160300,0.0,0
2019-07-05,35.99,36.54,35.82,36.35,1982000,0.0,0
2019-07-08,36.28,36.42,35.83,35.88,1644600,0.0,0
2019-07-09,35.78,36.02,35.57,35.77,2379600,0.0,0
2019-07-10,35.94,36.18,35.82,35.89,2400700,0.0,0
