Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-18,27.1,27.87,26.24,26.47,457044300.0,0.0,0
2010-11-19,26.44,26.71,25.64,26.53,107842000.0,0.0,0
2010-11-22,26.48,26.7,26.18,26.39,36650600.0,0.0,0
2010-11-23,26.29,26.32,25.7,25.75,31170200.0,0.0,0
2010-11-24,26.12,26.17,25.72,25.92,26138000.0,0.0,0
2010-11-26,25.87,26.18,25.72,26.17,12301200.0,0.0,0
2010-11-29,26.17,26.18,25.61,26.17,27776900.0,0.0,0
2010-11-30,25.96,26.52,25.83,26.48,57476900.0,0.0,0
2010-12-01,26.83,27.06,26.65,26.93,34633200.0,0.0,0
2010-12-02,27.04,27.09,26.72,26.85,23196100.0,0.0,0
2010-12-03,26.75,26.79,26.3,26.75,19395200.0,0.0,0
2010-12-06,26.7,26.93,26.64,26.7,11676500.0,0.0,0
2010-12-07,26.91,27.02,26.68,26.85,20823000.0,0.0,0
2010-12-08,26.8,26.89,26.58,26.68,12603900.0,0.0,0
2010-12-09,26.61,26.66,26.03,26.13,18402200.0,0.0,0
2010-12-10,26.21,26.32,25.96,26.18,11741700.0,0.0,0
2010-12-13,26.3,26.37,26.1,26.17,11029300.0,0.0,0
2010-12-14,26.12,26.27,25.9,26.24,15165600.0,0.0,0
2010-12-15,26.18,26.34,26.03,26.03,10182700.0,0.0,0
2010-12-16,25.99,26.22,25.99,26.03,9885700.0,0.0,0
2010-12-17,25.96,26.33,25.7,26.33,35681600.0,0.0,0
2010-12-20,26.26,26.37,26.13,26.14,12476400.0,0.0,0
2010-12-21,26.22,26.28,26.11,26.21,9012400.0,0.0,0
2010-12-22,26.11,27.06,25.96,27.04,20935100.0,0.0,0
2010-12-23,26.85,27.5,26.81,26.95,20529200.0,0.0,0
2010-12-27,26.64,27.02,26.47,26.79,7368300.0,0.0,0
2010-12-28,27.4,27.62,27.16,27.35,23489000.0,0.0,0
2010-12-29,27.47,28.11,27.3,27.89,20960800.0,0.0,0
2010-12-30,27.95,28.63,27.89,28.51,16980800.0,0.0,0
2010-12-31,28.53,28.62,28.32,28.54,6163900.0,0.0,0
2011-01-03,28.9,29.42,28.67,28.7,24874900.0,0.0,0
2011-01-04,28.73,29.42,28.4,29.35,32363400.0,0.0,0
2011-01-05,29.01,29.66,29.01,29.48,22503900.0,0.0,0
2011-01-06,29.61,30.57,29.48,30.12,38556900.0,0.0,0
2011-01-07,30.08,30.45,29.82,30.18,19901100.0,0.0,0
2011-01-10,30.46,30.48,29.77,29.86,18341600.0,0.0,0
2011-01-11,29.94,30.53,29.82,30.01,14856500.0,0.0,0
2011-01-12,30.16,30.49,29.71,29.9,16773900.0,0.0,0
2011-01-13,29.94,29.97,29.51,29.63,11358300.0,0.0,0
2011-01-14,29.56,29.79,29.46,29.58,5894200.0,0.0,0
2011-01-18,29.46,29.68,28.9,29.45,8918200.0,0.0,0
2011-01-19,29.25,29.37,28.85,28.96,12667700.0,0.0,0
2011-01-20,28.74,28.88,28.09,28.79,15844900.0,0.0,0
2011-01-21,28.91,29.31,28.51,28.84,9548500.0,0.0,0
2011-01-24,29.2,29.32,28.67,29.15,12202800.0,0.0,0
2011-01-25,29.31,29.8,29.2,29.73,12318700.0,0.0,0
2011-01-26,30.01,30.13,29.32,29.34,11534600.0,0.0,0
2011-01-27,29.58,30.16,29.45,29.94,13950000.0,0.0,0
2011-01-28,29.42,29.44,27.88,28.34,37134600.0,0.0,0
2011-01-31,28.57,28.69,27.79,28.26,13954800.0,0.0,0
2011-02-01,28.6,28.83,27.98,28.22,28091600.0,0.0,0
2011-02-02,28.23,28.31,27.55,27.63,17434700.0,0.0,0
2011-02-03,27.85,27.92,27.2,27.92,19350000.0,0.0,0
2011-02-04,28.07,28.44,27.79,28.33,11115000.0,0.0,0
2011-02-07,28.61,28.72,28.35,28.42,7328800.0,0.0,0
2011-02-08,28.63,28.69,28.19,28.57,6243000.0,0.0,0
2011-02-09,28.51,28.58,28.09,28.19,6399300.0,0.0,0
2011-02-10,28.01,28.37,27.5,27.78,11542400.0,0.0,0
2011-02-11,27.69,28.32,27.53,28.22,13508300.0,0.0,0
2011-02-14,28.3,28.31,27.47,28.1,7121200.0,0.0,0
2011-02-15,28.02,28.19,27.72,27.96,10336500.0,0.0,0
2011-02-16,27.96,28.53,27.89,28.46,8680900.0,0.0,0
2011-02-17,28.3,28.42,28.11,28.16,7463000.0,0.0,0
2011-02-18,28.2,28.46,28.17,28.27,6815800.0,0.0,0
2011-02-22,27.77,27.99,27.45,27.7,13937400.0,0.0,0
2011-02-23,27.76,27.83,26.17,26.78,28192500.0,0.0,0
2011-02-24,27.02,27.1,24.82,25.57,63562800.0,0.0,0
2011-02-25,26.07,26.48,25.59,25.75,29017800.0,0.0,0
2011-02-28,25.93,26.13,25.44,25.96,15886400.0,0.0,0
2011-03-01,26.09,26.13,25.11,25.51,27321600.0,0.0,0
2011-03-02,25.48,25.68,25.24,25.46,14306700.0,0.0,0
2011-03-03,25.58,25.68,25.28,25.58,17614800.0,0.0,0
2011-03-04,25.61,25.62,24.79,25.08,24240900.0,0.0,0
2011-03-07,25.05,25.17,24.41,24.55,15077100.0,0.0,0
2011-03-08,24.58,25.41,24.54,25.34,14509400.0,0.0,0
2011-03-09,25.35,25.37,24.86,24.97,11225600.0,0.0,0
2011-03-10,24.37,24.61,23.97,24.33,38333600.0,0.0,0
2011-03-11,24.2,24.83,24.19,24.72,14024000.0,0.0,0
2011-03-14,24.89,25.01,24.34,24.46,9976500.0,0.0,0
2011-03-15,23.99,25.16,23.73,25.05,21471300.0,0.0,0
2011-03-16,25.1,25.19,24.31,24.61,14148900.0,0.0,0
2011-03-17,24.92,25.08,24.26,24.35,11025600.0,0.0,0
2011-03-18,24.58,24.74,24.33,24.66,9861200.0,0.0,0
2011-03-21,24.96,25.01,24.18,24.22,13196500.0,0.0,0
2011-03-22,24.22,24.28,23.63,23.8,16982100.0,0.0,0
2011-03-23,23.69,24.22,23.38,24.13,23016000.0,0.0,0
2011-03-24,24.25,24.47,24.19,24.31,15743100.0,0.0,0
2011-03-25,24.38,24.55,24.07,24.37,15242300.0,0.0,0
2011-03-28,24.45,24.45,23.89,23.89,10302600.0,0.0,0
2011-03-29,23.95,24.14,23.76,24.08,9756700.0,0.0,0
2011-03-30,24.13,24.5,24.04,24.43,7657000.0,0.0,0
2011-03-31,24.31,24.43,24.0,24.03,8976600.0,0.0,0
2011-04-01,24.31,25.27,23.88,25.1,29883100.0,0.0,0
2011-04-04,25.17,25.34,24.93,25.08,12331400.0,0.0,0
2011-04-05,25.03,25.45,24.86,25.45,10106900.0,0.0,0
2011-04-06,25.55,25.77,25.18,25.45,8160100.0,0.0,0
2011-04-07,25.43,25.43,24.83,25.02,11242400.0,0.0,0
2011-04-08,25.09,25.36,24.26,24.41,16057700.0,0.0,0
