Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.63,27.79,27.49,27.75,1137700.0,0.0,0
2009-12-08,27.63,27.84,27.37,27.73,907600.0,0.0,0
2009-12-09,27.81,27.88,27.57,27.75,630000.0,0.0,0
2009-12-10,27.91,28.09,27.8,27.98,586300.0,0.0,0
2009-12-11,28.03,28.39,27.98,28.32,650100.0,0.0,0
2009-12-14,28.41,28.57,28.3,28.46,561400.0,0.0,0
2009-12-15,28.31,28.46,28.12,28.29,745300.0,0.0,0
2009-12-16,28.47,28.7,28.36,28.46,671200.0,0.0,0
2009-12-17,28.42,28.46,28.03,28.15,678900.0,0.0,0
2009-12-18,28.2,28.37,27.99,28.09,1439200.0,0.0,0
2009-12-21,28.2,28.43,28.18,28.23,804400.0,0.0,0
2009-12-22,28.32,28.44,28.18,28.43,722100.0,0.0,0
2009-12-23,28.43,28.62,28.24,28.44,472500.0,0.0,0
2009-12-24,28.55,28.67,28.37,28.57,236100.0,0.0,0
2009-12-28,28.71,28.73,28.42,28.56,471600.0,0.0,0
2009-12-29,28.55,28.72,28.55,28.6,476400.0,0.0,0
2009-12-30,28.46,28.55,28.35,28.43,627400.0,0.0,0
2009-12-31,28.35,28.52,28.07,28.07,484800.0,0.0,0
2010-01-04,28.32,28.39,28.12,28.2,836900.0,0.0,0
2010-01-05,28.07,28.21,27.77,28.17,942800.0,0.0,0
2010-01-06,28.18,28.29,28.05,28.12,656600.0,0.0,0
2010-01-07,28.14,28.32,28.02,28.27,753300.0,0.0,0
2010-01-08,28.1,28.32,28.05,28.28,789700.0,0.0,0
2010-01-11,28.4,28.6,28.2,28.6,514500.0,0.0,0
2010-01-12,28.49,28.69,28.38,28.48,664300.0,0.0,0
2010-01-13,28.58,28.79,28.38,28.62,949400.0,0.0,0
2010-01-14,28.59,28.83,28.42,28.81,700300.0,0.0,0
2010-01-15,28.77,28.83,28.68,28.69,1082200.0,0.0,0
2010-01-19,28.72,29.02,28.55,28.91,1018600.0,0.0,0
2010-01-20,28.8,28.82,28.35,28.39,988700.0,0.0,0
2010-01-21,28.46,28.74,28.18,28.21,904600.0,0.0,0
2010-01-22,28.23,28.48,28.16,28.18,904700.0,0.0,0
2010-01-25,28.1,28.71,28.1,28.32,873600.0,0.0,0
2010-01-26,28.3,28.44,28.18,28.3,588100.0,0.0,0
2010-01-27,28.33,28.42,27.94,28.15,764200.0,0.0,0
