Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.46,24.03,23.4,23.57,9065200.0,0.0,0
2009-12-08,23.27,23.31,22.72,22.8,18093400.0,0.0,0
2009-12-09,22.67,23.49,22.59,23.36,17554900.0,0.0,0
2009-12-10,23.47,24.16,23.47,23.97,14928000.0,0.0,0
2009-12-11,23.82,24.29,23.72,23.92,11669400.0,0.0,0
2009-12-14,24.32,24.63,24.25,24.37,9761700.0,0.0,0
2009-12-15,24.33,25.1,24.33,24.78,11978000.0,0.0,0
2009-12-16,24.97,25.64,24.92,25.18,11566300.0,0.0,0
2009-12-17,25.02,25.71,24.93,25.59,20057600.0,0.0,0
2009-12-18,25.85,25.86,25.08,25.2,16837800.0,0.0,0
2009-12-21,25.42,26.09,25.42,25.76,11423200.0,0.0,0
2009-12-22,25.7,25.95,25.61,25.66,8287300.0,0.0,0
2009-12-23,25.9,25.99,25.78,25.92,7236300.0,0.0,0
2009-12-24,25.95,26.07,25.69,25.76,3385900.0,0.0,0
2009-12-28,25.8,26.07,25.67,25.79,5401600.0,0.0,0
2009-12-29,25.87,25.98,25.13,25.22,9324200.0,0.0,0
2009-12-30,25.2,25.57,24.97,25.5,7471200.0,0.0,0
2009-12-31,25.79,25.97,25.52,25.6,7678700.0,0.0,0
2010-01-04,26.14,26.67,26.09,26.59,11571600.0,0.0,0
2010-01-05,26.61,27.08,26.37,26.93,18989700.0,0.0,0
2010-01-06,27.01,27.73,26.92,27.57,15720800.0,0.0,0
2010-01-07,27.49,27.67,27.16,27.64,8993100.0,0.0,0
2010-01-08,28.04,29.05,27.64,29.03,23014600.0,0.0,0
2010-01-11,29.53,29.67,28.4,28.74,15943400.0,0.0,0
2010-01-12,28.22,28.7,27.96,28.32,15739600.0,0.0,0
2010-01-13,28.38,29.11,28.22,28.97,13885400.0,0.0,0
2010-01-14,29.0,29.47,28.67,29.19,12008000.0,0.0,0
2010-01-15,29.09,29.18,28.48,28.95,11967100.0,0.0,0
2010-01-19,28.8,29.54,28.8,29.44,12018100.0,0.0,0
2010-01-20,29.01,29.13,28.09,28.31,17463600.0,0.0,0
2010-01-21,28.29,28.52,27.65,27.68,20825600.0,0.0,0
2010-01-22,27.46,27.63,26.42,26.5,21577600.0,0.0,0
2010-01-25,25.26,26.8,25.12,26.44,29815000.0,0.0,0
2010-01-26,26.23,26.8,25.79,26.27,18930800.0,0.0,0
2010-01-27,26.15,26.27,25.01,25.87,19410700.0,0.0,0
2010-01-28,26.23,26.23,24.98,25.23,16881400.0,0.0,0
2010-01-29,25.51,26.09,24.68,24.85,18196500.0,0.0,0
2010-02-01,25.16,26.12,25.13,26.08,13821700.0,0.0,0
2010-02-02,26.21,26.8,25.89,26.17,16414100.0,0.0,0
2010-02-03,26.13,26.55,25.66,25.83,11090200.0,0.0,0
2010-02-04,25.5,25.5,24.43,24.56,17959900.0,0.0,0
2010-02-05,24.51,24.9,23.58,24.07,22097000.0,0.0,0
2010-02-08,24.1,24.69,23.87,23.91,16336400.0,0.0,0
2010-02-09,24.3,25.25,24.3,24.74,20175400.0,0.0,0
2010-02-10,24.68,25.11,24.25,24.87,12150700.0,0.0,0
2010-02-11,24.89,25.72,24.56,25.66,14493200.0,0.0,0
2010-02-12,25.18,25.59,25.03,25.54,14981300.0,0.0,0
2010-02-16,26.1,26.5,25.89,26.42,15028400.0,0.0,0
2010-02-17,26.5,26.58,26.15,26.44,11394000.0,0.0,0
2010-02-18,26.32,26.94,26.32,26.84,11485800.0,0.0,0
2010-02-19,26.73,27.3,26.54,27.05,12130100.0,0.0,0
2010-02-22,27.15,27.35,26.27,26.39,14988500.0,0.0,0
2010-02-23,26.22,26.37,25.58,25.7,14472400.0,0.0,0
2010-02-24,25.78,25.98,25.26,25.53,18173300.0,0.0,0
2010-02-25,25.0,25.6,24.67,25.53,13093300.0,0.0,0
