Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.84,23.51,22.84,23.25,1934600,0.0,0
2009-12-08,23.28,23.28,22.89,22.93,1435100,0.0,0
2009-12-09,22.92,22.92,22.38,22.78,2248200,0.0,0
2009-12-10,22.87,23.24,22.87,22.99,1609300,0.0,0
2009-12-11,23.14,23.33,22.97,23.25,1239600,0.0,0
2009-12-14,23.37,23.62,23.28,23.51,1739100,0.0,0
2009-12-15,23.47,23.96,23.37,23.76,2000400,0.0,0
2009-12-16,23.91,24.16,23.78,23.85,1341900,0.0,0
2009-12-17,23.66,23.91,23.41,23.78,1189500,0.0,0
2009-12-18,23.84,23.96,23.66,23.85,1800800,0.0,0
2009-12-21,24.12,24.49,24.06,24.13,1412400,0.0,0
2009-12-22,24.3,24.32,24.0,24.05,1286900,0.0,0
2009-12-23,24.0,24.25,23.94,24.22,759800,0.0,0
2009-12-24,24.21,24.28,24.05,24.26,345300,0.0,0
2009-12-28,24.31,24.4,24.22,24.35,675800,0.0,0
2009-12-29,24.43,24.46,24.2,24.21,770700,0.0,0
2009-12-30,24.24,24.46,24.13,24.46,746300,0.0,0
2009-12-31,24.41,24.56,24.18,24.18,891100,0.0,0
2010-01-04,24.53,24.7,24.37,24.54,1652600,0.0,0
2010-01-05,24.61,24.61,24.02,24.27,1646900,0.0,0
2010-01-06,24.3,24.3,23.91,24.25,1307500,0.0,0
2010-01-07,24.18,24.33,23.66,23.9,3140300,0.0,0
2010-01-08,24.2,24.39,23.73,23.96,2699600,0.0,0
2010-01-11,24.06,24.13,23.76,23.94,1082500,0.0,0
2010-01-12,23.87,23.9,23.41,23.56,3105500,0.0,0
2010-01-13,23.54,23.95,23.53,23.9,1277300,0.0,0
2010-01-14,23.84,24.19,23.76,24.15,1269000,0.0,0
2010-01-15,24.12,24.31,23.91,24.25,2017200,0.0,0
2010-01-19,24.27,24.46,24.12,24.38,998500,0.0,0
2010-01-20,24.19,24.37,23.98,24.33,1499100,0.0,0
2010-01-21,24.25,24.54,24.13,24.21,2252400,0.0,0
2010-01-22,24.13,24.34,23.55,23.6,1615100,0.0,0
2010-01-25,23.72,23.85,23.54,23.69,1101000,0.0,0
2010-01-26,23.6,23.82,23.57,23.59,1045500,0.0,0
2010-01-27,23.54,23.78,23.39,23.75,1042300,0.0,0
2010-01-28,23.8,23.93,23.54,23.79,971500,0.0,0
2010-01-29,24.0,24.0,23.17,23.19,2446200,0.2,0
2010-02-01,23.31,23.82,23.19,23.67,2397600,0.0,0
2010-02-02,23.73,24.29,23.58,24.26,2635000,0.0,0
2010-02-03,24.17,24.46,24.05,24.34,1631600,0.0,0
2010-02-04,24.16,24.31,23.69,23.72,2043400,0.0,0
2010-02-05,23.68,23.79,22.92,23.38,2782800,0.0,0
2010-02-08,25.54,26.71,25.45,26.34,11443600,0.0,0
2010-02-09,26.38,26.78,26.16,26.61,4256100,0.0,0
