Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,4.73,4.77,4.69,4.71,1787600,0.0,0.0
2009-12-08,4.65,4.84,4.6,4.81,6816800,0.0,0.0
2009-12-09,4.79,4.96,4.74,4.93,5354000,0.0,0.0
2009-12-10,4.96,5.07,4.95,4.96,3662000,0.0,0.0
2009-12-11,5.02,5.08,4.97,5.03,2860400,0.0,0.0
2009-12-14,5.07,5.14,4.98,5.13,3034400,0.0,0.0
2009-12-15,5.12,5.12,5.03,5.07,3488400,0.0,0.0
2009-12-16,5.06,5.19,5.06,5.1,2947200,0.0,0.0
2009-12-17,5.04,5.06,4.95,5.0,3707200,0.0,0.0
2009-12-18,5.01,5.05,4.93,5.04,4548400,0.0,0.0
2009-12-21,5.07,5.13,5.03,5.04,2396800,0.0,0.0
2009-12-22,5.06,5.08,4.99,5.01,4353200,0.0,0.0
2009-12-23,5.02,5.02,4.95,4.99,3290000,0.0,0.0
2009-12-24,5.01,5.02,4.94,4.99,1092400,0.0,0.0
2009-12-28,5.01,5.01,4.92,4.94,2190000,0.0,0.0
2009-12-29,4.96,4.96,4.84,4.86,2877600,0.0,0.0
2009-12-30,4.83,4.88,4.76,4.8,5087200,0.0,0.0
2009-12-31,4.8,4.88,4.75,4.77,2666000,0.0,0.0
2010-01-04,4.8,4.92,4.8,4.89,3658400,0.0,0.0
2010-01-05,4.89,4.96,4.85,4.9,2300400,0.0,0.0
2010-01-06,4.92,4.93,4.87,4.92,1973200,0.0,0.0
2010-01-07,4.9,4.96,4.82,4.83,3284000,0.0,0.0
2010-01-08,4.84,4.91,4.79,4.89,2953600,0.0,0.0
2010-01-11,4.94,5.04,4.86,4.87,2662800,0.0,0.0
2010-01-12,4.82,4.84,4.67,4.73,3633600,0.0,0.0
2010-01-13,4.75,4.78,4.65,4.77,4270000,0.0,0.0
2010-01-14,4.74,4.83,4.73,4.82,1902800,0.0,0.0
2010-01-15,4.83,4.85,4.71,4.74,1762000,0.0,0.0
2010-01-19,4.76,4.77,4.7,4.73,3280800,0.0,0.0
2010-01-20,4.68,4.7,4.42,4.64,9663600,0.0,0.0
2010-01-21,4.64,4.71,4.57,4.57,4024800,0.0,0.0
2010-01-22,4.57,4.66,4.51,4.53,2408000,0.0,0.0
2010-01-25,4.58,4.59,4.49,4.53,2163600,0.0,0.0
2010-01-26,4.51,4.6,4.5,4.55,2957200,0.0,0.0
2010-01-27,4.54,4.62,4.51,4.58,3150000,0.0,0.0
2010-01-28,4.45,4.79,4.44,4.7,7434400,0.0,0.0
2010-01-29,4.72,4.76,4.53,4.54,3995200,0.0,0.0
2010-02-01,4.56,4.61,4.49,4.58,3008400,0.0,0.0
2010-02-02,4.58,4.61,4.52,4.59,3220800,0.0,0.0
2010-02-03,4.57,4.57,4.44,4.47,3061200,0.0,0.0
2010-02-04,4.44,4.44,4.27,4.29,3843600,0.0,0.0
2010-02-05,4.27,4.32,4.14,4.3,4368400,0.0,0.0
2010-02-08,4.32,4.41,4.27,4.31,2963200,0.0,0.0
2010-02-09,4.39,4.47,4.36,4.42,2731600,0.0,0.0
2010-02-10,4.43,4.53,4.41,4.48,3033200,0.0,0.0
2010-02-11,4.46,4.57,4.43,4.56,1676800,0.0,0.0
2010-02-12,4.51,4.65,4.46,4.65,3217200,0.0,0.0
2010-02-16,4.68,4.73,4.63,4.7,2158000,0.0,0.0
2010-02-17,4.7,4.79,4.68,4.75,2915600,0.0,0.0
