Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.48,20.72,19.87,19.94,6646500,0.0,0
2009-12-08,19.77,19.97,19.63,19.84,5171500,0.0,0
2009-12-09,19.88,19.93,19.43,19.81,4116700,0.0,0
2009-12-10,19.89,20.24,19.82,20.03,5037800,0.0,0
2009-12-11,20.21,20.26,19.63,20.11,5607800,0.0,0
2009-12-14,20.12,20.38,19.92,20.21,5769600,0.0,0
2009-12-15,20.12,20.12,19.65,19.7,5077700,0.0,0
2009-12-16,19.98,20.47,19.9,20.12,5689700,0.0,0
2009-12-17,19.95,19.96,19.37,19.41,8193800,0.0,0
2009-12-18,19.57,19.63,19.19,19.58,7956400,0.0,0
2009-12-21,19.8,19.95,19.3,19.31,6497900,0.0,0
2009-12-22,19.31,19.64,19.08,19.54,8189900,0.0,0
2009-12-23,19.65,19.69,19.33,19.46,4087500,0.0,0
2009-12-24,19.56,19.77,19.5,19.74,1845400,0.0,0
2009-12-28,19.88,20.07,19.7,19.76,3241400,0.0,0
2009-12-29,19.82,20.05,19.73,19.97,4031200,0.0,0
2009-12-30,19.82,19.87,19.6,19.76,3108000,0.0,0
2009-12-31,19.74,19.96,19.39,19.39,2988900,0.0,0
2010-01-04,19.77,19.97,19.6,19.89,6944100,0.0,0
2010-01-05,19.78,21.47,19.73,21.42,12424000,0.0,0
2010-01-06,21.27,21.99,20.92,21.77,10690200,0.0,0
2010-01-07,21.67,22.27,21.52,22.11,7033600,0.0,0
2010-01-08,22.0,22.15,21.48,21.86,5130500,0.0,0
2010-01-11,22.02,22.17,21.55,21.82,5188500,0.0,0
2010-01-12,23.37,23.83,22.58,22.61,23618800,0.0,0
2010-01-13,22.7,23.39,22.67,23.21,7752000,0.0,0
2010-01-14,23.08,23.09,22.43,22.72,9251600,0.0,0
2010-01-15,22.7,22.76,22.11,22.32,7727900,0.0,0
2010-01-19,22.22,22.92,22.09,22.91,5322100,0.0,0
2010-01-20,22.58,22.88,22.32,22.48,4622900,0.0,0
2010-01-21,22.47,22.62,21.27,21.31,12520600,0.0,0
2010-01-22,21.3,21.51,20.45,20.52,10500600,0.0,0
2010-01-25,20.95,21.1,20.21,20.56,7099300,0.0,0
2010-01-26,20.38,21.09,20.27,20.35,6690400,0.0,0
2010-01-27,20.32,20.83,19.97,20.81,7216500,0.0,0
2010-01-28,21.07,21.07,20.0,20.19,6607000,0.0,0
2010-01-29,20.39,20.8,19.86,20.0,6691400,0.0,0
2010-02-01,20.24,20.42,20.03,20.33,4371600,0.0,0
2010-02-02,20.42,21.25,20.29,21.17,7337000,0.0,0
2010-02-03,21.04,21.05,20.28,20.49,6416700,0.0,0
