Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-03-22,32.71,34.43,31.13,34.33,491400,0.0,0
2011-03-23,33.94,34.61,33.83,34.11,601200,0.0,0
2011-03-24,34.34,34.34,34.01,34.11,230400,0.0,0
2011-03-25,34.34,35.94,34.11,35.94,497400,0.0,0
2011-03-28,35.71,35.71,34.56,34.56,53100,0.0,0
2011-03-29,34.57,34.75,34.31,34.34,269300,0.0,0
2011-03-30,34.75,35.24,33.49,34.98,8573500,0.0,0
2011-03-31,35.2,39.13,34.79,38.0,2653000,0.0,0
2011-04-01,37.53,38.86,36.48,36.66,2222900,0.0,0
2011-04-04,36.5,37.56,35.84,36.76,1122700,0.0,0
2011-04-05,36.19,36.93,35.46,36.85,1373400,0.0,0
2011-04-06,36.5,36.91,35.82,36.33,2080100,0.0,0
2011-04-07,35.02,35.94,34.34,35.53,2134600,0.0,0
2011-04-08,35.09,35.6,34.98,35.25,1307200,0.0,0
2011-04-11,35.25,35.32,35.05,35.09,1563100,0.0,0
2011-04-12,34.71,35.18,34.48,34.84,1637500,0.0,0
2011-04-13,34.53,35.13,34.13,34.79,1649100,0.0,0
2011-04-14,34.7,36.04,34.66,35.5,1232400,0.0,0
2011-04-15,35.61,37.31,35.53,36.75,1502100,0.0,0
2011-04-18,36.12,36.83,35.33,36.67,793700,0.0,0
2011-04-19,36.7,36.73,36.16,36.42,802400,0.0,0
2011-04-20,36.75,36.95,36.17,36.68,358200,0.0,0
2011-04-21,36.65,36.8,35.87,35.99,799400,0.0,0
2011-04-25,35.83,36.08,35.35,35.77,298000,0.0,0
2011-04-26,35.68,36.36,35.43,36.02,696700,0.0,0
2011-04-27,35.68,36.81,34.88,36.63,772000,0.0,0
2011-04-28,36.62,36.84,36.24,36.61,692000,0.0,0
2011-04-29,36.62,36.78,36.57,36.62,556000,0.0,0
2011-05-02,36.08,37.71,35.75,37.52,542100,0.0,0
2011-05-03,37.44,37.62,36.97,37.08,539000,0.0,0
2011-05-04,36.99,37.24,36.25,36.58,591800,0.0,0
2011-05-05,36.45,37.72,36.17,36.48,635800,0.0,0
2011-05-06,36.63,36.76,36.02,36.17,413800,0.0,0
2011-05-09,36.01,36.49,35.58,36.26,368900,0.0,0
2011-05-10,36.43,36.94,36.41,36.78,709100,0.0,0
2011-05-11,36.15,36.17,35.25,35.51,1297900,0.0,0
2011-05-12,35.53,35.62,35.04,35.15,382000,0.0,0
2011-05-13,35.08,35.35,34.77,35.21,435000,0.0,0
