Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.41,27.39,26.41,26.95,1961500,0.0,0
2009-12-08,26.46,26.87,26.22,26.46,2030400,0.0,0
2009-12-09,26.66,27.14,26.28,26.69,2003400,0.0,0
2009-12-10,26.88,27.69,26.88,27.61,1603100,0.0,0
2009-12-11,27.97,28.07,27.56,27.75,1473300,0.0,0
2009-12-14,28.27,28.6,28.09,28.33,1696400,0.0,0
2009-12-15,28.19,28.89,28.08,28.4,2122000,0.0,0
2009-12-16,28.54,29.16,28.45,28.96,1912700,0.0,0
2009-12-17,28.77,29.03,28.5,28.77,1546200,0.0,0
2009-12-18,29.05,29.27,28.56,29.16,2267300,0.0,0
2009-12-21,29.41,29.72,29.23,29.31,1488800,0.0,0
2009-12-22,29.3,29.85,29.3,29.58,717600,0.0,0
2009-12-23,29.82,30.85,29.73,30.74,1346700,0.0,0
2009-12-24,30.8,31.05,30.47,30.67,191900,0.0,0
2009-12-28,30.89,31.25,30.37,30.54,753700,0.0,0
2009-12-29,30.68,30.78,30.0,30.03,941200,0.0,0
2009-12-30,29.78,30.02,29.46,29.51,1097300,0.0,0
2009-12-31,29.6,29.74,28.88,28.91,649300,0.0,0
2010-01-04,29.51,30.46,29.51,30.43,920000,0.0,0
2010-01-05,30.43,32.22,30.35,32.2,3039400,0.0,0
2010-01-06,32.24,33.41,32.0,33.38,2481200,0.0,0
2010-01-07,33.25,33.7,32.7,33.59,1674100,0.0,0
2010-01-08,33.99,35.21,33.83,34.79,2795600,0.0,0
2010-01-11,35.23,35.23,33.15,33.67,2983600,0.0,0
2010-01-12,32.98,33.43,32.59,32.99,2289800,0.0,0
2010-01-13,32.96,34.3,32.87,34.24,1962700,0.0,0
2010-01-14,33.88,35.51,33.88,35.21,2325800,0.0,0
2010-01-15,34.89,35.61,34.3,34.42,1675600,0.0,0
2010-01-19,34.32,34.75,34.18,34.7,1550200,0.0,0
2010-01-20,34.25,34.46,33.67,34.27,1327500,0.0,0
2010-01-21,34.41,35.18,33.88,34.15,1883800,0.0,0
2010-01-22,34.04,34.04,32.04,32.22,2159600,0.0,0
2010-01-25,32.53,33.19,32.32,32.41,1411800,0.0,0
2010-01-26,32.22,33.27,31.78,32.67,1617100,0.0,0
2010-01-27,32.55,32.97,31.9,32.75,1956300,0.0,0
2010-01-28,33.62,33.7,31.72,31.96,1973200,0.0,0
2010-01-29,32.8,32.8,30.09,30.32,2640900,0.0,0
2010-02-01,30.59,31.09,30.21,31.06,2539900,0.0,0
2010-02-02,31.2,31.72,31.03,31.36,1460700,0.0,0
2010-02-03,31.23,31.49,30.91,31.13,1405500,0.0,0
2010-02-04,30.88,31.0,29.2,29.22,1698300,0.0,0
2010-02-05,29.24,29.53,28.16,29.24,1694300,0.0,0
2010-02-08,29.31,29.67,28.67,29.0,1337800,0.0,0
2010-02-09,29.5,30.2,29.22,29.49,1453200,0.0,0
2010-02-10,29.33,30.01,29.07,29.75,881600,0.05,0
2010-02-11,29.79,30.78,29.62,30.3,1473100,0.0,0
2010-02-12,29.88,30.23,29.51,30.22,1228000,0.0,0
2010-02-16,30.88,31.21,30.48,31.15,1448800,0.0,0
2010-02-17,31.37,32.09,31.28,32.0,1983400,0.0,0
2010-02-18,31.95,32.45,31.73,32.15,1551500,0.0,0
2010-02-19,32.16,32.34,31.68,31.87,1698300,0.0,0
2010-02-22,32.09,32.17,30.14,30.29,3575300,0.0,0
2010-02-23,31.01,31.05,29.8,30.18,4073600,0.0,0
2010-02-24,30.2,30.63,29.78,29.92,2888700,0.0,0
2010-02-25,29.49,30.09,28.9,30.04,1683500,0.0,0
2010-02-26,30.23,30.26,29.32,29.41,28021300,0.0,0
2010-03-01,29.33,29.46,28.91,29.45,3896000,0.0,0
2010-03-02,29.54,29.86,29.43,29.59,2809900,0.0,0
2010-03-03,29.75,30.16,29.6,29.91,1954100,0.0,0
2010-03-04,30.04,30.12,28.94,29.12,2695200,0.0,0
2010-03-05,29.43,29.55,29.03,29.2,2121600,0.0,0
2010-03-08,29.21,29.3,28.37,28.74,3293000,0.0,0
2010-03-09,28.36,29.16,28.28,28.96,2209500,0.0,0
2010-03-10,28.82,29.67,28.82,29.51,1725700,0.0,0
2010-03-11,29.42,29.58,29.07,29.58,904400,0.0,0
2010-03-12,29.81,29.96,29.54,29.67,2072900,0.0,0
2010-03-15,29.55,29.56,28.73,29.32,1777200,0.0,0
2010-03-16,29.8,29.94,29.4,29.67,2610400,0.0,0
2010-03-17,29.79,30.14,29.7,29.8,1787000,0.0,0
2010-03-18,29.62,29.83,27.98,28.22,4767800,0.0,0
2010-03-19,27.6,28.42,27.21,27.6,2863200,0.0,0
2010-03-22,27.26,28.19,27.03,28.17,2355400,0.0,0
2010-03-23,28.27,28.32,27.79,28.15,2070800,0.0,0
2010-03-24,27.85,28.22,27.45,27.64,2136200,0.0,0
2010-03-25,27.87,28.04,26.32,26.42,2883400,0.0,0
2010-03-26,26.51,26.65,26.29,26.49,1924500,0.0,0
2010-03-29,26.94,27.5,26.87,27.41,2047900,0.0,0
2010-03-30,27.46,27.6,26.71,27.2,2818800,0.0,0
2010-03-31,27.27,27.86,27.25,27.63,1812300,0.0,0
2010-04-01,28.01,28.24,27.8,28.14,1548100,0.0,0
2010-04-05,28.53,29.0,28.3,28.96,1501400,0.0,0
