Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.39,15.52,15.29,15.31,28708300,0.0,0.0
2009-12-08,15.27,15.29,15.19,15.23,25495400,0.0,0.0
2009-12-09,15.25,15.56,15.19,15.54,38609200,0.0,0.0
2009-12-10,15.55,15.63,15.49,15.6,41310400,0.0,0.0
2009-12-11,15.58,15.62,15.52,15.57,26059100,0.0,0.0
2009-12-14,15.59,15.85,15.59,15.82,27472800,0.08,0.0
2009-12-15,15.77,16.0,15.71,15.92,40775500,0.0,0.0
2009-12-16,15.89,16.09,15.89,16.04,34427300,0.0,0.0
2009-12-17,15.9,15.95,15.69,15.79,30883000,0.0,0.0
2009-12-18,15.89,16.11,15.83,16.08,47244100,0.0,0.0
2009-12-21,16.08,16.32,16.06,16.23,34862500,0.0,0.0
2009-12-22,16.22,16.43,16.2,16.38,26843200,0.0,0.0
2009-12-23,16.38,16.39,16.24,16.39,17747200,0.0,0.0
2009-12-24,16.32,16.53,16.28,16.51,9164200,0.0,0.0
2009-12-28,16.51,16.51,16.38,16.47,24545200,0.0,0.0
2009-12-29,16.43,16.49,16.4,16.41,15338400,0.0,0.0
2009-12-30,16.32,16.53,16.32,16.53,14634400,0.0,0.0
2009-12-31,16.49,16.53,16.07,16.08,30512800,0.0,0.0
2010-01-04,16.09,16.39,16.02,16.38,27957400,0.0,0.0
2010-01-05,16.28,16.47,16.27,16.44,28830500,0.0,0.0
2010-01-06,16.4,16.46,16.25,16.29,25866000,0.0,0.0
2010-01-07,16.29,16.42,16.23,16.3,22507300,0.0,0.0
2010-01-08,16.27,16.43,16.24,16.42,22548200,0.0,0.0
2010-01-11,16.42,16.46,16.22,16.37,22335700,0.0,0.0
2010-01-12,16.24,16.41,16.17,16.23,27153700,0.0,0.0
2010-01-13,16.3,16.36,16.13,16.3,25957800,0.0,0.0
2010-01-14,16.31,16.53,16.28,16.39,35483600,0.0,0.0
2010-01-15,16.42,16.5,16.25,16.38,29408300,0.0,0.0
2010-01-19,16.27,16.48,16.27,16.47,25052500,0.0,0.0
2010-01-20,16.32,16.37,16.08,16.3,30609300,0.0,0.0
2010-01-21,16.36,16.38,15.89,16.01,40706300,0.0,0.0
2010-01-22,15.93,15.99,15.38,15.39,44600100,0.0,0.0
2010-01-25,15.47,15.74,15.43,15.63,29677200,0.0,0.0
2010-01-26,15.64,15.77,15.48,15.53,34636100,0.0,0.0
2010-01-27,15.54,15.54,15.15,15.44,39655800,0.0,0.0
2010-01-28,15.42,15.43,14.83,14.92,58488800,0.0,0.0
