Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,92.92,93.39,92.71,93.04,4144400,0.0,0
2009-12-08,92.98,93.26,92.39,92.86,5351400,0.0,0
2009-12-09,92.79,94.02,92.35,94.02,6071900,0.0,0
2009-12-10,93.83,94.81,93.8,94.72,7077800,0.0,0
2009-12-11,94.48,95.03,94.26,94.97,6597200,0.0,0
2009-12-14,94.95,95.19,94.91,95.15,5201300,0.0,0
2009-12-15,94.81,95.1,93.69,94.1,7862600,0.0,0
2009-12-16,94.28,94.91,93.99,94.26,6372500,0.0,0
2009-12-17,93.74,94.15,93.09,93.3,5909500,0.0,0
2009-12-18,93.72,94.02,93.01,93.67,9106600,0.0,0
2009-12-21,93.59,94.43,93.5,94.21,4772500,0.0,0
2009-12-22,94.69,95.19,94.61,95.15,5535500,0.0,0
2009-12-23,94.98,95.2,94.69,95.2,4127600,0.0,0
2009-12-24,95.12,95.62,94.82,95.62,4265100,0.0,0
2009-12-28,95.93,96.89,95.73,96.89,5800400,0.0,0
2009-12-29,96.87,96.94,96.52,96.56,4184200,0.0,0
2009-12-30,96.1,97.17,95.7,97.09,3867000,0.0,0
2009-12-31,96.97,97.29,95.75,95.86,4223400,0.0,0
2010-01-04,96.07,97.38,95.83,97.0,6155300,0.0,0
2010-01-05,96.43,96.56,95.28,95.83,6841400,0.0,0
2010-01-06,95.7,96.29,95.06,95.2,5605300,0.0,0
2010-01-07,95.11,95.39,94.4,94.87,5840600,0.0,0
2010-01-08,94.52,95.88,94.51,95.83,4197200,0.0,0
2010-01-11,95.98,95.98,94.23,94.82,5730400,0.0,0
2010-01-12,94.49,96.18,94.47,95.58,8081500,0.0,0
2010-01-13,95.49,96.02,94.59,95.37,6455400,0.0,0
2010-01-14,95.61,97.19,95.14,96.89,7111800,0.0,0
2010-01-15,96.69,97.32,96.0,96.51,8494400,0.0,0
2010-01-19,96.4,98.32,96.35,98.23,13916200,0.0,0
2010-01-20,95.54,96.05,94.43,95.39,15197500,0.0,0
2010-01-21,95.55,95.71,93.78,94.47,9608600,0.0,0
2010-01-22,94.23,94.39,91.81,91.91,10088600,0.0,0
2010-01-25,92.52,92.93,92.06,92.36,5738500,0.0,0
2010-01-26,92.22,93.56,91.84,92.09,7135300,0.0,0
2010-01-27,92.14,92.98,91.57,92.52,8719200,0.0,0
2010-01-28,93.03,93.04,90.11,90.63,9622200,0.0,0
2010-01-29,91.04,91.54,89.27,89.63,11571200,0.0,0
2010-02-01,90.25,91.5,89.92,91.3,7242900,0.0,0
2010-02-02,91.39,92.13,90.77,91.93,5899900,0.0,0
2010-02-03,91.66,92.33,91.59,92.02,4177100,0.0,0
2010-02-04,91.68,91.86,90.0,90.08,9126900,0.0,0
2010-02-05,90.11,90.6,89.22,90.46,8617000,0.0,0
2010-02-08,90.59,90.64,89.55,89.66,5718500,0.55,0
2010-02-09,90.22,91.36,90.08,90.63,6044500,0.0,0
2010-02-10,90.44,90.96,89.9,90.34,5219100,0.0,0
2010-02-11,90.17,91.36,89.79,91.02,5089000,0.0,0
2010-02-12,90.49,91.25,89.46,91.22,8017700,0.0,0
2010-02-16,91.88,92.12,91.3,92.12,6777300,0.0,0
2010-02-17,92.32,93.08,92.11,92.93,5827400,0.0,0
2010-02-18,92.78,94.16,92.69,94.02,5525900,0.0,0
2010-02-19,93.68,94.2,93.33,93.56,6303100,0.0,0
2010-02-22,93.64,93.74,92.91,93.31,3808100,0.0,0
2010-02-23,93.04,93.91,92.69,93.02,4591900,0.0,0
2010-02-24,93.44,94.36,93.28,93.86,4782000,0.0,0
2010-02-25,92.72,93.6,92.37,93.47,5658700,0.0,0
2010-02-26,93.43,94.16,93.23,93.54,4784200,0.0,0
2010-03-01,93.79,94.77,93.77,94.58,4577700,0.0,0
2010-03-02,94.67,94.96,93.52,93.73,6013300,0.0,0
2010-03-03,93.96,94.17,93.19,93.33,6390000,0.0,0
2010-03-04,93.47,93.47,92.3,93.22,6032300,0.0,0
2010-03-05,93.55,93.83,93.45,93.61,6140200,0.0,0
2010-03-08,93.47,93.79,92.95,92.99,6199300,0.0,0
2010-03-09,92.89,92.9,92.1,92.36,7528800,0.0,0
2010-03-10,92.68,92.95,92.11,92.41,6916200,0.0,0
2010-03-11,92.47,94.02,92.47,93.86,7922200,0.0,0
2010-03-12,94.09,94.43,93.8,94.11,5169500,0.0,0
2010-03-15,93.72,94.41,93.63,94.03,4497700,0.0,0
2010-03-16,94.16,94.81,93.75,94.65,6134900,0.0,0
2010-03-17,94.82,94.84,93.69,93.98,6348400,0.0,0
2010-03-18,93.76,94.71,93.75,94.44,4954400,0.0,0
2010-03-19,93.94,94.84,93.26,93.94,10744300,0.0,0
2010-03-22,93.5,94.44,93.11,94.14,5651900,0.0,0
2010-03-23,94.11,95.21,93.89,95.17,5978500,0.0,0
2010-03-24,94.62,95.59,94.5,94.55,6669300,0.0,0
2010-03-25,95.16,96.17,94.99,95.07,7603200,0.0,0
2010-03-26,94.84,95.47,94.69,95.08,5550800,0.0,0
2010-03-29,95.11,95.59,94.35,94.59,4643000,0.0,0
2010-03-30,94.82,94.99,94.34,94.72,3426600,0.0,0
2010-03-31,94.33,94.71,93.9,94.34,4904800,0.0,0
2010-04-01,94.86,95.12,93.83,94.34,4980500,0.0,0
2010-04-05,94.44,95.48,94.26,95.15,4118700,0.0,0
2010-04-06,94.66,95.11,94.19,94.84,3926300,0.0,0
2010-04-07,94.55,95.09,94.17,94.51,5157000,0.0,0
2010-04-08,94.19,94.33,93.57,93.87,6006900,0.0,0
2010-04-09,94.07,94.8,93.51,94.72,5185100,0.0,0
2010-04-12,94.58,94.86,94.33,94.42,3992300,0.0,0
2010-04-13,94.35,95.21,94.04,94.92,6819100,0.0,0
2010-04-14,95.43,96.67,95.23,96.55,8545800,0.0,0
2010-04-15,96.02,96.47,95.77,96.28,6425300,0.0,0
2010-04-16,96.13,97.23,95.81,96.09,9546200,0.0,0
2010-04-19,95.91,97.31,95.91,97.27,11353700,0.0,0
2010-04-20,95.04,95.87,94.35,95.4,15216500,0.0,0
2010-04-21,95.53,95.83,94.53,94.89,7559200,0.0,0
2010-04-22,94.63,95.16,93.99,94.99,6018500,0.0,0
2010-04-23,94.95,95.7,94.68,95.62,6197300,0.0,0
2010-04-26,95.45,96.39,95.29,96.17,5285400,0.0,0
2010-04-27,95.56,97.1,94.68,94.76,10916700,0.0,0
2010-04-28,95.19,95.97,94.92,95.7,7122300,0.0,0
2010-04-29,96.03,96.52,95.74,95.97,5786900,0.0,0
2010-04-30,95.95,96.1,94.78,94.89,6266700,0.0,0
2010-05-03,95.18,95.73,94.75,95.33,4992100,0.0,0
2010-05-04,94.81,94.84,93.11,94.25,8285000,0.0,0
2010-05-05,93.51,94.33,93.33,93.76,6072800,0.0,0
2010-05-06,93.38,94.59,85.77,91.62,13168800,0.65,0
2010-05-07,91.21,91.97,88.73,90.28,10584800,0.0,0
2010-05-10,93.36,93.66,92.47,93.36,8463900,0.0,0
2010-05-11,92.58,94.95,92.53,93.82,6498900,0.0,0
2010-05-12,94.02,98.23,93.91,98.1,16626900,0.0,0
2010-05-13,96.81,98.41,96.75,97.21,10497800,0.0,0
2010-05-14,96.9,97.35,95.68,97.0,9920100,0.0,0
2010-05-17,96.62,97.42,95.16,96.44,8923400,0.0,0
2010-05-18,97.05,97.59,96.05,96.08,9330000,0.0,0
2010-05-19,95.65,96.49,94.51,95.28,8669300,0.0,0
2010-05-20,94.06,94.61,91.45,91.53,13176500,0.0,0
2010-05-21,90.32,92.87,89.76,92.73,12639500,0.0,0
2010-05-24,92.61,93.18,91.71,92.02,6868600,0.0,0
2010-05-25,89.81,92.39,89.81,92.07,9494800,0.0,0
2010-05-26,92.34,93.12,90.94,91.11,9083200,0.0,0
2010-05-27,92.46,93.45,92.25,93.45,7725900,0.0,0
2010-05-28,93.13,93.37,91.9,92.61,7421900,0.0,0
2010-06-01,92.19,93.81,91.83,91.93,7135400,0.0,0
2010-06-02,92.31,94.27,91.94,94.2,7705300,0.0,0
2010-06-03,94.46,94.8,93.5,94.61,6645300,0.0,0
2010-06-04,93.44,93.97,92.18,92.63,9669200,0.0,0
2010-06-07,92.84,93.06,91.78,91.78,6951400,0.0,0
2010-06-08,91.88,92.02,90.81,91.48,8399200,0.0,0
2010-06-09,92.3,93.04,91.37,91.61,7795500,0.0,0
2010-06-10,93.15,94.8,93.01,94.4,7479700,0.0,0
2010-06-11,93.7,95.23,93.49,94.97,5820200,0.0,0
2010-06-14,95.01,96.1,95.0,95.01,6753000,0.0,0
2010-06-15,95.33,96.08,94.91,95.96,6652500,0.0,0
2010-06-16,94.89,96.62,94.89,96.38,6401000,0.0,0
2010-06-17,96.17,96.88,96.02,96.84,5571000,0.0,0
2010-06-18,96.87,97.04,96.22,96.23,9581400,0.0,0
2010-06-21,97.17,97.55,96.28,96.6,6857800,0.0,0
2010-06-22,96.39,97.21,95.43,95.6,6030200,0.0,0
2010-06-23,95.56,97.21,95.45,96.2,6855800,0.0,0
2010-06-24,95.8,95.92,94.42,94.78,5565500,0.0,0
2010-06-25,94.89,95.45,93.99,93.99,10420400,0.0,0
