Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.08,26.48,26.0,26.08,505000,0,0.0
2009-12-08,25.92,26.14,25.5,25.92,618600,0,0.0
2009-12-09,25.86,26.16,25.68,25.76,485600,0,0.0
2009-12-10,25.95,26.33,25.88,26.01,378600,0,0.0
2009-12-11,26.19,26.19,25.65,26.08,273200,0,0.0
2009-12-14,26.04,26.3,25.7,26.26,302600,0,0.0
2009-12-15,26.17,26.49,25.99,26.48,472400,0,0.0
2009-12-16,26.36,26.75,26.09,26.16,391400,0,0.0
2009-12-17,26.02,26.22,25.95,26.01,292600,0,0.0
2009-12-18,26.05,26.18,25.84,25.99,475400,0,0.0
2009-12-21,26.08,26.39,26.06,26.16,232400,0,0.0
2009-12-22,26.14,26.59,26.0,26.57,252800,0,0.0
2009-12-23,26.59,27.01,26.42,26.93,652000,0,0.0
2009-12-24,26.92,26.93,26.8,26.86,97200,0,0.0
2009-12-28,26.92,27.18,26.38,27.09,210400,0,0.0
2009-12-29,27.17,27.21,27.0,27.2,193200,0,0.0
2009-12-30,27.19,27.33,27.16,27.31,303200,0,0.0
2009-12-31,27.33,27.34,26.72,26.73,494400,0,0.0
2010-01-04,26.85,27.17,26.72,27.04,325200,0,0.0
2010-01-05,26.88,27.08,26.77,27.08,223600,0,0.0
2010-01-06,27.01,27.37,27.01,27.15,262400,0,0.0
2010-01-07,27.03,28.33,26.97,28.18,748200,0,0.0
2010-01-08,28.21,28.45,27.91,27.95,642800,0,0.0
2010-01-11,28.01,28.95,28.01,28.89,697200,0,0.0
2010-01-12,28.85,28.89,28.59,28.84,492800,0,0.0
2010-01-13,28.82,29.66,28.82,29.58,1040000,0,0.0
2010-01-14,29.6,29.98,29.6,29.82,506000,0,0.0
2010-01-15,29.75,29.82,29.26,29.55,422600,0,0.0
2010-01-19,29.5,29.88,29.3,29.67,582800,0,0.0
2010-01-20,29.56,29.75,29.24,29.53,353400,0,0.0
2010-01-21,29.49,29.55,29.12,29.18,349800,0,0.0
2010-01-22,29.23,29.27,28.53,28.59,501000,0,0.0
2010-01-25,28.84,28.84,28.23,28.38,584200,0,0.0
2010-01-26,28.38,28.55,28.3,28.46,248200,0,0.0
2010-01-27,28.32,28.53,28.09,28.35,469400,0,0.0
2010-01-28,28.3,29.01,28.02,28.99,691400,0,0.0
2010-01-29,28.41,29.05,26.25,26.25,3663600,0,0.0
2010-02-01,26.38,26.65,24.51,24.97,3685000,0,0.0
2010-02-02,25.06,25.59,24.76,25.46,2079600,0,0.0
2010-02-03,25.38,25.48,25.17,25.44,720800,0,0.0
2010-02-04,25.23,25.56,25.05,25.25,1428000,0,0.0
2010-02-05,25.18,25.42,24.63,25.02,1161200,0,0.0
2010-02-08,24.8,25.13,24.62,25.0,730800,0,0.0
2010-02-09,24.95,25.32,24.88,25.28,574600,0,0.0
2010-02-10,25.35,25.5,24.97,25.2,600800,0,0.0
2010-02-11,25.27,26.07,25.13,26.0,844800,0,0.0
2010-02-12,25.66,26.72,25.66,26.66,856000,0,0.0
2010-02-16,26.52,26.79,26.28,26.79,766200,0,0.0
2010-02-17,26.77,27.18,26.58,26.82,481400,0,0.0
2010-02-18,26.89,27.09,26.65,26.94,406000,0,0.0
2010-02-19,26.85,27.08,26.45,26.48,733000,0,0.0
2010-02-22,26.45,26.59,26.25,26.34,752800,0,0.0
2010-02-23,26.33,26.81,26.2,26.25,607800,0,0.0
2010-02-24,26.38,26.6,26.34,26.52,307200,0,0.0
2010-02-25,26.35,26.73,26.03,26.25,613600,0,0.0
2010-02-26,26.18,26.74,26.17,26.4,556000,0,0.0
2010-03-01,26.46,27.16,26.08,27.11,810400,0,0.0
2010-03-02,27.03,27.8,26.99,27.71,664200,0,0.0
2010-03-03,27.77,28.1,27.73,27.95,564000,0,0.0
2010-03-04,28.02,28.27,27.67,27.72,385600,0,0.0
2010-03-05,27.73,28.25,27.6,28.23,386800,0,0.0
2010-03-08,28.28,28.35,28.04,28.28,445200,0,0.0
2010-03-09,28.2,28.35,28.0,28.08,428000,0,0.0
