Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.83,15.05,14.82,14.95,47082900,0.0,0
2009-12-08,14.86,14.89,14.53,14.67,63988900,0.0,0
2009-12-09,14.67,14.74,14.47,14.69,53660100,0.0,0
2009-12-10,14.8,14.85,14.7,14.79,43211800,0.0,0
2009-12-11,14.83,14.85,14.54,14.61,39141600,0.0,0
2009-12-14,14.7,14.76,14.61,14.67,35705000,0.0,0
2009-12-15,14.56,14.72,14.45,14.53,43142500,0.0,0
2009-12-16,14.31,14.53,14.15,14.23,96648500,0.0,0
2009-12-17,14.12,14.16,14.0,14.0,52267400,0.0,0
2009-12-18,14.1,14.47,14.02,14.41,98974800,0.0,0
2009-12-21,14.67,14.92,13.95,14.75,56874600,0.0,0
2009-12-22,14.79,14.9,14.64,14.71,36092900,0.0,0
2009-12-23,14.72,14.86,14.7,14.75,30573800,0.0,0
2009-12-24,14.83,14.94,14.81,14.92,12189200,0.0,0
2009-12-28,14.98,15.05,14.8,14.9,27397000,0.0,0
2009-12-29,14.98,15.03,14.85,14.97,29331800,0.0,0
2009-12-30,14.86,15.12,14.86,15.11,26273600,0.0,0
2009-12-31,15.12,15.21,14.97,14.97,26429200,0.0,0
2010-01-04,15.26,15.44,15.22,15.33,47800900,0.0,0
2010-01-05,15.37,15.41,15.12,15.32,52357700,0.0,0
2010-01-06,15.28,15.36,15.17,15.27,40037400,0.0,0
2010-01-07,15.22,15.24,14.93,15.12,54041500,0.0,0
2010-01-08,15.08,15.33,14.97,15.29,48234700,0.0,0
2010-01-11,15.5,15.52,15.28,15.38,51086400,0.0,0
2010-01-12,15.32,15.34,14.96,15.13,69958400,0.0,0
2010-01-13,15.21,15.47,15.0,15.39,71446700,0.0,0
2010-01-14,15.5,15.82,15.45,15.77,150821600,0.0,0
2010-01-15,15.7,15.71,15.25,15.27,198078600,0.0,0
2010-01-19,15.34,15.54,15.3,15.45,82573500,0.0,0
2010-01-20,15.41,15.52,15.3,15.47,65670100,0.0,0
2010-01-21,15.52,15.64,15.18,15.3,73633300,0.0,0
2010-01-22,15.25,15.26,14.54,14.61,116302400,0.0,0
2010-01-25,14.86,15.11,14.78,14.92,73785600,0.0,0
2010-01-26,14.81,14.96,14.64,14.68,65298900,0.0,0
2010-01-27,14.68,14.92,14.55,14.86,74926200,0.0,0
2010-01-28,14.9,14.97,14.45,14.62,76974600,0.0,0
2010-01-29,14.78,14.85,14.17,14.24,96053900,0.0,0
2010-02-01,14.29,14.5,14.27,14.39,50338300,0.0,0
2010-02-02,14.45,14.71,14.36,14.61,63332500,0.0,0
2010-02-03,14.64,14.71,14.41,14.56,45582300,0.158,0
2010-02-04,14.48,14.49,14.02,14.07,90931100,0.0,0
2010-02-05,14.13,14.49,14.06,14.41,88711700,0.0,0
2010-02-08,14.41,14.64,14.28,14.32,62563200,0.0,0
2010-02-09,14.53,14.72,14.38,14.54,69454100,0.0,0
2010-02-10,14.49,14.7,14.39,14.57,56250600,0.0,0
2010-02-11,14.52,14.95,14.47,14.84,58837300,0.0,0
2010-02-12,14.77,15.3,14.64,15.12,91108900,0.0,0
2010-02-16,15.26,15.43,15.2,15.33,69083400,0.0,0
2010-02-17,15.43,15.43,15.19,15.29,47296700,0.0,0
2010-02-18,15.27,15.43,15.2,15.42,42613600,0.0,0
2010-02-19,15.33,15.52,15.23,15.4,40760000,0.0,0
2010-02-22,15.5,15.51,15.28,15.44,38730600,0.0,0
2010-02-23,15.42,15.5,15.01,15.09,62245300,0.0,0
2010-02-24,15.18,15.4,15.17,15.32,51070100,0.0,0
2010-02-25,15.07,15.29,14.96,15.26,48789400,0.0,0
2010-02-26,15.24,15.3,15.12,15.19,47795300,0.0,0
2010-03-01,15.3,15.49,15.26,15.44,51203300,0.0,0
2010-03-02,15.53,15.6,15.23,15.32,59399000,0.0,0
2010-03-03,15.36,15.4,15.12,15.18,49909900,0.0,0
2010-03-04,15.24,15.25,14.99,15.19,62750100,0.0,0
2010-03-05,15.29,15.42,15.13,15.38,45879700,0.0,0
2010-03-08,15.4,15.45,15.32,15.37,35742100,0.0,0
2010-03-09,15.3,15.69,15.29,15.49,83168700,0.0,0
2010-03-10,15.5,15.75,15.47,15.68,58435600,0.0,0
2010-03-11,15.64,15.74,15.53,15.72,53778700,0.0,0
2010-03-12,15.77,15.81,15.67,15.74,39584500,0.0,0
2010-03-15,15.66,15.77,15.57,15.66,34378000,0.0,0
2010-03-16,15.71,16.31,15.69,16.29,123060900,0.0,0
2010-03-17,16.32,16.54,16.21,16.46,77805900,0.0,0
2010-03-18,16.42,16.54,16.29,16.43,54458500,0.0,0
2010-03-19,16.46,16.57,16.14,16.27,77998500,0.0,0
2010-03-22,16.18,16.5,16.16,16.46,47405700,0.0,0
2010-03-23,16.57,16.83,16.54,16.77,64740900,0.0,0
2010-03-24,16.67,16.77,16.51,16.6,54729000,0.0,0
2010-03-25,16.79,16.82,16.51,16.54,52428700,0.0,0
2010-03-26,16.6,16.71,16.33,16.46,45700500,0.0,0
2010-03-29,16.59,16.64,16.47,16.52,34467900,0.0,0
2010-03-30,16.57,16.68,16.41,16.53,37886300,0.0,0
2010-03-31,16.51,16.65,16.43,16.49,45983800,0.0,0
2010-04-01,16.57,16.75,16.43,16.57,45491000,0.0,0
2010-04-05,16.63,16.76,16.53,16.71,34942900,0.0,0
2010-04-06,16.6,16.63,16.47,16.57,47056500,0.0,0
2010-04-07,16.6,16.78,16.46,16.61,62539800,0.0,0
2010-04-08,16.56,16.58,16.4,16.51,40824500,0.0,0
2010-04-09,16.57,16.7,16.54,16.68,45528700,0.0,0
2010-04-12,16.79,16.82,16.6,16.68,49353000,0.0,0
2010-04-13,16.76,16.88,16.63,16.85,122395600,0.0,0
2010-04-14,17.44,17.53,17.22,17.4,159980600,0.0,0
2010-04-15,17.63,18.03,17.61,17.92,110819600,0.0,0
2010-04-16,17.8,17.88,17.59,17.7,102974900,0.0,0
2010-04-19,17.69,17.79,17.42,17.76,71310800,0.0,0
2010-04-20,17.91,17.94,17.68,17.85,65991400,0.0,0
2010-04-21,17.83,17.85,17.42,17.61,73899300,0.0,0
2010-04-22,17.42,17.8,17.25,17.75,73666100,0.0,0
2010-04-23,17.72,17.8,17.56,17.79,56963700,0.0,0
2010-04-26,17.82,17.85,17.62,17.62,57727600,0.0,0
2010-04-27,17.56,17.67,17.24,17.28,78937600,0.0,0
2010-04-28,17.32,17.36,16.95,17.21,109052100,0.0,0
2010-04-29,17.26,17.4,17.24,17.38,59059400,0.0,0
2010-04-30,17.35,17.36,16.88,16.9,81864000,0.0,0
2010-05-03,17.0,17.34,16.94,17.21,55449900,0.0,0
2010-05-04,16.97,16.98,16.57,16.69,90704300,0.0,0
2010-05-05,16.47,16.68,16.32,16.52,96854100,0.158,0
2010-05-06,16.5,16.68,14.83,16.03,160695900,0.0,0
2010-05-07,15.84,16.17,15.25,15.88,139360500,0.0,0
2010-05-10,16.61,16.81,16.51,16.8,112607400,0.0,0
2010-05-11,16.63,17.03,16.47,16.6,102689700,0.0,0
2010-05-12,16.84,17.24,16.76,17.2,83343400,0.0,0
2010-05-13,17.16,17.26,16.66,16.77,62099000,0.0,0
2010-05-14,16.53,16.55,16.04,16.31,83526200,0.0,0
2010-05-17,16.21,16.43,15.95,16.41,64550400,0.0,0
2010-05-18,16.5,16.56,15.89,15.97,76636100,0.0,0
2010-05-19,16.03,16.18,15.65,16.09,89530600,0.0,0
2010-05-20,15.66,15.83,15.37,15.49,106551000,0.0,0
2010-05-21,15.21,15.77,15.04,15.58,111769100,0.0,0
2010-05-24,15.61,15.81,15.36,15.4,56436100,0.0,0
2010-05-25,14.99,15.55,14.92,15.54,96151400,0.0,0
2010-05-26,15.72,16.02,15.42,15.42,85666800,0.0,0
2010-05-27,15.77,16.24,15.74,16.21,83236800,0.0,0
2010-05-28,16.15,16.21,15.82,15.96,72712600,0.0,0
2010-06-01,15.87,16.2,15.74,15.78,57164500,0.0,0
2010-06-02,15.94,16.27,15.77,16.25,61537200,0.0,0
2010-06-03,16.36,16.39,16.0,16.32,54614400,0.0,0
2010-06-04,16.05,16.09,15.49,15.61,67919400,0.0,0
2010-06-07,15.6,15.67,15.08,15.13,65435200,0.0,0
2010-06-08,15.07,15.07,14.71,15.04,91377800,0.0,0
2010-06-09,15.19,15.35,14.8,14.85,58981200,0.0,0
2010-06-10,15.16,15.35,15.09,15.31,57168300,0.0,0
2010-06-11,15.13,15.46,15.11,15.38,49491800,0.0,0
2010-06-14,15.61,15.75,15.51,15.57,68877500,0.0,0
2010-06-15,15.73,16.06,15.65,16.01,62082000,0.0,0
2010-06-16,15.95,16.13,15.8,16.01,43764600,0.0,0
2010-06-17,16.09,16.16,15.8,16.03,37270900,0.0,0
2010-06-18,16.06,16.13,15.78,15.95,64872600,0.0,0
2010-06-21,16.15,16.16,15.69,15.79,48844300,0.0,0
2010-06-22,15.74,15.89,15.54,15.63,58831100,0.0,0
2010-06-23,15.6,15.66,15.39,15.51,61352400,0.0,0
2010-06-24,15.36,15.49,15.05,15.14,62003900,0.0,0
2010-06-25,15.2,15.21,14.82,14.92,94683200,0.0,0
2010-06-28,14.98,15.34,14.84,15.17,54468400,0.0,0
2010-06-29,14.9,14.94,14.64,14.75,79050800,0.0,0
2010-06-30,14.68,14.92,14.46,14.49,64294700,0.0,0
2010-07-01,14.48,14.62,14.16,14.34,88020000,0.0,0
2010-07-02,14.31,14.43,14.13,14.31,58093400,0.0,0
2010-07-06,14.57,14.72,14.34,14.51,60697600,0.0,0
2010-07-07,14.5,15.03,14.45,15.01,72806800,0.0,0
2010-07-08,15.16,15.17,14.78,14.98,65407600,0.0,0
2010-07-09,14.95,15.11,14.87,15.08,52843800,0.0,0
2010-07-12,15.13,15.39,15.13,15.33,56587900,0.0,0
2010-07-13,15.63,16.6,15.51,15.65,103191800,0.0,0
2010-07-14,16.44,16.58,15.86,15.92,199002600,0.0,0
2010-07-15,15.9,16.09,15.65,16.03,118558200,0.0,0
2010-07-16,15.97,16.01,15.65,15.66,80451500,0.0,0
2010-07-19,15.77,16.1,15.77,16.09,63430400,0.0,0
2010-07-20,15.77,16.19,15.72,16.13,72666400,0.0,0
2010-07-21,16.07,16.13,15.78,15.84,71775300,0.0,0
2010-07-22,15.91,16.38,15.9,16.23,74465500,0.0,0
2010-07-23,16.12,16.18,15.89,16.16,62115500,0.0,0
2010-07-26,16.15,16.2,15.95,16.18,50929500,0.0,0
2010-07-27,16.15,16.2,15.94,16.08,53975800,0.0,0
2010-07-28,16.12,16.16,15.86,15.89,51673900,0.0,0
2010-07-29,15.94,16.01,15.47,15.67,83811400,0.0,0
2010-07-30,15.48,15.59,15.33,15.35,67395900,0.0,0
2010-08-02,15.57,15.86,15.45,15.76,50316200,0.0,0
2010-08-03,15.65,15.67,15.43,15.55,60929200,0.0,0
2010-08-04,15.62,15.66,15.35,15.56,85639700,0.158,0
2010-08-05,15.5,15.61,15.36,15.52,44475000,0.0,0
2010-08-06,15.35,15.62,15.32,15.5,50833800,0.0,0
2010-08-09,15.61,15.61,15.32,15.5,46082800,0.0,0
2010-08-10,15.1,15.14,14.79,14.88,136352400,0.0,0
2010-08-11,14.66,14.7,14.49,14.59,99079200,0.0,0
2010-08-12,14.39,14.81,14.33,14.6,86580600,0.0,0
2010-08-13,14.51,14.63,14.38,14.38,57384800,0.0,0
2010-08-16,14.37,14.69,14.35,14.62,48721100,0.0,0
2010-08-17,14.81,14.92,14.64,14.66,60836400,0.0,0
2010-08-18,14.66,14.85,14.62,14.71,58982400,0.0,0
2010-08-19,14.24,14.36,14.12,14.19,159900400,0.0,0
2010-08-20,14.21,14.27,14.09,14.2,95174400,0.0,0
2010-08-23,14.21,14.25,13.96,14.04,71954400,0.0,0
2010-08-24,13.93,14.03,13.81,13.82,75107400,0.0,0
2010-08-25,13.71,13.96,13.65,13.87,63350600,0.0,0
2010-08-26,13.96,13.97,13.6,13.65,69586000,0.0,0
2010-08-27,13.69,13.9,13.37,13.79,135184300,0.0,0
2010-08-30,13.7,13.75,13.47,13.48,73718900,0.0,0
2010-08-31,13.42,13.45,13.21,13.27,111601400,0.0,0
2010-09-01,13.47,13.72,13.43,13.62,73611500,0.0,0
2010-09-02,13.69,13.76,13.57,13.72,53192100,0.0,0
2010-09-03,13.9,13.96,13.66,13.84,59143200,0.0,0
2010-09-07,13.78,13.82,13.55,13.6,58636500,0.0,0
2010-09-08,13.54,13.55,13.33,13.44,101747000,0.0,0
2010-09-09,13.55,13.57,13.46,13.51,65019600,0.0,0
2010-09-10,13.48,13.59,13.39,13.49,68814700,0.0,0
2010-09-13,13.68,13.93,13.66,13.93,73870900,0.0,0
2010-09-14,13.91,14.12,13.77,14.07,64479500,0.0,0
2010-09-15,14.06,14.09,13.92,14.06,56107300,0.0,0
2010-09-16,14.04,14.25,13.95,14.24,69165800,0.0,0
2010-09-17,14.29,14.33,14.02,14.12,70436600,0.0,0
2010-09-20,14.18,14.24,14.03,14.21,44935100,0.0,0
2010-09-21,14.18,14.47,14.15,14.37,69131400,0.0,0
2010-09-22,14.3,14.45,14.18,14.27,61569400,0.0,0
2010-09-23,14.15,14.5,14.08,14.25,51954700,0.0,0
2010-09-24,14.44,14.6,14.4,14.58,55749300,0.0,0
2010-09-27,14.57,14.59,14.4,14.45,51071000,0.0,0
2010-09-28,14.5,14.69,14.34,14.65,61019600,0.0,0
2010-09-29,14.63,14.73,14.36,14.45,62484300,0.0,0
2010-09-30,14.52,14.72,14.35,14.42,75382200,0.0,0
2010-10-01,14.62,15.28,14.18,14.51,41275000,0.0,0
2010-10-04,14.45,14.49,14.09,14.17,67082000,0.0,0
2010-10-05,14.33,14.48,14.29,14.38,61004600,0.0,0
2010-10-06,14.42,14.54,14.36,14.5,54990000,0.0,0
2010-10-07,14.54,14.67,14.42,14.57,51794600,0.0,0
2010-10-08,14.57,14.7,14.42,14.66,46528700,0.0,0
2010-10-11,14.71,14.83,14.66,14.69,52722400,0.0,0
2010-10-12,14.75,14.87,14.6,14.84,94743400,0.0,0
2010-10-13,15.0,15.04,14.39,14.45,173827300,0.0,0
2010-10-14,14.5,14.61,14.42,14.51,59255900,0.0,0
2010-10-15,14.6,14.62,14.42,14.51,64052800,0.0,0
2010-10-18,14.46,14.51,14.24,14.41,54985100,0.0,0
2010-10-19,14.27,14.56,14.19,14.42,85409800,0.0,0
2010-10-20,14.49,14.85,14.48,14.75,84884600,0.0,0
2010-10-21,14.83,14.91,14.69,14.84,74287500,0.0,0
2010-10-22,14.86,14.96,14.83,14.9,50129800,0.0,0
2010-10-25,14.98,15.02,14.87,14.92,45769400,0.0,0
2010-10-26,14.86,15.1,14.81,15.05,56344600,0.0,0
2010-10-27,14.96,15.17,14.87,15.16,48151900,0.0,0
2010-10-28,15.23,15.41,15.03,15.37,71144000,0.0,0
2010-10-29,15.35,15.44,15.02,15.05,60774400,0.0,0
2010-11-01,15.28,15.52,15.27,15.44,51593700,0.0,0
2010-11-02,15.5,15.54,15.23,15.27,60959100,0.0,0
2010-11-03,15.39,15.53,15.3,15.5,53044600,0.158,0
2010-11-04,15.63,15.91,15.56,15.87,66048200,0.0,0
2010-11-05,15.9,16.11,15.87,16.07,55960500,0.0,0
2010-11-08,16.15,16.27,16.02,16.06,53006900,0.0,0
2010-11-09,16.04,16.16,15.91,16.01,46639500,0.0,0
2010-11-10,16.0,16.02,15.75,15.92,48072100,0.0,0
2010-11-11,15.66,16.06,15.55,16.05,69682800,0.0,0
2010-11-12,16.22,16.5,16.14,16.29,100662400,0.0,0
2010-11-15,16.38,16.39,16.09,16.12,50076900,0.0,0
2010-11-16,15.99,16.09,15.8,15.94,62890100,0.0,0
2010-11-17,15.91,16.06,15.84,15.95,44262100,0.0,0
2010-11-18,15.93,16.07,15.83,15.91,68847000,0.0,0
2010-11-19,15.87,16.04,15.8,16.0,49134200,0.0,0
2010-11-22,15.83,16.1,15.8,16.08,40328600,0.0,0
2010-11-23,15.92,16.06,15.75,15.96,44856200,0.0,0
2010-11-24,16.06,16.32,16.02,16.19,42449700,0.0,0
2010-11-26,16.07,16.22,15.97,16.15,19147500,0.0,0
2010-11-29,16.0,16.23,15.98,16.14,46887900,0.0,0
2010-11-30,16.03,16.12,15.94,16.01,52406500,0.0,0
2010-12-01,16.24,16.34,16.21,16.25,52939300,0.0,0
2010-12-02,16.27,16.47,16.25,16.42,48095800,0.0,0
2010-12-03,16.37,16.48,16.36,16.41,43907400,0.0,0
2010-12-06,16.35,16.47,16.31,16.42,31861200,0.0,0
2010-12-07,16.53,16.54,16.33,16.33,46991400,0.0,0
2010-12-08,16.41,16.57,16.39,16.51,68959600,0.0,0
2010-12-09,16.65,16.7,16.44,16.5,79874700,0.0,0
2010-12-10,16.58,16.63,16.5,16.58,52407700,0.0,0
2010-12-13,16.65,16.66,16.15,16.27,78296300,0.0,0
2010-12-14,16.19,16.31,16.12,16.25,41699300,0.0,0
2010-12-15,16.16,16.27,16.1,16.1,42701400,0.0,0
2010-12-16,16.16,16.19,16.08,16.12,35224900,0.0,0
2010-12-17,16.12,16.26,16.09,16.24,57138100,0.0,0
2010-12-20,16.19,16.22,16.04,16.06,34211900,0.0,0
2010-12-21,16.09,16.09,15.95,15.97,34102300,0.0,0
2010-12-22,15.85,15.91,15.75,15.81,49206900,0.0,0
2010-12-23,15.77,15.83,15.66,15.77,27960800,0.0,0
2010-12-27,15.7,15.78,15.63,15.77,18604300,0.0,0
2010-12-28,15.75,15.84,15.71,15.8,21169600,0.0,0
2010-12-29,15.84,15.94,15.8,15.84,20848400,0.0,0
2010-12-30,15.85,15.95,15.84,15.91,18876000,0.0,0
2010-12-31,15.91,15.94,15.84,15.91,15743700,0.0,0
2011-01-03,15.9,15.93,15.72,15.78,58223800,0.0,0
2011-01-04,15.98,16.04,15.93,16.0,75206200,0.0,0
2011-01-05,16.03,16.05,15.81,15.84,61810500,0.0,0
2011-01-06,15.64,15.75,15.55,15.72,116669000,0.0,0
2011-01-07,15.67,15.72,15.34,15.63,74806100,0.0,0
2011-01-10,15.67,15.72,15.56,15.66,51449700,0.0,0
2011-01-11,15.76,15.98,15.69,15.93,64452600,0.0,0
2011-01-12,16.09,16.14,15.94,16.12,53380600,0.0,0
2011-01-13,16.09,16.13,15.95,16.11,104066300,0.0,0
2011-01-14,16.16,16.21,15.87,15.95,154888800,0.0,0
2011-01-18,15.91,16.04,15.84,15.95,55272100,0.0,0
2011-01-19,15.94,15.99,15.85,15.9,43339000,0.0,0
2011-01-20,15.84,15.85,15.6,15.85,56170800,0.0,0
2011-01-21,15.85,15.92,15.75,15.75,63697600,0.0,0
2011-01-24,15.91,16.07,15.84,16.07,82375700,0.0,0
2011-01-25,16.1,16.32,16.02,16.31,72327200,0.0,0
2011-01-26,16.47,16.57,16.39,16.46,57196100,0.0,0
2011-01-27,16.47,16.6,16.38,16.46,58069200,0.0,0
2011-01-28,16.47,16.56,16.16,16.24,55193100,0.0,0
2011-01-31,16.31,16.37,15.91,16.24,90844300,0.0,0
2011-02-01,16.26,16.42,16.1,16.25,60971000,0.0,0
2011-02-02,16.25,16.43,16.25,16.31,46928100,0.0,0
2011-02-03,16.34,16.52,16.25,16.46,39846000,0.181,0
2011-02-04,16.38,16.56,16.35,16.54,39353500,0.0,0
2011-02-07,16.59,16.68,16.51,16.55,43643100,0.0,0
2011-02-08,16.52,16.54,16.33,16.51,48215100,0.0,0
2011-02-09,16.43,16.48,16.35,16.38,44601400,0.0,0
2011-02-10,16.35,16.67,16.29,16.64,56661800,0.0,0
2011-02-11,16.51,16.67,16.42,16.6,43716600,0.0,0
2011-02-14,16.51,16.64,16.41,16.46,45134600,0.0,0
2011-02-15,16.39,16.44,16.24,16.37,50640200,0.0,0
2011-02-16,16.46,16.7,16.35,16.6,55214100,0.0,0
2011-02-17,16.54,16.83,16.54,16.77,50185500,0.0,0
2011-02-18,16.86,16.95,16.8,16.89,55060500,0.0,0
2011-02-22,16.75,16.93,16.58,16.64,64515600,0.0,0
2011-02-23,16.56,16.57,16.03,16.14,83648300,0.0,0
2011-02-24,16.1,16.34,16.05,16.25,54496400,0.0,0
2011-02-25,16.42,16.79,16.38,16.68,53475700,0.0,0
2011-02-28,16.6,16.67,16.31,16.38,66390100,0.0,0
2011-03-01,16.49,16.55,16.29,16.32,57987400,0.0,0
