Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.06,18.33,17.99,18.2,5268300,0.0,0.0
2009-12-08,18.07,18.37,17.88,18.08,5330300,0.0,0.0
2009-12-09,18.09,18.44,17.94,18.41,5546200,0.0,0.0
2009-12-10,18.54,18.56,18.06,18.11,4396900,0.0,0.0
2009-12-11,18.2,18.33,17.75,18.12,3754000,0.0,0.0
2009-12-14,18.18,18.58,17.98,18.51,3837100,0.0,0.0
2009-12-15,18.51,18.68,18.3,18.36,2979000,0.0,0.0
2009-12-16,18.39,18.91,18.39,18.6,4857200,0.0,0.0
2009-12-17,18.33,18.74,18.22,18.4,4302300,0.0,0.0
2009-12-18,18.43,18.77,18.27,18.73,6799500,0.0,0.0
2009-12-21,18.84,19.29,18.81,18.98,3640100,0.0,0.0
2009-12-22,19.1,19.31,18.97,19.25,2622500,0.0,0.0
2009-12-23,19.26,19.52,19.15,19.43,2068300,0.0,0.0
2009-12-24,19.45,19.5,19.19,19.29,847700,0.0,0.0
2009-12-28,19.31,19.45,18.99,19.17,1718100,0.0,0.0
2009-12-29,19.22,19.44,19.0,19.12,1614900,0.0,0.0
2009-12-30,19.03,19.2,18.93,19.13,2749600,0.0,0.0
2009-12-31,19.1,19.26,18.81,18.81,1505500,0.0,0.0
2010-01-04,19.1,19.29,19.0,19.1,4034900,0.0,0.0
2010-01-05,19.09,19.99,18.98,19.77,5249400,0.0,0.0
2010-01-06,19.43,20.1,19.41,19.55,5864800,0.0,0.0
2010-01-07,19.44,19.46,18.74,18.8,7074600,0.0,0.0
2010-01-08,18.8,18.99,18.43,18.92,4594400,0.0,0.0
2010-01-11,19.14,19.14,18.52,18.7,4463000,0.0,0.0
2010-01-12,18.46,19.33,18.46,18.74,8122000,0.0,0.0
2010-01-13,18.79,18.98,18.53,18.7,3718700,0.0,0.0
2010-01-14,18.67,18.69,18.33,18.43,3301500,0.0,0.0
2010-01-15,18.4,18.66,18.06,18.32,4913100,0.0,0.0
2010-01-19,18.35,18.96,18.21,18.94,4626800,0.0,0.0
2010-01-20,18.7,18.82,18.23,18.46,3609200,0.0,0.0
2010-01-21,18.54,18.6,17.17,17.18,7635700,0.0,0.0
2010-01-22,17.24,17.58,16.72,17.16,8710900,0.0,0.0
2010-01-25,17.62,17.86,17.18,17.21,4958900,0.0,0.0
2010-01-26,17.03,17.49,17.0,17.19,4429500,0.0,0.0
2010-01-27,17.1,17.11,16.25,16.78,7719600,0.0,0.0
2010-01-28,16.88,16.88,15.9,16.21,6844500,0.0,0.0
2010-01-29,16.35,16.53,16.03,16.1,4280100,0.0,0.0
2010-02-01,16.33,16.81,16.16,16.79,5629800,0.0,0.0
2010-02-02,16.82,17.09,16.62,16.88,6502300,0.0,0.0
2010-02-03,15.94,16.33,15.54,15.93,15476000,0.0,0.0
2010-02-04,16.0,16.0,15.35,15.56,9903200,0.0,0.0
2010-02-05,15.56,15.97,15.22,15.93,11987900,0.0,0.0
2010-02-08,15.88,16.19,15.55,15.81,7570500,0.0,0.0
2010-02-09,16.06,16.37,15.81,16.1,6849000,0.0,0.0
2010-02-10,16.1,16.17,15.49,15.74,6050400,0.0,0.0
2010-02-11,15.67,15.94,15.59,15.73,6963100,0.025,0.0
2010-02-12,15.61,15.9,15.25,15.87,6743500,0.0,0.0
2010-02-16,16.02,16.99,16.02,16.95,10379600,0.0,0.0
2010-02-17,16.92,17.21,16.56,16.68,6064500,0.0,0.0
2010-02-18,16.57,17.2,16.54,17.04,4804600,0.0,0.0
2010-02-19,16.9,17.3,16.78,17.06,4622600,0.0,0.0
2010-02-22,17.06,17.19,16.4,16.87,5456200,0.0,0.0
2010-02-23,16.89,17.5,16.79,16.89,7101600,0.0,0.0
2010-02-24,16.89,17.1,16.72,16.81,4051400,0.0,0.0
2010-02-25,16.66,16.9,16.38,16.8,5288800,0.0,0.0
2010-02-26,16.8,16.86,16.26,16.3,6788200,0.0,0.0
2010-03-01,16.46,17.03,16.39,17.01,6035900,0.0,0.0
2010-03-02,17.15,17.7,16.54,17.61,8746000,0.0,0.0
2010-03-03,17.66,18.01,17.52,17.72,6319500,0.0,0.0
2010-03-04,17.82,17.94,17.29,17.57,4463800,0.0,0.0
2010-03-05,17.72,17.95,17.63,17.83,6101600,0.0,0.0
2010-03-08,17.83,17.88,17.56,17.76,4474900,0.0,0.0
2010-03-09,17.69,17.89,17.53,17.65,5911600,0.0,0.0
2010-03-10,17.63,17.94,17.5,17.66,4904500,0.0,0.0
2010-03-11,17.58,17.74,17.44,17.72,5981800,0.0,0.0
2010-03-12,17.9,18.08,17.76,17.82,6231000,0.0,0.0
2010-03-15,17.74,17.79,17.4,17.52,4876100,0.0,0.0
2010-03-16,17.66,17.94,17.61,17.85,8059900,0.0,0.0
