Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.12,11.29,11.12,11.22,4825300,0.0,0.0
2009-12-08,11.16,11.17,10.95,10.97,5116600,0.0,0.0
2009-12-09,11.08,11.26,11.04,11.23,6539900,0.13,0.0
2009-12-10,11.29,11.42,11.25,11.37,5023700,0.0,0.0
2009-12-11,11.42,11.53,11.36,11.51,4422600,0.0,0.0
2009-12-14,11.51,11.54,11.35,11.43,5921200,0.0,0.0
2009-12-15,11.34,11.41,11.29,11.32,3053800,0.0,0.0
2009-12-16,11.34,11.46,11.29,11.36,5194900,0.0,0.0
2009-12-17,11.26,11.34,11.2,11.25,3440400,0.0,0.0
2009-12-18,11.27,11.33,11.15,11.18,4160100,0.0,0.0
2009-12-21,11.24,11.29,11.12,11.14,4340500,0.0,0.0
2009-12-22,11.12,11.22,11.04,11.08,3628200,0.0,0.0
2009-12-23,11.13,11.21,11.06,11.21,3944800,0.0,0.0
2009-12-24,11.25,11.27,11.19,11.21,697100,0.0,0.0
2009-12-28,11.2,11.3,11.2,11.24,2127200,0.0,0.0
2009-12-29,11.24,11.41,11.21,11.35,5399400,0.0,0.0
2009-12-30,11.29,11.33,11.23,11.32,1998900,0.0,0.0
2009-12-31,11.33,11.36,11.25,11.25,1794200,0.0,0.0
2010-01-04,11.34,11.52,11.3,11.43,8334200,0.0,0.0
2010-01-05,11.41,11.47,11.3,11.37,4704000,0.0,0.0
2010-01-06,11.37,11.41,11.32,11.34,5095000,0.0,0.0
2010-01-07,11.35,11.44,11.28,11.42,6697700,0.0,0.0
2010-01-08,11.37,11.49,11.3,11.46,6177700,0.0,0.0
2010-01-11,11.52,11.78,11.52,11.75,7072800,0.0,0.0
2010-01-12,11.66,11.8,11.61,11.74,4880400,0.0,0.0
2010-01-13,11.74,11.82,11.61,11.63,5235200,0.0,0.0
2010-01-14,11.62,11.8,11.62,11.75,3614500,0.0,0.0
2010-01-15,11.77,11.87,11.58,11.83,6473200,0.0,0.0
2010-01-19,12.13,12.25,11.82,12.04,26371800,0.0,0.0
2010-01-20,12.0,12.08,11.9,12.02,13688400,0.0,0.0
2010-01-21,12.06,12.11,11.82,11.89,8785100,0.0,0.0
2010-01-22,11.88,11.93,11.65,11.68,10818900,0.0,0.0
2010-01-25,11.8,11.84,11.6,11.62,5772500,0.0,0.0
2010-01-26,11.51,11.63,11.49,11.53,7965100,0.0,0.0
2010-01-27,11.55,11.6,11.42,11.57,7212300,0.1041,0.0
2010-01-28,11.57,11.64,11.35,11.44,7451200,0.0,0.0
2010-01-29,11.48,11.5,11.17,11.23,8245200,0.0,0.0
2010-02-01,11.31,11.34,11.15,11.26,7287600,0.0,0.0
2010-02-02,11.31,11.59,11.31,11.56,9119900,0.0,0.0
2010-02-03,11.58,11.69,11.54,11.57,6606200,0.0,0.0
2010-02-04,11.46,11.47,11.11,11.11,6909300,0.0,0.0
2010-02-05,11.19,11.24,10.78,10.93,11036100,0.0,0.0
2010-02-08,10.97,11.0,10.76,10.76,6179100,0.0,0.0
2010-02-09,10.92,11.1,10.88,11.03,7954600,0.0,0.0
2010-02-10,11.02,11.09,10.93,10.96,5358900,0.0,0.0
