Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,47.71,47.91,47.49,47.62,9106500,0.0,0
2009-12-08,47.72,47.82,47.3,47.54,11073800,0.0,0
2009-12-09,47.65,47.65,47.37,47.63,8911600,0.0,0
2009-12-10,47.83,48.09,47.64,47.92,8841900,0.0,0
2009-12-11,47.9,48.21,47.88,47.98,7194100,0.0,0
2009-12-14,48.24,48.39,47.98,48.06,8172500,0.0,0
2009-12-15,47.89,47.94,47.68,47.9,10717800,0.0,0
2009-12-16,48.05,48.15,47.91,47.94,13333300,0.0,0
2009-12-17,47.68,47.93,47.51,47.7,10088900,0.0,0
2009-12-18,47.91,47.91,47.28,47.62,22171000,0.0,0
2009-12-21,47.82,48.09,47.52,47.59,11125400,0.0,0
2009-12-22,47.58,47.95,47.58,47.74,7124600,0.0,0
2009-12-23,47.75,47.97,47.75,47.77,6360400,0.0,0
2009-12-24,47.86,47.97,47.74,47.87,2433900,0.0,0
2009-12-28,48.02,48.08,47.92,48.05,5693500,0.0,0
2009-12-29,48.16,48.39,48.03,48.05,6661900,0.0,0
2009-12-30,47.93,48.11,47.74,48.02,5602100,0.0,0
2009-12-31,48.18,48.18,47.59,47.65,6962300,0.0,0
2010-01-04,47.88,48.08,47.65,47.85,9506200,0.0,0
2010-01-05,47.78,47.81,47.22,47.3,10673100,0.0,0
2010-01-06,47.28,47.75,47.22,47.68,13171500,0.0,0
2010-01-07,47.54,47.61,47.16,47.34,10901600,0.0,0
2010-01-08,47.29,47.54,47.08,47.51,7898000,0.0,0
2010-01-11,47.91,47.91,47.36,47.51,7975700,0.0,0
2010-01-12,47.45,47.88,47.37,47.76,10820700,0.0,0
2010-01-13,47.75,48.26,47.75,48.07,13023800,0.0,0
2010-01-14,48.24,48.29,47.91,48.16,7899000,0.0,0
2010-01-15,48.19,48.24,47.34,47.76,20995000,0.0,0
2010-01-19,47.45,48.65,47.43,48.35,15181800,0.0,0
2010-01-20,48.44,48.79,47.7,48.2,13033000,0.0,0
2010-01-21,48.14,48.44,47.2,47.33,14473900,0.0,0
2010-01-22,47.28,47.49,46.68,46.76,14017200,0.0,0
2010-01-25,47.11,47.13,46.65,46.77,10001700,0.0,0
2010-01-26,46.34,46.62,46.03,46.46,15630300,0.0,0
2010-01-27,46.45,47.14,46.39,46.94,14982400,0.0,0
2010-01-28,47.03,47.4,46.64,47.2,17096000,0.0,0
2010-01-29,47.31,47.55,46.48,46.51,17844400,0.0,0
