Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.1,24.62,23.86,24.49,6043900,0.0,0
2009-12-08,24.23,24.46,23.98,24.34,5640300,0.0,0
2009-12-09,24.27,24.44,23.95,24.43,7104200,0.0,0
2009-12-10,24.53,24.62,23.91,24.17,6954500,0.0,0
2009-12-11,24.3,24.44,23.74,23.98,3646500,0.0,0
2009-12-14,24.0,24.19,23.72,23.93,5907400,0.0,0
2009-12-15,23.74,23.86,23.48,23.72,5556800,0.0,0
2009-12-16,23.86,23.99,23.57,23.6,6501800,0.0,0
2009-12-17,23.48,23.48,22.69,22.84,12100800,0.0,0
2009-12-18,22.99,23.4,22.85,23.37,8444700,0.0,0
2009-12-21,23.45,23.82,23.41,23.66,4341100,0.0,0
2009-12-22,23.65,23.9,23.43,23.64,2960600,0.0,0
2009-12-23,23.74,23.91,23.43,23.48,3286700,0.0,0
2009-12-24,23.44,23.76,23.44,23.66,1033400,0.0,0
2009-12-28,23.75,24.03,23.64,24.0,2968200,0.0,0
2009-12-29,24.0,24.13,23.87,24.02,2252700,0.0,0
2009-12-30,23.93,24.36,23.85,24.3,3318500,0.0,0
2009-12-31,24.3,24.38,23.87,23.88,2411600,0.0,0
2010-01-04,24.1,24.46,24.01,24.34,3332500,0.0,0
2010-01-05,24.32,24.44,23.63,23.95,9555900,0.0,0
2010-01-06,23.88,23.9,23.05,23.31,11830100,0.0,0
2010-01-07,23.35,23.44,23.01,23.42,5326000,0.0,0
2010-01-08,23.42,23.5,23.12,23.5,4158100,0.0,0
2010-01-11,23.54,23.63,23.06,23.46,4846600,0.0,0
2010-01-12,23.3,23.34,23.06,23.15,6637600,0.0,0
2010-01-13,23.24,23.82,23.06,23.71,6871800,0.0,0
2010-01-14,23.75,23.88,23.38,23.58,4447800,0.0,0
2010-01-15,23.6,23.96,23.28,23.8,7235400,0.0,0
2010-01-19,23.73,24.08,23.65,24.06,3904000,0.0,0
2010-01-20,23.82,23.87,23.07,23.32,8020600,0.0,0
