Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,38.81,38.88,38.59,38.68,1484600,0.0,0
2009-12-08,38.6,38.67,38.08,38.48,2313900,0.0,0
2009-12-09,38.5,38.73,38.43,38.61,1904500,0.0,0
2009-12-10,38.74,38.87,38.67,38.75,1921300,0.0,0
2009-12-11,38.76,39.47,38.76,39.27,2213200,0.0,0
2009-12-14,39.39,39.39,39.16,39.17,1527200,0.0,0
2009-12-15,39.22,39.23,38.81,38.84,2037800,0.0,0
2009-12-16,38.91,39.19,38.5,38.59,1570900,0.0,0
2009-12-17,38.57,38.57,38.08,38.13,1563800,0.0,0
2009-12-18,38.21,38.39,37.7,38.22,3179500,0.0,0
2009-12-21,38.22,38.38,38.1,38.15,1567000,0.0,0
2009-12-22,38.27,38.68,38.08,38.64,1067600,0.0,0
2009-12-23,38.86,39.12,38.76,38.98,1555800,0.0,0
2009-12-24,39.1,39.49,39.01,39.49,1035200,0.0,0
2009-12-28,39.42,39.47,39.28,39.46,641700,0.0,0
2009-12-29,39.47,39.55,39.36,39.47,1068500,0.0,0
2009-12-30,39.45,39.56,39.26,39.48,808000,0.0,0
2009-12-31,39.46,39.46,38.88,38.9,738200,0.0,0
2010-01-04,38.98,39.17,38.44,38.63,2749000,0.0,0
2010-01-05,38.61,38.74,38.43,38.72,1472000,0.0,0
2010-01-06,38.62,38.86,38.46,38.73,1494300,0.0,0
2010-01-07,38.59,39.14,38.54,39.11,1782900,0.0,0
2010-01-08,38.98,39.03,38.76,39.03,1342700,0.0,0
2010-01-11,39.13,39.28,38.78,39.06,943600,0.0,0
2010-01-12,38.87,39.23,38.86,39.04,1463800,0.0,0
2010-01-13,39.09,39.48,39.09,39.28,1405300,0.0,0
2010-01-14,39.38,39.57,39.19,39.38,1638400,0.0,0
2010-01-15,39.85,40.19,39.56,39.74,3779600,0.0,0
2010-01-19,39.69,39.93,39.69,39.85,1437200,0.0,0
2010-01-20,39.71,39.8,39.12,39.39,1869600,0.0,0
2010-01-21,39.47,39.82,38.87,39.08,2401100,0.0,0
2010-01-22,38.96,39.93,38.93,39.74,4832000,0.0,0
2010-01-25,39.81,39.9,39.57,39.61,2339800,0.0,0
2010-01-26,39.53,40.12,39.36,40.11,2906100,0.0,0
2010-01-27,40.04,40.42,40.0,40.25,3484600,0.0,0
2010-01-28,40.24,40.55,39.59,40.08,2435800,0.0,0
2010-01-29,40.2,40.2,39.68,39.79,3334300,0.0,0
2010-02-01,40.06,40.13,39.74,40.01,3388900,0.0,0
2010-02-02,39.91,40.5,39.81,40.48,3271100,0.0,0
2010-02-03,40.44,40.52,40.17,40.36,2837100,0.0,0
2010-02-04,39.36,39.8,38.32,38.32,6502200,0.0,0
2010-02-05,38.16,38.77,38.07,38.55,4463000,0.0,0
2010-02-08,38.62,38.62,38.02,38.03,2102500,0.0,0
2010-02-09,38.24,38.67,38.13,38.38,2192600,0.0,0
2010-02-10,38.43,38.48,38.19,38.27,2001900,0.0,0
2010-02-11,38.32,38.51,37.97,38.48,1918900,0.0,0
2010-02-12,38.31,38.6,38.17,38.27,3179000,0.0,0
2010-02-16,38.46,38.52,37.96,38.46,2551100,0.0,0
2010-02-17,38.43,38.74,38.35,38.74,2304600,0.0,0
2010-02-18,38.65,38.84,38.59,38.76,1458900,0.0,0
2010-02-19,38.7,39.05,38.62,38.9,1985200,0.0,0
2010-02-22,38.87,38.99,38.57,38.65,2577100,0.0,0
2010-02-23,38.68,38.8,38.3,38.56,2344700,0.0,0
2010-02-24,38.61,38.99,38.13,38.32,2329300,0.0,0
2010-02-25,38.05,38.3,37.81,38.25,2045000,0.0,0
2010-02-26,38.54,38.59,38.17,38.41,2110700,0.375,0
2010-03-01,38.53,38.64,38.34,38.42,2476100,0.0,0
2010-03-02,38.53,38.87,38.53,38.75,2301800,0.0,0
2010-03-03,38.74,38.88,38.65,38.72,2050700,0.0,0
2010-03-04,38.69,39.04,38.45,38.78,2761900,0.0,0
2010-03-05,38.86,38.99,38.6,38.98,1649400,0.0,0
2010-03-08,38.89,38.89,38.67,38.76,1518000,0.0,0
2010-03-09,38.62,38.82,38.53,38.62,1408300,0.0,0
2010-03-10,38.65,38.85,38.53,38.67,2099300,0.0,0
2010-03-11,38.88,39.01,38.54,38.81,2331000,0.0,0
2010-03-12,38.75,39.07,38.62,38.66,2173300,0.0,0
2010-03-15,38.62,38.89,38.59,38.67,1385600,0.0,0
2010-03-16,38.84,38.97,38.67,38.91,1912600,0.0,0
2010-03-17,39.01,39.13,38.76,39.01,1967000,0.0,0
2010-03-18,39.02,39.09,38.81,38.92,1974500,0.0,0
2010-03-19,39.35,39.37,38.81,39.35,3283100,0.0,0
2010-03-22,39.4,40.01,39.23,39.89,3631700,0.0,0
2010-03-23,40.03,40.36,39.86,40.33,2804500,0.0,0
2010-03-24,40.18,40.32,40.02,40.22,2126600,0.0,0
2010-03-25,40.32,40.36,39.74,39.95,2490700,0.0,0
2010-03-26,39.95,40.03,39.43,39.6,1940600,0.0,0
2010-03-29,39.24,39.74,39.11,39.67,2381300,0.0,0
