Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-06,59.52,62.27,59.52,61.16,3809700,0.0,0
2015-07-07,61.8,62.63,61.16,62.56,5794300,0.0,0
2015-07-08,62.28,63.29,62.06,63.2,4276600,0.0,0
2015-07-09,64.1,64.6,62.45,62.7,4267100,0.0,0
2015-07-10,62.91,65.22,62.87,64.81,4983000,0.0,0
2015-07-13,66.64,66.81,65.31,66.08,9078900,0.0,0
2015-07-14,66.6,66.64,65.09,65.38,18746100,0.0,0
2015-07-15,65.09,65.53,64.04,64.3,6330500,0.0,0
2015-07-16,64.52,66.09,64.5,66.01,5634100,0.0,0
2015-07-17,66.58,66.8,64.76,66.75,6100900,0.0,0
2015-07-20,67.02,68.07,66.33,67.15,10284500,0.0,0
2015-07-21,67.04,67.63,66.56,67.24,6088600,0.0,0
2015-07-22,67.76,67.81,65.87,65.92,5201200,0.0,0
2015-07-23,66.2,66.33,64.7,64.78,2975400,0.55,0
2015-07-24,64.93,65.36,64.11,64.5,3116000,0.0,0
2015-07-27,64.69,65.83,64.4,65.32,5774300,0.0,0
2015-07-28,66.22,66.39,65.42,66.11,1895900,0.0,0
2015-07-29,66.06,66.1,65.0,65.77,2278600,0.0,0
2015-07-30,66.02,67.27,65.51,66.87,3247000,0.0,0
2015-07-31,67.48,67.48,66.57,67.09,2685500,0.0,0
2015-08-03,67.53,68.4,67.46,67.85,2681800,0.0,0
2015-08-04,68.01,68.38,67.25,67.37,2429600,0.0,0
2015-08-05,67.54,68.38,67.41,67.94,4324300,0.0,0
2015-08-06,68.42,68.54,67.12,67.33,3708600,0.0,0
2015-08-07,66.81,67.01,65.24,66.23,3274100,0.0,0
2015-08-10,67.05,67.36,66.33,66.53,3252300,0.0,0
2015-08-11,65.53,67.94,65.06,65.82,3889100,0.0,0
2015-08-12,65.7,66.11,64.23,64.74,3688800,0.0,0
2015-08-13,65.01,65.06,63.99,64.15,2917500,0.0,0
2015-08-14,64.22,64.78,63.41,64.51,2572800,0.0,0
2015-08-17,64.04,64.5,63.74,63.99,2260300,0.0,0
2015-08-18,63.92,64.12,63.36,63.47,2009700,0.0,0
2015-08-19,63.31,63.56,62.4,63.13,3025700,0.0,0
2015-08-20,62.48,63.11,62.28,62.68,2207000,0.0,0
2015-08-21,61.89,62.68,61.0,61.01,5564500,0.0,0
2015-08-24,57.61,60.98,51.85,59.83,9844600,0.0,0
2015-08-25,60.39,61.12,59.09,59.27,4423400,0.0,0
2015-08-26,60.54,62.56,58.69,62.39,5356300,0.0,0
2015-08-27,61.77,63.52,61.72,63.46,5937800,0.0,0
2015-08-28,62.81,63.47,62.32,63.05,2150100,0.0,0
2015-08-31,62.64,62.83,61.26,61.34,2688400,0.0,0
2015-09-01,60.13,61.24,58.79,59.19,4671400,0.0,0
2015-09-02,59.8,60.84,59.35,60.84,2986500,0.0,0
2015-09-03,61.25,62.37,60.6,60.91,2595300,0.0,0
2015-09-04,60.05,60.52,59.2,59.57,2997000,0.0,0
2015-09-08,60.65,62.75,59.77,62.53,4450700,0.0,0
2015-09-09,62.85,62.89,60.76,60.92,2936400,0.0,0
2015-09-10,60.89,61.67,60.59,60.91,3619700,0.0,0
2015-09-11,60.99,62.41,60.44,62.27,2146700,0.0,0
2015-09-14,62.05,63.07,61.25,62.93,2927400,0.0,0
2015-09-15,63.26,63.75,62.26,63.64,3393300,0.0,0
2015-09-16,63.48,64.76,62.72,64.47,2302800,0.0,0
2015-09-17,64.65,65.64,64.16,64.52,3142600,0.0,0
2015-09-18,63.78,64.58,63.32,63.68,7231700,0.0,0
2015-09-21,63.89,64.32,63.28,63.48,3256300,0.0,0
2015-09-22,62.59,63.2,62.18,62.73,2628700,0.0,0
2015-09-23,62.61,62.97,61.84,61.89,3713200,0.0,0
2015-09-24,61.62,61.74,60.53,61.56,4416100,0.0,0
2015-09-25,62.3,62.34,61.44,61.92,3517000,0.0,0
2015-09-28,61.46,61.85,59.08,59.08,5006600,0.0,0
2015-09-29,59.23,59.92,57.95,58.42,3870900,0.0,0
2015-09-30,58.81,59.77,58.64,59.58,3132800,0.0,0
2015-10-01,60.16,60.75,58.9,59.79,2519700,0.0,0
2015-10-02,59.25,60.32,58.56,60.28,2593100,0.0,0
2015-10-05,60.78,61.83,60.23,60.98,6323500,0.0,0
2015-10-06,61.02,61.67,60.69,61.18,2760200,0.0,0
2015-10-07,61.4,62.25,61.18,61.75,2325200,0.0,0
2015-10-08,61.76,62.86,61.4,62.83,2239700,0.0,0
2015-10-09,62.81,63.5,62.46,62.8,2938100,0.0,0
2015-10-12,62.81,62.81,61.89,62.23,2081100,0.0,0
2015-10-13,62.14,62.41,61.78,61.94,2147500,0.0,0
2015-10-14,61.72,62.72,61.62,62.27,1956800,0.0,0
2015-10-15,62.59,63.5,62.4,63.5,2135700,0.0,0
2015-10-16,63.89,65.84,63.2,65.33,3435200,0.0,0
2015-10-19,64.91,65.17,64.4,64.83,1951900,0.0,0
2015-10-20,64.32,65.14,64.25,64.89,1922100,0.0,0
2015-10-21,65.0,65.62,64.69,65.04,2370100,0.0,0
2015-10-22,65.19,67.48,65.19,67.48,3951700,0.0,0
2015-10-23,66.82,67.44,65.36,65.83,3179000,0.0,0
2015-10-26,66.0,66.0,64.56,64.84,2563800,0.0,0
2015-10-27,64.33,65.41,64.33,65.14,2435200,0.0,0
2015-10-28,65.13,66.86,64.44,66.84,2382000,0.0,0
2015-10-29,66.55,66.69,65.72,66.39,1788500,0.0,0
2015-10-30,66.16,66.68,65.73,65.82,2053000,0.0,0
2015-11-02,66.21,66.63,65.61,66.07,1536500,0.0,0
2015-11-03,65.7,65.84,64.05,64.52,4489800,0.0,0
2015-11-04,64.43,64.72,63.51,64.0,2630400,0.0,0
2015-11-05,64.32,64.58,63.1,63.67,3347200,0.0,0
2015-11-06,62.26,62.89,60.42,60.79,8819900,0.0,0
2015-11-09,60.78,61.35,59.81,60.14,4231000,0.0,0
2015-11-10,60.57,60.97,60.06,60.85,3470400,0.0,0
2015-11-11,61.37,61.51,60.24,60.87,3537300,0.0,0
2015-11-12,60.57,60.74,59.78,60.33,3931500,0.575,0
2015-11-13,60.09,61.02,60.06,60.22,3008000,0.0,0
2015-11-16,60.43,61.36,60.37,60.97,2398400,0.0,0
2015-11-17,61.35,61.38,60.11,60.8,4247400,0.0,0
2015-11-18,61.13,62.15,60.56,61.77,3780200,0.0,0
2015-11-19,62.33,62.74,61.56,62.41,2828700,0.0,0
2015-11-20,63.11,64.31,62.46,62.67,4003200,0.0,0
2015-11-23,63.0,63.43,62.88,63.03,2706000,0.0,0
2015-11-24,62.74,63.4,62.7,63.37,2863900,0.0,0
2015-11-25,63.35,63.75,62.84,63.51,2384100,0.0,0
2015-11-27,63.45,63.82,63.16,63.49,777300,0.0,0
2015-11-30,63.41,63.7,62.54,62.71,4200100,0.0,0
2015-12-01,63.17,63.82,62.8,63.37,3749300,0.0,0
2015-12-02,63.15,63.5,62.05,62.15,2568600,0.0,0
2015-12-03,62.37,62.7,60.49,60.81,3019000,0.0,0
2015-12-04,60.76,61.89,60.48,61.46,4495900,0.0,0
2015-12-07,61.2,61.44,60.29,60.78,3323600,0.0,0
2015-12-08,60.42,60.97,60.07,60.87,4519800,0.0,0
2015-12-09,60.55,61.41,59.99,60.33,3940800,0.0,0
2015-12-10,60.27,60.7,60.0,60.28,2733700,0.0,0
2015-12-11,59.64,60.15,59.05,59.3,3756000,0.0,0
2015-12-14,59.63,60.49,59.37,60.4,3881600,0.0,0
2015-12-15,61.04,61.91,60.97,61.28,4168700,0.0,0
2015-12-16,61.79,62.29,61.17,62.13,2176900,0.0,0
2015-12-17,62.08,62.37,61.18,61.2,2402700,0.0,0
2015-12-18,60.77,61.22,60.1,60.14,6568300,0.0,0
2015-12-21,60.5,61.48,60.37,61.24,5466900,0.575,0
2015-12-22,61.46,62.79,61.18,62.57,5053300,0.0,0
2015-12-23,62.89,64.16,62.62,63.92,4193400,0.0,0
2015-12-24,64.18,64.18,63.38,63.45,1962500,0.0,0
2015-12-28,63.24,63.3,62.53,62.99,5421800,0.0,0
2015-12-29,63.19,64.22,62.97,64.08,4350900,0.0,0
2015-12-30,64.04,64.31,63.24,63.27,1779900,0.0,0
2015-12-31,62.95,63.06,62.31,62.42,1857100,0.0,0
2016-01-04,61.24,62.5,61.21,62.37,5209400,0.0,0
2016-01-05,62.41,63.13,62.01,62.96,3858200,0.0,0
2016-01-06,61.94,63.21,61.8,63.08,3294700,0.0,0
2016-01-07,61.78,62.62,61.64,61.68,4050300,0.0,0
2016-01-08,61.93,62.17,61.0,61.07,3092100,0.0,0
2016-01-11,61.21,62.23,60.72,62.0,3329000,0.0,0
2016-01-12,62.5,62.93,61.88,62.83,2924600,0.0,0
2016-01-13,62.79,63.01,60.6,60.75,3448500,0.0,0
2016-01-14,60.88,61.37,60.32,60.69,4610600,0.0,0
2016-01-15,59.11,60.18,58.49,59.37,6551200,0.0,0
2016-01-19,60.06,60.5,59.67,60.2,5107100,0.0,0
2016-01-20,59.44,61.41,58.97,61.06,4607000,0.0,0
2016-01-21,61.77,62.91,61.19,62.67,6208200,0.0,0
2016-01-22,63.14,63.92,62.21,63.82,3111700,0.0,0
2016-01-25,63.23,64.06,62.92,63.51,4123100,0.0,0
2016-01-26,62.95,65.2,62.95,65.19,3851300,0.0,0
2016-01-27,65.09,66.19,64.47,65.18,5348200,0.0,0
2016-01-28,65.43,66.05,64.76,65.34,3542400,0.0,0
2016-01-29,65.97,67.11,65.55,66.97,4508200,0.0,0
2016-02-01,66.38,66.47,64.92,66.07,3564200,0.0,0
2016-02-02,65.18,65.89,64.96,65.18,5631600,0.0,0
2016-02-03,65.52,65.52,63.34,64.25,6239700,0.0,0
2016-02-04,64.38,64.52,62.56,63.62,7077100,0.0,0
2016-02-05,63.73,63.97,61.89,62.44,9351600,0.0,0
2016-02-08,61.85,61.94,60.21,61.1,4704600,0.0,0
2016-02-09,60.57,61.74,60.06,61.35,4616900,0.0,0
2016-02-10,61.83,62.89,61.52,61.86,2520100,0.0,0
2016-02-11,60.83,61.74,60.2,61.29,3041500,0.0,0
2016-02-12,61.94,62.16,60.93,61.7,2985800,0.0,0
2016-02-16,62.54,62.68,61.7,62.04,3852100,0.0,0
2016-02-17,62.63,63.82,62.2,63.69,3628100,0.0,0
2016-02-18,63.56,63.74,62.92,63.01,2755200,0.0,0
2016-02-19,62.54,63.22,62.48,63.07,4333500,0.0,0
2016-02-22,63.82,63.82,61.95,62.91,2916700,0.0,0
2016-02-23,62.71,63.05,62.25,62.47,2805600,0.0,0
2016-02-24,62.05,62.91,61.62,62.62,3526500,0.0,0
2016-02-25,62.98,64.33,62.91,64.31,4962300,0.0,0
2016-02-26,67.6,67.69,65.76,66.78,10319700,0.0,0
2016-02-29,66.3,66.92,66.0,66.08,4885500,0.0,0
2016-03-01,66.63,66.85,65.99,66.63,5445500,0.0,0
2016-03-02,66.58,66.75,65.31,66.48,5075800,0.0,0
2016-03-03,66.32,66.53,65.6,66.38,3239900,0.0,0
2016-03-04,66.84,66.85,65.43,66.23,3677800,0.0,0
2016-03-07,66.07,66.39,65.32,65.63,2574800,0.0,0
2016-03-08,65.21,66.19,65.15,65.45,2783700,0.0,0
2016-03-09,65.78,66.06,65.03,65.74,2631300,0.0,0
2016-03-10,66.04,66.19,64.82,65.39,2107200,0.0,0
2016-03-11,66.28,66.36,65.55,66.02,2342700,0.0,0
2016-03-14,65.96,66.72,65.29,66.55,2278300,0.0,0
2016-03-15,66.45,66.76,65.91,66.73,2924700,0.0,0
2016-03-16,67.4,67.51,66.51,67.44,3400000,0.575,0
2016-03-17,67.05,67.5,66.33,67.43,4506000,0.0,0
2016-03-18,67.74,67.75,66.35,66.82,9081000,0.0,0
2016-03-21,66.53,66.98,65.83,66.2,3203400,0.0,0
2016-03-22,66.54,66.57,65.71,66.07,2615600,0.0,0
2016-03-23,66.18,66.6,65.87,66.39,2295800,0.0,0
2016-03-24,66.35,66.79,65.57,66.09,3356700,0.0,0
2016-03-28,66.22,67.36,65.74,67.21,3581800,0.0,0
2016-03-29,67.05,68.12,66.58,68.11,3907400,0.0,0
2016-03-30,68.21,68.32,67.65,68.19,3339900,0.0,0
2016-03-31,68.24,68.24,67.66,67.9,3400300,0.0,0
2016-04-01,67.87,68.42,67.52,68.35,3418200,0.0,0
2016-04-04,68.25,68.36,67.74,68.15,3495200,0.0,0
2016-04-05,67.82,68.15,67.32,67.43,2679600,0.0,0
2016-04-06,67.78,67.78,66.98,67.73,2421900,0.0,0
2016-04-07,67.43,67.67,66.57,66.98,3216400,0.0,0
2016-04-08,67.39,67.94,67.02,67.82,2139000,0.0,0
2016-04-11,68.05,68.28,67.29,67.34,2894800,0.0,0
2016-04-12,67.42,67.96,67.02,67.7,2348300,0.0,0
2016-04-13,68.0,68.05,66.63,66.9,3246400,0.0,0
2016-04-14,66.9,67.26,66.46,66.7,3150500,0.0,0
2016-04-15,67.04,67.67,66.66,67.46,3042200,0.0,0
2016-04-18,67.35,67.73,66.79,67.71,2207300,0.0,0
2016-04-19,67.71,68.18,67.3,67.68,2591200,0.0,0
2016-04-20,67.71,68.0,66.98,67.35,1867400,0.0,0
2016-04-21,67.23,67.35,66.24,66.33,2110700,0.0,0
2016-04-22,66.29,67.55,66.29,67.5,2409800,0.0,0
2016-04-25,67.31,68.14,67.02,68.05,2323800,0.0,0
2016-04-26,68.03,68.76,67.86,68.02,2315700,0.0,0
2016-04-27,68.47,68.71,67.41,68.37,2249600,0.0,0
2016-04-28,67.89,68.48,67.49,67.73,1962600,0.0,0
2016-04-29,67.08,67.66,66.66,67.48,3208700,0.0,0
