Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.6,22.02,21.55,21.91,4389800,0.0,0
2009-12-08,21.71,21.96,21.48,21.77,3555900,0.0,0
2009-12-09,21.74,22.04,21.54,21.89,3339500,0.0,0
2009-12-10,21.96,22.18,21.8,21.82,2320600,0.0,0
2009-12-11,21.96,22.09,21.63,21.73,1798100,0.0,0
2009-12-14,21.85,22.03,21.69,21.93,2410500,0.0,0
2009-12-15,21.82,22.21,21.8,21.97,3037600,0.0,0
2009-12-16,22.03,22.48,21.97,22.17,2761800,0.0,0
2009-12-17,22.11,22.13,21.68,21.71,2038700,0.0,0
2009-12-18,21.74,22.0,21.6,21.99,3435800,0.0,0
2009-12-21,22.06,22.64,22.06,22.5,2555300,0.0,0
2009-12-22,22.59,22.78,22.5,22.53,1786400,0.0,0
2009-12-23,22.62,22.64,22.3,22.36,1364000,0.0,0
2009-12-24,22.39,22.74,22.29,22.73,746000,0.0,0
2009-12-28,22.76,22.78,22.24,22.36,1808100,0.0,0
2009-12-29,22.38,22.42,22.02,22.06,1928100,0.0,0
2009-12-30,22.04,22.44,22.01,22.38,1189300,0.0,0
2009-12-31,22.38,22.5,21.97,21.97,1734400,0.0,0
2010-01-04,22.24,22.71,22.22,22.44,2827000,0.0,0
2010-01-05,22.39,22.44,22.04,22.19,2136200,0.0,0
2010-01-06,22.12,22.38,22.04,22.1,2379400,0.0,0
2010-01-07,22.0,22.27,21.71,22.22,2311900,0.0,0
2010-01-08,22.16,22.59,22.08,22.56,2379600,0.0,0
2010-01-11,22.62,22.73,22.09,22.46,1961400,0.0,0
2010-01-12,22.3,22.34,21.45,21.68,3002200,0.0,0
2010-01-13,21.81,22.04,21.24,21.93,3969500,0.0,0
2010-01-14,21.71,21.85,21.15,21.27,5867400,0.0,0
2010-01-15,21.23,21.42,20.22,20.26,6721000,0.0,0
2010-01-19,20.35,20.52,20.18,20.44,4374500,0.0,0
2010-01-20,20.24,20.26,19.82,20.19,4605900,0.0,0
2010-01-21,20.27,20.6,19.91,19.96,3852400,0.0,0
2010-01-22,19.59,19.68,18.67,18.75,7991300,0.0,0
2010-01-25,18.71,19.08,18.7,18.81,4021300,0.0,0
2010-01-26,18.67,19.03,18.63,18.64,3843400,0.0,0
2010-01-27,18.57,18.96,18.33,18.75,4557400,0.0,0
2010-01-28,18.78,18.83,17.58,17.85,8674800,0.0,0
2010-01-29,18.07,18.08,16.89,17.14,10519600,0.0,0
2010-02-01,17.29,17.74,17.2,17.74,6982600,0.0,0
2010-02-02,17.71,17.86,17.43,17.68,5245700,0.0,0
2010-02-03,17.59,17.87,17.45,17.8,6157800,0.0,0
2010-02-04,17.77,17.89,17.09,17.2,5891200,0.0,0
2010-02-05,17.3,17.6,17.05,17.5,5902100,0.0,0
2010-02-08,17.5,17.81,17.2,17.45,3299800,0.0,0
2010-02-09,17.69,17.95,17.48,17.73,3539900,0.0,0
2010-02-10,17.71,17.93,17.44,17.62,2348300,0.0,0
2010-02-11,17.67,18.11,17.49,18.01,4173400,0.15,0
2010-02-12,17.78,18.4,17.57,18.12,4493200,0.0,0
2010-02-16,18.4,18.83,18.19,18.83,4337300,0.0,0
2010-02-17,18.88,18.91,18.36,18.59,3327900,0.0,0
2010-02-18,18.49,18.49,18.12,18.48,3180000,0.0,0
2010-02-19,18.6,18.77,18.39,18.68,3698900,0.0,0
2010-02-22,18.81,18.83,18.44,18.53,2849300,0.0,0
2010-02-23,18.34,18.42,17.59,17.65,5228200,0.0,0
