Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,44.1,44.1,43.51,43.93,2890500.0,0.0,0.0
2009-12-08,43.8,43.91,43.46,43.74,2302400.0,0.0,0.0
2009-12-09,43.34,43.38,42.73,43.21,3798200.0,0.0,0.0
2009-12-10,43.31,43.84,43.16,43.54,2638600.0,0.0,0.0
2009-12-11,43.79,43.97,43.52,43.61,2927400.0,0.0,0.0
2009-12-14,43.8,44.02,43.72,43.82,1888200.0,0.0,0.0
2009-12-15,43.91,43.99,43.64,43.81,2096100.0,0.0,0.0
2009-12-16,43.96,44.23,43.7,43.78,2057700.0,0.0,0.0
2009-12-17,43.77,43.77,43.13,43.19,2607700.0,0.0,0.0
2009-12-18,43.33,43.45,42.31,42.68,3703900.0,0.0,0.0
2009-12-21,42.8,43.62,42.8,43.46,1971400.0,0.0,0.0
2009-12-22,43.57,43.69,43.06,43.28,1735300.0,0.0,0.0
2009-12-23,43.45,43.45,43.1,43.29,1658200.0,0.0,0.0
2009-12-24,43.4,43.49,42.96,43.14,684400.0,0.0,0.0
2009-12-28,43.17,43.39,43.04,43.39,991900.0,0.0,0.0
2009-12-29,43.37,43.69,43.3,43.41,1288800.0,0.0,0.0
2009-12-30,43.37,43.64,43.3,43.39,1088800.0,0.0,0.0
2009-12-31,43.33,43.41,42.9,42.93,1264700.0,0.0,0.0
2010-01-04,43.33,43.48,42.85,43.31,1634900.0,0.0,0.0
2010-01-05,43.34,43.55,42.9,43.35,2465800.0,0.0,0.0
2010-01-06,43.37,43.37,42.78,42.81,2453600.0,0.0,0.0
2010-01-07,42.91,42.91,42.2,42.53,3246800.0,0.0,0.0
2010-01-08,42.37,42.43,41.64,42.26,3069300.0,0.0,0.0
2010-01-11,42.25,42.25,41.24,42.21,2993500.0,0.0,0.0
2010-01-12,42.14,42.73,42.05,42.47,2557000.0,0.0,0.0
2010-01-13,42.64,42.93,42.46,42.87,1904200.0,0.0,0.0
2010-01-14,42.91,42.91,42.4,42.47,2019300.0,0.0,0.0
2010-01-15,42.35,42.43,41.87,41.93,3690300.0,0.0,0.0
2010-01-19,42.04,42.62,41.99,42.32,3347100.0,0.0,0.0
2010-01-20,42.19,42.19,41.26,41.84,2783800.0,0.0,0.0
2010-01-21,41.94,42.13,41.11,41.18,3530000.0,0.0,0.0
2010-01-22,40.37,41.43,40.15,40.59,4369000.0,0.0,0.0
2010-01-25,40.94,40.97,40.27,40.74,3075100.0,0.0,0.0
2010-01-26,40.94,40.94,40.29,40.51,4167700.0,0.0,0.0
2010-01-27,40.51,40.74,39.89,40.1,3959000.0,0.0,0.0
2010-01-28,40.31,40.49,39.81,39.83,4408500.0,0.0,0.0
2010-01-29,40.08,40.56,39.81,40.02,3816200.0,0.0,0.0
2010-02-01,40.39,40.39,39.77,40.1,3415300.0,0.0,0.0
2010-02-02,40.21,41.02,39.94,40.89,3314500.0,0.0,0.0
2010-02-03,40.83,40.83,40.28,40.7,3479500.0,0.0,0.0
2010-02-04,40.44,40.6,39.88,39.92,2623300.0,0.0,0.0
2010-02-05,39.91,40.12,39.25,39.73,3210500.0,0.0,0.0
2010-02-08,39.87,40.15,39.48,39.73,2844400.0,0.0,0.0
2010-02-09,40.07,40.39,39.8,40.18,2375800.0,0.0,0.0
2010-02-10,40.08,40.17,39.53,39.71,2625100.0,0.0,0.0
2010-02-11,39.83,40.03,39.57,39.89,2349500.0,0.0,0.0
2010-02-12,39.73,39.86,39.45,39.67,2735300.0,0.0,0.0
2010-02-16,39.76,39.94,39.56,39.94,2901700.0,0.0,0.0
2010-02-17,40.04,40.19,39.93,40.0,2693600.0,0.0,0.0
2010-02-18,39.96,40.8,39.93,40.7,2334900.0,0.0,0.0
2010-02-19,40.67,40.83,40.37,40.6,2220100.0,0.0,0.0
2010-02-22,40.69,40.86,40.3,40.37,2509100.0,0.0,0.0
2010-02-23,40.3,40.85,40.16,40.69,3244100.0,0.0,0.0
2010-02-24,40.82,40.86,40.5,40.64,3092300.0,0.0,0.0
2010-02-25,40.45,40.73,40.14,40.7,2684800.0,0.0,0.0
2010-02-26,40.87,41.14,40.66,40.93,2777000.0,0.0,0.0
2010-03-01,41.4,41.4,40.8,40.94,3237300.0,0.0,0.0
