Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-02-11,21.92,22.22,21.26,21.47,50610600.0,0.0,0.0
2011-02-14,21.47,21.64,21.23,21.23,6275900.0,0.0,0.0
2011-02-15,21.37,21.54,21.25,21.39,4337800.0,0.0,0.0
2011-02-16,21.47,21.74,21.2,21.24,4627100.0,0.0,0.0
2011-02-17,21.21,21.5,21.1,21.12,3290700.0,0.0,0.0
2011-02-18,21.21,21.7,21.02,21.69,2583800.0,0.0,0.0
2011-02-22,21.53,21.73,21.24,21.24,2454300.0,0.0,0.0
2011-02-23,21.27,21.37,20.92,21.03,2671200.0,0.0,0.0
2011-02-24,21.12,21.19,20.95,21.06,1698000.0,0.0,0.0
2011-02-25,21.11,21.26,20.95,21.09,2225900.0,0.0,0.0
2011-02-28,21.14,21.29,21.03,21.09,2380400.0,0.0,0.0
2011-03-01,21.19,21.28,20.9,21.06,1908000.0,0.0,0.0
2011-03-02,21.14,21.22,20.92,21.14,2197000.0,0.0,0.0
2011-03-03,21.21,21.28,21.11,21.28,1901800.0,0.0,0.0
2011-03-04,21.3,21.39,21.2,21.33,892300.0,0.0,0.0
2011-03-07,21.39,21.46,21.23,21.37,1049600.0,0.0,0.0
2011-03-08,21.3,21.46,21.3,21.42,827400.0,0.0,0.0
2011-03-09,21.37,21.42,21.26,21.26,294100.0,0.0,0.0
2011-03-10,21.24,21.24,20.57,20.81,2715200.0,0.0,0.0
2011-03-11,20.81,21.08,20.72,20.81,1896900.0,0.0,0.0
2011-03-14,20.74,20.9,20.61,20.74,1967700.0,0.0,0.0
2011-03-15,20.61,20.88,20.47,20.66,1968400.0,0.0,0.0
2011-03-16,20.67,20.85,20.58,20.78,2062200.0,0.0,0.0
2011-03-17,20.88,21.03,20.79,20.85,1511400.0,0.0,0.0
2011-03-18,20.89,21.09,20.8,21.09,1906600.0,0.0,0.0
2011-03-21,21.11,21.44,21.02,21.31,1253000.0,0.0,0.0
2011-03-22,21.37,21.42,21.14,21.23,1014700.0,0.0,0.0
2011-03-23,21.11,21.21,20.71,20.76,2570500.0,0.0,0.0
2011-03-24,20.81,20.92,20.68,20.78,1411600.0,0.0,0.0
2011-03-25,20.75,20.81,20.4,20.41,2687100.0,0.0,0.0
2011-03-28,20.56,20.7,20.44,20.48,1552900.0,0.0,0.0
2011-03-29,20.57,20.67,20.43,20.6,1313800.0,0.0,0.0
2011-03-30,20.65,20.67,20.45,20.53,769700.0,0.0,0.0
2011-03-31,20.61,20.65,20.41,20.5,884400.0,0.0,0.0
2011-04-01,20.6,20.64,20.39,20.4,1869200.0,0.0,0.0
2011-04-04,20.36,20.54,20.23,20.36,1177900.0,0.0,0.0
2011-04-05,20.39,20.5,20.05,20.36,1021200.0,0.0,0.0
2011-04-06,20.37,20.39,20.2,20.37,725100.0,0.0,0.0
2011-04-07,20.41,20.44,20.14,20.2,1226100.0,0.0,0.0
2011-04-08,20.2,20.34,20.14,20.28,934800.0,0.0,0.0
2011-04-11,20.26,20.34,20.1,20.23,1160900.0,0.0,0.0
2011-04-12,20.12,20.22,19.55,19.87,1278100.0,0.0,0.0
2011-04-13,19.87,20.07,19.82,19.94,2766900.0,0.0,0.0
2011-04-14,19.91,20.16,19.76,20.14,785800.0,0.0,0.0
2011-04-15,20.13,20.16,19.84,19.97,863900.0,0.0,0.0
2011-04-18,19.91,19.94,19.52,19.72,882400.0,0.0,0.0
2011-04-19,19.77,19.96,19.73,19.9,1121200.0,0.0,0.0
2011-04-20,20.04,20.47,19.91,20.36,2054000.0,0.0,0.0
2011-04-21,20.27,20.7,20.1,20.49,1516900.0,0.0,0.0
2011-04-25,20.61,20.61,20.1,20.3,604100.0,0.0,0.0
2011-04-26,20.43,20.46,20.09,20.14,1100000.0,0.0,0.0
2011-04-27,20.26,20.39,19.88,19.96,1479600.0,0.0,0.0
2011-04-28,20.04,20.12,19.94,20.03,1041000.0,0.14,0.0
2011-04-29,20.18,20.35,19.7,19.86,1843400.0,0.0,0.0
2011-05-02,19.96,20.14,19.72,20.03,1036600.0,0.0,0.0
2011-05-03,20.04,20.07,19.49,19.59,1158700.0,0.0,0.0
2011-05-04,19.59,19.71,18.98,19.43,2537800.0,0.0,0.0
2011-05-05,19.47,19.64,19.05,19.44,1618300.0,0.0,0.0
2011-05-06,19.51,19.74,19.35,19.46,653600.0,0.0,0.0
2011-05-09,19.53,19.77,19.46,19.66,752100.0,0.0,0.0
2011-05-10,19.64,19.94,19.51,19.82,777800.0,0.0,0.0
2011-05-11,19.82,19.89,19.46,19.67,1400100.0,0.0,0.0
2011-05-12,19.59,19.77,19.33,19.77,1800000.0,0.0,0.0
2011-05-13,19.71,19.71,19.28,19.41,1344100.0,0.0,0.0
2011-05-16,19.5,19.79,19.04,19.14,1737600.0,0.0,0.0
2011-05-17,19.18,19.25,18.67,19.11,2404600.0,0.0,0.0
2011-05-18,19.3,19.37,19.05,19.15,895200.0,0.0,0.0
2011-05-19,19.23,19.69,19.13,19.66,1096500.0,0.0,0.0
2011-05-20,19.63,20.08,19.43,19.8,1535400.0,0.0,0.0
2011-05-23,19.74,19.85,19.59,19.68,2927600.0,0.0,0.0
2011-05-24,19.82,20.19,19.78,20.19,2587700.0,0.0,0.0
2011-05-25,20.14,20.35,20.01,20.16,3304700.0,0.0,0.0
2011-05-26,20.22,20.3,19.88,19.94,1507000.0,0.0,0.0
2011-05-27,20.08,20.28,19.8,20.28,1896600.0,0.0,0.0
2011-05-31,20.52,20.68,20.15,20.35,5489900.0,0.0,0.0
2011-06-01,20.43,20.48,20.05,20.15,1042800.0,0.0,0.0
2011-06-02,20.25,20.41,19.76,20.41,978400.0,0.0,0.0
2011-06-03,20.19,20.68,19.96,20.67,1566400.0,0.0,0.0
2011-06-06,20.57,20.69,20.32,20.51,1402100.0,0.0,0.0
2011-06-07,20.55,20.82,20.44,20.7,1980000.0,0.0,0.0
2011-06-08,20.55,20.75,20.47,20.66,766800.0,0.0,0.0
2011-06-09,20.65,20.77,20.6,20.63,1215900.0,0.0,0.0
2011-06-10,20.66,20.74,20.45,20.52,895800.0,0.0,0.0
2011-06-13,20.58,20.8,20.29,20.46,901900.0,0.0,0.0
2011-06-14,20.44,20.75,20.19,20.5,760200.0,0.0,0.0
2011-06-15,20.44,20.6,20.07,20.4,1149000.0,0.0,0.0
2011-06-16,20.43,20.46,20.2,20.3,792100.0,0.0,0.0
2011-06-17,20.4,20.66,20.25,20.64,2448200.0,0.0,0.0
2011-06-20,20.57,20.62,20.43,20.57,866700.0,0.0,0.0
2011-06-21,20.64,20.64,20.39,20.58,631300.0,0.0,0.0
2011-06-22,20.58,20.82,20.46,20.58,1587400.0,0.0,0.0
2011-06-23,20.56,20.56,20.09,20.22,1963100.0,0.0,0.0
2011-06-24,20.28,20.36,19.87,19.87,11554800.0,0.0,0.0
2011-06-27,19.93,20.0,19.61,19.64,1889000.0,0.0,0.0
2011-06-28,19.73,19.92,19.53,19.66,2235400.0,0.0,0.0
2011-06-29,19.79,20.01,19.68,19.73,1592100.0,0.0,0.0
2011-06-30,19.75,20.0,19.67,19.96,809500.0,0.0,0.0
2011-07-01,19.92,20.35,19.71,20.34,846600.0,0.0,0.0
2011-07-05,20.3,20.42,20.18,20.33,505800.0,0.0,0.0
2011-07-06,20.27,20.32,20.09,20.23,1239500.0,0.0,0.0
2011-07-07,20.33,20.46,20.05,20.14,876300.0,0.0,0.0
2011-07-08,20.01,20.38,19.94,20.09,757500.0,0.0,0.0
2011-07-11,19.94,19.97,19.57,19.71,725400.0,0.0,0.0
2011-07-12,19.63,19.71,19.53,19.57,665900.0,0.0,0.0
2011-07-13,19.69,19.79,19.5,19.59,556800.0,0.0,0.0
2011-07-14,19.66,19.74,19.47,19.48,799600.0,0.0,0.0
2011-07-15,19.62,19.89,19.46,19.87,785100.0,0.0,0.0
2011-07-18,19.73,19.74,19.44,19.59,695200.0,0.0,0.0
2011-07-19,19.74,19.8,19.62,19.7,390100.0,0.0,0.0
2011-07-20,19.85,20.1,19.63,19.8,579000.0,0.0,0.0
2011-07-21,19.93,20.06,19.61,19.81,1277300.0,0.0,0.0
2011-07-22,19.84,19.89,19.62,19.71,1017700.0,0.0,0.0
2011-07-25,19.66,19.73,19.09,19.11,2753000.0,0.0,0.0
2011-07-26,19.18,19.28,19.01,19.16,2921300.0,0.0,0.0
2011-07-27,18.95,19.73,18.83,19.58,3648100.0,0.0,0.0
2011-07-28,19.59,19.83,19.41,19.78,985200.0,0.3,0.0
2011-07-29,19.64,19.88,19.52,19.83,999300.0,0.0,0.0
2011-08-01,19.96,20.02,19.75,19.83,612300.0,0.0,0.0
2011-08-02,19.71,19.78,19.41,19.56,893400.0,0.0,0.0
2011-08-03,19.54,19.57,19.14,19.47,1392600.0,0.0,0.0
2011-08-04,19.38,19.38,18.49,18.59,1813800.0,0.0,0.0
2011-08-05,18.59,18.82,17.53,18.2,3006600.0,0.0,0.0
2011-08-08,17.71,17.97,16.62,16.62,2018900.0,0.0,0.0
2011-08-09,16.89,18.23,16.86,18.2,1689300.0,0.0,0.0
2011-08-10,17.97,19.02,17.73,18.3,1909300.0,0.0,0.0
2011-08-11,18.4,19.53,18.39,19.28,1372400.0,0.0,0.0
2011-08-12,19.55,19.66,18.63,18.8,1136200.0,0.0,0.0
2011-08-15,19.1,19.17,18.86,19.02,676900.0,0.0,0.0
2011-08-16,18.89,18.89,18.53,18.61,646000.0,0.0,0.0
2011-08-17,18.72,18.72,18.41,18.46,672000.0,0.0,0.0
2011-08-18,18.25,18.25,17.3,17.43,3587900.0,0.0,0.0
2011-08-19,17.32,17.61,16.7,16.73,1913900.0,0.0,0.0
2011-08-22,17.1,17.78,16.57,16.69,1543600.0,0.0,0.0
2011-08-23,16.81,17.24,16.51,17.24,1153000.0,0.0,0.0
2011-08-24,17.15,17.36,16.9,17.17,686600.0,0.0,0.0
2011-08-25,17.28,17.54,17.17,17.17,570200.0,0.0,0.0
2011-08-26,17.19,17.51,16.86,17.4,570800.0,0.0,0.0
2011-08-29,17.53,17.99,17.35,17.78,530600.0,0.0,0.0
2011-08-30,17.71,17.92,17.5,17.82,437500.0,0.0,0.0
2011-08-31,17.99,18.5,17.87,18.16,1786100.0,0.0,0.0
2011-09-01,18.25,18.3,17.99,18.06,553700.0,0.0,0.0
2011-09-02,17.86,17.89,17.6,17.69,567100.0,0.0,0.0
2011-09-06,17.38,17.87,17.28,17.82,701000.0,0.0,0.0
2011-09-07,18.06,18.18,17.72,17.87,895700.0,0.0,0.0
2011-09-08,17.82,18.07,17.69,17.84,982600.0,0.0,0.0
2011-09-09,17.66,17.81,17.38,17.45,1141700.0,0.0,0.0
2011-09-12,17.31,17.54,17.07,17.53,945500.0,0.0,0.0
2011-09-13,17.62,17.72,17.29,17.54,1051000.0,0.0,0.0
2011-09-14,17.7,17.76,17.39,17.73,834600.0,0.0,0.0
2011-09-15,17.88,18.14,17.8,17.94,472300.0,0.0,0.0
2011-09-16,18.06,18.11,17.71,17.91,1882700.0,0.0,0.0
2011-09-19,17.71,19.18,17.67,18.74,3781600.0,0.0,0.0
2011-09-20,18.89,18.89,18.63,18.75,849700.0,0.0,0.0
2011-09-21,18.85,19.1,18.59,18.65,1400900.0,0.0,0.0
2011-09-22,18.3,18.54,17.8,18.04,1731800.0,0.0,0.0
2011-09-23,18.06,18.16,17.68,17.92,699700.0,0.0,0.0
2011-09-26,17.98,18.51,17.7,18.5,1366100.0,0.0,0.0
2011-09-27,18.88,19.22,18.84,18.98,1766000.0,0.0,0.0
2011-09-28,18.89,19.1,18.65,18.7,894600.0,0.0,0.0
2011-09-29,19.0,19.09,18.16,18.49,801400.0,0.0,0.0
2011-09-30,18.34,18.44,18.06,18.18,769700.0,0.0,0.0
2011-10-03,18.08,18.13,17.56,17.9,860400.0,0.0,0.0
2011-10-04,17.84,18.42,17.32,18.3,2500000.0,0.0,0.0
2011-10-05,18.39,18.75,18.14,18.67,1193100.0,0.0,0.0
2011-10-06,18.66,18.86,18.35,18.75,795900.0,0.0,0.0
2011-10-07,18.85,18.92,18.41,18.5,446500.0,0.0,0.0
2011-10-10,18.87,18.93,18.63,18.87,785300.0,0.0,0.0
2011-10-11,18.86,19.14,18.75,18.86,664300.0,0.0,0.0
2011-10-12,19.03,19.07,18.76,18.89,692200.0,0.0,0.0
2011-10-13,18.76,19.05,18.54,18.91,526200.0,0.0,0.0
2011-10-14,19.17,19.17,18.74,18.89,977500.0,0.0,0.0
2011-10-17,19.74,20.89,19.49,19.8,11278800.0,0.0,0.0
2011-10-18,19.78,20.14,19.01,19.71,7530200.0,0.0,0.0
2011-10-19,19.53,19.9,19.21,19.37,5671400.0,0.0,0.0
2011-10-20,19.69,20.54,19.54,19.83,5711000.0,0.0,0.0
2011-10-21,20.3,20.52,19.92,20.52,3718000.0,0.0,0.0
2011-10-24,21.1,21.1,20.21,21.06,3777600.0,0.0,0.0
2011-10-25,20.98,21.25,20.5,21.15,3195100.0,0.0,0.0
2011-10-26,21.42,21.42,20.78,20.83,5107000.0,0.0,0.0
2011-10-27,21.26,21.39,20.69,20.89,6102300.0,0.3,0.0
2011-10-28,20.76,20.87,20.22,20.65,2818200.0,0.0,0.0
2011-10-31,20.5,20.58,20.06,20.29,3360100.0,0.0,0.0
2011-11-01,19.94,20.2,19.45,19.74,3432400.0,0.0,0.0
2011-11-02,20.22,20.22,19.66,19.91,2355100.0,0.0,0.0
2011-11-03,20.06,20.21,19.62,19.99,3193000.0,0.0,0.0
2011-11-04,20.04,20.19,19.72,20.09,1963900.0,0.0,0.0
2011-11-07,20.11,20.27,19.62,19.84,1772400.0,0.0,0.0
2011-11-08,20.02,20.16,19.72,19.97,1483400.0,0.0,0.0
2011-11-09,19.98,20.04,19.18,19.18,1723000.0,0.0,0.0
2011-11-10,19.45,19.62,19.09,19.46,1579500.0,0.0,0.0
2011-11-11,19.7,19.97,19.45,19.56,1838500.0,0.0,0.0
2011-11-14,19.51,19.73,19.28,19.67,2151800.0,0.0,0.0
2011-11-15,19.68,19.95,19.55,19.84,2969400.0,0.0,0.0
2011-11-16,19.79,19.87,19.53,19.7,3082100.0,0.0,0.0
2011-11-17,19.78,20.16,19.58,20.09,3681200.0,0.0,0.0
2011-11-18,20.4,20.56,20.04,20.04,2682300.0,0.0,0.0
2011-11-21,20.13,20.55,19.87,20.28,1718400.0,0.0,0.0
2011-11-22,20.38,20.54,20.16,20.3,3260200.0,0.0,0.0
2011-11-23,20.07,20.26,19.87,19.88,2434800.0,0.0,0.0
2011-11-25,19.87,20.58,19.84,20.58,1160600.0,0.0,0.0
2011-11-28,21.08,21.08,20.36,20.43,2415000.0,0.0,0.0
2011-11-29,20.45,21.06,20.45,20.96,3221800.0,0.0,0.0
2011-11-30,21.73,21.75,20.82,20.93,2897800.0,0.0,0.0
2011-12-01,20.93,21.72,20.79,21.47,2597800.0,0.0,0.0
