Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,33.37,33.68,33.21,33.31,1768200,0.0,0
2009-12-08,33.06,33.24,32.81,32.97,2205500,0.0,0
2009-12-09,32.91,33.03,32.7,33.0,1638600,0.0,0
2009-12-10,33.13,33.42,33.06,33.35,1303100,0.0,0
2009-12-11,33.43,33.53,33.2,33.49,1507800,0.0,0
2009-12-14,33.64,33.96,33.52,33.87,1964600,0.0,0
2009-12-15,33.65,33.95,33.57,33.79,1866200,0.0,0
2009-12-16,33.97,34.22,33.76,33.82,2058200,0.0,0
2009-12-17,33.49,34.06,33.49,33.74,1606100,0.0,0
2009-12-18,33.85,34.08,33.66,34.0,3115900,0.0,0
2009-12-21,34.09,34.42,33.93,33.96,1947400,0.0,0
2009-12-22,33.94,34.24,33.92,33.97,1423900,0.0,0
2009-12-23,34.07,34.2,33.89,34.15,1171300,0.0,0
2009-12-24,34.19,34.53,34.19,34.45,589800,0.0,0
2009-12-28,34.44,34.51,34.24,34.32,824500,0.0,0
2009-12-29,34.35,34.66,34.25,34.5,996300,0.0,0
2009-12-30,34.27,34.46,34.16,34.46,750800,0.0,0
2009-12-31,34.56,34.68,34.22,34.22,938800,0.0,0
2010-01-04,34.64,35.1,34.45,35.0,2210900,0.0,0
2010-01-05,35.04,35.23,34.61,35.19,1975600,0.0,0
2010-01-06,35.2,35.49,34.93,35.43,1324300,0.0,0
2010-01-07,35.33,35.78,35.09,35.7,1979400,0.0,0
2010-01-08,35.52,35.73,35.41,35.67,1159400,0.0,0
2010-01-11,35.94,35.94,35.49,35.7,1390600,0.0,0
2010-01-12,35.45,35.72,35.3,35.41,1565400,0.0,0
2010-01-13,35.52,35.78,35.31,35.7,1566100,0.0,0
2010-01-14,35.54,35.79,35.37,35.69,1279600,0.0,0
2010-01-15,35.52,35.65,34.86,35.03,1678600,0.0,0
2010-01-19,34.91,35.94,34.9,35.92,2078300,0.0,0
2010-01-20,35.73,35.81,35.12,35.4,2015800,0.0,0
2010-01-21,36.16,36.16,34.65,35.01,2503500,0.0,0
