Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,25.13,25.54,25.06,25.48,664300,0.0,0.0
2009-12-08,25.44,25.54,25.07,25.48,1013600,0.0,0.0
2009-12-09,25.07,25.63,24.65,25.59,1933500,0.0,0.0
2009-12-10,25.62,25.89,25.58,25.86,1310300,0.0,0.0
2009-12-11,25.82,26.03,25.72,25.99,1643100,0.0,0.0
2009-12-14,26.31,27.3,26.3,27.19,3110800,0.0,0.0
2009-12-15,26.98,27.44,26.98,27.33,2531800,0.0,0.0
2009-12-16,27.29,27.61,27.2,27.47,2240500,0.0,0.0
2009-12-17,27.34,27.5,27.08,27.29,2622400,0.0,0.0
2009-12-18,27.39,27.5,26.23,26.62,22337100,0.0,0.0
2009-12-21,26.45,27.33,26.45,27.09,1967000,0.0,0.0
2009-12-22,27.22,27.22,26.79,26.86,1226000,0.0,0.0
2009-12-23,26.95,27.0,26.76,27.0,916900,0.0,0.0
2009-12-24,27.06,27.06,26.79,26.88,464700,0.0,0.0
2009-12-28,26.95,27.12,26.79,27.12,985600,0.0,0.0
2009-12-29,27.12,27.16,26.82,26.88,817300,0.0,0.0
2009-12-30,26.81,26.95,26.72,26.89,984800,0.0,0.0
2009-12-31,26.85,26.95,26.72,26.75,631100,0.0,0.0
2010-01-04,26.86,27.08,26.68,26.99,1417700,0.0,0.0
2010-01-05,26.95,27.09,26.62,26.88,1595100,0.0,0.0
2010-01-06,27.16,27.25,26.84,26.95,1120100,0.0,0.0
2010-01-07,26.91,26.98,26.76,26.96,820600,0.0,0.0
2010-01-08,26.85,26.96,26.78,26.92,886000,0.0,0.0
2010-01-11,26.81,26.93,26.78,26.85,720800,0.0,0.0
2010-01-12,26.78,26.95,26.72,26.88,923400,0.0,0.0
2010-01-13,26.91,26.91,26.48,26.76,1891700,0.0,0.0
2010-01-14,26.78,26.92,26.67,26.84,1793900,0.0,0.0
2010-01-15,26.84,26.96,26.67,26.69,2319200,0.0,0.0
2010-01-19,26.69,26.99,26.6,26.99,873700,0.0,0.0
2010-01-20,26.88,26.91,26.62,26.68,975100,0.0,0.0
2010-01-21,26.65,26.93,26.36,26.41,1136900,0.0,0.0
2010-01-22,26.41,26.62,25.95,26.0,1122300,0.0,0.0
2010-01-25,26.23,26.37,26.02,26.3,842400,0.0,0.0
2010-01-26,26.24,26.36,25.76,25.92,1029500,0.0,0.0
2010-01-27,25.82,25.9,25.69,25.8,1303300,0.0,0.0
2010-01-28,25.82,26.03,25.65,25.83,1115100,0.0,0.0
2010-01-29,25.89,26.13,25.75,25.89,1397600,0.0,0.0
2010-02-01,25.78,26.3,25.58,26.27,1422200,0.0,0.0
2010-02-02,26.26,26.33,25.97,26.33,1729300,0.0,0.0
