Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.21,26.46,25.93,25.96,5677300,0.0,0
2009-12-08,25.92,26.14,25.52,25.57,7180900,0.0,0
2009-12-09,25.56,25.73,25.37,25.6,6549500,0.0,0
2009-12-10,25.06,25.24,24.34,24.52,21928200,0.0,0
2009-12-11,24.68,24.78,24.14,24.49,12559000,0.0,0
2009-12-14,24.68,25.08,24.59,24.94,6539000,0.0,0
2009-12-15,24.92,25.06,24.67,25.03,6072400,0.0,0
2009-12-16,25.17,25.25,25.01,25.01,7272500,0.0,0
2009-12-17,24.99,25.04,24.73,24.82,5318600,0.0,0
2009-12-18,24.85,25.06,24.74,25.01,9838300,0.0,0
2009-12-21,25.1,25.58,25.01,25.38,6356000,0.0,0
2009-12-22,25.51,25.69,25.18,25.29,5231200,0.0,0
2009-12-23,25.45,25.54,25.13,25.17,5578300,0.0,0
2009-12-24,25.21,25.28,25.07,25.27,1410500,0.0,0
2009-12-28,25.34,25.45,25.2,25.36,3104000,0.0,0
2009-12-29,25.36,25.46,25.2,25.22,3629300,0.0,0
2009-12-30,25.1,25.33,25.08,25.33,3457600,0.0,0
2009-12-31,25.28,25.31,24.97,25.01,4821400,0.0,0
2010-01-04,25.05,25.45,25.05,25.08,6067100,0.0,0
2010-01-05,25.14,25.15,24.46,24.64,7517100,0.0,0
2010-01-06,24.68,24.88,24.68,24.82,7661600,0.0,0
2010-01-07,24.85,24.9,24.61,24.7,5997100,0.0,0
2010-01-08,24.71,24.71,24.4,24.51,5624400,0.0,0
2010-01-11,24.57,24.9,24.57,24.85,4793400,0.0,0
2010-01-12,24.75,24.93,24.66,24.76,4700800,0.0,0
2010-01-13,24.75,25.21,24.7,25.1,5320900,0.0,0
2010-01-14,25.03,25.21,25.03,25.21,6417300,0.0,0
2010-01-15,25.21,25.29,24.81,25.08,6519600,0.0,0
2010-01-19,25.2,26.55,25.15,26.2,17795600,0.0,0
2010-01-20,26.19,26.41,25.67,26.12,8851200,0.0,0
2010-01-21,26.1,26.25,25.21,25.29,11022600,0.0,0
2010-01-22,25.27,25.5,24.83,24.87,7247500,0.0,0
2010-01-25,25.1,25.22,24.88,25.03,6499400,0.0,0
2010-01-26,25.18,25.38,25.05,25.32,7128400,0.0,0
2010-01-27,25.32,25.5,25.14,25.48,7009700,0.0,0
2010-01-28,25.15,25.22,24.7,25.03,9423500,0.0,0
2010-01-29,25.17,25.17,24.6,24.65,9281900,0.0,0
2010-02-01,24.76,24.99,24.4,24.51,6767300,0.0,0
2010-02-02,24.51,25.03,24.44,24.94,6573500,0.0,0
2010-02-03,24.82,24.82,24.56,24.73,5493500,0.0,0
2010-02-04,24.58,24.66,24.24,24.28,8914200,0.0,0
2010-02-05,24.26,24.38,23.75,24.17,8698500,0.0,0
2010-02-08,24.15,24.6,23.96,24.36,8301000,0.0,0
2010-02-09,24.47,24.84,24.41,24.65,10261600,0.0,0
2010-02-10,24.68,24.68,24.13,24.27,9425900,0.49,0
2010-02-11,24.27,24.45,24.02,24.27,6352000,0.0,0
2010-02-12,24.11,24.17,23.88,24.11,8706400,0.0,0
2010-02-16,24.32,24.32,24.11,24.2,7280900,0.0,0
2010-02-17,24.39,24.59,24.3,24.42,5708100,0.0,0
2010-02-18,24.42,24.56,24.33,24.44,4158200,0.0,0
